date,sub_region_2,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2020-02-15,,109,104,116,107,100,99
2020-02-15,Adams County,105,89,,,102,
2020-02-15,Allen County,110,105,105,104,100,99
2020-02-15,Bartholomew County,111,103,125,,101,98
2020-02-15,Blackford County,87,96,,,,
2020-02-15,Boone County,108,102,,109,101,
2020-02-15,Brown County,156,96,,,104,
2020-02-15,Carroll County,116,104,,,95,
2020-02-15,Cass County,108,102,,,93,
2020-02-15,Clark County,109,106,194,94,102,99
2020-02-15,Clay County,103,89,,114,93,
2020-02-15,Clinton County,101,100,,,93,
2020-02-15,Crawford County,,,,106,,
2020-02-15,Daviess County,105,107,,,90,
2020-02-15,Dearborn County,109,107,,,102,
2020-02-15,Decatur County,106,104,,105,100,
2020-02-15,DeKalb County,105,119,,,109,
2020-02-15,Delaware County,116,98,,114,103,98
2020-02-15,Dubois County,110,104,,,88,
2020-02-15,Elkhart County,110,97,125,113,97,98
2020-02-15,Fayette County,103,97,,,102,
2020-02-15,Floyd County,110,105,,,101,99
2020-02-15,Fountain County,113,83,,,,
2020-02-15,Franklin County,116,112,,,100,
2020-02-15,Fulton County,105,97,,,90,
2020-02-15,Gibson County,111,95,,105,101,
2020-02-15,Grant County,107,99,,130,101,99
2020-02-15,Greene County,106,109,,,96,
2020-02-15,Hamilton County,107,102,126,,101,99
2020-02-15,Hancock County,109,120,,97,104,99
2020-02-15,Harrison County,111,111,,,102,
2020-02-15,Hendricks County,109,103,,100,101,99
2020-02-15,Henry County,104,106,,105,98,
2020-02-15,Howard County,102,108,,,93,99
2020-02-15,Huntington County,108,102,,,107,
2020-02-15,Jackson County,108,110,,,98,
2020-02-15,Jasper County,104,98,,115,99,
2020-02-15,Jay County,99,108,,,105,
2020-02-15,Jefferson County,111,102,,,105,
2020-02-15,Jennings County,106,102,,,102,
2020-02-15,Johnson County,111,113,,109,101,99
2020-02-15,Knox County,112,107,,,100,
2020-02-15,Kosciusko County,111,102,,,98,99
2020-02-15,LaGrange County,124,109,94,107,96,
2020-02-15,Lake County,107,106,110,115,101,99
2020-02-15,LaPorte County,112,110,113,111,100,100
2020-02-15,Lawrence County,108,101,,,98,
2020-02-15,Madison County,116,106,,102,100,99
2020-02-15,Marion County,109,101,110,101,101,99
2020-02-15,Marshall County,112,101,,98,101,
2020-02-15,Martin County,112,102,,,,
2020-02-15,Miami County,110,106,,,96,
2020-02-15,Monroe County,111,114,123,110,103,99
2020-02-15,Montgomery County,121,105,,,99,
2020-02-15,Morgan County,107,113,,,104,99
2020-02-15,Newton County,102,,,,100,
2020-02-15,Noble County,104,108,,,100,
2020-02-15,Orange County,117,102,,,97,
2020-02-15,Owen County,122,106,,,110,
2020-02-15,Parke County,115,105,,,,
2020-02-15,Perry County,109,107,,,98,
2020-02-15,Pike County,,106,,,,
2020-02-15,Porter County,109,105,119,113,101,99
