geo_type,region,transportation_type,alternative_name,sub-region,country,2020-01-13,2020-01-14,2020-01-15,2020-01-16,2020-01-17,2020-01-18,2020-01-19,2020-01-20,2020-01-21,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12,2020-10-13,2020-10-14,2020-10-15,2020-10-16,2020-10-17,2020-10-18,2020-10-19,2020-10-20,2020-10-21,2020-10-22,2020-10-23,2020-10-24,2020-10-25,2020-10-26
city,Fort Wayne,driving,Ft. Wayne,Indiana,United States,100,104.79,106.52,108.71,126.47,120.48,85.88,98.53,98.52,102.05,103.69,122.4,118.89,79.56,93.94,100.18,100.99,105.28,123.86,123.73,82.23,95.6,102.32,101.76,96.15,119.32,124.52,81.09,99.35,107.43,104.81,106.05,139.38,143.18,98.64,103.55,104.06,107.67,110.01,133.28,138.32,90.26,101.14,105.89,97.64,109.69,139.88,151.72,99.41,106.43,114.61,116.28,120.97,136.05,147.95,96.26,103.78,108.74,105.61,104.01,115.45,103.17,71.86,86.04,84.42,79.47,79.62,90.18,70.94,51.07,69.32,69.71,57.75,59.94,66.25,53.22,44.84,60.43,63.51,65.15,69.75,78.47,62.63,50.74,68.92,70.91,74.7,71.44,81.54,69.7,43.72,69.2,75.56,78.35,84.32,79.04,80.8,64.23,88.83,86.53,89,92.63,104.97,88.39,72.11,92.65,94.58,92.62,94.63,116.83,103.03,79.22,102.45,105.16,109.06,117.44,127.74,120.56,78.66,,,126.54,122.51,144.39,137.29,92.36,118.59,127.3,135.19,143,160.64,140.29,111.37,103.83,150.45,146.01,149.27,170.59,151.26,111.12,142.94,150.45,145.39,157.83,176.9,163.05,120.72,149.71,149.16,152.38,167.91,185.99,168.99,130.27,159.42,162.63,167.13,172.55,195.3,172.63,120,156.98,163.93,169.19,178.64,193.98,198.09,140.84,160.42,165.26,170.66,179.01,168.19,128.86,122.45,160.96,166.51,169.03,178.49,207.34,201.85,144.84,164.96,167.1,170.69,173.17,208.33,206.27,138.67,161.23,160.83,166.07,175.75,205.99,200.61,141.55,156.98,167.71,172.52,177.2,196.46,177.49,133.47,165.81,170.1,169.97,177.37,201.89,192.99,139.03,154.63,166.7,169.76,170.73,199.39,187.86,136.43,155.65,159.33,166.48,170.97,201.52,193.61,134.13,152.26,158.68,160.52,164.61,186.21,178.86,125.63,147.9,155.7,156.88,171.34,199.58,173.35,129.65,119.2,153.04,158.88,165.66,195.4,193.12,131.13,148.06,156.75,161.27,164.69,194.45,191.38,128.2,142.31,149.68,150.46,154.83,188.17,183.73,127.15,135.12,144.96,141.98,150.15,183.93,174.02,113.36,137.93,142.69,143.19,150.57,182.47,176.98,124.47,130.74,143.22,143.44,147.45,178.12,168.16,113.2,130.21,139.98,142.23,151.69,173.16,171.67,111.12,126.95
city,Fort Wayne,walking,Ft. Wayne,Indiana,United States,100,121.84,109.79,119.53,151.74,153.76,88.28,96.48,102.7,100.63,105.83,144.26,135.87,85.2,103.62,104.39,98.07,99.57,137.13,136.21,94.21,107.23,109.35,110.27,100.82,127.87,150.24,79.75,108,106.41,113.55,114.9,151.98,170.68,114.08,99.23,106.36,120.01,120.4,139.34,161.48,100.63,107.09,116.97,108.34,112.49,151.93,176.52,111.96,109.21,119.19,114.61,138.28,144.02,196,113.07,114.85,116.44,110.56,109.26,135.2,129.46,89.68,96.38,104.29,85.87,84.96,96.09,83.65,62.92,81.63,82.11,78.83,86.45,90.94,71.46,59.59,76.13,77.1,82.55,101.59,113.65,89.39,77.63,106.56,99.71,123.05,86.98,97.16,98.31,67.7,75.36,94.26,85.1,105.21,90.65,108.15,83.08,124.25,105.26,98.41,101.59,146.38,112.49,99.18,118.9,123.1,111.43,99.42,150.77,151.21,113.36,131.63,120.68,152.94,149.66,149.61,145.03,91.95,,,158.87,152.31,188.14,202.94,113.65,144.41,164.8,173.67,191.51,223.05,205.26,176.42,161.38,211.96,203.52,202.03,227.43,234.72,154.77,197.78,189.59,183.03,197.2,243.68,233.51,163.5,193.88,190.74,198.75,214.37,235.34,229.85,181.34,205.21,231.53,211.76,214.42,244.84,239.49,151.54,199.66,219.43,215.96,230.14,252.41,274.25,198.36,205.16,231.63,209.64,220.83,225.6,179.17,143.54,208.2,219.05,210.8,224.64,287.22,272.32,179.65,208.49,208.87,215.48,223.34,272.47,294.5,189.83,207.86,192.82,214.66,229.07,289.83,283.22,175.84,192.43,217.26,219.09,226.66,258.15,252.8,170.83,219.72,236.74,214.42,230.62,267.16,284.62,191.71,204.92,208.82,223.14,225.07,265.53,268.27,179.99,201.01,216.78,232.4,243.73,285.68,298.84,175.02,206.61,214.32,215.33,231.49,239.83,265.14,168.8,196.96,206.89,208.29,213.74,262.63,255.01,173.77,159.98,204.58,217.5,204.63,259.93,269.82,174.16,182.35,211.76,210.27,212.73,273.82,294.46,168.18,174.4,191.42,190.89,201.69,250.05,270.01,156.27,167.89,180.57,158.78,187.95,233.32,259.93,149.08,168.61,180.09,197.06,197.88,238.77,244.31,155.3,172.03,192.82,187.61,182.02,222.42,232.35,145.03,159.26,170.97,171.41,195.03,227.68,256.32,144.21,159.84
city,Indianapolis,driving,,Indiana,United States,100,102.68,105.5,106.26,122.55,113.71,81.33,98.72,100.42,105.09,105.67,122.55,117.7,82.12,94.65,100.79,101.82,103.45,123.39,121.24,81.73,96.49,102.05,101.97,102.85,119.07,119.77,87.05,102.29,107.24,104.61,107.69,131.68,126,92.09,105.09,107.53,110.68,122.98,134.18,135.73,91.15,101.24,108.59,107.35,113.92,136.74,140.46,95.71,107.45,118.23,117.31,123.36,135.88,137.01,94.68,103.08,108.3,108.11,105.94,113.23,89.56,69.81,80.95,75.41,68.84,67.35,77,61.25,44.33,61.66,61.14,54.52,55.69,60.01,51.39,42.86,58.77,57.88,58.69,62.68,70.96,57.49,45.68,63.07,65.06,67.27,68.02,76.72,66.36,40.97,66.58,69.5,72.89,76.96,77.95,79.15,58.83,81.21,80.26,83.45,76.59,98.45,79.61,63.28,85.39,87.44,80.76,85.87,105.56,98.27,71.76,94.17,88.73,96.63,102.25,109.07,106.06,73.72,,,106.73,107.18,122.86,118.58,84.88,110.78,111.08,118.16,124.86,149.2,122.83,99.25,98.17,126.84,125.68,127.34,146.06,139.26,98.63,123.82,131.8,126.7,134.06,153.63,150.29,112.23,132.72,131.96,136.54,146.88,163.94,150.57,118.04,139.27,142.18,146.76,153.17,176.81,160.91,109.88,138.18,146.64,151.46,157.94,180.38,158.65,123.78,142.72,149.96,157.57,165.93,158.37,126.94,117.17,148.61,153.24,157.22,165.39,186.21,175.93,132.65,148.16,154.32,158.7,160.3,187.1,180.94,126.52,146.51,148.47,148.3,161.39,187.67,178.77,132.93,141.83,157.86,155.26,149.28,173.31,157.47,125,145.65,150.75,150.05,155.17,178.9,168.93,125.27,135.94,145.78,148.37,153.41,178.19,174.68,126.12,142.58,143.52,150.89,154.45,181.39,171.23,120.93,137.25,141.59,143.04,145.78,165.86,161.64,117.98,131.46,139.13,140.97,151.79,176.76,162.28,121.77,109.61,138.53,140.03,145.34,170.82,168.38,118.52,132.11,137.79,143.83,149.65,175.06,169.06,118.84,130.57,132.91,135,142.04,168.16,169.92,118.65,120.4,127.97,129.46,139.13,162.57,159.96,107.26,125.35,129.52,132.86,138.69,163.36,157.97,111.56,120.05,124.95,129.71,127.81,157.93,149.89,106.16,115.79,120.92,124.03,138.86,150.96,152.18,103.5,117.52
city,Indianapolis,transit,,Indiana,United States,100,96.11,94.9,92.57,99.98,90.05,78.82,93.45,98.23,98.49,92.43,104.68,93.85,78.28,96.11,95.11,98.25,95.81,98.76,113.89,76.86,97.81,98.51,100.56,98.11,106.34,101.54,83.01,102.19,101.05,97.48,88.23,105.8,99.88,87.46,102.56,106.92,106.15,100.51,109.37,103.61,81.66,96.92,104.29,94.8,93.99,103.89,106.64,88.25,104.5,104.92,100.7,112.26,98.67,101.33,78.54,95.27,97.04,97.53,88.44,91.24,67.42,65.04,72.92,63.85,56.75,57.33,57.73,44.07,42.18,49.9,48.96,48.85,47.31,42.81,41.72,35.38,48.12,48.12,45.7,50.03,51.88,45.61,40.95,53.83,54.91,52.27,49.13,53.02,42.72,34.07,43.21,47.31,46.42,47.54,48.68,52.34,42.81,53.97,53.93,57.17,46.7,54.7,46,44.44,55,54.95,50.85,49.97,58.89,60.24,49.66,61.03,51.39,52.65,58.08,55.91,55.35,43.02,,,55.72,56.79,60.64,61.69,49.01,64.34,60.06,55.07,58.08,68.28,60.89,60.27,56.16,64.9,67.68,62.71,69.84,66.37,53.97,62.36,65.21,66.95,67.49,75.53,70.57,59.36,71.34,65.28,70.82,71.22,74.62,71.43,61.08,71.31,69.68,75.55,75.46,77.51,79.12,61.08,71.48,72.9,69.26,72.27,81.52,71.48,65.95,73.18,75.32,78.37,76.44,76.56,66.81,60.2,80.4,78,76.37,82.17,83.17,79.42,65.09,76.16,75.79,75.79,77.72,82.43,85.69,61.55,73.95,73.29,72.08,76.84,80.54,81.54,71.27,72.66,77.44,74.34,63.92,75.18,68.73,61.59,72.66,73.57,76.18,71.13,78.72,74.71,61.97,67.16,72.03,71.73,69.7,80.05,75.02,58.82,68.87,67.49,68.21,74.99,79.47,78.54,67.09,72.08,72.01,69.59,66.6,73.69,69.98,58.1,67.23,60.85,70.15,73.55,74.85,75.65,58.91,58.03,68.98,70.85,66.46,74.55,73.62,54.18,67.3,67.84,72.59,78.14,80.14,88.42,66.93,73.46,77.46,71.41,73.53,79.1,81.89,59.57,67.02,67.02,68,68.7,73.04,69.59,58.59,69.14,69.7,70.31,71.38,81.08,73.04,61.57,64.09,68.26,63.69,64.16,74.43,68.14,54.84,62.95,64.16,63.71,66.95,71.22,68.56,49.36,66.14
city,Indianapolis,walking,,Indiana,United States,100,101.95,97.32,100.88,144.5,157.81,86.6,92.14,91.93,94.7,94.32,131.54,166.42,89.1,85.92,92.96,99.55,105.19,132.81,153.94,93.24,96.68,89.08,85.22,88.67,121.61,153.79,113.74,95.65,98.66,96.35,91.08,133.78,151.73,98.39,103.83,114.98,106.84,104.7,142.61,180.06,96.97,93.09,105.9,108.45,117.25,141.71,178.15,113.59,102.94,117.84,126.72,124.42,128.59,173.27,110.74,101.5,109.11,112.82,101.85,114.45,96.97,72.32,74.79,77.8,62.95,62.99,72.21,57.94,45.11,59.16,59.75,66.4,62.31,58.7,57.89,50.69,65.68,57.82,59.34,73.48,77.79,62.78,53.7,74.51,80.2,76.96,67.34,76.36,73.61,44.93,61.17,62.65,64.74,69.29,67.79,81.25,62.8,83.9,77.61,84.63,66.22,97.31,81.58,65.2,88.96,94.17,72.37,76.41,107.39,108.56,76.94,97.91,86.05,102.28,105.28,108.78,110.46,75.49,,,117.56,121.27,138.82,141.58,102.17,122.52,121.31,130.48,141.96,175.13,146.59,119.33,122.55,147.1,147.12,144.38,181.54,191.63,117.76,140.15,145.75,143.56,149.88,163.58,178.58,124.32,144.71,139.59,146.84,165.56,187.99,176.72,137.67,154.77,161.06,163.54,167.29,202.51,189.15,117.89,153.85,168.11,176.17,181.7,210.28,183.74,145.52,152.41,165.86,176.5,183.89,189.52,153.14,131.95,180.47,174.68,179.38,188.87,231.44,221.64,152.74,164.27,172.38,173.61,173.25,228.23,241.97,139.82,158.91,160.82,161.54,184.69,227.18,225.99,153.98,147.07,165.72,172.4,154.28,205.12,200.65,148.7,157.72,173.51,174.76,175.03,212.26,207.11,142.57,148.85,166.11,165.26,172.94,214.91,231.24,152.72,159.54,163.01,172.32,178.27,226.1,222.99,146.41,160.48,164.81,162.74,162.88,195.32,208.01,140.61,148.47,154.65,157.83,169.25,223.47,237.87,169.7,129.22,153.01,152.27,156.33,196.82,209.62,131.69,143.22,150.31,158.83,161.27,203.35,217.21,137.74,142.01,149.11,148.84,156.16,200.41,222.58,138.58,126.8,144.28,142.74,151.53,188.97,196.18,114.2,137.98,144.35,148.84,157.97,194.62,205.14,129.73,127.64,144.01,144.98,139.2,180.98,188.61,126.12,125.62,129.37,138.33,157.06,175.12,192.35,109.44,123.47
county,Adams County,driving,,Indiana,United States,100,109.33,104.47,108.94,126.77,105.93,73.28,94.13,114.98,107.77,110.34,128.28,116.32,73.45,93.4,100.11,100.89,107.32,118.78,118.73,76.69,93.57,103.91,107.43,93.68,119.96,115.87,72.83,103.41,112.52,107.94,88.26,137.17,153.88,83.45,96.65,97.88,112.24,113.53,129.9,126.22,87.03,101.79,110.23,96.25,102.12,136.44,131.3,85.3,106.93,110.12,121.74,120.51,128.68,139.8,85.13,97.82,105.14,106.37,98.83,111.51,102.24,71.32,91.22,87.7,84.68,84.96,91.62,75.52,49.19,77.19,76.36,67.13,67.58,73.23,56.23,45.78,70.15,68.81,80.27,73.5,87.14,64.23,57.13,82.62,75.35,84.52,80.77,84.35,68.59,40.92,76.41,84.91,75.18,92.01,85.75,82.34,75.35,96.93,96.31,98.1,97.82,108.66,97.99,73.34,101.51,108.89,100.11,98.71,135.61,120.91,78.98,113.14,117.89,127.78,122.3,147.18,130.24,93.24,,,133.37,124.76,144.61,138.85,87.87,124.15,135.22,139.46,155.84,166.18,139.41,104.19,105.7,158.52,140.75,151.59,168.87,168.42,116.77,135.1,142.37,140.69,166.96,200.56,152.43,119.9,154.89,167.3,152.1,178.98,204.47,176.97,157.97,161.77,177.53,174.68,203.91,221.63,237.67,132.92,172.11,176.52,178.76,204.97,231.25,220.85,151.93,176.97,172.28,209.67,205.03,197.88,152.66,149.8,162.94,183.57,173.23,202.74,215.37,256.79,144.94,162.94,171.6,195.58,168.7,220.85,217.61,138.85,173.84,166.96,163.61,179.04,222.3,213.08,153.55,155.95,181.16,178.54,192.4,208.55,162.27,119.56,165.18,181.78,170.99,179.99,198.16,200.28,139.02,160.31,166.74,159.87,174.29,184.24,190.72,125.66,157.52,162.88,166.96,171.77,181.22,170.65,131.97,148.8,166.63,148.57,168.64,190.22,176.19,117.61,152.49,158.47,165.74,176.97,191.56,166.46,126.1,113.81,160.2,156.46,173.5,189.77,183.51,121.46,153.66,147.74,165.23,166.18,192.85,179.15,112.24,148.57,154.16,155.11,156.4,183.68,178.37,116.43,145.05,128,142.54,161.88,171.83,185.97,98.71,142.26,140.64,151.31,152.49,190.78,186.31,117.94,132.2,121.19,130.8,148.13,176.8,163.44,108.94,133.37,136.11,126.1,139.91,169.65,154.72,98.94,123.7
county,Allen County,driving,,Indiana,United States,100,105.1,107.17,109.4,127.91,119.97,86.54,99.43,98.84,102.73,104.08,123.36,119.26,80.45,94.42,100.61,101.38,106.01,124.85,124.66,82.95,95.81,102.59,102.31,96.42,119.57,124.39,82.01,99.83,107.68,106.12,106.32,140.22,143.98,99.6,104.62,104.75,108.01,111.55,134.61,139.09,91.46,101.66,106.43,97.6,109.45,140.35,151.39,100.36,106.58,114.72,116.21,121.14,137.25,148.42,97.28,104.47,109.14,105.89,104.22,116.73,104.26,72.73,87.23,85.45,80.28,80.43,90.99,71.62,51.33,70.13,70.17,58.32,60.58,66.2,53.46,44.74,61.07,64.43,65.64,70.09,78.9,63.09,50.67,69.53,71.15,75.15,71.86,81.47,69.88,43.56,69.65,76.17,78.33,84.38,79.1,80.85,64.57,89.51,86.89,89.38,92.81,105.25,88.61,72.31,93.07,94.83,92.8,95.39,117.54,103.58,79.36,103.05,105.2,109.66,118.01,128.46,121.06,79.1,,,126.63,123.08,144.34,138.21,92.52,118.49,127.24,135.79,143.95,161.63,140.8,111.75,105.11,150.43,146.21,149.48,171.61,151.71,111.56,143.72,152.31,146.4,159.37,179.05,164.59,122.35,150.46,150.06,152.84,168.75,187.45,170.44,131.61,159.76,162.9,167.85,173.6,196.72,174.44,121.57,157.94,164.77,170.26,179.26,195.84,199.3,142.77,161.25,165.62,171.71,180.68,170.05,129.67,125,161.67,166.85,170,179.77,208.77,202.68,146.69,167.01,168.52,172.66,175.51,210.84,208.09,141.4,163.04,161.21,167.02,176.89,208.2,201.32,143.91,157.32,168.44,173.63,178.64,198.28,178.5,135.62,166.61,170.62,171.08,178.3,203.48,194.78,140.76,155.65,167.01,169.9,171.89,201.17,189.02,138.66,156.71,160.2,167.37,172.18,202.94,194.37,135.16,152.23,158.49,160.46,164.79,187.27,179.64,126.35,148.42,155.92,156.99,171.81,201.66,174.15,130.59,121.23,153.84,158.64,166.34,195.74,193.48,131.89,148.22,156.92,161.59,165.55,195.92,192.59,129.37,142.98,150.11,150.56,155.2,189.52,184.44,128.88,135.77,145.54,142.02,150.43,184.89,175.11,114.14,138.29,142.77,143.43,151.07,183.33,177.95,125.16,131.02,143.55,143.51,147.74,178.47,168.54,114.04,130.89,140.05,141.89,151.66,175.36,172.1,112.01,127.84
county,Allen County,walking,,Indiana,United States,100,122.45,110.2,119.27,151.68,153.68,88.7,97.1,103.13,101,105.7,145.85,137.16,85.52,103.94,104.65,98.72,100.62,137.21,139.2,95.06,107.74,109.25,111.2,101.52,128.71,150.21,80.68,108.83,106.74,113.95,114.81,152.54,171.81,115.33,100.14,106.41,120.79,121.88,139.3,160.99,100,107.12,118.7,108.45,114.29,152.16,176.13,111.44,110.73,120.84,115.38,137.59,144.52,195.87,113.95,115.61,116.8,112.58,110.16,134.79,129.47,89.32,97.1,105.03,86.95,87,97.2,83.96,64.31,82.72,83.72,80.26,87,90.79,72.09,60.84,76.98,77.79,82.63,101.38,115.05,90.08,77.55,107.5,101.09,124.44,88.7,98.1,99.1,70.95,75.84,97.2,86.47,105.89,91.46,108.97,83.72,128,105.7,99.67,102.52,146.32,114.52,99.1,119.84,123.68,112.15,100.24,152.49,152.4,115.19,133.79,121.83,155.91,150.74,154.53,146.65,92.88,111.96,108.83,160.47,153.39,190.22,203.75,115.09,144.47,164.5,174.75,194.02,225.06,207.36,177.46,162.22,212.43,206.22,202.9,229.38,235.41,156.57,199.29,192.55,185.38,198.81,245.99,234.6,164.78,195.68,192.83,199.76,217.66,235.79,232.56,181.11,207.21,236.45,214.1,217.18,246.99,239.63,151.68,199.91,220.88,217.51,230.09,253.2,276.13,200.62,207.02,231.51,210.87,221.69,227.24,182.63,143.66,207.69,220.08,212.67,226.53,287.33,274.66,182.2,209.3,210.35,219.51,226.34,273.8,296.25,190.13,210.73,192.79,215.85,230.19,291.08,284.39,176.41,194.78,217.42,221.78,227.2,258.9,252.11,170.91,224.35,238.97,219.41,232.37,268.15,284.62,191.5,210.16,210.3,222.97,229.14,267.68,271.76,180.11,201.99,217.18,233.65,244.52,286.71,302.61,177.17,206.6,214.14,215.99,232.65,240.48,266.02,168.72,197.1,208.54,208.59,215.38,263.6,256.53,172.62,160.28,206.17,220.22,205.89,260.56,271.52,174.42,182.68,215,211.77,214.05,279.02,296.01,163.08,178.36,193.36,193.45,204.08,254.2,272.33,158.28,171.57,183.44,160.7,192.12,233.98,263.55,150.21,169.53,181.3,198.86,199,238.87,245.89,156.95,174.99,194.64,187.8,182.91,223.4,234.79,145.66,161.37,172.24,172.52,196.49,228.9,258.57,144.38,163.22
county,Bartholomew County,driving,,Indiana,United States,100,94.89,93.15,95.19,110.49,106.03,76.16,89.58,86.8,84.7,95.09,109.03,106.91,78.09,83.92,90.91,87.28,91.96,116.61,108.7,74.36,85.7,91.32,87.66,102.26,102.92,98.74,86.69,92.55,92.04,100.79,97.55,127.39,133.23,87.42,102.21,93.29,98.56,103.82,129.8,131.33,91.69,91.41,99.93,92.21,105.88,127.9,130.07,101.82,96.24,107.83,103.39,110.11,135.67,143.52,112.32,102.1,103.4,102.68,107.53,120.19,97.79,77.24,77.88,74.33,68.3,67.29,78.71,74.84,53.38,62.38,58.2,53.88,56,58.7,52.33,44.68,62.32,57.34,58.35,59.51,65.36,56.78,44.83,60.06,56.68,62.05,60.5,67.69,58.16,34.16,63.43,62.62,68.48,73.42,74.24,75.75,57.8,77.84,71.7,77.66,69.27,94.42,68.52,59.74,78.46,80.97,79.76,83.05,99.4,94.66,67.27,91.29,81.6,90.44,96.35,107.08,106.92,76.03,,,107.77,141.22,115.3,117.47,88.6,108.33,105.32,113.31,125.81,154.66,135.76,115.01,116.94,128.21,121.56,131.77,153.94,151.16,117.89,130.68,135.76,132.77,135.91,163.03,161.83,133.67,138.34,128.82,140.21,148.81,178.39,179.33,159.07,142.68,145.45,144.91,155.85,237.29,247.31,168.63,149.51,148.04,153.93,162.25,220.23,228.82,166.71,156.38,154.47,158.03,177.32,195.95,167.01,194.14,159.27,150.89,154.45,191.7,208.24,219.13,164.52,151.62,150.62,153.89,151.96,205.84,226.17,169.96,154.04,145.78,146.44,164.31,211.2,229,171.9,147.3,150.74,152.14,158.43,216.58,195.62,160.81,164.67,150.8,155.93,168.02,210.16,243.73,175.96,144.67,144.52,141.62,153.58,192.34,212.71,159.38,149.4,140.36,150.88,152.32,181.03,207.38,147.01,137.05,140.32,137.5,144.61,158.6,168.3,133.99,129.63,131.23,133.51,147.71,202.9,201.4,155.95,195.75,134.97,141.17,141.46,184.08,222.14,155.84,130.65,130.21,133.04,145.24,177.74,205.72,151.48,129.04,125.91,138.47,140.61,180.54,222.41,144.65,119.74,125.09,124.04,132.89,167.27,194.7,132.03,124.15,126.13,128.98,142.74,182.36,205.77,142.85,127.51,125.71,131.7,134.29,179.43,208.88,136.68,117.73,125.69,129.16,155.77,169.1,191.69,131.65,114.79
county,Boone County,driving,,Indiana,United States,100,105.19,104.07,110.23,131.96,118.39,89.52,111.51,100.69,104.33,108.18,129.35,118.07,88.86,96.51,103.41,104.85,108.76,132.23,120.45,90.48,101.22,107.16,103.36,103.16,124.96,126.18,102.66,106.14,111.31,107.63,111.4,141.38,127.6,101.5,119.14,111.53,112.86,125.35,148.85,151.82,110.06,105.85,109.91,101.08,119.17,145.73,147.94,113.88,105.04,117.68,118.4,126.75,150.62,147.2,112.52,107.29,108.73,114.35,110.05,131.48,98.29,86.07,92.96,85.54,80.48,75.53,91.9,74,51.37,67.07,74.57,62.89,63.53,67.31,56.1,46.82,66.53,63.17,64.35,71.48,82.61,58.37,50.19,68.11,75.19,76.9,73.24,84.77,66.76,38.88,68.77,75.49,72.19,81.88,81.5,78.29,60.35,83.66,84.42,91.84,82.47,108.52,81.43,66.69,87.35,91.5,86.14,90.71,117.21,104.61,79.83,105.95,97.45,102.3,114.27,118.28,118.19,75.83,,,117.63,119.64,132.73,125.09,93.62,123.17,132.4,132.81,141.88,167.98,128.51,112.49,118.51,140.33,135.84,139.65,157.05,145.89,118.17,139,144.67,149.7,157.74,178.13,160.11,129.01,148.6,151.6,146.88,165.02,188.34,169.13,139.64,158.92,158.95,160.57,174.42,204.84,178.35,128.35,167.93,167.3,173.63,182.3,204.49,171.71,151.32,160.69,162.36,179.86,185.89,176.48,132.92,145.87,173.42,169.52,174.5,189.78,213.67,189.84,157.96,165.79,167.98,171.43,175.57,209.54,183.24,151.09,160.26,157.75,161.92,179.91,213.27,193.24,166.84,157.42,180.82,180.99,173.82,197.75,171.41,180.38,188.78,173.73,168.76,174.68,211.62,181.54,152.12,158.96,163.21,165.41,172.37,210.01,190.1,167.8,175.16,175.74,172.14,172.91,203.02,188.93,137.86,240.47,157.26,154.74,153.23,190.04,176.38,136.09,143.91,148.06,151.23,166.47,209.68,176.52,133.95,134.41,160.76,151.88,168.09,192.88,183.02,133.24,147.5,165.68,160,158.18,198.43,178.4,141.42,150.03,148.23,150.42,162.97,193.55,186.69,142.55,135.31,139.87,142.41,153.71,184.48,191.46,131.85,132.33,140.19,141.34,151.67,191.44,176.06,130.04,130.36,135.8,136.8,200.64,194.65,158.47,118.14,128.23,135.87,139.67,149.18,173.69,163.87,116.85,127.28
