,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92
geo_type,city,city,city,city,city,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county,county
region,Fort Wayne,Fort Wayne,Indianapolis,Indianapolis,Indianapolis,Adams County,Allen County,Allen County,Bartholomew County,Boone County,Brown County,Carroll County,Cass County,Clark County,Clay County,Clinton County,Daviess County,DeKalb County,Dearborn County,Decatur County,Delaware County,Delaware County,Dubois County,Elkhart County,Floyd County,Fountain County,Franklin County,Fulton County,Gibson County,Grant County,Greene County,Hamilton County,Hamilton County,Hancock County,Harrison County,Hendricks County,Henry County,Howard County,Huntington County,Jackson County,Jasper County,Jay County,Jefferson County,Jennings County,Johnson County,Knox County,Kosciusko County,LaGrange County,LaPorte County,Lake County,Lake County,Lawrence County,Madison County,Marion County,Marion County,Marion County,Marshall County,Miami County,Monroe County,Monroe County,Montgomery County,Morgan County,Newton County,Noble County,Owen County,Porter County,Posey County,Putnam County,Randolph County,Ripley County,Rush County,Scott County,Shelby County,Spencer County,St. Joseph County,St. Joseph County,Starke County,Steuben County,Sullivan County,Tippecanoe County,Tippecanoe County,Tipton County,Vanderburgh County,Vanderburgh County,Vermillion County,Vigo County,Wabash County,Warrick County,Washington County,Wayne County,Wells County,White County,Whitley County
transportation_type,driving,walking,driving,transit,walking,driving,driving,walking,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,walking,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,walking,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,walking,driving,driving,driving,transit,walking,driving,driving,driving,walking,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,driving,walking,driving,driving,driving,driving,walking,driving,driving,walking,driving,driving,driving,driving,driving,driving,driving,driving,driving
alternative_name,Ft. Wayne,Ft. Wayne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sub-region,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana,Indiana
country,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States
2020-01-13,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2020-01-14,104.79,121.84,102.68,96.11,101.95,109.33,105.1,122.45,94.89,105.19,96.24,110.33,107.85,108.32,101.63,98.6,105.89,102.76,95.89,105.0,104.04,114.3,100.13,100.96,94.46,88.74,104.83,104.79,113.65,103.11,101.01,104.58,116.35,96.1,108.97,98.63,109.64,104.26,108.77,107.12,91.95,96.77,100.06,114.53,108.61,96.22,109.7,101.16,105.58,104.89,97.47,103.98,102.67,102.36,95.1,97.98,106.19,103.87,93.71,84.69,112.11,98.68,100.62,105.18,86.27,107.23,98.97,106.16,101.45,109.16,92.57,103.12,101.33,106.56,98.58,136.64,98.92,106.5,109.73,100.86,97.65,105.93,103.86,109.32,100.0,107.4,102.13,99.63,100.28,108.37,106.6,103.85,101.16
2020-01-15,106.52,109.79,105.5,94.9,97.32,104.47,107.17,110.2,93.15,104.07,110.44,106.84,104.41,103.01,99.8,96.52,112.35,99.11,98.15,108.26,105.12,104.06,96.48,100.25,102.0,96.72,103.7,99.55,108.13,99.04,103.79,107.61,109.9,98.41,118.26,101.0,101.01,99.19,119.34,90.93,99.2,90.58,110.22,117.11,106.92,91.43,101.92,108.89,101.74,104.49,95.19,112.43,101.66,105.52,91.57,92.99,103.66,111.18,84.15,49.39,107.32,94.97,98.32,108.96,84.04,108.01,112.17,97.12,109.56,104.09,106.37,93.54,101.95,102.21,97.45,132.08,107.14,102.83,93.4,94.62,68.47,100.37,107.42,106.47,101.41,104.35,102.46,102.72,91.09,104.08,93.04,98.87,103.04
2020-01-16,108.71,119.53,106.26,92.57,100.88,108.94,109.4,119.27,95.19,110.23,98.97,104.9,113.51,104.68,106.62,97.68,115.13,107.25,104.51,105.72,113.7,100.39,110.19,102.11,99.63,95.01,107.09,99.87,124.03,106.41,107.59,109.01,111.28,99.38,124.14,102.08,115.81,102.51,118.61,99.3,107.68,94.17,106.89,110.22,107.93,100.49,111.13,108.7,105.06,108.5,102.87,109.57,105.07,105.87,88.28,98.3,112.48,113.77,86.82,46.71,114.78,101.86,107.33,103.64,99.7,109.21,96.14,105.27,108.49,108.94,97.3,106.18,105.72,122.12,100.85,108.37,110.6,117.04,102.87,96.28,58.14,113.18,107.3,99.75,107.64,111.36,112.7,109.36,108.21,107.11,97.54,101.62,111.93
