county,median_gross_rent,average_household_size,building_permits_number,percent_households_with_computer,percent_households_with_broadband_internet,dollars_per_capita_income_in_past_12_months_2018,population_per_square_mile,median_household_income,2019_population_estimate,2010_population,percent_housing_units_in_multi_unit_structures,percent_under_65_without_health_insurance,percent_under_65_with_disability
Adams,607,2.78,91,76.4,67.3,22514,101.4,51713,35636,34387,14.4,11.6,8
Allen,744,2.54,1641,89.3,80.7,28239,540.6,53402,375351,355329,20.5,9.7,9.3
Bartholomew,898,2.56,170,86.4,77.1,30515,188.7,59045,82753,76794,14.6,9.9,8.1
Benton,689,2.51,16,88.1,73.8,23322,21.8,46188,8653,8854,8.4,11.3,15
Blackford,623,2.29,3,82.3,68.5,24663,77.3,42217,11930,12766,10.8,8.6,16.1
Boone,985,2.58,477,92.2,85.8,44712,133.9,80567,66999,56640,13.7,6.7,6.7
Brown,860,2.44,84,88.8,72.6,33617,48.9,61455,15234,15242,2.7,10.5,9.3
Carroll,678,2.52,51,86.2,74.8,28430,54.1,56429,20127,20155,7.3,10.2,10.3
Cass,654,2.52,5,85.6,73.3,23918,94.5,47545,37955,38966,11.4,13.2,10.3
Clark,813,2.57,753,87.2,74.9,28525,295.6,54240,117360,110232,17.9,8.6,9.6
Clay,678,2.45,2,83.7,73.9,25290,75.2,53021,26170,26890,7.1,8.4,13.4
Clinton,707,2.64,32,87.4,75,24276,82,52488,32250,33224,12.7,11.7,10.7
Crawford,653,2.68,24,77.3,61.2,21021,35.1,43875,10558,10713,3.7,11.5,15
Daviess,677,2.83,115,75.7,65.5,22548,73.7,51032,33147,31648,7.8,17.9,9.3
Dearborn,737,2.62,58,88.8,79.8,29891,164.1,65096,49568,50047,11.5,7.3,8.5
Decatur,796,2.51,119,86.4,71.8,26515,69.1,54622,26794,25740,12,8.1,9.5
DeKalb,686,2.52,52,87.3,77.7,27036,116.4,53808,43226,42223,14.6,8.3,10.1
Delaware,714,2.35,72,87.5,76.2,24234,300.1,42705,114772,117671,21,9,11.9
Dubois,661,2.5,351,85.5,78.3,28932,98,58994,42565,41889,12.3,8.9,7.3
Elkhart,777,2.77,17,84.9,77,25075,426.5,55399,205560,197559,18.6,14.2,9.6
Fayette,696,2.39,206,81.7,66.8,23627,112.9,43317,23047,24277,14.9,9.6,14.2
Floyd,786,2.57,51,87.6,76.8,32299,504.1,61754,77781,74578,17.3,6.9,9
Fountain,656,2.32,69,84.2,74.7,26721,43.6,49887,16351,17240,6.7,8.6,12.6
Franklin,741,2.59,19,82.3,70,27557,60.1,58382,22736,23087,7.1,8.9,8.4
Fulton,653,2.54,133,85.3,72.3,25106,56.6,49333,20092,20836,7.3,11.4,10.9
Gibson,670,2.47,74,85.9,76.7,27137,68.7,52620,33452,33503,9.9,6.7,10.7
Grant,682,2.36,3005,84,69,21739,169.2,42593,65936,70061,14.6,8.6,14.5
Greene,617,2.5,638,80.3,69,24309,61.1,49177,32006,33165,6.8,8.9,13
Hamilton,1152,2.69,96,96.7,93.1,46597,696.4,94644,330086,274569,15.9,6.1,5.2
Hancock,887,2.59,935,92.6,83.9,32730,228.8,73142,76351,70002,12.8,6,9.1
Harrison,710,2.7,51,86.3,70.8,27211,81.2,57132,40350,39364,6.8,8.2,12.4
Hendricks,1051,2.72,349,94.5,87.2,34689,357.4,78355,167009,145448,11.2,6.6,6.7
Henry,710,2.45,85,82.6,70.8,23851,126.2,48235,48271,49462,14.8,8,12.4
Howard,699,2.35,168,86.6,76.2,27297,282.4,50869,82366,82752,17.3,8.3,12.5
Huntington,693,2.37,97,86.3,74.8,25386,97,52208,36240,37124,10.4,7.9,9.6
