County,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010
Adams,22232,21840,20503,19957,21254,22393,24643,26871,29619,31095,33625,34387
Allen,77270,93386,114303,146743,155084,183722,232196,280455,294335,300836,331849,355329
Bartholomew,24594,24813,23887,24864,28276,36108,48198,57022,65088,63657,71435,76794
Benton,13123,12688,12206,11886,11117,11462,11912,11262,10218,9441,9421,8854
Blackford,17213,15820,14084,13617,13783,14026,14792,15888,15570,14067,14048,12766
Boone,26321,24673,23575,22290,22081,23993,27543,30870,36446,38147,46107,56640
Brown,9727,7975,7019,5168,6189,6209,7024,9057,12377,14080,14957,15242
Carroll,19953,17970,16315,15049,15410,16010,16934,17734,19722,18809,20165,20155
Cass,34545,36368,38333,34518,36908,38793,40931,40456,40936,38413,40930,38966
Clark,31835,30260,29381,30764,31020,48330,62795,75876,88838,87777,96472,110232
Clay,34285,32535,29447,26479,25365,23918,24207,23933,24862,24705,26556,26890
Clinton,28202,26674,27737,27329,28411,29734,30765,30547,31545,30974,33866,33224
Crawford,13476,12057,11201,10160,10171,9289,8379,8033,9820,9914,10743,10713
Daviess,29914,27747,26856,25832,26163,26762,26636,26602,27836,27533,29820,31648
Dearborn,22194,21396,20033,21056,23053,25141,28674,29430,34291,38835,46109,50047
Decatur,19518,18793,17813,17308,17722,18218,20019,22738,23841,23645,24555,25740
DeKalb,25711,25054,25600,24911,24756,26023,28271,30837,33606,35324,40285,42223
Delaware,49624,51414,56377,67270,74963,90252,110938,129219,128587,119659,118769,117671
Dubois,20357,19843,19915,20553,22579,23785,27463,30934,34238,36616,39674,41889
Elkhart,45052,49008,56384,68875,72634,84512,106790,126529,137330,156198,182791,197559
Fayette,13495,14415,17142,19243,19411,23391,24454,26216,28272,26015,25588,24277
Floyd,30118,30293,30661,34655,35061,43955,51397,55622,61205,64404,70823,74578
Fountain,21446,20439,18823,17971,18299,17836,18706,18257,19033,17808,17954,17240
Franklin,16388,15335,14806,14498,14412,16034,17015,16943,19612,19580,22151,23087
Fulton,17453,16879,16478,15038,15577,16565,16957,16984,19335,18840,20511,20836
Gibson,30099,30137,29201,29202,30709,30720,29949,30444,33156,31913,32500,33503
Grant,54693,51426,51353,51066,55813,62156,75741,83955,80934,74169,73403,70061
Greene,28530,36873,36770,31481,31330,27886,26327,26894,30416,30410,33157,33165
Hamilton,29914,27026,24222,23444,24614,28491,40132,54532,82027,108936,182740,274569
Hancock,19189,19030,17210,16605,17302,20332,26665,35096,43939,45527,55391,70002
Harrison,21702,20232,18656,17254,17106,17858,19207,20423,27276,29890,34325,39364
Hendricks,21292,20840,20291,19725,20151,24594,40896,53974,69804,75717,104093,145448
Henry,25088,29758,34682,35238,40208,45505,48899,52603,53336,48139,48508,49462
Howard,28575,33177,43965,46696,47752,54498,69509,83198,86896,80827,84964,82752
Huntington,28901,28982,31671,29073,29931,31400,33814,34970,35596,35427,38075,37124
Jackson,26633,24727,24228,23731,26612,28237,30556,33187,36523,37730,41335,42376
Jasper,14292,13044,13961,13388,14397,17031,18842,20429,26138,24960,30043,33478
Jay,26818,24961,23318,20846,22601,23157,22572,23575,23239,21512,21806,21253
Jefferson,22913,20483,20709,19182,19912,21613,24061,27006,30419,29797,31705,32428
Jennings,15757,14203,13280,11800,13680,15250,17267,19454,22854,23661,27554,28525
