,date,county,state,country,combined_key,lat,long,fips,cases,deaths
0,1/22/20,Adams,Indiana,US,"Adams, Indiana, US",40.7457653,-84.93671406,18001,0,0
1,1/22/20,Allen,Indiana,US,"Allen, Indiana, US",41.09194313,-85.06800636,18003,0,0
2,1/22/20,Bartholomew,Indiana,US,"Bartholomew, Indiana, US",39.20744865,-85.89558181,18005,0,0
3,1/22/20,Benton,Indiana,US,"Benton, Indiana, US",40.60626947,-87.31093999,18007,0,0
4,1/22/20,Blackford,Indiana,US,"Blackford, Indiana, US",40.47388153,-85.32499702,18009,0,0
5,1/22/20,Boone,Indiana,US,"Boone, Indiana, US",40.0509304,-86.46841646,18011,0,0
6,1/22/20,Brown,Indiana,US,"Brown, Indiana, US",39.19605589,-86.22868909,18013,0,0
7,1/22/20,Carroll,Indiana,US,"Carroll,Indiana,US",40.580783200000006,-86.56198812,18015,0,0
8,1/22/20,Cass,Indiana,US,"Cass, Indiana, US",40.76135835,-86.34830753,18017,0,0
9,1/22/20,Clark,Indiana,US,"Clark, Indiana, US",38.48015445,-85.70510334,18019,0,0
10,1/22/20,Clay,Indiana,US,"Clay, Indiana, US",39.39561833,-87.11723506,18021,0,0
11,1/22/20,Clinton,Indiana,US,"Clinton, Indiana, US",40.30319754,-86.47277257,18023,0,0
12,1/22/20,Crawford,Indiana,US,"Crawford, Indiana, US",38.28814402,-86.44518825,18025,0,0
13,1/22/20,Daviess,Indiana,US,"Daviess, Indiana, US",38.70186039,-87.07185406,18027,0,0
14,1/22/20,DeKalb,Indiana,US,"DeKalb, Indiana, US",41.39804622,-84.99906934,18033,0,0
15,1/22/20,Dearborn,Indiana,US,"Dearborn, Indiana, US",39.14647946,-84.97333539,18029,0,0
16,1/22/20,Decatur,Indiana,US,"Decatur, Indiana, US",39.30712658,-85.50087166,18031,0,0
17,1/22/20,Delaware,Indiana,US,"Delaware, Indiana, US",40.22787247,-85.39732772,18035,0,0
18,1/22/20,Dubois,Indiana,US,"Dubois, Indiana, US",38.36597551,-86.87924170000001,18037,0,0
19,1/22/20,Elkhart,Indiana,US,"Elkhart, Indiana, US",41.59761169,-85.85875695,18039,0,0
20,1/22/20,Fayette,Indiana,US,"Fayette, Indiana, US",39.63684962,-85.17797541,18041,0,0
21,1/22/20,Floyd,Indiana,US,"Floyd, Indiana, US",38.32117957,-85.90385377,18043,0,0
22,1/22/20,Fountain,Indiana,US,"Fountain, Indiana, US",40.12361933,-87.24217689,18045,0,0
23,1/22/20,Franklin,Indiana,US,"Franklin, Indiana, US",39.4142482,-85.06062647,18047,0,0
24,1/22/20,Fulton,Indiana,US,"Fulton, Indiana, US",41.0469907,-86.26252745,18049,0,0
