sub_region_2,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
Marion County,18097,2020-02-15,9,1,10,1,1,-1
Marion County,18097,2020-02-16,8,-1,57,0,0,-1
Marion County,18097,2020-02-17,5,-6,-6,-7,-15,5
Marion County,18097,2020-02-18,4,-2,-1,5,3,0
Marion County,18097,2020-02-19,3,0,6,6,2,0
Marion County,18097,2020-02-20,2,-3,-3,2,1,0
Marion County,18097,2020-02-21,4,-2,7,4,2,0
Marion County,18097,2020-02-22,12,5,75,8,5,-2
Marion County,18097,2020-02-23,9,2,83,2,2,-1
Marion County,18097,2020-02-24,-2,-5,-4,-3,1,2
Marion County,18097,2020-02-25,5,1,-8,2,2,0
Marion County,18097,2020-02-26,2,1,-6,3,0,1
Marion County,18097,2020-02-27,9,0,-6,1,1,0
Marion County,18097,2020-02-28,6,0,-1,6,1,0
Marion County,18097,2020-02-29,16,6,23,7,5,-3
Marion County,18097,2020-03-01,16,7,94,5,3,-3
Marion County,18097,2020-03-02,6,1,3,0,1,1
Marion County,18097,2020-03-03,16,11,25,10,2,-2
Marion County,18097,2020-03-04,14,8,38,8,1,-1
Marion County,18097,2020-03-05,12,6,31,3,2,-1
Marion County,18097,2020-03-06,3,-1,2,1,1,0
Marion County,18097,2020-03-07,15,8,78,12,5,-3
Marion County,18097,2020-03-08,11,5,161,4,2,-2
Marion County,18097,2020-03-09,5,4,29,-3,0,0
Marion County,18097,2020-03-10,7,4,6,-3,0,0
Marion County,18097,2020-03-11,6,7,9,1,-1,0
Marion County,18097,2020-03-12,6,21,13,-5,-2,0
Marion County,18097,2020-03-13,-1,23,24,-6,-12,4
Marion County,18097,2020-03-14,-18,5,-10,-13,-3,4
Marion County,18097,2020-03-15,-13,2,33,-16,-8,3
Marion County,18097,2020-03-16,-10,17,1,-19,-18,7
Marion County,18097,2020-03-17,-24,12,23,-16,-25,9
Marion County,18097,2020-03-18,-32,2,-29,-26,-29,13
Marion County,18097,2020-03-19,-32,7,-24,-33,-32,14
Marion County,18097,2020-03-20,-34,7,-3,-31,-34,15
Marion County,18097,2020-03-21,-44,0,3,-28,-23,10
Marion County,18097,2020-03-22,-49,-18,-17,-45,-31,10
Marion County,18097,2020-03-23,-34,1,-7,-39,-38,15
Marion County,18097,2020-03-24,-35,0,-12,-36,-41,16
Marion County,18097,2020-03-25,-50,-22,16,-41,-47,20
Marion County,18097,2020-03-26,-48,-21,-3,-44,-48,20
Marion County,18097,2020-03-27,-50,-22,-29,-49,-48,23
Marion County,18097,2020-03-28,-55,-24,4,-44,-36,14
Marion County,18097,2020-03-29,-52,-27,17,-49,-38,11
Marion County,18097,2020-03-30,-43,-20,11,-44,-48,18
Marion County,18097,2020-03-31,-45,-19,-31,-42,-49,19
Marion County,18097,2020-04-01,-42,-14,-13,-40,-50,20
Marion County,18097,2020-04-02,-40,-13,23,-42,-51,20
Marion County,18097,2020-04-03,-41,-11,25,-40,-50,20
Marion County,18097,2020-04-04,-50,-16,18,-41,-36,13
Marion County,18097,2020-04-05,-50,-22,15,-50,-40,11
Marion County,18097,2020-04-06,-41,-19,24,-43,-50,18
Marion County,18097,2020-04-07,-39,-12,30,-35,-50,18
Marion County,18097,2020-04-08,-40,-13,32,-38,-51,18
Marion County,18097,2020-04-09,-42,-15,-22,-45,-52,20
Marion County,18097,2020-04-10,-44,-12,-8,-43,-54,22
Marion County,18097,2020-04-11,-45,-5,50,-35,-38,11
Marion County,18097,2020-04-12,-63,-34,-10,-51,-45,11
Marion County,18097,2020-04-13,-45,-20,-24,-48,-49,20
Marion County,18097,2020-04-14,-42,-15,-18,-39,-49,19
Marion County,18097,2020-04-15,-36,-10,-26,-41,-49,20
Marion County,18097,2020-04-16,-38,-12,-13,-41,-49,19
Marion County,18097,2020-04-17,-45,-18,-35,-47,-50,23
Marion County,18097,2020-04-18,-43,-8,52,-29,-32,10
Marion County,18097,2020-04-19,-44,-16,31,-44,-37,10
Marion County,18097,2020-04-20,-33,-13,30,-37,-47,17
Marion County,18097,2020-04-21,-33,-10,0,-35,-48,17
Marion County,18097,2020-04-22,-34,-9,33,-33,-48,17
Marion County,18097,2020-04-23,-41,-14,-39,-47,-50,21
Marion County,18097,2020-04-24,-38,-11,31,-35,-48,18
Marion County,18097,2020-04-25,-42,-9,39,-32,-34,11
Marion County,18097,2020-04-26,-40,-13,43,-42,-37,9
Marion County,18097,2020-04-27,-30,-9,27,-35,-46,16
Marion County,18097,2020-04-28,-28,-4,40,-28,-47,10
Marion County,18097,2020-04-29,-34,-9,-25,-38,-48,19
Marion County,18097,2020-04-30,-35,-8,-28,-41,-48,19
Marion County,18097,2020-05-01,-30,-3,39,-30,-46,16
Marion County,18097,2020-05-02,-34,2,126,-16,-30,6
Marion County,18097,2020-05-03,-34,-7,49,-38,-33,7
Marion County,18097,2020-05-04,-26,-6,25,-35,-44,14
Marion County,18097,2020-05-05,-28,-2,-25,-36,-45,17
Marion County,18097,2020-05-06,-27,-1,22,-30,-44,15
Marion County,18097,2020-05-07,-28,-3,25,-33,-45,16
Marion County,18097,2020-05-08,-34,-4,-6,-36,-44,18
Marion County,18097,2020-05-09,-33,9,67,-23,-27,6
Marion County,18097,2020-05-10,-33,0,15,-35,-30,6
Marion County,18097,2020-05-11,-32,-11,-11,-39,-43,15
Marion County,18097,2020-05-12,-25,-2,23,-27,-42,14
Marion County,18097,2020-05-13,-27,-2,13,-31,-43,15
Marion County,18097,2020-05-14,-31,-8,-4,-35,-43,16
Marion County,18097,2020-05-15,-31,-5,8,-34,-42,16
Marion County,18097,2020-05-16,-30,-1,110,-19,-23,5
Marion County,18097,2020-05-17,-31,-7,32,-38,-26,7
Marion County,18097,2020-05-18,-24,-7,1,-34,-40,14
Marion County,18097,2020-05-19,-24,-2,-18,-34,-40,15
Marion County,18097,2020-05-20,-24,-3,3,-32,-41,14
Marion County,18097,2020-05-21,-24,-2,2,-31,-40,14
Marion County,18097,2020-05-22,-24,-1,56,-22,-39,12
Marion County,18097,2020-05-23,-30,0,91,-20,-21,4
Marion County,18097,2020-05-24,-24,1,127,-29,-26,2
Marion County,18097,2020-05-25,-26,-3,100,-39,-71,19
Marion County,18097,2020-05-26,-18,1,41,-25,-39,11
Marion County,18097,2020-05-27,-18,2,37,-25,-38,12
Marion County,18097,2020-05-28,-20,-2,13,-32,-38,14
Marion County,18097,2020-05-29,-23,-3,39,-25,-37,13
Marion County,18097,2020-05-30,-25,1,163,-11,-12,2
Marion County,18097,2020-05-31,-24,-5,133,-28,-18,4
Marion County,18097,2020-06-01,-15,-5,38,-31,-36,11
Marion County,18097,2020-06-02,-9,7,53,-24,-37,10
Marion County,18097,2020-06-03,-11,7,36,-26,-36,11
Marion County,18097,2020-06-04,-13,4,22,-26,-36,11
Marion County,18097,2020-06-05,-22,-5,33,-23,-36,11
Marion County,18097,2020-06-06,-23,1,122,-9,-14,2
Marion County,18097,2020-06-07,-15,4,150,-20,-17,1
