,case_count
0,24
1,24
2,24
3,24
4,24
5,24
6,396
7,396
8,396
9,396
10,396
11,396
12,951
13,951
14,951
15,951
16,951
17,951
18,1180
19,1180
20,1180
21,1180
22,1180
23,1180
24,905
25,905
26,905
27,905
28,905
29,905
30,1005
31,1005
32,1005
33,1005
34,1005
35,1005
36,1203
37,1203
38,1203
39,1203
40,1203
41,1203
42,1312
43,1312
44,1312
45,1312
46,1312
47,1312
48,894
49,894
50,894
51,894
52,894
53,894
54,931
55,931
56,931
57,931
58,931
59,931
60,676
61,676
62,676
63,676
64,676
65,676
66,509
67,509
68,509
69,509
70,509
71,509
72,401
73,401
74,401
75,401
76,401
77,401
78,339
79,339
80,339
81,339
82,339
83,339
84,304
85,304
86,304
87,304
88,304
89,304
90,392
91,392
92,392
93,392
94,392
95,392
96,412
97,412
98,412
99,412
100,412
101,412
102,557
103,557
104,557
105,557
106,557
107,557
108,917
109,917
110,917
111,917
112,917
113,917
114,1019
115,1019
116,1019
117,1019
118,1019
119,1019
120,1071
121,1071
122,1071
123,1071
124,1071
125,1071
126,936
127,936
128,936
129,936
130,936
131,936
