,date,case_count_daily,avg_cases_by_week,grociery_pharmacy_mobility,parks_mobility,retail_recreation_mobility,transit_stations_mobility,workplace_mobility,driving_mobility_vehicle,transit_mobility_vehicle,walking_mobility_instance,std_last_week_grociery_pharmacy_mobility,std_last_week_park_mobility,std_last_week_retail_recreation_mobility,std_last_week_transit_station_mobility,std_last_week_workplace_mobility
0,2.15.20,1.0,24.0,101,110,109,101,101,123.33,92.32,151.05,0.0,0.0,0.0,0.0,0.0
1,2.16.20,1.0,24.0,99,157,108,100,100,88.73,82.07,92.42,0.0,0.0,0.0,0.0,0.0
2,2.17.20,1.0,24.0,94,94,105,93,85,102.97,98.77,98.95,0.0,0.0,0.0,0.0,0.0
3,2.18.20,5.0,24.0,98,99,104,105,103,108.45,103.4,115.66,0.0,0.0,0.0,0.0,0.0
4,2.19.20,2.0,24.0,100,106,103,106,102,111.17,103.51,104.03,0.0,0.0,0.0,0.0,0.0
5,2.20.20,8.0,24.0,97,97,102,102,101,125.53,97.48,100.71,0.0,0.0,0.0,0.0,0.0
6,2.21.20,6.0,24.0,98,107,104,104,102,133.54,103.32,141.86,0.0,0.0,0.0,0.0,0.0
7,2.22.20,22.0,396.0,105,175,112,108,105,131.59,94.25,180.13,3.20713490294909,30.4182158770507,2.10017006114131,4.62717130498907,6.1976377988483895
8,2.23.20,35.0,396.0,102,183,109,102,102,88.56,73.67,92.5,3.31393163133201,37.708468166031,2.10017006114131,4.598136268408879,6.23354977979184
9,2.24.20,27.0,396.0,95,96,98,97,101,101.85,94.46,90.15,3.62284418654736,36.993966689564,2.1380899352993996,4.94072001693218,6.243568119044019
10,2.25.20,51.0,396.0,101,92,105,102,102,109.04,101.61,102.43,3.16227766016838,37.1980702264436,1.1259916264596,3.32737562824346,1.28173988892331
11,2.26.20,63.0,396.0,101,94,102,103,100,109.72,90.53,106.47,3.13676357322093,37.6288263360495,1.1952286093343898,3.25137333621173,1.45773797371133
12,2.27.20,57.0,396.0,100,94,109,101,101,116.07,89.72,119.75,3.13676357322093,38.440120410098295,1.1952286093343898,3.0676887530703394,1.4880476182856899
13,2.28.20,143.0,396.0,100,99,106,106,101,136.98,96.95,141.86,2.91547594742265,38.295840878239396,1.1952286093343898,3.31393163133201,1.4880476182856899
14,2.29.20,113.0,951.0,106,123,116,107,105,138.57,97.65,177.56,3.3700360320244105,38.086368014966,1.59798980865694,3.61544306709822,1.88509188862809
