date,grociery_pharmacy,parks,residential,retail_recreation,transit_stations,workplace
2.15.20,101,110,99,109,101,101
2.16.20,99,157,99,108,100,100
2.17.20,94,94,105,105,93,85
2.18.20,98,99,100,104,105,103
2.19.20,100,106,100,103,106,102
2.20.20,97,97,100,102,102,101
2.21.20,98,107,100,104,104,102
2.22.20,105,175,98,112,108,105
2.23.20,102,183,99,109,102,102
2.24.20,95,96,102,98,97,101
2.25.20,101,92,100,105,102,102
2.26.20,101,94,101,102,103,100
2.27.20,100,94,100,109,101,101
2.28.20,100,99,100,106,106,101
2.29.20,106,123,97,116,107,105
3.1.20,107,194,97,116,105,103
3.2.20,101,103,101,106,100,101
3.3.20,111,125,98,116,110,102
3.4.20,108,138,99,114,108,101
3.5.20,106,131,99,112,103,102
3.6.20,99,102,100,103,101,101
3.7.20,108,178,97,115,112,105
3.8.20,105,261,98,111,104,102
3.9.20,104,129,100,105,97,100
3.10.20,104,106,100,107,97,100
3.11.20,107,109,100,106,101,99
3.12.20,121,113,100,106,95,98
3.13.20,123,124,104,99,94,88
3.14.20,105,90,104,82,87,97
3.15.20,102,133,103,87,84,92
3.16.20,117,101,107,90,81,82
3.17.20,112,123,109,76,84,75
3.18.20,102,71,113,68,74,71
3.19.20,107,76,114,68,67,68
3.20.20,107,97,115,66,69,66
3.21.20,100,103,110,56,72,77
3.22.20,82,83,110,51,55,69
3.23.20,101,93,115,66,61,62
3.24.20,100,88,116,65,64,59
3.25.20,78,116,120,50,59,53
3.26.20,79,97,120,52,56,52
3.27.20,78,71,123,50,51,52
3.28.20,76,104,114,45,56,64
3.29.20,73,117,111,48,51,62
3.30.20,80,111,118,57,56,52
3.31.20,81,69,119,55,58,51
4.1.20,86,87,120,58,60,50
4.2.20,87,123,120,60,58,49
4.3.20,89,125,120,59,60,50
4.4.20,84,118,113,50,59,64
4.5.20,78,115,111,50,50,60
4.6.20,81,124,118,59,57,50
4.7.20,88,130,118,61,65,50
4.8.20,87,132,118,60,62,49
4.9.20,85,78,120,58,55,48
4.10.20,88,92,122,56,57,46
4.11.20,95,150,111,55,65,62
4.12.20,66,90,111,37,49,55
4.13.20,80,76,120,55,52,51
4.14.20,85,82,119,58,61,51
4.15.20,90,74,120,64,59,51
4.16.20,88,87,119,62,59,51
4.17.20,82,65,123,55,53,50
4.18.20,92,152,110,57,71,68
4.19.20,84,131,110,56,56,63
4.20.20,87,130,117,67,63,53
4.21.20,90,100,117,67,65,52
4.22.20,91,133,117,66,67,52
4.23.20,86,61,121,59,53,50
4.24.20,89,131,118,62,65,52
