"date","grociery_pharmacy","parks","residential","retail_recreation","transit_stations","workplace"
"2.15.20"," 1","10","-1"," 9"," 1"," 1"
"2.16.20","-1","57","-1"," 8"," 0"," 0"
"2.17.20"," -6"," -6","  5","  5"," -7","-15"
"2.18.20","-2","-1"," 0"," 4"," 5"," 3"
"2.19.20","0","6","0","3","6","2"
"2.20.20","-3","-3"," 0"," 2"," 2"," 1"
"2.21.20","-2"," 7"," 0"," 4"," 4"," 2"
"2.22.20"," 5","75","-2","12"," 8"," 5"
"2.23.20"," 2","83","-1"," 9"," 2"," 2"
"2.24.20","-5","-4"," 2","-2","-3"," 1"
"2.25.20"," 1","-8"," 0"," 5"," 2"," 2"
"2.26.20"," 1","-6"," 1"," 2"," 3"," 0"
"2.27.20"," 0","-6"," 0"," 9"," 1"," 1"
"2.28.20"," 0","-1"," 0"," 6"," 6"," 1"
"2.29.20"," 6","23","-3","16"," 7"," 5"
"3.1.20"," 7","94","-3","16"," 5"," 3"
"3.2.20","1","3","1","6","0","1"
"3.3.20","11","25","-2","16","10"," 2"
"3.4.20"," 8","38","-1","14"," 8"," 1"
"3.5.20"," 6","31","-1","12"," 3"," 2"
"3.6.20","-1"," 2"," 0"," 3"," 1"," 1"
"3.7.20"," 8","78","-3","15","12"," 5"
"3.8.20","  5","161"," -2"," 11","  4","  2"
"3.9.20"," 4","29"," 0"," 5","-3"," 0"
"3.10.20"," 4"," 6"," 0"," 7","-3"," 0"
"3.11.20"," 7"," 9"," 0"," 6"," 1","-1"
"3.12.20","21","13"," 0"," 6","-5","-2"
"3.13.20"," 23"," 24","  4"," -1"," -6","-12"
"3.14.20","  5","-10","  4","-18","-13"," -3"
"3.15.20","  2"," 33","  3","-13","-16"," -8"
"3.16.20"," 17","  1","  7","-10","-19","-18"
"3.17.20"," 12"," 23","  9","-24","-16","-25"
"3.18.20","  2","-29"," 13","-32","-26","-29"
"3.19.20","  7","-24"," 14","-32","-33","-32"
"3.20.20","  7"," -3"," 15","-34","-31","-34"
"3.21.20","  0","  3"," 10","-44","-28","-23"
"3.22.20","-18","-17"," 10","-49","-45","-31"
"3.23.20","  1"," -7"," 15","-34","-39","-38"
"3.24.20","  0","-12"," 16","-35","-36","-41"
"3.25.20","-22"," 16"," 20","-50","-41","-47"
"3.26.20","-21"," -3"," 20","-48","-44","-48"
"3.27.20","-22","-29"," 23","-50","-49","-48"
