country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,2021-01-01,-18,-2,-14,-31,-16,5
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,2021-01-02,-16,2,-24,-32,-11,6
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,2021-01-03,-12,6,-22,-28,-18,9
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,2021-01-04,-16,2,-28,-31,-18,9
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,2021-01-05,-17,1,-28,-32,-18,8
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,2021-01-06,-16,2,-29,-31,-18,9
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,2021-01-07,-17,1,-28,-32,-18,10
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,2021-01-08,-19,0,-25,-32,-11,6
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,2021-01-09,-17,0,-27,-31,-10,6
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,2021-01-10,-14,4,-26,-28,-18,8
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,2021-01-11,-17,1,-29,-31,-18,8
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,2021-01-12,-18,-1,-29,-33,-19,8
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,2021-01-13,-18,-1,-31,-34,-20,7
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,2021-01-14,-19,-3,-28,-34,-23,7
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,2021-01-15,-22,-6,-22,-36,-19,4
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,2021-01-16,-21,-7,-29,-36,-18,5
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,2021-01-17,-18,-3,-28,-34,-24,7
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,2021-01-18,-21,-6,-31,-36,-24,8
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,2021-01-19,-22,-7,-30,-37,-25,8
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,2021-01-20,-22,-6,-31,-35,-24,8
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,2021-01-21,-22,-6,-29,-35,-24,9
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,2021-01-22,-24,-7,-24,-37,-17,6
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,2021-01-23,-22,-7,-32,-36,-16,6
AE,United Arab Emirates,,,,,,ChIJvRKrsd9IXj4RpwoIwFYv0zM,2021-01-24,-19,-3,-28,-34,-23,9
