country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
AR,Argentina,,,,,,ChIJZ8b99fXKvJURqA_wKpl3Lz0,2021-01-01,-73,-70,-53,-68,-65,11
AR,Argentina,,,,,,ChIJZ8b99fXKvJURqA_wKpl3Lz0,2021-01-02,-46,-17,-53,-41,-16,10
AR,Argentina,,,,,,ChIJZ8b99fXKvJURqA_wKpl3Lz0,2021-01-03,-47,-23,-49,-36,-8,8
AR,Argentina,,,,,,ChIJZ8b99fXKvJURqA_wKpl3Lz0,2021-01-04,-36,-2,-53,-34,-17,8
AR,Argentina,,,,,,ChIJZ8b99fXKvJURqA_wKpl3Lz0,2021-01-05,-31,4,-53,-32,-18,8
AR,Argentina,,,,,,ChIJZ8b99fXKvJURqA_wKpl3Lz0,2021-01-06,-34,-1,-48,-32,-16,8
AR,Argentina,,,,,,ChIJZ8b99fXKvJURqA_wKpl3Lz0,2021-01-07,-34,-3,-48,-32,-16,8
AR,Argentina,,,,,,ChIJZ8b99fXKvJURqA_wKpl3Lz0,2021-01-08,-34,0,-49,-32,-16,9
AR,Argentina,,,,,,ChIJZ8b99fXKvJURqA_wKpl3Lz0,2021-01-09,-35,-3,-49,-27,-5,7
AR,Argentina,,,,,,ChIJZ8b99fXKvJURqA_wKpl3Lz0,2021-01-10,-44,-19,-47,-34,-6,7
AR,Argentina,,,,,,ChIJZ8b99fXKvJURqA_wKpl3Lz0,2021-01-11,-40,-8,-58,-41,-21,10
AR,Argentina,,,,,,ChIJZ8b99fXKvJURqA_wKpl3Lz0,2021-01-12,-34,-3,-47,-30,-18,7
AR,Argentina,,,,,,ChIJZ8b99fXKvJURqA_wKpl3Lz0,2021-01-13,-39,-11,-47,-36,-19,5
AR,Argentina,,,,,,ChIJZ8b99fXKvJURqA_wKpl3Lz0,2021-01-14,-41,-17,-51,-40,-24,5
AR,Argentina,,,,,,ChIJZ8b99fXKvJURqA_wKpl3Lz0,2021-01-15,-45,-21,-61,-45,-27,7
AR,Argentina,,,,,,ChIJZ8b99fXKvJURqA_wKpl3Lz0,2021-01-16,-45,-20,-61,-40,-18,7
AR,Argentina,,,,,,ChIJZ8b99fXKvJURqA_wKpl3Lz0,2021-01-17,-46,-26,-48,-39,-15,5
AR,Argentina,,,,,,ChIJZ8b99fXKvJURqA_wKpl3Lz0,2021-01-18,-41,-17,-49,-39,-24,5
AR,Argentina,,,,,,ChIJZ8b99fXKvJURqA_wKpl3Lz0,2021-01-19,-40,-17,-46,-38,-25,5
AR,Argentina,,,,,,ChIJZ8b99fXKvJURqA_wKpl3Lz0,2021-01-20,-41,-16,-43,-38,-22,5
AR,Argentina,,,,,,ChIJZ8b99fXKvJURqA_wKpl3Lz0,2021-01-21,-41,-18,-47,-39,-23,6
AR,Argentina,,,,,,ChIJZ8b99fXKvJURqA_wKpl3Lz0,2021-01-22,-39,-14,-48,-37,-22,6
AR,Argentina,,,,,,ChIJZ8b99fXKvJURqA_wKpl3Lz0,2021-01-23,-42,-16,-48,-34,-13,5
AR,Argentina,,,,,,ChIJZ8b99fXKvJURqA_wKpl3Lz0,2021-01-24,-47,-26,-46,-38,-13,4
AR,Argentina,,,,,,ChIJZ8b99fXKvJURqA_wKpl3Lz0,2021-01-25,-43,-18,-52,-40,-23,6
AR,Argentina,,,,,,ChIJZ8b99fXKvJURqA_wKpl3Lz0,2021-01-26,-40,-14,-52,-38,-23,7
AR,Argentina,,,,,,ChIJZ8b99fXKvJURqA_wKpl3Lz0,2021-01-27,-39,-14,-44,-37,-19,6
AR,Argentina,,,,,,ChIJZ8b99fXKvJURqA_wKpl3Lz0,2021-01-28,-40,-15,-52,-38,-21,7
AR,Argentina,,,,,,ChIJZ8b99fXKvJURqA_wKpl3Lz0,2021-01-29,-38,-11,-51,-37,-20,8
AR,Argentina,,,,,,ChIJZ8b99fXKvJURqA_wKpl3Lz0,2021-01-30,-45,-15,-64,-42,-15,9
AR,Argentina,,,,,,ChIJZ8b99fXKvJURqA_wKpl3Lz0,2021-01-31,-48,-19,-63,-41,-14,9
AR,Argentina,,,,,,ChIJZ8b99fXKvJURqA_wKpl3Lz0,2021-02-01,-40,-10,-58,-39,-21,7
AR,Argentina,,,,,,ChIJZ8b99fXKvJURqA_wKpl3Lz0,2021-02-02,-36,-8,-53,-34,-21,6
AR,Argentina,,,,,,ChIJZ8b99fXKvJURqA_wKpl3Lz0,2021-02-03,-37,-9,-47,-35,-18,5
AR,Argentina,,,,,,ChIJZ8b99fXKvJURqA_wKpl3Lz0,2021-02-04,-34,-8,-46,-32,-18,5
AR,Argentina,,,,,,ChIJZ8b99fXKvJURqA_wKpl3Lz0,2021-02-05,-32,-3,-45,-30,-17,5
AR,Argentina,,,,,,ChIJZ8b99fXKvJURqA_wKpl3Lz0,2021-02-06,-33,-6,-45,-25,-9,3
AR,Argentina,,,,,,ChIJZ8b99fXKvJURqA_wKpl3Lz0,2021-02-07,-41,-19,-45,-30,-11,4
AR,Argentina,,,,,,ChIJZ8b99fXKvJURqA_wKpl3Lz0,2021-02-08,-36,-6,-54,-33,-20,5
AR,Argentina,,,,,,ChIJZ8b99fXKvJURqA_wKpl3Lz0,2021-02-09,-33,-3,-50,-30,-18,5
AR,Argentina,,,,,,ChIJZ8b99fXKvJURqA_wKpl3Lz0,2021-02-10,-33,-3,-45,-31,-16,4
AR,Argentina,,,,,,ChIJZ8b99fXKvJURqA_wKpl3Lz0,2021-02-11,-34,-7,-52,-32,-17,5
AR,Argentina,,,,,,ChIJZ8b99fXKvJURqA_wKpl3Lz0,2021-02-12,-32,-2,-52,-29,-16,5
AR,Argentina,,,,,,ChIJZ8b99fXKvJURqA_wKpl3Lz0,2021-02-13,-31,0,-49,-26,-11,4
AR,Argentina,,,,,,ChIJZ8b99fXKvJURqA_wKpl3Lz0,2021-02-14,-27,-7,-36,-28,-8,5
AR,Argentina,,,,,,ChIJZ8b99fXKvJURqA_wKpl3Lz0,2021-02-15,-43,-23,-36,-49,-58,10
AR,Argentina,,,,,,ChIJZ8b99fXKvJURqA_wKpl3Lz0,2021-02-16,-46,-22,-44,-49,-54,9
AR,Argentina,,,,,,ChIJZ8b99fXKvJURqA_wKpl3Lz0,2021-02-17,-30,3,-40,-24,-13,3
AR,Argentina,,,,,,ChIJZ8b99fXKvJURqA_wKpl3Lz0,2021-02-18,-33,-3,-46,-26,-15,5
AR,Argentina,,,,,,ChIJZ8b99fXKvJURqA_wKpl3Lz0,2021-02-19,-30,3,-47,-26,-14,5
AR,Argentina,,,,,,ChIJZ8b99fXKvJURqA_wKpl3Lz0,2021-02-20,-30,1,-44,-22,-6,4
AR,Argentina,,,,,,ChIJZ8b99fXKvJURqA_wKpl3Lz0,2021-02-21,-38,-13,-40,-27,-8,5
AR,Argentina,,,,,,ChIJZ8b99fXKvJURqA_wKpl3Lz0,2021-02-22,-36,-6,-54,-34,-16,6
AR,Argentina,,,,,,ChIJZ8b99fXKvJURqA_wKpl3Lz0,2021-02-23,-31,-1,-46,-24,-14,4
