country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
AU,Australia,,,,,,ChIJ38WHZwf9KysRUhNblaFnglM,2021-01-01,-40,-35,9,-64,-75,20
AU,Australia,,,,,,ChIJ38WHZwf9KysRUhNblaFnglM,2021-01-02,-17,-1,-8,-43,-18,7
AU,Australia,,,,,,ChIJ38WHZwf9KysRUhNblaFnglM,2021-01-03,-14,-5,-7,-42,-10,5
AU,Australia,,,,,,ChIJ38WHZwf9KysRUhNblaFnglM,2021-01-04,-7,5,-11,-50,-35,11
AU,Australia,,,,,,ChIJ38WHZwf9KysRUhNblaFnglM,2021-01-05,-10,4,-6,-49,-36,11
AU,Australia,,,,,,ChIJ38WHZwf9KysRUhNblaFnglM,2021-01-06,-9,3,-4,-48,-33,11
AU,Australia,,,,,,ChIJ38WHZwf9KysRUhNblaFnglM,2021-01-07,-11,2,3,-48,-33,11
AU,Australia,,,,,,ChIJ38WHZwf9KysRUhNblaFnglM,2021-01-08,-13,9,-8,-47,-31,10
AU,Australia,,,,,,ChIJ38WHZwf9KysRUhNblaFnglM,2021-01-09,-21,-7,-3,-42,-12,6
AU,Australia,,,,,,ChIJ38WHZwf9KysRUhNblaFnglM,2021-01-10,-20,-8,4,-45,-11,5
AU,Australia,,,,,,ChIJ38WHZwf9KysRUhNblaFnglM,2021-01-11,-16,-2,-8,-50,-26,9
AU,Australia,,,,,,ChIJ38WHZwf9KysRUhNblaFnglM,2021-01-12,-12,2,-6,-45,-24,8
AU,Australia,,,,,,ChIJ38WHZwf9KysRUhNblaFnglM,2021-01-13,-12,-1,-2,-45,-23,8
AU,Australia,,,,,,ChIJ38WHZwf9KysRUhNblaFnglM,2021-01-14,-14,-3,2,-45,-24,7
AU,Australia,,,,,,ChIJ38WHZwf9KysRUhNblaFnglM,2021-01-15,-14,-2,-12,-43,-22,7
AU,Australia,,,,,,ChIJ38WHZwf9KysRUhNblaFnglM,2021-01-16,-13,-5,-3,-35,-6,3
AU,Australia,,,,,,ChIJ38WHZwf9KysRUhNblaFnglM,2021-01-17,-12,-6,8,-38,-8,2
AU,Australia,,,,,,ChIJ38WHZwf9KysRUhNblaFnglM,2021-01-18,-14,-5,-12,-45,-19,6
AU,Australia,,,,,,ChIJ38WHZwf9KysRUhNblaFnglM,2021-01-19,-14,-5,-15,-44,-21,7
AU,Australia,,,,,,ChIJ38WHZwf9KysRUhNblaFnglM,2021-01-20,-12,-5,-8,-42,-19,6
AU,Australia,,,,,,ChIJ38WHZwf9KysRUhNblaFnglM,2021-01-21,-13,-4,1,-42,-19,6
AU,Australia,,,,,,ChIJ38WHZwf9KysRUhNblaFnglM,2021-01-22,-10,1,-4,-40,-18,5
AU,Australia,,,,,,ChIJ38WHZwf9KysRUhNblaFnglM,2021-01-23,-11,-2,10,-33,-6,1
AU,Australia,,,,,,ChIJ38WHZwf9KysRUhNblaFnglM,2021-01-24,-12,-7,10,-40,-9,2
AU,Australia,,,,,,ChIJ38WHZwf9KysRUhNblaFnglM,2021-01-25,-2,8,3,-47,-33,7
AU,Australia,,,,,,ChIJ38WHZwf9KysRUhNblaFnglM,2021-01-26,-23,-16,22,-60,-71,16
AU,Australia,,,,,,ChIJ38WHZwf9KysRUhNblaFnglM,2021-01-27,-14,-2,-22,-41,-16,6
AU,Australia,,,,,,ChIJ38WHZwf9KysRUhNblaFnglM,2021-01-28,-15,-3,-20,-41,-14,6
AU,Australia,,,,,,ChIJ38WHZwf9KysRUhNblaFnglM,2021-01-29,-14,-3,-33,-39,-11,6
AU,Australia,,,,,,ChIJ38WHZwf9KysRUhNblaFnglM,2021-01-30,-9,-1,-10,-33,-2,3
AU,Australia,,,,,,ChIJ38WHZwf9KysRUhNblaFnglM,2021-01-31,-9,3,-11,-38,-5,3
AU,Australia,,,,,,ChIJ38WHZwf9KysRUhNblaFnglM,2021-02-01,-18,-6,-23,-41,-13,6
AU,Australia,,,,,,ChIJ38WHZwf9KysRUhNblaFnglM,2021-02-02,-19,-6,-30,-41,-16,7
AU,Australia,,,,,,ChIJ38WHZwf9KysRUhNblaFnglM,2021-02-03,-17,-7,-17,-39,-14,7
AU,Australia,,,,,,ChIJ38WHZwf9KysRUhNblaFnglM,2021-02-04,-18,-7,-14,-40,-15,7
AU,Australia,,,,,,ChIJ38WHZwf9KysRUhNblaFnglM,2021-02-05,-15,-2,-22,-38,-12,6
AU,Australia,,,,,,ChIJ38WHZwf9KysRUhNblaFnglM,2021-02-06,-9,0,-16,-33,-2,3
AU,Australia,,,,,,ChIJ38WHZwf9KysRUhNblaFnglM,2021-02-07,-10,-1,-8,-38,-6,3
AU,Australia,,,,,,ChIJ38WHZwf9KysRUhNblaFnglM,2021-02-08,-14,-3,-21,-38,-11,4
AU,Australia,,,,,,ChIJ38WHZwf9KysRUhNblaFnglM,2021-02-09,-14,-3,-19,-36,-11,5
