country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
BG,Bulgaria,,,,,,ChIJifBbyMH-qEAREEy_aRKgAAA,2021-01-01,-75,-66,23,-63,-85,22
BG,Bulgaria,,,,,,ChIJifBbyMH-qEAREEy_aRKgAAA,2021-01-02,-52,-20,14,-31,-44,6
BG,Bulgaria,,,,,,ChIJifBbyMH-qEAREEy_aRKgAAA,2021-01-03,-48,-10,18,-23,-24,4
BG,Bulgaria,,,,,,ChIJifBbyMH-qEAREEy_aRKgAAA,2021-01-04,-41,-4,-16,-24,-31,10
BG,Bulgaria,,,,,,ChIJifBbyMH-qEAREEy_aRKgAAA,2021-01-05,-37,2,6,-19,-30,8
BG,Bulgaria,,,,,,ChIJifBbyMH-qEAREEy_aRKgAAA,2021-01-06,-36,4,10,-17,-28,8
BG,Bulgaria,,,,,,ChIJifBbyMH-qEAREEy_aRKgAAA,2021-01-07,-37,5,-4,-17,-28,7
BG,Bulgaria,,,,,,ChIJifBbyMH-qEAREEy_aRKgAAA,2021-01-08,-44,-2,-22,-23,-28,9
BG,Bulgaria,,,,,,ChIJifBbyMH-qEAREEy_aRKgAAA,2021-01-09,-51,-9,-39,-28,-22,7
BG,Bulgaria,,,,,,ChIJifBbyMH-qEAREEy_aRKgAAA,2021-01-10,-55,-18,-30,-32,-24,5
BG,Bulgaria,,,,,,ChIJifBbyMH-qEAREEy_aRKgAAA,2021-01-11,-46,-6,-31,-26,-29,9
BG,Bulgaria,,,,,,ChIJifBbyMH-qEAREEy_aRKgAAA,2021-01-12,-48,-10,-35,-29,-30,10
BG,Bulgaria,,,,,,ChIJifBbyMH-qEAREEy_aRKgAAA,2021-01-13,-43,-4,-22,-24,-29,8
BG,Bulgaria,,,,,,ChIJifBbyMH-qEAREEy_aRKgAAA,2021-01-14,-43,-4,-15,-23,-30,7
BG,Bulgaria,,,,,,ChIJifBbyMH-qEAREEy_aRKgAAA,2021-01-15,-47,-6,-25,-28,-31,7
BG,Bulgaria,,,,,,ChIJifBbyMH-qEAREEy_aRKgAAA,2021-01-16,-53,-13,-41,-34,-25,5
BG,Bulgaria,,,,,,ChIJifBbyMH-qEAREEy_aRKgAAA,2021-01-17,-55,-19,-20,-34,-27,4
BG,Bulgaria,,,,,,ChIJifBbyMH-qEAREEy_aRKgAAA,2021-01-18,-47,-13,-30,-30,-32,8
BG,Bulgaria,,,,,,ChIJifBbyMH-qEAREEy_aRKgAAA,2021-01-19,-48,-11,-29,-31,-32,9
BG,Bulgaria,,,,,,ChIJifBbyMH-qEAREEy_aRKgAAA,2021-01-20,-44,-6,-16,-24,-30,8
BG,Bulgaria,,,,,,ChIJifBbyMH-qEAREEy_aRKgAAA,2021-01-21,-42,-2,-5,-20,-29,6
BG,Bulgaria,,,,,,ChIJifBbyMH-qEAREEy_aRKgAAA,2021-01-22,-44,-4,-11,-23,-28,7
BG,Bulgaria,,,,,,ChIJifBbyMH-qEAREEy_aRKgAAA,2021-01-23,-44,-6,-5,-20,-19,3
BG,Bulgaria,,,,,,ChIJifBbyMH-qEAREEy_aRKgAAA,2021-01-24,-39,-7,59,-14,-18,0
BG,Bulgaria,,,,,,ChIJifBbyMH-qEAREEy_aRKgAAA,2021-01-25,-44,-7,-16,-23,-30,7
BG,Bulgaria,,,,,,ChIJifBbyMH-qEAREEy_aRKgAAA,2021-01-26,-49,-13,-30,-29,-31,8
BG,Bulgaria,,,,,,ChIJifBbyMH-qEAREEy_aRKgAAA,2021-01-27,-51,-15,-32,-29,-32,10
BG,Bulgaria,,,,,,ChIJifBbyMH-qEAREEy_aRKgAAA,2021-01-28,-45,-5,-21,-22,-30,8
BG,Bulgaria,,,,,,ChIJifBbyMH-qEAREEy_aRKgAAA,2021-01-29,-46,-3,-23,-23,-28,7
BG,Bulgaria,,,,,,ChIJifBbyMH-qEAREEy_aRKgAAA,2021-01-30,-47,-6,-26,-25,-21,5
BG,Bulgaria,,,,,,ChIJifBbyMH-qEAREEy_aRKgAAA,2021-01-31,-41,-6,29,-19,-18,1
BG,Bulgaria,,,,,,ChIJifBbyMH-qEAREEy_aRKgAAA,2021-02-01,-38,-4,-9,-16,-29,6
BG,Bulgaria,,,,,,ChIJifBbyMH-qEAREEy_aRKgAAA,2021-02-02,-36,0,-2,-15,-29,6
