country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
BH,Bahrain,,,,,,ChIJEaJHak5SSD4RRhDa2-JQlC4,2021-01-01,-25,-9,-27,-20,-18,7
BH,Bahrain,,,,,,ChIJEaJHak5SSD4RRhDa2-JQlC4,2021-01-02,-20,-4,-20,-23,-30,10
BH,Bahrain,,,,,,ChIJEaJHak5SSD4RRhDa2-JQlC4,2021-01-03,-13,-2,-18,-17,-35,12
BH,Bahrain,,,,,,ChIJEaJHak5SSD4RRhDa2-JQlC4,2021-01-04,-21,-7,-27,-13,-17,8
BH,Bahrain,,,,,,ChIJEaJHak5SSD4RRhDa2-JQlC4,2021-01-05,-20,-8,-24,-11,-16,8
BH,Bahrain,,,,,,ChIJEaJHak5SSD4RRhDa2-JQlC4,2021-01-06,-20,-9,-30,-10,-16,8
BH,Bahrain,,,,,,ChIJEaJHak5SSD4RRhDa2-JQlC4,2021-01-07,-19,-6,-30,-16,-16,9
BH,Bahrain,,,,,,ChIJEaJHak5SSD4RRhDa2-JQlC4,2021-01-08,-26,-9,-34,-21,-14,8
BH,Bahrain,,,,,,ChIJEaJHak5SSD4RRhDa2-JQlC4,2021-01-09,-22,-9,-30,-21,-12,6
BH,Bahrain,,,,,,ChIJEaJHak5SSD4RRhDa2-JQlC4,2021-01-10,-18,-9,-30,-16,-15,7
BH,Bahrain,,,,,,ChIJEaJHak5SSD4RRhDa2-JQlC4,2021-01-11,-21,-9,-31,-13,-17,7
BH,Bahrain,,,,,,ChIJEaJHak5SSD4RRhDa2-JQlC4,2021-01-12,-21,-9,-30,-13,-16,7
BH,Bahrain,,,,,,ChIJEaJHak5SSD4RRhDa2-JQlC4,2021-01-13,-23,-13,-35,-17,-17,7
BH,Bahrain,,,,,,ChIJEaJHak5SSD4RRhDa2-JQlC4,2021-01-14,-21,-10,-34,-18,-20,7
BH,Bahrain,,,,,,ChIJEaJHak5SSD4RRhDa2-JQlC4,2021-01-15,-28,-15,-37,-20,-21,6
BH,Bahrain,,,,,,ChIJEaJHak5SSD4RRhDa2-JQlC4,2021-01-16,-25,-14,-36,-23,-19,5
BH,Bahrain,,,,,,ChIJEaJHak5SSD4RRhDa2-JQlC4,2021-01-17,-22,-15,-34,-20,-20,6
BH,Bahrain,,,,,,ChIJEaJHak5SSD4RRhDa2-JQlC4,2021-01-18,-24,-14,-34,-16,-22,6
BH,Bahrain,,,,,,ChIJEaJHak5SSD4RRhDa2-JQlC4,2021-01-19,-24,-15,-29,-14,-20,6
BH,Bahrain,,,,,,ChIJEaJHak5SSD4RRhDa2-JQlC4,2021-01-20,-24,-16,-35,-13,-20,6
BH,Bahrain,,,,,,ChIJEaJHak5SSD4RRhDa2-JQlC4,2021-01-21,-24,-14,-44,-18,-20,8
BH,Bahrain,,,,,,ChIJEaJHak5SSD4RRhDa2-JQlC4,2021-01-22,-31,-18,-52,-22,-20,9
BH,Bahrain,,,,,,ChIJEaJHak5SSD4RRhDa2-JQlC4,2021-01-23,-26,-14,-41,-22,-17,6
BH,Bahrain,,,,,,ChIJEaJHak5SSD4RRhDa2-JQlC4,2021-01-24,-21,-14,-37,-18,-18,6
BH,Bahrain,,,,,,ChIJEaJHak5SSD4RRhDa2-JQlC4,2021-01-25,-22,-13,-34,-13,-19,6
BH,Bahrain,,,,,,ChIJEaJHak5SSD4RRhDa2-JQlC4,2021-01-26,-19,-9,-31,-10,-18,5
BH,Bahrain,,,,,,ChIJEaJHak5SSD4RRhDa2-JQlC4,2021-01-27,-21,-11,-37,-11,-18,6
BH,Bahrain,,,,,,ChIJEaJHak5SSD4RRhDa2-JQlC4,2021-01-28,-19,-8,-37,-14,-19,7
BH,Bahrain,,,,,,ChIJEaJHak5SSD4RRhDa2-JQlC4,2021-01-29,-26,-12,-40,-18,-18,6
BH,Bahrain,,,,,,ChIJEaJHak5SSD4RRhDa2-JQlC4,2021-01-30,-22,-9,-35,-18,-15,4
BH,Bahrain,,,,,,ChIJEaJHak5SSD4RRhDa2-JQlC4,2021-01-31,-18,-7,-33,-14,-21,5
BH,Bahrain,,,,,,ChIJEaJHak5SSD4RRhDa2-JQlC4,2021-02-01,-20,-7,-33,-11,-22,5
BH,Bahrain,,,,,,ChIJEaJHak5SSD4RRhDa2-JQlC4,2021-02-02,-20,-8,-29,-11,-21,5
BH,Bahrain,,,,,,ChIJEaJHak5SSD4RRhDa2-JQlC4,2021-02-03,-23,-12,-34,-13,-22,7
BH,Bahrain,,,,,,ChIJEaJHak5SSD4RRhDa2-JQlC4,2021-02-04,-23,-9,-35,-20,-23,8
BH,Bahrain,,,,,,ChIJEaJHak5SSD4RRhDa2-JQlC4,2021-02-05,-30,-13,-40,-21,-20,7
BH,Bahrain,,,,,,ChIJEaJHak5SSD4RRhDa2-JQlC4,2021-02-06,-26,-12,-35,-22,-17,6
BH,Bahrain,,,,,,ChIJEaJHak5SSD4RRhDa2-JQlC4,2021-02-07,-22,-12,-30,-21,-22,7
BH,Bahrain,,,,,,ChIJEaJHak5SSD4RRhDa2-JQlC4,2021-02-08,-24,-10,-31,-16,-24,7
BH,Bahrain,,,,,,ChIJEaJHak5SSD4RRhDa2-JQlC4,2021-02-09,-23,-11,-32,-14,-23,8
BH,Bahrain,,,,,,ChIJEaJHak5SSD4RRhDa2-JQlC4,2021-02-10,-24,-14,-35,-16,-23,8
BH,Bahrain,,,,,,ChIJEaJHak5SSD4RRhDa2-JQlC4,2021-02-11,-23,-11,-36,-19,-23,9
BH,Bahrain,,,,,,ChIJEaJHak5SSD4RRhDa2-JQlC4,2021-02-12,-30,-15,-41,-23,-21,7
BH,Bahrain,,,,,,ChIJEaJHak5SSD4RRhDa2-JQlC4,2021-02-13,-25,-12,-34,-24,-18,5
BH,Bahrain,,,,,,ChIJEaJHak5SSD4RRhDa2-JQlC4,2021-02-14,-20,-12,-32,-21,-22,7
BH,Bahrain,,,,,,ChIJEaJHak5SSD4RRhDa2-JQlC4,2021-02-15,-21,-9,-32,-18,-24,6
BH,Bahrain,,,,,,ChIJEaJHak5SSD4RRhDa2-JQlC4,2021-02-16,-22,-10,-28,-16,-22,7
BH,Bahrain,,,,,,ChIJEaJHak5SSD4RRhDa2-JQlC4,2021-02-17,-22,-13,-35,-17,-22,7
BH,Bahrain,,,,,,ChIJEaJHak5SSD4RRhDa2-JQlC4,2021-02-18,-21,-9,-35,-21,-22,8
BH,Bahrain,,,,,,ChIJEaJHak5SSD4RRhDa2-JQlC4,2021-02-19,-28,-14,-46,-23,-20,7
BH,Bahrain,,,,,,ChIJEaJHak5SSD4RRhDa2-JQlC4,2021-02-20,-23,-11,-36,-24,-17,5
BH,Bahrain,,,,,,ChIJEaJHak5SSD4RRhDa2-JQlC4,2021-02-21,-20,-10,-33,-19,-20,6
BH,Bahrain,,,,,,ChIJEaJHak5SSD4RRhDa2-JQlC4,2021-02-22,-22,-10,-33,-16,-21,6
BH,Bahrain,,,,,,ChIJEaJHak5SSD4RRhDa2-JQlC4,2021-02-23,-22,-10,-31,-17,-20,7
BH,Bahrain,,,,,,ChIJEaJHak5SSD4RRhDa2-JQlC4,2021-02-24,-22,-13,-35,-17,-20,7
BH,Bahrain,,,,,,ChIJEaJHak5SSD4RRhDa2-JQlC4,2021-02-25,-18,-4,-38,-19,-20,7
BH,Bahrain,,,,,,ChIJEaJHak5SSD4RRhDa2-JQlC4,2021-02-26,-24,-7,-42,-19,-19,7
BH,Bahrain,,,,,,ChIJEaJHak5SSD4RRhDa2-JQlC4,2021-02-27,-20,-4,-34,-20,-15,4
BH,Bahrain,,,,,,ChIJEaJHak5SSD4RRhDa2-JQlC4,2021-02-28,-15,-4,-31,-15,-19,5
BH,Bahrain,,,,,,ChIJEaJHak5SSD4RRhDa2-JQlC4,2021-03-01,-16,-3,-30,-11,-21,5
BH,Bahrain,,,,,,ChIJEaJHak5SSD4RRhDa2-JQlC4,2021-03-02,-17,-3,-28,-9,-19,5
BH,Bahrain,,,,,,ChIJEaJHak5SSD4RRhDa2-JQlC4,2021-03-03,-17,-7,-31,-11,-20,6
BH,Bahrain,,,,,,ChIJEaJHak5SSD4RRhDa2-JQlC4,2021-03-04,-17,-4,-31,-14,-20,7
BH,Bahrain,,,,,,ChIJEaJHak5SSD4RRhDa2-JQlC4,2021-03-05,-24,-9,-43,-16,-19,7
BH,Bahrain,,,,,,ChIJEaJHak5SSD4RRhDa2-JQlC4,2021-03-06,-19,-5,-34,-17,-16,4
BH,Bahrain,,,,,,ChIJEaJHak5SSD4RRhDa2-JQlC4,2021-03-07,-17,-7,-31,-15,-19,6
BH,Bahrain,,,,,,ChIJEaJHak5SSD4RRhDa2-JQlC4,2021-03-08,-18,-7,-30,-11,-21,6
BH,Bahrain,,,,,,ChIJEaJHak5SSD4RRhDa2-JQlC4,2021-03-09,-19,-7,-26,-9,-19,6
BH,Bahrain,,,,,,ChIJEaJHak5SSD4RRhDa2-JQlC4,2021-03-10,-19,-9,-31,-10,-20,6
BH,Bahrain,,,,,,ChIJEaJHak5SSD4RRhDa2-JQlC4,2021-03-11,-18,-6,-30,-14,-19,7
BH,Bahrain,,,,,,ChIJEaJHak5SSD4RRhDa2-JQlC4,2021-03-12,-30,-14,-51,-19,-20,8
BH,Bahrain,,,,,,ChIJEaJHak5SSD4RRhDa2-JQlC4,2021-03-13,-22,-7,-40,-19,-16,5
BH,Bahrain,,,,,,ChIJEaJHak5SSD4RRhDa2-JQlC4,2021-03-14,-15,-6,-29,-13,-17,5
BH,Bahrain,,,,,,ChIJEaJHak5SSD4RRhDa2-JQlC4,2021-03-15,-14,-3,-28,-7,-18,4
BH,Bahrain,,,,,,ChIJEaJHak5SSD4RRhDa2-JQlC4,2021-03-16,-14,-3,-24,-6,-16,4
BH,Bahrain,,,,,,ChIJEaJHak5SSD4RRhDa2-JQlC4,2021-03-17,-16,-7,-32,-7,-17,5
BH,Bahrain,,,,,,ChIJEaJHak5SSD4RRhDa2-JQlC4,2021-03-18,-14,-2,-33,-11,-17,6
BH,Bahrain,,,,,,ChIJEaJHak5SSD4RRhDa2-JQlC4,2021-03-19,-20,-5,-35,-11,-16,6
BH,Bahrain,,,,,,ChIJEaJHak5SSD4RRhDa2-JQlC4,2021-03-20,-16,-3,-30,-15,-13,3
BH,Bahrain,,,,,,ChIJEaJHak5SSD4RRhDa2-JQlC4,2021-03-21,-10,-1,-25,-12,-15,4
