country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
BO,Bolivia,,,,,,ChIJlaK7d4nfXpERv-0VAbvCnhw,2021-01-01,-53,-38,-40,-51,-70,20
BO,Bolivia,,,,,,ChIJlaK7d4nfXpERv-0VAbvCnhw,2021-01-02,-59,-46,-42,-43,-45,22
BO,Bolivia,,,,,,ChIJlaK7d4nfXpERv-0VAbvCnhw,2021-01-03,-53,-43,-33,-31,-22,17
BO,Bolivia,,,,,,ChIJlaK7d4nfXpERv-0VAbvCnhw,2021-01-04,-27,1,-23,-18,-22,12
BO,Bolivia,,,,,,ChIJlaK7d4nfXpERv-0VAbvCnhw,2021-01-05,-27,-4,-25,-20,-24,13
BO,Bolivia,,,,,,ChIJlaK7d4nfXpERv-0VAbvCnhw,2021-01-06,-29,-5,-24,-20,-17,14
BO,Bolivia,,,,,,ChIJlaK7d4nfXpERv-0VAbvCnhw,2021-01-07,-26,-2,-26,-19,-18,12
BO,Bolivia,,,,,,ChIJlaK7d4nfXpERv-0VAbvCnhw,2021-01-08,-27,-1,-26,-22,-17,12
BO,Bolivia,,,,,,ChIJlaK7d4nfXpERv-0VAbvCnhw,2021-01-09,-32,-10,-30,-24,-8,10
BO,Bolivia,,,,,,ChIJlaK7d4nfXpERv-0VAbvCnhw,2021-01-10,-34,-16,-26,-26,-3,10
BO,Bolivia,,,,,,ChIJlaK7d4nfXpERv-0VAbvCnhw,2021-01-11,-23,0,-21,-17,-19,10
BO,Bolivia,,,,,,ChIJlaK7d4nfXpERv-0VAbvCnhw,2021-01-12,-41,-24,-43,-50,-35,18
BO,Bolivia,,,,,,ChIJlaK7d4nfXpERv-0VAbvCnhw,2021-01-13,-30,-9,-28,-26,-23,10
BO,Bolivia,,,,,,ChIJlaK7d4nfXpERv-0VAbvCnhw,2021-01-14,-28,-9,-30,-23,-25,8
BO,Bolivia,,,,,,ChIJlaK7d4nfXpERv-0VAbvCnhw,2021-01-15,-32,-11,-33,-28,-26,9
