country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
BS,The Bahamas,,,,,,ChIJPQ9Isjua1ogR5XnHaoO0PhM,2021-01-01,-64,-59,0,-62,-72,22
BS,The Bahamas,,,,,,ChIJPQ9Isjua1ogR5XnHaoO0PhM,2021-01-02,-37,-22,-5,-48,-27,6
BS,The Bahamas,,,,,,ChIJPQ9Isjua1ogR5XnHaoO0PhM,2021-01-03,-51,-40,-3,-38,-29,4
BS,The Bahamas,,,,,,ChIJPQ9Isjua1ogR5XnHaoO0PhM,2021-01-04,-29,-16,8,-44,-24,6
BS,The Bahamas,,,,,,ChIJPQ9Isjua1ogR5XnHaoO0PhM,2021-01-05,-32,-18,6,-43,-26,7
BS,The Bahamas,,,,,,ChIJPQ9Isjua1ogR5XnHaoO0PhM,2021-01-06,-33,-20,0,-39,-23,7
BS,The Bahamas,,,,,,ChIJPQ9Isjua1ogR5XnHaoO0PhM,2021-01-07,-33,-17,-1,-45,-25,7
BS,The Bahamas,,,,,,ChIJPQ9Isjua1ogR5XnHaoO0PhM,2021-01-08,-30,-15,-5,-38,-23,4
BS,The Bahamas,,,,,,ChIJPQ9Isjua1ogR5XnHaoO0PhM,2021-01-09,-31,-15,-12,-50,-25,1
BS,The Bahamas,,,,,,ChIJPQ9Isjua1ogR5XnHaoO0PhM,2021-01-10,-48,-32,-9,-48,-31,2
BS,The Bahamas,,,,,,ChIJPQ9Isjua1ogR5XnHaoO0PhM,2021-01-11,-50,-50,1,-54,-70,17
BS,The Bahamas,,,,,,ChIJPQ9Isjua1ogR5XnHaoO0PhM,2021-01-12,-34,-18,-9,-47,-26,3
BS,The Bahamas,,,,,,ChIJPQ9Isjua1ogR5XnHaoO0PhM,2021-01-13,-35,-23,-8,-39,-25,2
BS,The Bahamas,,,,,,ChIJPQ9Isjua1ogR5XnHaoO0PhM,2021-01-14,-36,-22,-12,-48,-28,4
BS,The Bahamas,,,,,,ChIJPQ9Isjua1ogR5XnHaoO0PhM,2021-01-15,-35,-24,-13,-44,-27,2
BS,The Bahamas,,,,,,ChIJPQ9Isjua1ogR5XnHaoO0PhM,2021-01-16,-37,-22,-16,-57,-30,2
BS,The Bahamas,,,,,,ChIJPQ9Isjua1ogR5XnHaoO0PhM,2021-01-17,-51,-38,-16,-55,-34,2
BS,The Bahamas,,,,,,ChIJPQ9Isjua1ogR5XnHaoO0PhM,2021-01-18,-34,-23,-3,-49,-27,2
BS,The Bahamas,,,,,,ChIJPQ9Isjua1ogR5XnHaoO0PhM,2021-01-19,-34,-24,-5,-46,-28,2
BS,The Bahamas,,,,,,ChIJPQ9Isjua1ogR5XnHaoO0PhM,2021-01-20,-37,-26,-9,-43,-26,3
BS,The Bahamas,,,,,,ChIJPQ9Isjua1ogR5XnHaoO0PhM,2021-01-21,-36,-22,-9,-49,-27,3
BS,The Bahamas,,,,,,ChIJPQ9Isjua1ogR5XnHaoO0PhM,2021-01-22,-32,-19,-7,-43,-26,1
BS,The Bahamas,,,,,,ChIJPQ9Isjua1ogR5XnHaoO0PhM,2021-01-23,-34,-19,-8,-53,-27,-1
BS,The Bahamas,,,,,,ChIJPQ9Isjua1ogR5XnHaoO0PhM,2021-01-24,-46,-32,-10,-53,-32,0
BS,The Bahamas,,,,,,ChIJPQ9Isjua1ogR5XnHaoO0PhM,2021-01-25,-33,-24,-1,-48,-26,2
BS,The Bahamas,,,,,,ChIJPQ9Isjua1ogR5XnHaoO0PhM,2021-01-26,-32,-23,-5,-50,-27,1
BS,The Bahamas,,,,,,ChIJPQ9Isjua1ogR5XnHaoO0PhM,2021-01-27,-31,-20,-6,-39,-25,1
BS,The Bahamas,,,,,,ChIJPQ9Isjua1ogR5XnHaoO0PhM,2021-01-28,-32,-16,-11,-45,-26,0
BS,The Bahamas,,,,,,ChIJPQ9Isjua1ogR5XnHaoO0PhM,2021-01-29,-27,-12,-11,-42,-24,-3
BS,The Bahamas,,,,,,ChIJPQ9Isjua1ogR5XnHaoO0PhM,2021-01-30,-29,-14,-11,-53,-25,-7
BS,The Bahamas,,,,,,ChIJPQ9Isjua1ogR5XnHaoO0PhM,2021-01-31,-42,-27,-15,-54,-29,-6
BS,The Bahamas,,,,,,ChIJPQ9Isjua1ogR5XnHaoO0PhM,2021-02-01,-31,-20,-9,-48,-26,-3
BS,The Bahamas,,,,,,ChIJPQ9Isjua1ogR5XnHaoO0PhM,2021-02-02,-33,-19,-13,-51,-27,-3
BS,The Bahamas,,,,,,ChIJPQ9Isjua1ogR5XnHaoO0PhM,2021-02-03,-37,-24,-12,-44,-24,-1
BS,The Bahamas,,,,,,ChIJPQ9Isjua1ogR5XnHaoO0PhM,2021-02-04,-36,-22,-8,-48,-26,1
BS,The Bahamas,,,,,,ChIJPQ9Isjua1ogR5XnHaoO0PhM,2021-02-05,-31,-19,-4,-42,-24,-1
BS,The Bahamas,,,,,,ChIJPQ9Isjua1ogR5XnHaoO0PhM,2021-02-06,-35,-19,-6,-52,-26,-3
BS,The Bahamas,,,,,,ChIJPQ9Isjua1ogR5XnHaoO0PhM,2021-02-07,-43,-29,-3,-57,-29,-4
BS,The Bahamas,,,,,,ChIJPQ9Isjua1ogR5XnHaoO0PhM,2021-02-08,-34,-25,-1,-49,-25,-1
BS,The Bahamas,,,,,,ChIJPQ9Isjua1ogR5XnHaoO0PhM,2021-02-09,-33,-22,0,-43,-26,-2
BS,The Bahamas,,,,,,ChIJPQ9Isjua1ogR5XnHaoO0PhM,2021-02-10,-33,-23,-3,-42,-24,-2
BS,The Bahamas,,,,,,ChIJPQ9Isjua1ogR5XnHaoO0PhM,2021-02-11,-33,-18,-1,-38,-26,-3
BS,The Bahamas,,,,,,ChIJPQ9Isjua1ogR5XnHaoO0PhM,2021-02-12,-28,-14,3,-41,-25,-7
BS,The Bahamas,,,,,,ChIJPQ9Isjua1ogR5XnHaoO0PhM,2021-02-13,-28,-13,6,-51,-29,-10
BS,The Bahamas,,,,,,ChIJPQ9Isjua1ogR5XnHaoO0PhM,2021-02-14,-34,-25,3,-56,-31,-9
BS,The Bahamas,,,,,,ChIJPQ9Isjua1ogR5XnHaoO0PhM,2021-02-15,-30,-20,7,-46,-26,-7
BS,The Bahamas,,,,,,ChIJPQ9Isjua1ogR5XnHaoO0PhM,2021-02-16,-29,-18,4,-42,-27,-8
BS,The Bahamas,,,,,,ChIJPQ9Isjua1ogR5XnHaoO0PhM,2021-02-17,-30,-19,1,-39,-25,-7
BS,The Bahamas,,,,,,ChIJPQ9Isjua1ogR5XnHaoO0PhM,2021-02-18,-31,-18,0,-43,-26,-6
BS,The Bahamas,,,,,,ChIJPQ9Isjua1ogR5XnHaoO0PhM,2021-02-19,-25,-12,2,-42,-27,-7
BS,The Bahamas,,,,,,ChIJPQ9Isjua1ogR5XnHaoO0PhM,2021-02-20,-30,-15,-1,-51,-28,-9
BS,The Bahamas,,,,,,ChIJPQ9Isjua1ogR5XnHaoO0PhM,2021-02-21,-44,-28,-7,-55,-35,-7
BS,The Bahamas,,,,,,ChIJPQ9Isjua1ogR5XnHaoO0PhM,2021-02-22,-25,-15,8,-46,-29,-6
BS,The Bahamas,,,,,,ChIJPQ9Isjua1ogR5XnHaoO0PhM,2021-02-23,-28,-20,6,-42,-26,-8
BS,The Bahamas,,,,,,ChIJPQ9Isjua1ogR5XnHaoO0PhM,2021-02-24,-26,-15,4,-43,-24,-8
BS,The Bahamas,,,,,,ChIJPQ9Isjua1ogR5XnHaoO0PhM,2021-02-25,-26,-12,5,-42,-26,-8
BS,The Bahamas,,,,,,ChIJPQ9Isjua1ogR5XnHaoO0PhM,2021-02-26,-20,-8,6,-39,-25,-9
BS,The Bahamas,,,,,,ChIJPQ9Isjua1ogR5XnHaoO0PhM,2021-02-27,-23,-9,8,-51,-26,-12
BS,The Bahamas,,,,,,ChIJPQ9Isjua1ogR5XnHaoO0PhM,2021-02-28,-35,-19,7,-52,-31,-10
BS,The Bahamas,,,,,,ChIJPQ9Isjua1ogR5XnHaoO0PhM,2021-03-01,-23,-12,12,-47,-25,-9
BS,The Bahamas,,,,,,ChIJPQ9Isjua1ogR5XnHaoO0PhM,2021-03-02,-25,-13,8,-45,-26,-9
BS,The Bahamas,,,,,,ChIJPQ9Isjua1ogR5XnHaoO0PhM,2021-03-03,-28,-17,4,-39,-23,-9
BS,The Bahamas,,,,,,ChIJPQ9Isjua1ogR5XnHaoO0PhM,2021-03-04,-30,-14,3,-43,-24,-7
BS,The Bahamas,,,,,,ChIJPQ9Isjua1ogR5XnHaoO0PhM,2021-03-05,-25,-12,5,-38,-23,-9
BS,The Bahamas,,,,,,ChIJPQ9Isjua1ogR5XnHaoO0PhM,2021-03-06,-27,-14,6,-49,-26,-10
BS,The Bahamas,,,,,,ChIJPQ9Isjua1ogR5XnHaoO0PhM,2021-03-07,-37,-24,2,-53,-32,-8
BS,The Bahamas,,,,,,ChIJPQ9Isjua1ogR5XnHaoO0PhM,2021-03-08,-27,-15,8,-48,-24,-8
BS,The Bahamas,,,,,,ChIJPQ9Isjua1ogR5XnHaoO0PhM,2021-03-09,-28,-17,4,-41,-25,-7
BS,The Bahamas,,,,,,ChIJPQ9Isjua1ogR5XnHaoO0PhM,2021-03-10,-29,-18,3,-38,-22,-7
BS,The Bahamas,,,,,,ChIJPQ9Isjua1ogR5XnHaoO0PhM,2021-03-11,-29,-15,3,-38,-24,-8
BS,The Bahamas,,,,,,ChIJPQ9Isjua1ogR5XnHaoO0PhM,2021-03-12,-24,-11,6,-38,-22,-9
BS,The Bahamas,,,,,,ChIJPQ9Isjua1ogR5XnHaoO0PhM,2021-03-13,-26,-12,7,-41,-25,-11
