country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
BY,Belarus,,,,,,ChIJgUit4oQl2kYREIzsgdGhAAA,2021-01-01,-68,-49,-17,-58,-87,22
BY,Belarus,,,,,,ChIJgUit4oQl2kYREIzsgdGhAAA,2021-01-02,-42,-24,-9,-38,-54,6
BY,Belarus,,,,,,ChIJgUit4oQl2kYREIzsgdGhAAA,2021-01-03,-35,-16,-5,-24,-23,2
BY,Belarus,,,,,,ChIJgUit4oQl2kYREIzsgdGhAAA,2021-01-04,-24,-4,-18,-18,-33,7
BY,Belarus,,,,,,ChIJgUit4oQl2kYREIzsgdGhAAA,2021-01-05,-20,-1,-22,-18,-33,7
BY,Belarus,,,,,,ChIJgUit4oQl2kYREIzsgdGhAAA,2021-01-06,-9,21,-8,-7,-33,4
BY,Belarus,,,,,,ChIJgUit4oQl2kYREIzsgdGhAAA,2021-01-07,-32,-9,6,-39,-81,17
BY,Belarus,,,,,,ChIJgUit4oQl2kYREIzsgdGhAAA,2021-01-08,-29,-10,4,-32,-68,16
BY,Belarus,,,,,,ChIJgUit4oQl2kYREIzsgdGhAAA,2021-01-09,-31,-11,1,-22,-29,3
BY,Belarus,,,,,,ChIJgUit4oQl2kYREIzsgdGhAAA,2021-01-10,-31,-9,1,-20,-14,1
BY,Belarus,,,,,,ChIJgUit4oQl2kYREIzsgdGhAAA,2021-01-11,-24,-2,-15,-14,-16,3
BY,Belarus,,,,,,ChIJgUit4oQl2kYREIzsgdGhAAA,2021-01-12,-22,-2,-19,-15,-17,2
BY,Belarus,,,,,,ChIJgUit4oQl2kYREIzsgdGhAAA,2021-01-13,-24,-1,-19,-16,-19,0
BY,Belarus,,,,,,ChIJgUit4oQl2kYREIzsgdGhAAA,2021-01-14,-29,-12,-23,-22,-23,0
BY,Belarus,,,,,,ChIJgUit4oQl2kYREIzsgdGhAAA,2021-01-15,-36,-17,-32,-28,-25,3
BY,Belarus,,,,,,ChIJgUit4oQl2kYREIzsgdGhAAA,2021-01-16,-40,-20,-37,-27,35,-3
BY,Belarus,,,,,,ChIJgUit4oQl2kYREIzsgdGhAAA,2021-01-17,-42,-24,-37,-40,-25,4
BY,Belarus,,,,,,ChIJgUit4oQl2kYREIzsgdGhAAA,2021-01-18,-38,-19,-34,-27,-26,4
BY,Belarus,,,,,,ChIJgUit4oQl2kYREIzsgdGhAAA,2021-01-19,-31,-12,-22,-23,-25,2
BY,Belarus,,,,,,ChIJgUit4oQl2kYREIzsgdGhAAA,2021-01-20,-30,-10,-32,-22,-23,2
BY,Belarus,,,,,,ChIJgUit4oQl2kYREIzsgdGhAAA,2021-01-21,-27,-8,-22,-19,-23,1
BY,Belarus,,,,,,ChIJgUit4oQl2kYREIzsgdGhAAA,2021-01-22,-28,-6,-21,-19,-23,1
BY,Belarus,,,,,,ChIJgUit4oQl2kYREIzsgdGhAAA,2021-01-23,-28,-8,-15,-21,-21,-1
BY,Belarus,,,,,,ChIJgUit4oQl2kYREIzsgdGhAAA,2021-01-24,-34,-16,-27,-28,-20,0
BY,Belarus,,,,,,ChIJgUit4oQl2kYREIzsgdGhAAA,2021-01-25,-28,-9,-26,-19,-22,1
BY,Belarus,,,,,,ChIJgUit4oQl2kYREIzsgdGhAAA,2021-01-26,-32,-15,-34,-23,-23,2
BY,Belarus,,,,,,ChIJgUit4oQl2kYREIzsgdGhAAA,2021-01-27,-28,-8,-27,-18,-22,1
BY,Belarus,,,,,,ChIJgUit4oQl2kYREIzsgdGhAAA,2021-01-28,-28,-8,-22,-20,-22,1
BY,Belarus,,,,,,ChIJgUit4oQl2kYREIzsgdGhAAA,2021-01-29,-30,-6,-24,-20,-21,1
BY,Belarus,,,,,,ChIJgUit4oQl2kYREIzsgdGhAAA,2021-01-30,-30,-9,-20,-23,-20,0
BY,Belarus,,,,,,ChIJgUit4oQl2kYREIzsgdGhAAA,2021-01-31,-34,-13,-17,-27,-17,0
BY,Belarus,,,,,,ChIJgUit4oQl2kYREIzsgdGhAAA,2021-02-01,-31,-9,-26,-20,-21,1
BY,Belarus,,,,,,ChIJgUit4oQl2kYREIzsgdGhAAA,2021-02-02,-31,-11,-29,-21,-21,1
