country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2021-01-01,-87,-82,-59,-75,-78,29
CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2021-01-02,-62,-32,-57,-51,-36,20
CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2021-01-03,-60,-35,-56,-43,-18,16
CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2021-01-04,-26,-5,-34,-24,-20,12
CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2021-01-05,-26,-4,-32,-24,-20,12
CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2021-01-06,-29,-6,-35,-25,-19,13
CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2021-01-07,-30,-8,-33,-25,-20,13
CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2021-01-08,-30,-6,-33,-26,-20,14
CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2021-01-09,-55,-25,-56,-42,-22,18
CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2021-01-10,-59,-33,-58,-44,-18,17
CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2021-01-11,-27,-7,-33,-25,-21,12
CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2021-01-12,-28,-6,-31,-25,-22,12
CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2021-01-13,-31,-8,-33,-26,-22,11
CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2021-01-14,-40,-20,-39,-33,-27,14
CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2021-01-15,-39,-17,-39,-33,-27,14
CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2021-01-16,-62,-35,-59,-48,-28,18
CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2021-01-17,-64,-40,-60,-48,-24,16
CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2021-01-18,-36,-17,-36,-32,-27,12
CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2021-01-19,-37,-17,-35,-32,-27,13
CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2021-01-20,-38,-16,-35,-32,-26,13
CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2021-01-21,-39,-17,-35,-32,-26,14
CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2021-01-22,-38,-14,-35,-32,-26,14
CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2021-01-23,-61,-34,-57,-47,-27,18
CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2021-01-24,-63,-39,-58,-48,-23,16
CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2021-01-25,-36,-16,-35,-32,-26,12
CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2021-01-26,-37,-16,-34,-31,-27,13
CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2021-01-27,-38,-16,-35,-32,-25,13
CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2021-01-28,-39,-18,-37,-32,-26,14
CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2021-01-29,-38,-11,-42,-32,-26,15
CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2021-01-30,-63,-32,-64,-49,-30,19
CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2021-01-31,-63,-34,-63,-45,-24,18
