country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
CO,Colombia,,,,,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,2021-01-01,-76,-61,-48,-71,-76,25
CO,Colombia,,,,,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,2021-01-02,-58,-29,-36,-52,-42,16
CO,Colombia,,,,,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,2021-01-03,-43,-18,-21,-19,-6,6
CO,Colombia,,,,,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,2021-01-04,-30,5,-19,-28,-29,12
CO,Colombia,,,,,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,2021-01-05,-33,1,-21,-31,-29,14
CO,Colombia,,,,,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,2021-01-06,-35,-4,-22,-34,-30,13
CO,Colombia,,,,,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,2021-01-07,-34,3,-21,-32,-30,13
CO,Colombia,,,,,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,2021-01-08,-48,-10,-36,-45,-34,19
CO,Colombia,,,,,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,2021-01-09,-65,-36,-51,-55,-31,20
CO,Colombia,,,,,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,2021-01-10,-67,-43,-51,-53,-20,17
CO,Colombia,,,,,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,2021-01-11,-68,-45,-52,-66,-69,27
CO,Colombia,,,,,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,2021-01-12,-36,-2,-26,-29,-24,12
CO,Colombia,,,,,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,2021-01-13,-39,-9,-31,-34,-29,11
CO,Colombia,,,,,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,2021-01-14,-40,-10,-33,-36,-32,12
CO,Colombia,,,,,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,2021-01-15,-44,-9,-37,-37,-31,13
CO,Colombia,,,,,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,2021-01-16,-59,-28,-49,-52,-28,16
CO,Colombia,,,,,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,2021-01-17,-65,-41,-52,-52,-23,14
CO,Colombia,,,,,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,2021-01-18,-39,-9,-35,-33,-29,11
CO,Colombia,,,,,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,2021-01-19,-39,-10,-34,-33,-29,13
CO,Colombia,,,,,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,2021-01-20,-40,-13,-34,-35,-29,12
CO,Colombia,,,,,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,2021-01-21,-39,-11,-34,-36,-30,13
CO,Colombia,,,,,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,2021-01-22,-40,-10,-37,-32,-25,13
CO,Colombia,,,,,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,2021-01-23,-50,-21,-43,-40,-18,13
CO,Colombia,,,,,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,2021-01-24,-57,-36,-46,-41,-16,11
CO,Colombia,,,,,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,2021-01-25,-38,-11,-36,-31,-26,12
CO,Colombia,,,,,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,2021-01-26,-38,-9,-34,-31,-26,13
CO,Colombia,,,,,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,2021-01-27,-38,-11,-32,-32,-26,12
CO,Colombia,,,,,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,2021-01-28,-37,-7,-31,-31,-27,12
CO,Colombia,,,,,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,2021-01-29,-33,1,-30,-26,-21,11
CO,Colombia,,,,,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,2021-01-30,-30,5,-26,-17,-5,6
CO,Colombia,,,,,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,2021-01-31,-35,-4,-28,-17,-2,5
CO,Colombia,,,,,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,2021-02-01,-33,2,-30,-25,-24,10
CO,Colombia,,,,,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,2021-02-02,-31,5,-27,-24,-24,11
CO,Colombia,,,,,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,2021-02-03,-34,-3,-30,-29,-25,10
CO,Colombia,,,,,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,2021-02-04,-33,-2,-30,-30,-26,11
CO,Colombia,,,,,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,2021-02-05,-33,0,-32,-28,-20,11
CO,Colombia,,,,,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,2021-02-06,-31,0,-29,-19,-4,6
CO,Colombia,,,,,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,2021-02-07,-36,-11,-27,-18,-2,5
CO,Colombia,,,,,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,2021-02-08,-35,-4,-35,-27,-24,11
CO,Colombia,,,,,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,2021-02-09,-34,-2,-33,-25,-23,12
CO,Colombia,,,,,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,2021-02-10,-34,-5,-32,-28,-23,11
CO,Colombia,,,,,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,2021-02-11,-33,-3,-29,-29,-24,11
CO,Colombia,,,,,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,2021-02-12,-34,-2,-33,-26,-19,11
CO,Colombia,,,,,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,2021-02-13,-30,2,-27,-18,-4,6
CO,Colombia,,,,,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,2021-02-14,-36,-11,-29,-17,-1,6
CO,Colombia,,,,,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,2021-02-15,-31,4,-32,-24,-21,10
CO,Colombia,,,,,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,2021-02-16,-29,8,-27,-21,-20,11
CO,Colombia,,,,,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,2021-02-17,-30,4,-25,-23,-21,10
CO,Colombia,,,,,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,2021-02-18,-31,2,-29,-24,-22,11
CO,Colombia,,,,,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,2021-02-19,-30,4,-30,-21,-16,10
CO,Colombia,,,,,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,2021-02-20,-25,8,-25,-13,-1,5
CO,Colombia,,,,,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,2021-02-21,-31,-3,-24,-11,1,4
CO,Colombia,,,,,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,2021-02-22,-31,3,-32,-22,-19,10
CO,Colombia,,,,,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,2021-02-23,-30,6,-28,-20,-18,11
CO,Colombia,,,,,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,2021-02-24,-31,1,-28,-23,-20,10
CO,Colombia,,,,,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,2021-02-25,-29,5,-27,-23,-21,10
CO,Colombia,,,,,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,2021-02-26,-26,11,-27,-18,-14,9
CO,Colombia,,,,,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,2021-02-27,-21,17,-22,-7,1,4
CO,Colombia,,,,,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,2021-02-28,-23,10,-19,-1,5,3
CO,Colombia,,,,,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,2021-03-01,-27,11,-31,-17,-18,9
CO,Colombia,,,,,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,2021-03-02,-26,14,-27,-16,-17,10
CO,Colombia,,,,,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,2021-03-03,-26,10,-25,-19,-19,9
CO,Colombia,,,,,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,2021-03-04,-28,7,-27,-21,-20,10
CO,Colombia,,,,,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,2021-03-05,-25,13,-25,-15,-14,9
CO,Colombia,,,,,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,2021-03-06,-20,15,-20,-6,1,4
CO,Colombia,,,,,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,2021-03-07,-26,3,-22,-7,4,4
CO,Colombia,,,,,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,2021-03-08,-22,12,-25,-16,-17,9
CO,Colombia,,,,,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,2021-03-09,-28,8,-27,-18,-17,10
CO,Colombia,,,,,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,2021-03-10,-31,3,-29,-20,-19,10
CO,Colombia,,,,,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,2021-03-11,-30,3,-30,-20,-19,10
CO,Colombia,,,,,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,2021-03-12,-29,6,-30,-16,-13,10
CO,Colombia,,,,,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,2021-03-13,-23,12,-24,-8,2,5
CO,Colombia,,,,,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,2021-03-14,-28,1,-24,-7,5,5
CO,Colombia,,,,,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,2021-03-15,-29,7,-32,-15,-16,10
CO,Colombia,,,,,,ChIJo5QVrjqkFY4RQKPy7wSaDZo,2021-03-16,-26,14,-26,-13,-15,10
