country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
CZ,Czechia,,,,,,ChIJQ4Ld14-UC0cRb1jb03UcZvg,2021-01-01,-88,-91,11,-71,-87,31
CZ,Czechia,,,,,,ChIJQ4Ld14-UC0cRb1jb03UcZvg,2021-01-02,-70,-21,-2,-47,-31,10
CZ,Czechia,,,,,,ChIJQ4Ld14-UC0cRb1jb03UcZvg,2021-01-03,-69,-29,-20,-47,-19,9
CZ,Czechia,,,,,,ChIJQ4Ld14-UC0cRb1jb03UcZvg,2021-01-04,-55,-6,-33,-43,-29,16
CZ,Czechia,,,,,,ChIJQ4Ld14-UC0cRb1jb03UcZvg,2021-01-05,-55,-7,-28,-42,-30,16
CZ,Czechia,,,,,,ChIJQ4Ld14-UC0cRb1jb03UcZvg,2021-01-06,-56,-10,-26,-41,-29,16
CZ,Czechia,,,,,,ChIJQ4Ld14-UC0cRb1jb03UcZvg,2021-01-07,-56,-9,-21,-41,-29,16
CZ,Czechia,,,,,,ChIJQ4Ld14-UC0cRb1jb03UcZvg,2021-01-08,-57,-3,-24,-41,-27,16
CZ,Czechia,,,,,,ChIJQ4Ld14-UC0cRb1jb03UcZvg,2021-01-09,-64,-9,2,-38,-14,9
CZ,Czechia,,,,,,ChIJQ4Ld14-UC0cRb1jb03UcZvg,2021-01-10,-63,-19,16,-40,-12,7
CZ,Czechia,,,,,,ChIJQ4Ld14-UC0cRb1jb03UcZvg,2021-01-11,-51,-3,-18,-38,-28,14
CZ,Czechia,,,,,,ChIJQ4Ld14-UC0cRb1jb03UcZvg,2021-01-12,-53,-6,-22,-39,-29,14
CZ,Czechia,,,,,,ChIJQ4Ld14-UC0cRb1jb03UcZvg,2021-01-13,-53,-5,-20,-39,-28,14
CZ,Czechia,,,,,,ChIJQ4Ld14-UC0cRb1jb03UcZvg,2021-01-14,-54,-6,-20,-40,-30,14
CZ,Czechia,,,,,,ChIJQ4Ld14-UC0cRb1jb03UcZvg,2021-01-15,-56,-3,-26,-41,-30,14
CZ,Czechia,,,,,,ChIJQ4Ld14-UC0cRb1jb03UcZvg,2021-01-16,-64,-11,-3,-38,-16,7
CZ,Czechia,,,,,,ChIJQ4Ld14-UC0cRb1jb03UcZvg,2021-01-17,-64,-20,9,-41,-14,5
CZ,Czechia,,,,,,ChIJQ4Ld14-UC0cRb1jb03UcZvg,2021-01-18,-54,-9,-25,-40,-31,13
CZ,Czechia,,,,,,ChIJQ4Ld14-UC0cRb1jb03UcZvg,2021-01-19,-52,-6,-22,-39,-31,13
CZ,Czechia,,,,,,ChIJQ4Ld14-UC0cRb1jb03UcZvg,2021-01-20,-50,-2,-11,-35,-29,13
