country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
EC,Ecuador,,,,,,ChIJ1UuaqN2HI5ARAjecEQSvdp0,2021-01-01,-62,-51,-49,-61,-76,26
EC,Ecuador,,,,,,ChIJ1UuaqN2HI5ARAjecEQSvdp0,2021-01-02,-37,-9,-33,-33,-25,15
EC,Ecuador,,,,,,ChIJ1UuaqN2HI5ARAjecEQSvdp0,2021-01-03,-33,-13,-29,-16,-1,9
EC,Ecuador,,,,,,ChIJ1UuaqN2HI5ARAjecEQSvdp0,2021-01-04,-22,5,-30,-21,-32,16
EC,Ecuador,,,,,,ChIJ1UuaqN2HI5ARAjecEQSvdp0,2021-01-05,-20,8,-28,-20,-32,16
EC,Ecuador,,,,,,ChIJ1UuaqN2HI5ARAjecEQSvdp0,2021-01-06,-20,7,-28,-21,-29,16
EC,Ecuador,,,,,,ChIJ1UuaqN2HI5ARAjecEQSvdp0,2021-01-07,-23,4,-29,-21,-30,17
EC,Ecuador,,,,,,ChIJ1UuaqN2HI5ARAjecEQSvdp0,2021-01-08,-25,2,-32,-22,-29,18
EC,Ecuador,,,,,,ChIJ1UuaqN2HI5ARAjecEQSvdp0,2021-01-09,-22,4,-28,-15,0,11
EC,Ecuador,,,,,,ChIJ1UuaqN2HI5ARAjecEQSvdp0,2021-01-10,-23,-3,-23,-10,6,7
EC,Ecuador,,,,,,ChIJ1UuaqN2HI5ARAjecEQSvdp0,2021-01-11,-22,1,-30,-19,-30,15
EC,Ecuador,,,,,,ChIJ1UuaqN2HI5ARAjecEQSvdp0,2021-01-12,-24,0,-31,-20,-32,15
EC,Ecuador,,,,,,ChIJ1UuaqN2HI5ARAjecEQSvdp0,2021-01-13,-27,-5,-35,-24,-33,13
EC,Ecuador,,,,,,ChIJ1UuaqN2HI5ARAjecEQSvdp0,2021-01-14,-29,-9,-38,-27,-36,13
EC,Ecuador,,,,,,ChIJ1UuaqN2HI5ARAjecEQSvdp0,2021-01-15,-29,-6,-39,-28,-35,15
EC,Ecuador,,,,,,ChIJ1UuaqN2HI5ARAjecEQSvdp0,2021-01-16,-29,-7,-36,-23,-11,9
EC,Ecuador,,,,,,ChIJ1UuaqN2HI5ARAjecEQSvdp0,2021-01-17,-28,-12,-29,-18,-4,5
EC,Ecuador,,,,,,ChIJ1UuaqN2HI5ARAjecEQSvdp0,2021-01-18,-28,-9,-38,-26,-36,14
EC,Ecuador,,,,,,ChIJ1UuaqN2HI5ARAjecEQSvdp0,2021-01-19,-28,-7,-36,-25,-36,14
EC,Ecuador,,,,,,ChIJ1UuaqN2HI5ARAjecEQSvdp0,2021-01-20,-28,-7,-37,-26,-35,14
EC,Ecuador,,,,,,ChIJ1UuaqN2HI5ARAjecEQSvdp0,2021-01-21,-28,-8,-37,-26,-35,15
EC,Ecuador,,,,,,ChIJ1UuaqN2HI5ARAjecEQSvdp0,2021-01-22,-30,-8,-40,-28,-34,17
EC,Ecuador,,,,,,ChIJ1UuaqN2HI5ARAjecEQSvdp0,2021-01-23,-28,-5,-33,-21,-8,9
EC,Ecuador,,,,,,ChIJ1UuaqN2HI5ARAjecEQSvdp0,2021-01-24,-29,-13,-30,-17,-2,6
EC,Ecuador,,,,,,ChIJ1UuaqN2HI5ARAjecEQSvdp0,2021-01-25,-27,-7,-36,-23,-34,14
EC,Ecuador,,,,,,ChIJ1UuaqN2HI5ARAjecEQSvdp0,2021-01-26,-27,-7,-36,-24,-35,14
EC,Ecuador,,,,,,ChIJ1UuaqN2HI5ARAjecEQSvdp0,2021-01-27,-29,-10,-37,-25,-34,15
EC,Ecuador,,,,,,ChIJ1UuaqN2HI5ARAjecEQSvdp0,2021-01-28,-28,-7,-36,-24,-34,15
EC,Ecuador,,,,,,ChIJ1UuaqN2HI5ARAjecEQSvdp0,2021-01-29,-27,-2,-35,-24,-32,15
EC,Ecuador,,,,,,ChIJ1UuaqN2HI5ARAjecEQSvdp0,2021-01-30,-25,2,-29,-17,-6,7
EC,Ecuador,,,,,,ChIJ1UuaqN2HI5ARAjecEQSvdp0,2021-01-31,-23,-1,-21,-12,2,3
EC,Ecuador,,,,,,ChIJ1UuaqN2HI5ARAjecEQSvdp0,2021-02-01,-23,2,-31,-21,-33,12
EC,Ecuador,,,,,,ChIJ1UuaqN2HI5ARAjecEQSvdp0,2021-02-02,-20,6,-28,-18,-34,11
EC,Ecuador,,,,,,ChIJ1UuaqN2HI5ARAjecEQSvdp0,2021-02-03,-23,1,-31,-22,-33,12
EC,Ecuador,,,,,,ChIJ1UuaqN2HI5ARAjecEQSvdp0,2021-02-04,-24,-1,-33,-22,-34,13
EC,Ecuador,,,,,,ChIJ1UuaqN2HI5ARAjecEQSvdp0,2021-02-05,-26,1,-34,-23,-32,14
