country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
EG,Egypt,,,,,,ChIJ6TZcw3aJNhQRRMTEJQmgRSw,2021-01-01,-12,45,16,-3,-5,6
EG,Egypt,,,,,,ChIJ6TZcw3aJNhQRRMTEJQmgRSw,2021-01-02,-18,38,2,-9,-7,6
EG,Egypt,,,,,,ChIJ6TZcw3aJNhQRRMTEJQmgRSw,2021-01-03,-19,38,5,-6,-10,6
EG,Egypt,,,,,,ChIJ6TZcw3aJNhQRRMTEJQmgRSw,2021-01-04,-20,33,-5,-12,-7,6
EG,Egypt,,,,,,ChIJ6TZcw3aJNhQRRMTEJQmgRSw,2021-01-05,-19,35,-5,-9,-10,6
EG,Egypt,,,,,,ChIJ6TZcw3aJNhQRRMTEJQmgRSw,2021-01-06,-17,40,-5,-11,-13,6
EG,Egypt,,,,,,ChIJ6TZcw3aJNhQRRMTEJQmgRSw,2021-01-07,-22,29,-12,-29,-38,11
EG,Egypt,,,,,,ChIJ6TZcw3aJNhQRRMTEJQmgRSw,2021-01-08,-13,43,13,-10,-8,5
EG,Egypt,,,,,,ChIJ6TZcw3aJNhQRRMTEJQmgRSw,2021-01-09,-17,38,0,-14,-9,4
EG,Egypt,,,,,,ChIJ6TZcw3aJNhQRRMTEJQmgRSw,2021-01-10,-18,38,1,-10,-11,4
EG,Egypt,,,,,,ChIJ6TZcw3aJNhQRRMTEJQmgRSw,2021-01-11,-18,37,-5,-14,-8,4
EG,Egypt,,,,,,ChIJ6TZcw3aJNhQRRMTEJQmgRSw,2021-01-12,-20,33,-7,-16,-11,4
EG,Egypt,,,,,,ChIJ6TZcw3aJNhQRRMTEJQmgRSw,2021-01-13,-25,28,-13,-21,-14,3
EG,Egypt,,,,,,ChIJ6TZcw3aJNhQRRMTEJQmgRSw,2021-01-14,-28,22,-21,-25,-18,3
EG,Egypt,,,,,,ChIJ6TZcw3aJNhQRRMTEJQmgRSw,2021-01-15,-18,34,0,-17,-16,1
