country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
FR,France,,,,,,ChIJMVd4MymgVA0R99lHx5Y__Ws,2021-01-01,-83,-87,-7,-69,-87,24
FR,France,,,,,,ChIJMVd4MymgVA0R99lHx5Y__Ws,2021-01-02,-47,-12,-27,-33,-32,10
FR,France,,,,,,ChIJMVd4MymgVA0R99lHx5Y__Ws,2021-01-03,-50,-13,-32,-29,-19,6
FR,France,,,,,,ChIJMVd4MymgVA0R99lHx5Y__Ws,2021-01-04,-37,-2,-24,-34,-27,11
FR,France,,,,,,ChIJMVd4MymgVA0R99lHx5Y__Ws,2021-01-05,-36,2,-19,-33,-26,11
FR,France,,,,,,ChIJMVd4MymgVA0R99lHx5Y__Ws,2021-01-06,-37,-1,-19,-34,-25,11
FR,France,,,,,,ChIJMVd4MymgVA0R99lHx5Y__Ws,2021-01-07,-39,-2,-20,-34,-24,11
FR,France,,,,,,ChIJMVd4MymgVA0R99lHx5Y__Ws,2021-01-08,-39,-4,-23,-33,-24,12
FR,France,,,,,,ChIJMVd4MymgVA0R99lHx5Y__Ws,2021-01-09,-39,-4,-28,-34,-17,9
FR,France,,,,,,ChIJMVd4MymgVA0R99lHx5Y__Ws,2021-01-10,-46,-8,-19,-38,-17,6
FR,France,,,,,,ChIJMVd4MymgVA0R99lHx5Y__Ws,2021-01-11,-35,-6,-14,-33,-24,10
FR,France,,,,,,ChIJMVd4MymgVA0R99lHx5Y__Ws,2021-01-12,-39,-7,-21,-33,-25,10
FR,France,,,,,,ChIJMVd4MymgVA0R99lHx5Y__Ws,2021-01-13,-41,-8,-22,-35,-25,9
FR,France,,,,,,ChIJMVd4MymgVA0R99lHx5Y__Ws,2021-01-14,-44,-10,-26,-35,-26,9
FR,France,,,,,,ChIJMVd4MymgVA0R99lHx5Y__Ws,2021-01-15,-44,-10,-28,-35,-28,11
FR,France,,,,,,ChIJMVd4MymgVA0R99lHx5Y__Ws,2021-01-16,-51,-20,-36,-42,-23,10
FR,France,,,,,,ChIJMVd4MymgVA0R99lHx5Y__Ws,2021-01-17,-50,-11,-21,-41,-21,6
FR,France,,,,,,ChIJMVd4MymgVA0R99lHx5Y__Ws,2021-01-18,-42,-16,-14,-36,-27,9
FR,France,,,,,,ChIJMVd4MymgVA0R99lHx5Y__Ws,2021-01-19,-43,-14,-14,-36,-27,10
FR,France,,,,,,ChIJMVd4MymgVA0R99lHx5Y__Ws,2021-01-20,-41,-12,-22,-36,-26,10
FR,France,,,,,,ChIJMVd4MymgVA0R99lHx5Y__Ws,2021-01-21,-44,-12,-29,-35,-26,10
FR,France,,,,,,ChIJMVd4MymgVA0R99lHx5Y__Ws,2021-01-22,-45,-12,-31,-35,-26,12
FR,France,,,,,,ChIJMVd4MymgVA0R99lHx5Y__Ws,2021-01-23,-41,-10,-35,-37,-20,8
FR,France,,,,,,ChIJMVd4MymgVA0R99lHx5Y__Ws,2021-01-24,-41,-2,-25,-40,-17,5
FR,France,,,,,,ChIJMVd4MymgVA0R99lHx5Y__Ws,2021-01-25,-38,-14,-12,-35,-26,9
FR,France,,,,,,ChIJMVd4MymgVA0R99lHx5Y__Ws,2021-01-26,-38,-11,-12,-34,-27,10
FR,France,,,,,,ChIJMVd4MymgVA0R99lHx5Y__Ws,2021-01-27,-41,-12,-22,-35,-26,10
FR,France,,,,,,ChIJMVd4MymgVA0R99lHx5Y__Ws,2021-01-28,-42,-8,-21,-34,-25,10
FR,France,,,,,,ChIJMVd4MymgVA0R99lHx5Y__Ws,2021-01-29,-42,-8,-22,-32,-26,11
FR,France,,,,,,ChIJMVd4MymgVA0R99lHx5Y__Ws,2021-01-30,-39,-7,-33,-33,-19,8
FR,France,,,,,,ChIJMVd4MymgVA0R99lHx5Y__Ws,2021-01-31,-45,-1,-18,-35,-17,4
FR,France,,,,,,ChIJMVd4MymgVA0R99lHx5Y__Ws,2021-02-01,-43,-15,-18,-35,-26,10
FR,France,,,,,,ChIJMVd4MymgVA0R99lHx5Y__Ws,2021-02-02,-41,-9,-9,-33,-26,10
FR,France,,,,,,ChIJMVd4MymgVA0R99lHx5Y__Ws,2021-02-03,-44,-13,-13,-35,-26,10
FR,France,,,,,,ChIJMVd4MymgVA0R99lHx5Y__Ws,2021-02-04,-44,-9,-10,-34,-25,10
FR,France,,,,,,ChIJMVd4MymgVA0R99lHx5Y__Ws,2021-02-05,-43,-8,-16,-32,-25,11
FR,France,,,,,,ChIJMVd4MymgVA0R99lHx5Y__Ws,2021-02-06,-44,-8,-29,-35,-20,8
