country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
GA,Gabon,,,,,,ChIJ7fM4VIo7fxARFWt4Ng7DDHs,2021-01-01,-40,-42,36,-31,-69,18
GA,Gabon,,,,,,ChIJ7fM4VIo7fxARFWt4Ng7DDHs,2021-01-02,-20,-15,47,1,-23,10
GA,Gabon,,,,,,ChIJ7fM4VIo7fxARFWt4Ng7DDHs,2021-01-03,-10,-5,43,11,-10,7
GA,Gabon,,,,,,ChIJ7fM4VIo7fxARFWt4Ng7DDHs,2021-01-04,-8,-7,41,11,-12,6
GA,Gabon,,,,,,ChIJ7fM4VIo7fxARFWt4Ng7DDHs,2021-01-05,-8,-6,45,15,-10,5
GA,Gabon,,,,,,ChIJ7fM4VIo7fxARFWt4Ng7DDHs,2021-01-06,-8,-7,35,10,-9,6
GA,Gabon,,,,,,ChIJ7fM4VIo7fxARFWt4Ng7DDHs,2021-01-07,-8,-5,39,8,-7,5
GA,Gabon,,,,,,ChIJ7fM4VIo7fxARFWt4Ng7DDHs,2021-01-08,-6,-5,40,9,-6,4
GA,Gabon,,,,,,ChIJ7fM4VIo7fxARFWt4Ng7DDHs,2021-01-09,-10,-10,43,4,-7,2
GA,Gabon,,,,,,ChIJ7fM4VIo7fxARFWt4Ng7DDHs,2021-01-10,-11,-9,30,-1,-11,4
GA,Gabon,,,,,,ChIJ7fM4VIo7fxARFWt4Ng7DDHs,2021-01-11,-5,-8,34,12,-9,2
GA,Gabon,,,,,,ChIJ7fM4VIo7fxARFWt4Ng7DDHs,2021-01-12,-11,-12,37,3,-10,2
GA,Gabon,,,,,,ChIJ7fM4VIo7fxARFWt4Ng7DDHs,2021-01-13,-14,-19,28,3,-13,2
GA,Gabon,,,,,,ChIJ7fM4VIo7fxARFWt4Ng7DDHs,2021-01-14,-12,-14,32,0,-14,0
GA,Gabon,,,,,,ChIJ7fM4VIo7fxARFWt4Ng7DDHs,2021-01-15,-13,-15,31,-2,-15,1
GA,Gabon,,,,,,ChIJ7fM4VIo7fxARFWt4Ng7DDHs,2021-01-16,-18,-20,29,-6,-18,1
GA,Gabon,,,,,,ChIJ7fM4VIo7fxARFWt4Ng7DDHs,2021-01-17,-19,-19,16,-11,-23,3
GA,Gabon,,,,,,ChIJ7fM4VIo7fxARFWt4Ng7DDHs,2021-01-18,-15,-18,24,-3,-19,1
GA,Gabon,,,,,,ChIJ7fM4VIo7fxARFWt4Ng7DDHs,2021-01-19,-18,-19,22,-3,-17,1
GA,Gabon,,,,,,ChIJ7fM4VIo7fxARFWt4Ng7DDHs,2021-01-20,-16,-20,29,-4,-17,2
GA,Gabon,,,,,,ChIJ7fM4VIo7fxARFWt4Ng7DDHs,2021-01-21,-17,-18,24,-2,-15,2
GA,Gabon,,,,,,ChIJ7fM4VIo7fxARFWt4Ng7DDHs,2021-01-22,-18,-18,54,-4,-13,3
GA,Gabon,,,,,,ChIJ7fM4VIo7fxARFWt4Ng7DDHs,2021-01-23,-19,-18,57,-3,-14,2
GA,Gabon,,,,,,ChIJ7fM4VIo7fxARFWt4Ng7DDHs,2021-01-24,-15,-15,38,-6,-18,3
GA,Gabon,,,,,,ChIJ7fM4VIo7fxARFWt4Ng7DDHs,2021-01-25,-15,-17,58,-1,-15,3
GA,Gabon,,,,,,ChIJ7fM4VIo7fxARFWt4Ng7DDHs,2021-01-26,-18,-14,55,-3,-16,3
GA,Gabon,,,,,,ChIJ7fM4VIo7fxARFWt4Ng7DDHs,2021-01-27,-20,-20,45,-7,-19,5
GA,Gabon,,,,,,ChIJ7fM4VIo7fxARFWt4Ng7DDHs,2021-01-28,-18,-13,55,1,-15,2
GA,Gabon,,,,,,ChIJ7fM4VIo7fxARFWt4Ng7DDHs,2021-01-29,-17,-9,36,5,-14,1
GA,Gabon,,,,,,ChIJ7fM4VIo7fxARFWt4Ng7DDHs,2021-01-30,-19,-10,37,-4,-17,-2
GA,Gabon,,,,,,ChIJ7fM4VIo7fxARFWt4Ng7DDHs,2021-01-31,-20,-6,23,-10,-22,-1
GA,Gabon,,,,,,ChIJ7fM4VIo7fxARFWt4Ng7DDHs,2021-02-01,-15,-10,27,-1,-18,-2
GA,Gabon,,,,,,ChIJ7fM4VIo7fxARFWt4Ng7DDHs,2021-02-02,-16,-9,32,-1,-18,-2
GA,Gabon,,,,,,ChIJ7fM4VIo7fxARFWt4Ng7DDHs,2021-02-03,-24,-19,22,-12,-20,-1
GA,Gabon,,,,,,ChIJ7fM4VIo7fxARFWt4Ng7DDHs,2021-02-04,-25,-18,23,-14,-21,-1
GA,Gabon,,,,,,ChIJ7fM4VIo7fxARFWt4Ng7DDHs,2021-02-05,-23,-17,27,-9,-19,0
GA,Gabon,,,,,,ChIJ7fM4VIo7fxARFWt4Ng7DDHs,2021-02-06,-23,-17,31,-12,-21,-1
