country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-01-01,-73,-76,12,-73,-79,23
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-01-02,-70,-64,8,-61,-47,15
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-01-03,-63,67,16,-53,-29,12
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-01-04,-58,-2,-15,-57,-41,15
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-01-05,-51,21,23,-49,-39,12
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-01-06,-63,-65,44,-64,-74,23
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-01-07,-54,11,6,-51,-37,13
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-01-08,-58,2,4,-51,-36,15
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-01-09,-62,2,8,-52,-28,12
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-01-10,-62,-3,23,-48,-29,11
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-01-11,-51,1,11,-46,-31,11
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-01-12,-57,-1,-14,-51,-33,12
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-01-13,-54,1,2,-50,-33,10
GR,Greece,,,,,,ChIJY2xxEcdKWxMRHS2a3HUXOjY,2021-01-14,-57,-3,-6,-52,-35,10
