country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
GT,Guatemala,,,,,,ChIJa1DnNlATiIURu9WEWzcrmDU,2021-01-01,-59,-50,-24,-71,-78,25
GT,Guatemala,,,,,,ChIJa1DnNlATiIURu9WEWzcrmDU,2021-01-02,-31,-22,-18,-37,-34,11
GT,Guatemala,,,,,,ChIJa1DnNlATiIURu9WEWzcrmDU,2021-01-03,-27,-21,-18,-26,-13,7
GT,Guatemala,,,,,,ChIJa1DnNlATiIURu9WEWzcrmDU,2021-01-04,-22,-6,-23,-29,-26,13
GT,Guatemala,,,,,,ChIJa1DnNlATiIURu9WEWzcrmDU,2021-01-05,-19,-3,-19,-30,-27,13
GT,Guatemala,,,,,,ChIJa1DnNlATiIURu9WEWzcrmDU,2021-01-06,-18,-2,-21,-31,-25,13
GT,Guatemala,,,,,,ChIJa1DnNlATiIURu9WEWzcrmDU,2021-01-07,-22,-3,-25,-32,-26,13
GT,Guatemala,,,,,,ChIJa1DnNlATiIURu9WEWzcrmDU,2021-01-08,-23,-6,-27,-36,-24,13
GT,Guatemala,,,,,,ChIJa1DnNlATiIURu9WEWzcrmDU,2021-01-09,-22,-8,-26,-24,-6,8
GT,Guatemala,,,,,,ChIJa1DnNlATiIURu9WEWzcrmDU,2021-01-10,-22,-12,-22,-27,-7,6
GT,Guatemala,,,,,,ChIJa1DnNlATiIURu9WEWzcrmDU,2021-01-11,-22,-8,-24,-29,-24,11
GT,Guatemala,,,,,,ChIJa1DnNlATiIURu9WEWzcrmDU,2021-01-12,-22,-9,-24,-31,-27,11
GT,Guatemala,,,,,,ChIJa1DnNlATiIURu9WEWzcrmDU,2021-01-13,-24,-11,-28,-33,-27,10
GT,Guatemala,,,,,,ChIJa1DnNlATiIURu9WEWzcrmDU,2021-01-14,-24,-9,-30,-34,-29,10
GT,Guatemala,,,,,,ChIJa1DnNlATiIURu9WEWzcrmDU,2021-01-15,-22,-6,-28,-36,-28,9
GT,Guatemala,,,,,,ChIJa1DnNlATiIURu9WEWzcrmDU,2021-01-16,-20,-9,-28,-25,-13,5
GT,Guatemala,,,,,,ChIJa1DnNlATiIURu9WEWzcrmDU,2021-01-17,-23,-14,-26,-28,-14,4
GT,Guatemala,,,,,,ChIJa1DnNlATiIURu9WEWzcrmDU,2021-01-18,-24,-11,-29,-32,-29,10
GT,Guatemala,,,,,,ChIJa1DnNlATiIURu9WEWzcrmDU,2021-01-19,-25,-13,-28,-33,-30,10
GT,Guatemala,,,,,,ChIJa1DnNlATiIURu9WEWzcrmDU,2021-01-20,-26,-12,-30,-34,-29,11
GT,Guatemala,,,,,,ChIJa1DnNlATiIURu9WEWzcrmDU,2021-01-21,-26,-13,-32,-34,-29,12
GT,Guatemala,,,,,,ChIJa1DnNlATiIURu9WEWzcrmDU,2021-01-22,-26,-11,-30,-37,-26,11
GT,Guatemala,,,,,,ChIJa1DnNlATiIURu9WEWzcrmDU,2021-01-23,-25,-14,-30,-28,-12,7
GT,Guatemala,,,,,,ChIJa1DnNlATiIURu9WEWzcrmDU,2021-01-24,-27,-18,-26,-30,-13,6
GT,Guatemala,,,,,,ChIJa1DnNlATiIURu9WEWzcrmDU,2021-01-25,-28,-16,-31,-35,-27,11
GT,Guatemala,,,,,,ChIJa1DnNlATiIURu9WEWzcrmDU,2021-01-26,-28,-17,-30,-35,-29,11
GT,Guatemala,,,,,,ChIJa1DnNlATiIURu9WEWzcrmDU,2021-01-27,-27,-14,-30,-35,-28,12
GT,Guatemala,,,,,,ChIJa1DnNlATiIURu9WEWzcrmDU,2021-01-28,-26,-11,-31,-35,-28,11
GT,Guatemala,,,,,,ChIJa1DnNlATiIURu9WEWzcrmDU,2021-01-29,-23,-6,-27,-36,-25,9
GT,Guatemala,,,,,,ChIJa1DnNlATiIURu9WEWzcrmDU,2021-01-30,-20,-4,-24,-24,-10,3
GT,Guatemala,,,,,,ChIJa1DnNlATiIURu9WEWzcrmDU,2021-01-31,-20,-6,-20,-27,-10,2
GT,Guatemala,,,,,,ChIJa1DnNlATiIURu9WEWzcrmDU,2021-02-01,-24,-8,-27,-33,-26,8
GT,Guatemala,,,,,,ChIJa1DnNlATiIURu9WEWzcrmDU,2021-02-02,-23,-7,-25,-33,-27,8
GT,Guatemala,,,,,,ChIJa1DnNlATiIURu9WEWzcrmDU,2021-02-03,-25,-9,-28,-35,-27,10
GT,Guatemala,,,,,,ChIJa1DnNlATiIURu9WEWzcrmDU,2021-02-04,-25,-8,-29,-35,-27,10
GT,Guatemala,,,,,,ChIJa1DnNlATiIURu9WEWzcrmDU,2021-02-05,-23,-5,-28,-37,-25,9
GT,Guatemala,,,,,,ChIJa1DnNlATiIURu9WEWzcrmDU,2021-02-06,-24,-10,-26,-28,-12,5
GT,Guatemala,,,,,,ChIJa1DnNlATiIURu9WEWzcrmDU,2021-02-07,-26,-16,-24,-33,-13,4
GT,Guatemala,,,,,,ChIJa1DnNlATiIURu9WEWzcrmDU,2021-02-08,-26,-12,-29,-35,-26,9
GT,Guatemala,,,,,,ChIJa1DnNlATiIURu9WEWzcrmDU,2021-02-09,-24,-11,-27,-33,-27,9
GT,Guatemala,,,,,,ChIJa1DnNlATiIURu9WEWzcrmDU,2021-02-10,-25,-10,-28,-35,-27,10
GT,Guatemala,,,,,,ChIJa1DnNlATiIURu9WEWzcrmDU,2021-02-11,-24,-6,-29,-35,-27,9
GT,Guatemala,,,,,,ChIJa1DnNlATiIURu9WEWzcrmDU,2021-02-12,-22,-4,-29,-36,-25,7
GT,Guatemala,,,,,,ChIJa1DnNlATiIURu9WEWzcrmDU,2021-02-13,-21,-6,-26,-29,-12,2
GT,Guatemala,,,,,,ChIJa1DnNlATiIURu9WEWzcrmDU,2021-02-14,-12,-4,-15,-26,-8,-1
GT,Guatemala,,,,,,ChIJa1DnNlATiIURu9WEWzcrmDU,2021-02-15,-21,-4,-28,-35,-24,5
GT,Guatemala,,,,,,ChIJa1DnNlATiIURu9WEWzcrmDU,2021-02-16,-21,-4,-26,-33,-26,6
GT,Guatemala,,,,,,ChIJa1DnNlATiIURu9WEWzcrmDU,2021-02-17,-22,-3,-25,-32,-25,6
GT,Guatemala,,,,,,ChIJa1DnNlATiIURu9WEWzcrmDU,2021-02-18,-22,-3,-28,-33,-25,7
GT,Guatemala,,,,,,ChIJa1DnNlATiIURu9WEWzcrmDU,2021-02-19,-23,-4,-29,-35,-23,7
GT,Guatemala,,,,,,ChIJa1DnNlATiIURu9WEWzcrmDU,2021-02-20,-21,-5,-26,-28,-11,3
GT,Guatemala,,,,,,ChIJa1DnNlATiIURu9WEWzcrmDU,2021-02-21,-21,-8,-20,-29,-11,1
GT,Guatemala,,,,,,ChIJa1DnNlATiIURu9WEWzcrmDU,2021-02-22,-25,-7,-28,-34,-23,6
GT,Guatemala,,,,,,ChIJa1DnNlATiIURu9WEWzcrmDU,2021-02-23,-23,-6,-26,-34,-25,7
GT,Guatemala,,,,,,ChIJa1DnNlATiIURu9WEWzcrmDU,2021-02-24,-24,-6,-28,-34,-24,7
GT,Guatemala,,,,,,ChIJa1DnNlATiIURu9WEWzcrmDU,2021-02-25,-21,-1,-28,-33,-24,7
GT,Guatemala,,,,,,ChIJa1DnNlATiIURu9WEWzcrmDU,2021-02-26,-17,2,-24,-33,-21,6
GT,Guatemala,,,,,,ChIJa1DnNlATiIURu9WEWzcrmDU,2021-02-27,-14,3,-21,-22,-9,1
GT,Guatemala,,,,,,ChIJa1DnNlATiIURu9WEWzcrmDU,2021-02-28,-12,2,-15,-20,-8,-1
GT,Guatemala,,,,,,ChIJa1DnNlATiIURu9WEWzcrmDU,2021-03-01,-19,0,-25,-30,-22,5
GT,Guatemala,,,,,,ChIJa1DnNlATiIURu9WEWzcrmDU,2021-03-02,-18,1,-22,-31,-24,6
GT,Guatemala,,,,,,ChIJa1DnNlATiIURu9WEWzcrmDU,2021-03-03,-19,0,-25,-30,-23,7
GT,Guatemala,,,,,,ChIJa1DnNlATiIURu9WEWzcrmDU,2021-03-04,-19,2,-26,-31,-24,7
GT,Guatemala,,,,,,ChIJa1DnNlATiIURu9WEWzcrmDU,2021-03-05,-17,3,-23,-30,-21,6
GT,Guatemala,,,,,,ChIJa1DnNlATiIURu9WEWzcrmDU,2021-03-06,-18,-1,-23,-25,-11,2
GT,Guatemala,,,,,,ChIJa1DnNlATiIURu9WEWzcrmDU,2021-03-07,-18,-6,-18,-27,-11,0
GT,Guatemala,,,,,,ChIJa1DnNlATiIURu9WEWzcrmDU,2021-03-08,-20,-5,-27,-32,-23,6
GT,Guatemala,,,,,,ChIJa1DnNlATiIURu9WEWzcrmDU,2021-03-09,-21,-5,-25,-33,-24,7
GT,Guatemala,,,,,,ChIJa1DnNlATiIURu9WEWzcrmDU,2021-03-10,-22,-4,-26,-32,-23,8
GT,Guatemala,,,,,,ChIJa1DnNlATiIURu9WEWzcrmDU,2021-03-11,-20,0,-25,-31,-23,7
GT,Guatemala,,,,,,ChIJa1DnNlATiIURu9WEWzcrmDU,2021-03-12,-18,1,-24,-31,-21,7
GT,Guatemala,,,,,,ChIJa1DnNlATiIURu9WEWzcrmDU,2021-03-13,-19,-2,-23,-26,-11,3
GT,Guatemala,,,,,,ChIJa1DnNlATiIURu9WEWzcrmDU,2021-03-14,-18,-6,-17,-27,-10,0
GT,Guatemala,,,,,,ChIJa1DnNlATiIURu9WEWzcrmDU,2021-03-15,-19,1,-25,-29,-21,6
GT,Guatemala,,,,,,ChIJa1DnNlATiIURu9WEWzcrmDU,2021-03-16,-18,2,-21,-28,-23,6
