country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
HN,Honduras,,,,,,ChIJzzG3cxp1ao8RZIL7toLe0X4,2021-01-01,-67,-57,-18,-68,-77,19
HN,Honduras,,,,,,ChIJzzG3cxp1ao8RZIL7toLe0X4,2021-01-02,-44,-22,-18,-36,-41,10
HN,Honduras,,,,,,ChIJzzG3cxp1ao8RZIL7toLe0X4,2021-01-03,-43,-27,-16,-29,-19,5
HN,Honduras,,,,,,ChIJzzG3cxp1ao8RZIL7toLe0X4,2021-01-04,-27,1,-17,-26,-27,8
HN,Honduras,,,,,,ChIJzzG3cxp1ao8RZIL7toLe0X4,2021-01-05,-29,-1,-18,-27,-27,8
HN,Honduras,,,,,,ChIJzzG3cxp1ao8RZIL7toLe0X4,2021-01-06,-30,-1,-19,-29,-27,9
HN,Honduras,,,,,,ChIJzzG3cxp1ao8RZIL7toLe0X4,2021-01-07,-33,-5,-22,-30,-27,9
HN,Honduras,,,,,,ChIJzzG3cxp1ao8RZIL7toLe0X4,2021-01-08,-32,-6,-24,-28,-24,8
HN,Honduras,,,,,,ChIJzzG3cxp1ao8RZIL7toLe0X4,2021-01-09,-37,-13,-35,-34,-19,8
HN,Honduras,,,,,,ChIJzzG3cxp1ao8RZIL7toLe0X4,2021-01-10,-41,-20,-25,-34,-13,5
HN,Honduras,,,,,,ChIJzzG3cxp1ao8RZIL7toLe0X4,2021-01-11,-29,-3,-24,-29,-25,6
HN,Honduras,,,,,,ChIJzzG3cxp1ao8RZIL7toLe0X4,2021-01-12,-31,-7,-26,-31,-27,6
HN,Honduras,,,,,,ChIJzzG3cxp1ao8RZIL7toLe0X4,2021-01-13,-34,-8,-27,-33,-29,5
HN,Honduras,,,,,,ChIJzzG3cxp1ao8RZIL7toLe0X4,2021-01-14,-36,-14,-32,-35,-33,6
HN,Honduras,,,,,,ChIJzzG3cxp1ao8RZIL7toLe0X4,2021-01-15,-35,-11,-32,-30,-31,5
HN,Honduras,,,,,,ChIJzzG3cxp1ao8RZIL7toLe0X4,2021-01-16,-40,-17,-41,-34,-27,5
HN,Honduras,,,,,,ChIJzzG3cxp1ao8RZIL7toLe0X4,2021-01-17,-44,-25,-34,-40,-24,4
HN,Honduras,,,,,,ChIJzzG3cxp1ao8RZIL7toLe0X4,2021-01-18,-35,-10,-35,-34,-32,6
HN,Honduras,,,,,,ChIJzzG3cxp1ao8RZIL7toLe0X4,2021-01-19,-33,-10,-28,-32,-31,5
HN,Honduras,,,,,,ChIJzzG3cxp1ao8RZIL7toLe0X4,2021-01-20,-34,-10,-30,-31,-31,6
HN,Honduras,,,,,,ChIJzzG3cxp1ao8RZIL7toLe0X4,2021-01-21,-35,-12,-31,-32,-32,7
HN,Honduras,,,,,,ChIJzzG3cxp1ao8RZIL7toLe0X4,2021-01-22,-34,-11,-30,-29,-28,6
