country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
HR,Croatia,,,,,,ChIJ7ZXdCghBNBMRfxtm4STA86A,2021-01-01,-85,-86,-4,-76,-85,25
HR,Croatia,,,,,,ChIJ7ZXdCghBNBMRfxtm4STA86A,2021-01-02,-56,-19,-23,-54,-40,10
HR,Croatia,,,,,,ChIJ7ZXdCghBNBMRfxtm4STA86A,2021-01-03,-56,-18,-5,-40,-28,7
HR,Croatia,,,,,,ChIJ7ZXdCghBNBMRfxtm4STA86A,2021-01-04,-38,4,12,-44,-44,12
HR,Croatia,,,,,,ChIJ7ZXdCghBNBMRfxtm4STA86A,2021-01-05,-39,9,-5,-46,-45,12
HR,Croatia,,,,,,ChIJ7ZXdCghBNBMRfxtm4STA86A,2021-01-06,-65,-38,14,-63,-79,22
HR,Croatia,,,,,,ChIJ7ZXdCghBNBMRfxtm4STA86A,2021-01-07,-40,6,17,-44,-40,11
HR,Croatia,,,,,,ChIJ7ZXdCghBNBMRfxtm4STA86A,2021-01-08,-47,3,-12,-49,-40,14
HR,Croatia,,,,,,ChIJ7ZXdCghBNBMRfxtm4STA86A,2021-01-09,-46,-2,0,-40,-25,6
HR,Croatia,,,,,,ChIJ7ZXdCghBNBMRfxtm4STA86A,2021-01-10,-58,-17,-22,-38,-27,6
HR,Croatia,,,,,,ChIJ7ZXdCghBNBMRfxtm4STA86A,2021-01-11,-39,4,10,-41,-33,9
HR,Croatia,,,,,,ChIJ7ZXdCghBNBMRfxtm4STA86A,2021-01-12,-39,3,18,-40,-32,9
HR,Croatia,,,,,,ChIJ7ZXdCghBNBMRfxtm4STA86A,2021-01-13,-40,3,14,-41,-33,8
HR,Croatia,,,,,,ChIJ7ZXdCghBNBMRfxtm4STA86A,2021-01-14,-43,-2,-2,-44,-34,9
HR,Croatia,,,,,,ChIJ7ZXdCghBNBMRfxtm4STA86A,2021-01-15,-46,0,-4,-44,-34,9
HR,Croatia,,,,,,ChIJ7ZXdCghBNBMRfxtm4STA86A,2021-01-16,-48,-7,1,-43,-26,5
HR,Croatia,,,,,,ChIJ7ZXdCghBNBMRfxtm4STA86A,2021-01-17,-57,-18,-16,-42,-28,5
HR,Croatia,,,,,,ChIJ7ZXdCghBNBMRfxtm4STA86A,2021-01-18,-42,-2,0,-42,-30,8
HR,Croatia,,,,,,ChIJ7ZXdCghBNBMRfxtm4STA86A,2021-01-19,-43,-4,6,-41,-30,9
HR,Croatia,,,,,,ChIJ7ZXdCghBNBMRfxtm4STA86A,2021-01-20,-42,0,4,-41,-29,8
HR,Croatia,,,,,,ChIJ7ZXdCghBNBMRfxtm4STA86A,2021-01-21,-43,-1,0,-41,-29,8
HR,Croatia,,,,,,ChIJ7ZXdCghBNBMRfxtm4STA86A,2021-01-22,-46,-1,-8,-41,-28,9
HR,Croatia,,,,,,ChIJ7ZXdCghBNBMRfxtm4STA86A,2021-01-23,-48,-6,-13,-44,-23,6
HR,Croatia,,,,,,ChIJ7ZXdCghBNBMRfxtm4STA86A,2021-01-24,-60,-20,-45,-49,-27,6
HR,Croatia,,,,,,ChIJ7ZXdCghBNBMRfxtm4STA86A,2021-01-25,-45,-6,-18,-43,-29,9
HR,Croatia,,,,,,ChIJ7ZXdCghBNBMRfxtm4STA86A,2021-01-26,-43,-4,13,-39,-29,8
HR,Croatia,,,,,,ChIJ7ZXdCghBNBMRfxtm4STA86A,2021-01-27,-43,-2,11,-40,-28,8
HR,Croatia,,,,,,ChIJ7ZXdCghBNBMRfxtm4STA86A,2021-01-28,-44,-2,1,-41,-28,8
HR,Croatia,,,,,,ChIJ7ZXdCghBNBMRfxtm4STA86A,2021-01-29,-47,-2,-24,-42,-28,10
HR,Croatia,,,,,,ChIJ7ZXdCghBNBMRfxtm4STA86A,2021-01-30,-43,-1,28,-35,-20,4
HR,Croatia,,,,,,ChIJ7ZXdCghBNBMRfxtm4STA86A,2021-01-31,-62,-22,-44,-47,-27,7
HR,Croatia,,,,,,ChIJ7ZXdCghBNBMRfxtm4STA86A,2021-02-01,-40,1,10,-36,-24,7
HR,Croatia,,,,,,ChIJ7ZXdCghBNBMRfxtm4STA86A,2021-02-02,-42,0,15,-37,-23,7
HR,Croatia,,,,,,ChIJ7ZXdCghBNBMRfxtm4STA86A,2021-02-03,-40,3,17,-37,-23,7
HR,Croatia,,,,,,ChIJ7ZXdCghBNBMRfxtm4STA86A,2021-02-04,-38,2,26,-34,-22,6
HR,Croatia,,,,,,ChIJ7ZXdCghBNBMRfxtm4STA86A,2021-02-05,-40,7,18,-34,-22,6
HR,Croatia,,,,,,ChIJ7ZXdCghBNBMRfxtm4STA86A,2021-02-06,-40,2,37,-31,-19,3
HR,Croatia,,,,,,ChIJ7ZXdCghBNBMRfxtm4STA86A,2021-02-07,-53,-10,-18,-37,-23,4
HR,Croatia,,,,,,ChIJ7ZXdCghBNBMRfxtm4STA86A,2021-02-08,-39,1,6,-34,-22,6
HR,Croatia,,,,,,ChIJ7ZXdCghBNBMRfxtm4STA86A,2021-02-09,-41,1,-5,-35,-21,7
HR,Croatia,,,,,,ChIJ7ZXdCghBNBMRfxtm4STA86A,2021-02-10,-41,5,-18,-36,-21,7
