country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
HT,Haiti,,,,,,ChIJEbvLf_PGto4R0_ZUTLI4FLU,2021-01-01,-36,-46,-3,-30,-69,14
HT,Haiti,,,,,,ChIJEbvLf_PGto4R0_ZUTLI4FLU,2021-01-02,-34,-30,-6,-23,-48,13
HT,Haiti,,,,,,ChIJEbvLf_PGto4R0_ZUTLI4FLU,2021-01-03,-19,-17,-2,4,-32,6
HT,Haiti,,,,,,ChIJEbvLf_PGto4R0_ZUTLI4FLU,2021-01-04,-14,-11,0,8,-33,9
HT,Haiti,,,,,,ChIJEbvLf_PGto4R0_ZUTLI4FLU,2021-01-05,-12,-9,3,5,-28,9
HT,Haiti,,,,,,ChIJEbvLf_PGto4R0_ZUTLI4FLU,2021-01-06,-9,-8,-1,7,-26,9
HT,Haiti,,,,,,ChIJEbvLf_PGto4R0_ZUTLI4FLU,2021-01-07,-10,-9,-4,11,-24,9
HT,Haiti,,,,,,ChIJEbvLf_PGto4R0_ZUTLI4FLU,2021-01-08,-8,-6,-11,15,-22,8
HT,Haiti,,,,,,ChIJEbvLf_PGto4R0_ZUTLI4FLU,2021-01-09,-4,-9,-13,11,-19,6
HT,Haiti,,,,,,ChIJEbvLf_PGto4R0_ZUTLI4FLU,2021-01-10,-5,-10,-17,18,-23,5
HT,Haiti,,,,,,ChIJEbvLf_PGto4R0_ZUTLI4FLU,2021-01-11,-1,-4,-12,23,-17,4
HT,Haiti,,,,,,ChIJEbvLf_PGto4R0_ZUTLI4FLU,2021-01-12,-7,-9,-15,9,-21,4
HT,Haiti,,,,,,ChIJEbvLf_PGto4R0_ZUTLI4FLU,2021-01-13,-13,-21,-24,-1,-28,1
HT,Haiti,,,,,,ChIJEbvLf_PGto4R0_ZUTLI4FLU,2021-01-14,-22,-27,-33,-8,-35,2
HT,Haiti,,,,,,ChIJEbvLf_PGto4R0_ZUTLI4FLU,2021-01-15,-35,-38,-48,-25,-41,5
HT,Haiti,,,,,,ChIJEbvLf_PGto4R0_ZUTLI4FLU,2021-01-16,-29,-35,-43,-23,-42,4
HT,Haiti,,,,,,ChIJEbvLf_PGto4R0_ZUTLI4FLU,2021-01-17,-29,-33,-42,-20,-44,4
HT,Haiti,,,,,,ChIJEbvLf_PGto4R0_ZUTLI4FLU,2021-01-18,-26,-31,-36,-9,-36,4
HT,Haiti,,,,,,ChIJEbvLf_PGto4R0_ZUTLI4FLU,2021-01-19,-26,-31,-37,-19,-36,4
HT,Haiti,,,,,,ChIJEbvLf_PGto4R0_ZUTLI4FLU,2021-01-20,-29,-34,-35,-22,-35,6
HT,Haiti,,,,,,ChIJEbvLf_PGto4R0_ZUTLI4FLU,2021-01-21,-23,-27,-33,-11,-33,5
HT,Haiti,,,,,,ChIJEbvLf_PGto4R0_ZUTLI4FLU,2021-01-22,-25,-28,-36,-13,-34,5
HT,Haiti,,,,,,ChIJEbvLf_PGto4R0_ZUTLI4FLU,2021-01-23,-23,-29,-34,-18,-35,5
HT,Haiti,,,,,,ChIJEbvLf_PGto4R0_ZUTLI4FLU,2021-01-24,-25,-27,-34,-14,-39,4
HT,Haiti,,,,,,ChIJEbvLf_PGto4R0_ZUTLI4FLU,2021-01-25,-23,-29,-32,-7,-31,4
HT,Haiti,,,,,,ChIJEbvLf_PGto4R0_ZUTLI4FLU,2021-01-26,-24,-26,-31,-14,-32,5
HT,Haiti,,,,,,ChIJEbvLf_PGto4R0_ZUTLI4FLU,2021-01-27,-22,-26,-29,-11,-31,5
HT,Haiti,,,,,,ChIJEbvLf_PGto4R0_ZUTLI4FLU,2021-01-28,-22,-25,-29,-6,-31,4
HT,Haiti,,,,,,ChIJEbvLf_PGto4R0_ZUTLI4FLU,2021-01-29,-29,-23,-39,-19,-37,6
HT,Haiti,,,,,,ChIJEbvLf_PGto4R0_ZUTLI4FLU,2021-01-30,-27,-21,-36,-16,-37,4
HT,Haiti,,,,,,ChIJEbvLf_PGto4R0_ZUTLI4FLU,2021-01-31,-37,-31,-40,-20,-41,5
HT,Haiti,,,,,,ChIJEbvLf_PGto4R0_ZUTLI4FLU,2021-02-01,-61,-65,-51,-55,-68,20
HT,Haiti,,,,,,ChIJEbvLf_PGto4R0_ZUTLI4FLU,2021-02-02,-61,-61,-49,-56,-67,21
HT,Haiti,,,,,,ChIJEbvLf_PGto4R0_ZUTLI4FLU,2021-02-03,-37,-33,-38,-34,-46,12
HT,Haiti,,,,,,ChIJEbvLf_PGto4R0_ZUTLI4FLU,2021-02-04,-32,-27,-32,-26,-43,8
HT,Haiti,,,,,,ChIJEbvLf_PGto4R0_ZUTLI4FLU,2021-02-05,-33,-23,-33,-25,-44,9
HT,Haiti,,,,,,ChIJEbvLf_PGto4R0_ZUTLI4FLU,2021-02-06,-42,-35,-36,-42,-45,11
HT,Haiti,,,,,,ChIJEbvLf_PGto4R0_ZUTLI4FLU,2021-02-07,-65,-73,-45,-69,-59,19
HT,Haiti,,,,,,ChIJEbvLf_PGto4R0_ZUTLI4FLU,2021-02-08,-55,-55,-39,-59,-65,21
HT,Haiti,,,,,,ChIJEbvLf_PGto4R0_ZUTLI4FLU,2021-02-09,-40,-38,-35,-43,-49,14
HT,Haiti,,,,,,ChIJEbvLf_PGto4R0_ZUTLI4FLU,2021-02-10,-33,-30,-33,-31,-42,11
HT,Haiti,,,,,,ChIJEbvLf_PGto4R0_ZUTLI4FLU,2021-02-11,-31,-27,-35,-26,-40,9
HT,Haiti,,,,,,ChIJEbvLf_PGto4R0_ZUTLI4FLU,2021-02-12,-31,-23,-41,-21,-40,7
HT,Haiti,,,,,,ChIJEbvLf_PGto4R0_ZUTLI4FLU,2021-02-13,-26,-19,-31,-23,-38,3
HT,Haiti,,,,,,ChIJEbvLf_PGto4R0_ZUTLI4FLU,2021-02-14,-30,-16,-30,-32,-40,4
HT,Haiti,,,,,,ChIJEbvLf_PGto4R0_ZUTLI4FLU,2021-02-15,-34,-27,-35,-29,-54,9
HT,Haiti,,,,,,ChIJEbvLf_PGto4R0_ZUTLI4FLU,2021-02-16,-42,-36,-38,-42,-64,11
HT,Haiti,,,,,,ChIJEbvLf_PGto4R0_ZUTLI4FLU,2021-02-17,-40,-35,-40,-40,-60,11
HT,Haiti,,,,,,ChIJEbvLf_PGto4R0_ZUTLI4FLU,2021-02-18,-23,-18,-34,-17,-33,4
HT,Haiti,,,,,,ChIJEbvLf_PGto4R0_ZUTLI4FLU,2021-02-19,-24,-19,-36,-18,-33,5
HT,Haiti,,,,,,ChIJEbvLf_PGto4R0_ZUTLI4FLU,2021-02-20,-22,-21,-30,-22,-32,3
HT,Haiti,,,,,,ChIJEbvLf_PGto4R0_ZUTLI4FLU,2021-02-21,-31,-24,-35,-26,-38,4
HT,Haiti,,,,,,ChIJEbvLf_PGto4R0_ZUTLI4FLU,2021-02-22,-21,-15,-31,-11,-30,2
HT,Haiti,,,,,,ChIJEbvLf_PGto4R0_ZUTLI4FLU,2021-02-23,-21,-18,-32,-16,-29,2
HT,Haiti,,,,,,ChIJEbvLf_PGto4R0_ZUTLI4FLU,2021-02-24,-18,-17,-32,-12,-27,2
HT,Haiti,,,,,,ChIJEbvLf_PGto4R0_ZUTLI4FLU,2021-02-25,-19,-18,-32,-8,-26,2
HT,Haiti,,,,,,ChIJEbvLf_PGto4R0_ZUTLI4FLU,2021-02-26,-18,-12,-35,-9,-27,2
HT,Haiti,,,,,,ChIJEbvLf_PGto4R0_ZUTLI4FLU,2021-02-27,-15,-13,-28,-16,-29,1
HT,Haiti,,,,,,ChIJEbvLf_PGto4R0_ZUTLI4FLU,2021-02-28,-28,-23,-31,-22,-36,3
HT,Haiti,,,,,,ChIJEbvLf_PGto4R0_ZUTLI4FLU,2021-03-01,-18,-11,-31,-9,-26,1
HT,Haiti,,,,,,ChIJEbvLf_PGto4R0_ZUTLI4FLU,2021-03-02,-16,-11,-29,-12,-24,1
HT,Haiti,,,,,,ChIJEbvLf_PGto4R0_ZUTLI4FLU,2021-03-03,-18,-13,-32,-15,-25,2
HT,Haiti,,,,,,ChIJEbvLf_PGto4R0_ZUTLI4FLU,2021-03-04,-19,-15,-32,-11,-24,2
HT,Haiti,,,,,,ChIJEbvLf_PGto4R0_ZUTLI4FLU,2021-03-05,-17,-16,-34,-9,-24,2
HT,Haiti,,,,,,ChIJEbvLf_PGto4R0_ZUTLI4FLU,2021-03-06,-18,-20,-30,-17,-27,1
HT,Haiti,,,,,,ChIJEbvLf_PGto4R0_ZUTLI4FLU,2021-03-07,-27,-22,-31,-19,-34,2
HT,Haiti,,,,,,ChIJEbvLf_PGto4R0_ZUTLI4FLU,2021-03-08,-19,-18,-31,-5,-27,1
HT,Haiti,,,,,,ChIJEbvLf_PGto4R0_ZUTLI4FLU,2021-03-09,-18,-19,-32,-13,-25,2
HT,Haiti,,,,,,ChIJEbvLf_PGto4R0_ZUTLI4FLU,2021-03-10,-15,-18,-33,-10,-23,2
HT,Haiti,,,,,,ChIJEbvLf_PGto4R0_ZUTLI4FLU,2021-03-11,-13,-16,-31,-7,-22,1
HT,Haiti,,,,,,ChIJEbvLf_PGto4R0_ZUTLI4FLU,2021-03-12,-17,-16,-32,-6,-26,3
HT,Haiti,,,,,,ChIJEbvLf_PGto4R0_ZUTLI4FLU,2021-03-13,-14,-17,-26,-10,-26,1
HT,Haiti,,,,,,ChIJEbvLf_PGto4R0_ZUTLI4FLU,2021-03-14,-22,-20,-29,-17,-32,2
HT,Haiti,,,,,,ChIJEbvLf_PGto4R0_ZUTLI4FLU,2021-03-15,-20,-20,-32,-10,-24,2
HT,Haiti,,,,,,ChIJEbvLf_PGto4R0_ZUTLI4FLU,2021-03-16,-11,-13,-30,-3,-21,1
HT,Haiti,,,,,,ChIJEbvLf_PGto4R0_ZUTLI4FLU,2021-03-17,-38,-41,-35,-35,-35,9
HT,Haiti,,,,,,ChIJEbvLf_PGto4R0_ZUTLI4FLU,2021-03-18,-29,-22,-36,-27,-35,9
HT,Haiti,,,,,,ChIJEbvLf_PGto4R0_ZUTLI4FLU,2021-03-19,-19,-11,-34,-10,-27,5
HT,Haiti,,,,,,ChIJEbvLf_PGto4R0_ZUTLI4FLU,2021-03-20,-12,-8,-24,-9,-25,2
HT,Haiti,,,,,,ChIJEbvLf_PGto4R0_ZUTLI4FLU,2021-03-21,-21,-13,-28,-14,-32,2
HT,Haiti,,,Port-au-Prince Metropolitan Area,,,ChIJ45pR8ETmuY4RNy5Kt_6DgXE,2021-01-01,-46,-53,-34,-42,-73,18
HT,Haiti,,,Port-au-Prince Metropolitan Area,,,ChIJ45pR8ETmuY4RNy5Kt_6DgXE,2021-01-02,-41,-32,-35,-32,-51,16
HT,Haiti,,,Port-au-Prince Metropolitan Area,,,ChIJ45pR8ETmuY4RNy5Kt_6DgXE,2021-01-03,-21,-21,-31,-7,-30,8
HT,Haiti,,,Port-au-Prince Metropolitan Area,,,ChIJ45pR8ETmuY4RNy5Kt_6DgXE,2021-01-04,-14,-15,-21,-2,-32,11
HT,Haiti,,,Port-au-Prince Metropolitan Area,,,ChIJ45pR8ETmuY4RNy5Kt_6DgXE,2021-01-05,-11,-12,-9,-3,-26,11
HT,Haiti,,,Port-au-Prince Metropolitan Area,,,ChIJ45pR8ETmuY4RNy5Kt_6DgXE,2021-01-06,-9,-8,-14,0,-25,12
HT,Haiti,,,Port-au-Prince Metropolitan Area,,,ChIJ45pR8ETmuY4RNy5Kt_6DgXE,2021-01-07,-9,-10,-18,2,-24,11
HT,Haiti,,,Port-au-Prince Metropolitan Area,,,ChIJ45pR8ETmuY4RNy5Kt_6DgXE,2021-01-08,-9,-8,-20,6,-23,10
HT,Haiti,,,Port-au-Prince Metropolitan Area,,,ChIJ45pR8ETmuY4RNy5Kt_6DgXE,2021-01-09,-3,-8,-19,1,-18,8
HT,Haiti,,,Port-au-Prince Metropolitan Area,,,ChIJ45pR8ETmuY4RNy5Kt_6DgXE,2021-01-10,-4,-11,-27,5,-20,6
HT,Haiti,,,Port-au-Prince Metropolitan Area,,,ChIJ45pR8ETmuY4RNy5Kt_6DgXE,2021-01-11,3,-8,-18,9,-15,6
HT,Haiti,,,Port-au-Prince Metropolitan Area,,,ChIJ45pR8ETmuY4RNy5Kt_6DgXE,2021-01-12,-6,-12,-19,-2,-19,6
HT,Haiti,,,Port-au-Prince Metropolitan Area,,,ChIJ45pR8ETmuY4RNy5Kt_6DgXE,2021-01-13,-13,-20,-26,-8,-27,3
HT,Haiti,,,Port-au-Prince Metropolitan Area,,,ChIJ45pR8ETmuY4RNy5Kt_6DgXE,2021-01-14,-21,-26,-33,-15,-34,3
HT,Haiti,,,Port-au-Prince Metropolitan Area,,,ChIJ45pR8ETmuY4RNy5Kt_6DgXE,2021-01-15,-36,-38,-54,-32,-41,7
HT,Haiti,,,Port-au-Prince Metropolitan Area,,,ChIJ45pR8ETmuY4RNy5Kt_6DgXE,2021-01-16,-27,-32,-47,-28,-40,6
HT,Haiti,,,Port-au-Prince Metropolitan Area,,,ChIJ45pR8ETmuY4RNy5Kt_6DgXE,2021-01-17,-27,-35,-46,-26,-41,5
HT,Haiti,,,Port-au-Prince Metropolitan Area,,,ChIJ45pR8ETmuY4RNy5Kt_6DgXE,2021-01-18,-23,-31,-38,-16,-33,5
HT,Haiti,,,Port-au-Prince Metropolitan Area,,,ChIJ45pR8ETmuY4RNy5Kt_6DgXE,2021-01-19,-24,-32,-38,-28,-33,6
HT,Haiti,,,Port-au-Prince Metropolitan Area,,,ChIJ45pR8ETmuY4RNy5Kt_6DgXE,2021-01-20,-30,-33,-40,-30,-33,8
HT,Haiti,,,Port-au-Prince Metropolitan Area,,,ChIJ45pR8ETmuY4RNy5Kt_6DgXE,2021-01-21,-21,-24,-34,-18,-33,7
HT,Haiti,,,Port-au-Prince Metropolitan Area,,,ChIJ45pR8ETmuY4RNy5Kt_6DgXE,2021-01-22,-25,-28,-40,-21,-33,7
HT,Haiti,,,Port-au-Prince Metropolitan Area,,,ChIJ45pR8ETmuY4RNy5Kt_6DgXE,2021-01-23,-21,-26,-38,-25,-33,7
HT,Haiti,,,Port-au-Prince Metropolitan Area,,,ChIJ45pR8ETmuY4RNy5Kt_6DgXE,2021-01-24,-25,-29,-37,-24,-37,6
HT,Haiti,,,Port-au-Prince Metropolitan Area,,,ChIJ45pR8ETmuY4RNy5Kt_6DgXE,2021-01-25,-21,-30,-37,-15,-29,6
HT,Haiti,,,Port-au-Prince Metropolitan Area,,,ChIJ45pR8ETmuY4RNy5Kt_6DgXE,2021-01-26,-23,-27,-33,-21,-30,7
HT,Haiti,,,Port-au-Prince Metropolitan Area,,,ChIJ45pR8ETmuY4RNy5Kt_6DgXE,2021-01-27,-22,-24,-32,-17,-29,7
HT,Haiti,,,Port-au-Prince Metropolitan Area,,,ChIJ45pR8ETmuY4RNy5Kt_6DgXE,2021-01-28,-22,-24,-27,-12,-30,6
HT,Haiti,,,Port-au-Prince Metropolitan Area,,,ChIJ45pR8ETmuY4RNy5Kt_6DgXE,2021-01-29,-27,-20,-37,-24,-37,8
HT,Haiti,,,Port-au-Prince Metropolitan Area,,,ChIJ45pR8ETmuY4RNy5Kt_6DgXE,2021-01-30,-23,-16,-38,-21,-36,5
HT,Haiti,,,Port-au-Prince Metropolitan Area,,,ChIJ45pR8ETmuY4RNy5Kt_6DgXE,2021-01-31,-37,-32,-51,-29,-39,8
HT,Haiti,,,Port-au-Prince Metropolitan Area,,,ChIJ45pR8ETmuY4RNy5Kt_6DgXE,2021-02-01,-68,-72,-67,-66,-74,27
HT,Haiti,,,Port-au-Prince Metropolitan Area,,,ChIJ45pR8ETmuY4RNy5Kt_6DgXE,2021-02-02,-67,-67,-64,-65,-72,28
HT,Haiti,,,Port-au-Prince Metropolitan Area,,,ChIJ45pR8ETmuY4RNy5Kt_6DgXE,2021-02-03,-37,-29,-47,-37,-44,15
HT,Haiti,,,Port-au-Prince Metropolitan Area,,,ChIJ45pR8ETmuY4RNy5Kt_6DgXE,2021-02-04,-31,-23,-45,-30,-43,11
HT,Haiti,,,Port-au-Prince Metropolitan Area,,,ChIJ45pR8ETmuY4RNy5Kt_6DgXE,2021-02-05,-32,-22,-43,-30,-43,12
HT,Haiti,,,Port-au-Prince Metropolitan Area,,,ChIJ45pR8ETmuY4RNy5Kt_6DgXE,2021-02-06,-42,-30,-50,-47,-45,14
HT,Haiti,,,Port-au-Prince Metropolitan Area,,,ChIJ45pR8ETmuY4RNy5Kt_6DgXE,2021-02-07,-72,-80,-65,-76,-62,23
HT,Haiti,,,Port-au-Prince Metropolitan Area,,,ChIJ45pR8ETmuY4RNy5Kt_6DgXE,2021-02-08,-62,-61,-59,-66,-69,27
HT,Haiti,,,Port-au-Prince Metropolitan Area,,,ChIJ45pR8ETmuY4RNy5Kt_6DgXE,2021-02-09,-40,-39,-52,-49,-49,18
HT,Haiti,,,Port-au-Prince Metropolitan Area,,,ChIJ45pR8ETmuY4RNy5Kt_6DgXE,2021-02-10,-33,-29,-45,-35,-41,15
HT,Haiti,,,Port-au-Prince Metropolitan Area,,,ChIJ45pR8ETmuY4RNy5Kt_6DgXE,2021-02-11,-29,-26,-42,-30,-40,12
HT,Haiti,,,Port-au-Prince Metropolitan Area,,,ChIJ45pR8ETmuY4RNy5Kt_6DgXE,2021-02-12,-28,-22,-45,-26,-40,10
HT,Haiti,,,Port-au-Prince Metropolitan Area,,,ChIJ45pR8ETmuY4RNy5Kt_6DgXE,2021-02-13,-22,-15,-39,-26,-36,6
HT,Haiti,,,Port-au-Prince Metropolitan Area,,,ChIJ45pR8ETmuY4RNy5Kt_6DgXE,2021-02-14,-31,-18,-40,-40,-38,6
HT,Haiti,,,Port-au-Prince Metropolitan Area,,,ChIJ45pR8ETmuY4RNy5Kt_6DgXE,2021-02-15,-35,-32,-49,-35,-55,12
HT,Haiti,,,Port-au-Prince Metropolitan Area,,,ChIJ45pR8ETmuY4RNy5Kt_6DgXE,2021-02-16,-48,-43,-50,-49,-67,16
HT,Haiti,,,Port-au-Prince Metropolitan Area,,,ChIJ45pR8ETmuY4RNy5Kt_6DgXE,2021-02-17,-44,-35,-50,-45,-62,16
HT,Haiti,,,Port-au-Prince Metropolitan Area,,,ChIJ45pR8ETmuY4RNy5Kt_6DgXE,2021-02-18,-20,-15,-32,-22,-32,7
HT,Haiti,,,Port-au-Prince Metropolitan Area,,,ChIJ45pR8ETmuY4RNy5Kt_6DgXE,2021-02-19,-22,-18,-38,-22,-32,7
HT,Haiti,,,Port-au-Prince Metropolitan Area,,,ChIJ45pR8ETmuY4RNy5Kt_6DgXE,2021-02-20,-18,-16,-34,-25,-29,5
HT,Haiti,,,Port-au-Prince Metropolitan Area,,,ChIJ45pR8ETmuY4RNy5Kt_6DgXE,2021-02-21,-29,-25,-43,-31,-35,6
HT,Haiti,,,Port-au-Prince Metropolitan Area,,,ChIJ45pR8ETmuY4RNy5Kt_6DgXE,2021-02-22,-16,-16,-30,-16,-26,4
HT,Haiti,,,Port-au-Prince Metropolitan Area,,,ChIJ45pR8ETmuY4RNy5Kt_6DgXE,2021-02-23,-16,-18,-33,-20,-25,4
HT,Haiti,,,Port-au-Prince Metropolitan Area,,,ChIJ45pR8ETmuY4RNy5Kt_6DgXE,2021-02-24,-15,-14,-31,-15,-24,4
HT,Haiti,,,Port-au-Prince Metropolitan Area,,,ChIJ45pR8ETmuY4RNy5Kt_6DgXE,2021-02-25,-17,-16,-31,-11,-24,4
HT,Haiti,,,Port-au-Prince Metropolitan Area,,,ChIJ45pR8ETmuY4RNy5Kt_6DgXE,2021-02-26,-14,-11,-35,-14,-24,4
HT,Haiti,,,Port-au-Prince Metropolitan Area,,,ChIJ45pR8ETmuY4RNy5Kt_6DgXE,2021-02-27,-10,-9,-31,-19,-26,4
HT,Haiti,,,Port-au-Prince Metropolitan Area,,,ChIJ45pR8ETmuY4RNy5Kt_6DgXE,2021-02-28,-25,-24,-40,-27,-34,5
HT,Haiti,,,Port-au-Prince Metropolitan Area,,,ChIJ45pR8ETmuY4RNy5Kt_6DgXE,2021-03-01,-11,-12,-31,-13,-22,3
HT,Haiti,,,Port-au-Prince Metropolitan Area,,,ChIJ45pR8ETmuY4RNy5Kt_6DgXE,2021-03-02,-12,-11,-26,-18,-21,3
HT,Haiti,,,Port-au-Prince Metropolitan Area,,,ChIJ45pR8ETmuY4RNy5Kt_6DgXE,2021-03-03,-16,-10,-33,-20,-22,5
HT,Haiti,,,Port-au-Prince Metropolitan Area,,,ChIJ45pR8ETmuY4RNy5Kt_6DgXE,2021-03-04,-16,-13,-31,-15,-23,4
HT,Haiti,,,Port-au-Prince Metropolitan Area,,,ChIJ45pR8ETmuY4RNy5Kt_6DgXE,2021-03-05,-13,-17,-32,-12,-22,4
HT,Haiti,,,Port-au-Prince Metropolitan Area,,,ChIJ45pR8ETmuY4RNy5Kt_6DgXE,2021-03-06,-13,-17,-28,-20,-25,3
HT,Haiti,,,Port-au-Prince Metropolitan Area,,,ChIJ45pR8ETmuY4RNy5Kt_6DgXE,2021-03-07,-25,-24,-36,-24,-32,4
HT,Haiti,,,Port-au-Prince Metropolitan Area,,,ChIJ45pR8ETmuY4RNy5Kt_6DgXE,2021-03-08,-13,-19,-26,-11,-23,3
HT,Haiti,,,Port-au-Prince Metropolitan Area,,,ChIJ45pR8ETmuY4RNy5Kt_6DgXE,2021-03-09,-12,-19,-25,-17,-21,4
HT,Haiti,,,Port-au-Prince Metropolitan Area,,,ChIJ45pR8ETmuY4RNy5Kt_6DgXE,2021-03-10,-11,-16,-26,-11,-20,4
HT,Haiti,,,Port-au-Prince Metropolitan Area,,,ChIJ45pR8ETmuY4RNy5Kt_6DgXE,2021-03-11,-7,-14,-22,-9,-19,3
HT,Haiti,,,Port-au-Prince Metropolitan Area,,,ChIJ45pR8ETmuY4RNy5Kt_6DgXE,2021-03-12,-14,-18,-28,-9,-25,6
HT,Haiti,,,Port-au-Prince Metropolitan Area,,,ChIJ45pR8ETmuY4RNy5Kt_6DgXE,2021-03-13,-8,-15,-26,-12,-24,4
HT,Haiti,,,Port-au-Prince Metropolitan Area,,,ChIJ45pR8ETmuY4RNy5Kt_6DgXE,2021-03-14,-18,-23,-35,-21,-29,4
HT,Haiti,,,Port-au-Prince Metropolitan Area,,,ChIJ45pR8ETmuY4RNy5Kt_6DgXE,2021-03-15,-19,-25,-34,-15,-22,6
