country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
HU,Hungary,,,,,,ChIJw-Q333uDQUcREBAeDCnEAAA,2021-01-01,-87,-91,11,-73,-88,30
HU,Hungary,,,,,,ChIJw-Q333uDQUcREBAeDCnEAAA,2021-01-02,-50,-25,15,-41,-35,11
HU,Hungary,,,,,,ChIJw-Q333uDQUcREBAeDCnEAAA,2021-01-03,-42,-15,3,-37,-19,8
HU,Hungary,,,,,,ChIJw-Q333uDQUcREBAeDCnEAAA,2021-01-04,-33,-5,-15,-36,-27,13
HU,Hungary,,,,,,ChIJw-Q333uDQUcREBAeDCnEAAA,2021-01-05,-33,-4,-7,-35,-27,12
HU,Hungary,,,,,,ChIJw-Q333uDQUcREBAeDCnEAAA,2021-01-06,-34,-5,-17,-35,-26,12
HU,Hungary,,,,,,ChIJw-Q333uDQUcREBAeDCnEAAA,2021-01-07,-33,-4,-13,-34,-24,12
HU,Hungary,,,,,,ChIJw-Q333uDQUcREBAeDCnEAAA,2021-01-08,-34,-2,-21,-35,-23,12
HU,Hungary,,,,,,ChIJw-Q333uDQUcREBAeDCnEAAA,2021-01-09,-34,-3,0,-28,-11,7
HU,Hungary,,,,,,ChIJw-Q333uDQUcREBAeDCnEAAA,2021-01-10,-36,-6,-11,-34,-12,6
HU,Hungary,,,,,,ChIJw-Q333uDQUcREBAeDCnEAAA,2021-01-11,-30,-5,-13,-34,-22,11
HU,Hungary,,,,,,ChIJw-Q333uDQUcREBAeDCnEAAA,2021-01-12,-31,-2,-9,-33,-23,10
HU,Hungary,,,,,,ChIJw-Q333uDQUcREBAeDCnEAAA,2021-01-13,-34,-6,-13,-34,-23,10
HU,Hungary,,,,,,ChIJw-Q333uDQUcREBAeDCnEAAA,2021-01-14,-37,-9,-21,-36,-25,10
HU,Hungary,,,,,,ChIJw-Q333uDQUcREBAeDCnEAAA,2021-01-15,-38,-7,-22,-37,-25,10
HU,Hungary,,,,,,ChIJw-Q333uDQUcREBAeDCnEAAA,2021-01-16,-41,-11,-17,-35,-14,6
HU,Hungary,,,,,,ChIJw-Q333uDQUcREBAeDCnEAAA,2021-01-17,-42,-13,-2,-36,-14,5
HU,Hungary,,,,,,ChIJw-Q333uDQUcREBAeDCnEAAA,2021-01-18,-36,-12,-21,-38,-25,10
HU,Hungary,,,,,,ChIJw-Q333uDQUcREBAeDCnEAAA,2021-01-19,-36,-11,-10,-37,-25,10
HU,Hungary,,,,,,ChIJw-Q333uDQUcREBAeDCnEAAA,2021-01-20,-35,-9,-4,-34,-24,9
HU,Hungary,,,,,,ChIJw-Q333uDQUcREBAeDCnEAAA,2021-01-21,-35,-8,-8,-35,-24,10
HU,Hungary,,,,,,ChIJw-Q333uDQUcREBAeDCnEAAA,2021-01-22,-36,-6,-12,-35,-24,10
HU,Hungary,,,,,,ChIJw-Q333uDQUcREBAeDCnEAAA,2021-01-23,-38,-8,-16,-31,-8,6
HU,Hungary,,,,,,ChIJw-Q333uDQUcREBAeDCnEAAA,2021-01-24,-36,-8,12,-30,-11,4
HU,Hungary,,,,,,ChIJw-Q333uDQUcREBAeDCnEAAA,2021-01-25,-35,-12,-13,-36,-24,10
HU,Hungary,,,,,,ChIJw-Q333uDQUcREBAeDCnEAAA,2021-01-26,-35,-9,-5,-35,-24,9
HU,Hungary,,,,,,ChIJw-Q333uDQUcREBAeDCnEAAA,2021-01-27,-36,-9,-10,-34,-23,9
