country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,2021-01-01,-82,-62,17,-79,-85,35
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,2021-01-02,-68,-16,-15,-66,-42,17
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,2021-01-03,-66,-22,-19,-65,-31,14
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,2021-01-04,-53,-11,-17,-64,-54,22
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,2021-01-05,-52,-9,-3,-64,-54,21
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,2021-01-06,-55,-13,-10,-66,-53,23
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,2021-01-07,-60,-17,-23,-68,-54,25
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,2021-01-08,-61,-14,-15,-67,-52,25
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,2021-01-09,-64,-12,-6,-65,-35,17
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,2021-01-10,-67,-21,-18,-68,-30,15
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,2021-01-11,-58,-18,-24,-69,-53,22
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,2021-01-12,-58,-16,-9,-68,-54,23
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,2021-01-13,-59,-17,-15,-69,-54,23
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,2021-01-14,-59,-16,-1,-69,-55,23
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,2021-01-15,-61,-17,-22,-69,-54,25
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,2021-01-16,-63,-12,-6,-67,-34,15
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,2021-01-17,-67,-23,-11,-70,-31,14
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,2021-01-18,-58,-20,-16,-68,-54,22
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,2021-01-19,-59,-20,-29,-70,-55,22
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,2021-01-20,-60,-19,-29,-70,-54,23
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,2021-01-21,-58,-14,-5,-68,-54,23
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,2021-01-22,-59,-12,-15,-68,-52,24
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,2021-01-23,-61,-8,-4,-66,-33,15
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,2021-01-24,-68,-24,-28,-71,-31,15
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,2021-01-25,-56,-17,-6,-68,-53,21
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,2021-01-26,-56,-15,-13,-68,-53,21
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,2021-01-27,-58,-16,-21,-69,-53,23
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,2021-01-28,-57,-13,-20,-69,-53,23
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,2021-01-29,-56,-9,-10,-67,-51,23
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,2021-01-30,-63,-11,-45,-71,-33,16
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,2021-01-31,-67,-23,-51,-73,-30,15
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,2021-02-01,-53,-15,-7,-66,-52,20
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,2021-02-02,-53,-11,-9,-66,-52,20
IE,Ireland,,,,,,ChIJ-ydAXOS6WUgRCPTbzjQSfM8,2021-02-03,-54,-11,0,-66,-52,21
