country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
IL,Israel,,,,,,ChIJi8mnMiRJABURuiw1EyBCa2o,2021-01-01,-53,-18,-6,-45,-38,11
IL,Israel,,,,,,ChIJi8mnMiRJABURuiw1EyBCa2o,2021-01-02,-66,-25,-16,-42,-17,9
IL,Israel,,,,,,ChIJi8mnMiRJABURuiw1EyBCa2o,2021-01-03,-46,-9,-15,-40,-29,16
IL,Israel,,,,,,ChIJi8mnMiRJABURuiw1EyBCa2o,2021-01-04,-48,-7,-21,-41,-30,16
IL,Israel,,,,,,ChIJi8mnMiRJABURuiw1EyBCa2o,2021-01-05,-49,-5,-24,-40,-31,16
IL,Israel,,,,,,ChIJi8mnMiRJABURuiw1EyBCa2o,2021-01-06,-43,4,-16,-37,-30,15
IL,Israel,,,,,,ChIJi8mnMiRJABURuiw1EyBCa2o,2021-01-07,-42,3,-13,-36,-31,15
IL,Israel,,,,,,ChIJi8mnMiRJABURuiw1EyBCa2o,2021-01-08,-61,-19,-26,-53,-44,15
IL,Israel,,,,,,ChIJi8mnMiRJABURuiw1EyBCa2o,2021-01-09,-74,-35,-29,-50,-24,12
IL,Israel,,,,,,ChIJi8mnMiRJABURuiw1EyBCa2o,2021-01-10,-56,-14,-23,-50,-42,21
IL,Israel,,,,,,ChIJi8mnMiRJABURuiw1EyBCa2o,2021-01-11,-55,-12,-26,-49,-42,21
IL,Israel,,,,,,ChIJi8mnMiRJABURuiw1EyBCa2o,2021-01-12,-55,-10,-23,-48,-42,20
IL,Israel,,,,,,ChIJi8mnMiRJABURuiw1EyBCa2o,2021-01-13,-54,-9,-30,-48,-41,20
IL,Israel,,,,,,ChIJi8mnMiRJABURuiw1EyBCa2o,2021-01-14,-61,-20,-55,-55,-44,23
IL,Israel,,,,,,ChIJi8mnMiRJABURuiw1EyBCa2o,2021-01-15,-59,-16,-40,-54,-45,13
IL,Israel,,,,,,ChIJi8mnMiRJABURuiw1EyBCa2o,2021-01-16,-74,-34,-38,-51,-25,11
IL,Israel,,,,,,ChIJi8mnMiRJABURuiw1EyBCa2o,2021-01-17,-57,-22,-42,-54,-44,20
IL,Israel,,,,,,ChIJi8mnMiRJABURuiw1EyBCa2o,2021-01-18,-59,-20,-53,-55,-44,21
IL,Israel,,,,,,ChIJi8mnMiRJABURuiw1EyBCa2o,2021-01-19,-60,-22,-56,-55,-44,21
IL,Israel,,,,,,ChIJi8mnMiRJABURuiw1EyBCa2o,2021-01-20,-59,-20,-53,-55,-44,22
IL,Israel,,,,,,ChIJi8mnMiRJABURuiw1EyBCa2o,2021-01-21,-53,-9,-26,-48,-42,20
IL,Israel,,,,,,ChIJi8mnMiRJABURuiw1EyBCa2o,2021-01-22,-53,-12,-10,-48,-41,11
IL,Israel,,,,,,ChIJi8mnMiRJABURuiw1EyBCa2o,2021-01-23,-69,-28,-19,-47,-21,10
IL,Israel,,,,,,ChIJi8mnMiRJABURuiw1EyBCa2o,2021-01-24,-51,-13,-16,-48,-41,18
IL,Israel,,,,,,ChIJi8mnMiRJABURuiw1EyBCa2o,2021-01-25,-52,-11,-23,-47,-41,19
IL,Israel,,,,,,ChIJi8mnMiRJABURuiw1EyBCa2o,2021-01-26,-52,-10,-23,-47,-41,18
IL,Israel,,,,,,ChIJi8mnMiRJABURuiw1EyBCa2o,2021-01-27,-51,-8,-23,-46,-40,18
IL,Israel,,,,,,ChIJi8mnMiRJABURuiw1EyBCa2o,2021-01-28,-55,-13,-43,-50,-41,20
IL,Israel,,,,,,ChIJi8mnMiRJABURuiw1EyBCa2o,2021-01-29,-59,-20,-52,-55,-44,13
IL,Israel,,,,,,ChIJi8mnMiRJABURuiw1EyBCa2o,2021-01-30,-72,-33,-44,-52,-23,10
IL,Israel,,,,,,ChIJi8mnMiRJABURuiw1EyBCa2o,2021-01-31,-49,-12,-15,-46,-40,17
IL,Israel,,,,,,ChIJi8mnMiRJABURuiw1EyBCa2o,2021-02-01,-49,-11,-10,-45,-39,17
IL,Israel,,,,,,ChIJi8mnMiRJABURuiw1EyBCa2o,2021-02-02,-50,-10,-10,-45,-39,17
IL,Israel,,,,,,ChIJi8mnMiRJABURuiw1EyBCa2o,2021-02-03,-48,-8,-5,-43,-38,17
IL,Israel,,,,,,ChIJi8mnMiRJABURuiw1EyBCa2o,2021-02-04,-55,-14,-40,-49,-40,20
IL,Israel,,,,,,ChIJi8mnMiRJABURuiw1EyBCa2o,2021-02-05,-51,-11,-13,-46,-39,10
IL,Israel,,,,,,ChIJi8mnMiRJABURuiw1EyBCa2o,2021-02-06,-66,-26,-4,-42,-16,7
IL,Israel,,,,,,ChIJi8mnMiRJABURuiw1EyBCa2o,2021-02-07,-40,-9,9,-41,-37,14
IL,Israel,,,,,,ChIJi8mnMiRJABURuiw1EyBCa2o,2021-02-08,-40,-7,9,-39,-37,14
IL,Israel,,,,,,ChIJi8mnMiRJABURuiw1EyBCa2o,2021-02-09,-39,-4,16,-37,-36,13
IL,Israel,,,,,,ChIJi8mnMiRJABURuiw1EyBCa2o,2021-02-10,-37,0,17,-36,-35,13
IL,Israel,,,,,,ChIJi8mnMiRJABURuiw1EyBCa2o,2021-02-11,-37,1,15,-35,-34,13
IL,Israel,,,,,,ChIJi8mnMiRJABURuiw1EyBCa2o,2021-02-12,-35,-3,68,-32,-34,4
IL,Israel,,,,,,ChIJi8mnMiRJABURuiw1EyBCa2o,2021-02-13,-48,-11,55,-29,-16,-1
IL,Israel,,,,,,ChIJi8mnMiRJABURuiw1EyBCa2o,2021-02-14,-31,3,22,-34,-31,11
IL,Israel,,,,,,ChIJi8mnMiRJABURuiw1EyBCa2o,2021-02-15,-35,1,10,-35,-31,12
IL,Israel,,,,,,ChIJi8mnMiRJABURuiw1EyBCa2o,2021-02-16,-42,-2,-26,-39,-32,13
IL,Israel,,,,,,ChIJi8mnMiRJABURuiw1EyBCa2o,2021-02-17,-55,-25,-56,-52,-38,20
IL,Israel,,,,,,ChIJi8mnMiRJABURuiw1EyBCa2o,2021-02-18,-44,-6,-33,-45,-36,17
IL,Israel,,,,,,ChIJi8mnMiRJABURuiw1EyBCa2o,2021-02-19,-47,-14,-34,-47,-37,9
IL,Israel,,,,,,ChIJi8mnMiRJABURuiw1EyBCa2o,2021-02-20,-49,-10,22,-34,-13,2
IL,Israel,,,,,,ChIJi8mnMiRJABURuiw1EyBCa2o,2021-02-21,-21,9,4,-29,-26,9
IL,Israel,,,,,,ChIJi8mnMiRJABURuiw1EyBCa2o,2021-02-22,-21,11,-1,-29,-26,10
IL,Israel,,,,,,ChIJi8mnMiRJABURuiw1EyBCa2o,2021-02-23,-24,11,-11,-29,-26,10
IL,Israel,,,,,,ChIJi8mnMiRJABURuiw1EyBCa2o,2021-02-24,-23,7,16,-24,-25,9
IL,Israel,,,,,,ChIJi8mnMiRJABURuiw1EyBCa2o,2021-02-25,-29,4,14,-32,-36,13
IL,Israel,,,,,,ChIJi8mnMiRJABURuiw1EyBCa2o,2021-02-26,-30,-5,62,-28,-35,4
IL,Israel,,,,,,ChIJi8mnMiRJABURuiw1EyBCa2o,2021-02-27,-43,-7,51,-30,-12,0
IL,Israel,,,,,,ChIJi8mnMiRJABURuiw1EyBCa2o,2021-02-28,-23,3,25,-31,-36,10
IL,Israel,,,,,,ChIJi8mnMiRJABURuiw1EyBCa2o,2021-03-01,-31,-2,-17,-32,-25,11
IL,Israel,,,,,,ChIJi8mnMiRJABURuiw1EyBCa2o,2021-03-02,-29,2,-7,-30,-25,10
IL,Israel,,,,,,ChIJi8mnMiRJABURuiw1EyBCa2o,2021-03-03,-30,0,-20,-31,-25,11
IL,Israel,,,,,,ChIJi8mnMiRJABURuiw1EyBCa2o,2021-03-04,-32,0,-23,-33,-27,12
IL,Israel,,,,,,ChIJi8mnMiRJABURuiw1EyBCa2o,2021-03-05,-23,4,53,-23,-25,4
IL,Israel,,,,,,ChIJi8mnMiRJABURuiw1EyBCa2o,2021-03-06,-33,3,60,-22,-10,0
