country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
IT,Italy,,,,,,ChIJA9KNRIL-1BIRb15jJFz1LOI,2021-01-01,-88,-90,-66,-83,-85,31
IT,Italy,,,,,,ChIJA9KNRIL-1BIRb15jJFz1LOI,2021-01-02,-69,-36,-66,-68,-49,21
IT,Italy,,,,,,ChIJA9KNRIL-1BIRb15jJFz1LOI,2021-01-03,-72,-42,-59,-62,-28,16
IT,Italy,,,,,,ChIJA9KNRIL-1BIRb15jJFz1LOI,2021-01-04,-23,15,-16,-45,-43,15
IT,Italy,,,,,,ChIJA9KNRIL-1BIRb15jJFz1LOI,2021-01-05,-47,5,-45,-58,-49,20
IT,Italy,,,,,,ChIJA9KNRIL-1BIRb15jJFz1LOI,2021-01-06,-73,-57,-45,-73,-78,31
IT,Italy,,,,,,ChIJA9KNRIL-1BIRb15jJFz1LOI,2021-01-07,-26,1,-23,-42,-29,13
IT,Italy,,,,,,ChIJA9KNRIL-1BIRb15jJFz1LOI,2021-01-08,-27,2,-17,-40,-28,13
IT,Italy,,,,,,ChIJA9KNRIL-1BIRb15jJFz1LOI,2021-01-09,-51,-13,-44,-50,-26,15
IT,Italy,,,,,,ChIJA9KNRIL-1BIRb15jJFz1LOI,2021-01-10,-66,-38,-57,-57,-23,15
IT,Italy,,,,,,ChIJA9KNRIL-1BIRb15jJFz1LOI,2021-01-11,-30,-5,-24,-42,-24,11
IT,Italy,,,,,,ChIJA9KNRIL-1BIRb15jJFz1LOI,2021-01-12,-30,-4,-18,-40,-25,11
IT,Italy,,,,,,ChIJA9KNRIL-1BIRb15jJFz1LOI,2021-01-13,-33,-6,-15,-41,-25,10
IT,Italy,,,,,,ChIJA9KNRIL-1BIRb15jJFz1LOI,2021-01-14,-36,-9,-24,-43,-28,11
IT,Italy,,,,,,ChIJA9KNRIL-1BIRb15jJFz1LOI,2021-01-15,-39,-10,-32,-44,-29,11
IT,Italy,,,,,,ChIJA9KNRIL-1BIRb15jJFz1LOI,2021-01-16,-44,-14,-21,-43,-28,10
IT,Italy,,,,,,ChIJA9KNRIL-1BIRb15jJFz1LOI,2021-01-17,-68,-41,-56,-60,-29,13
IT,Italy,,,,,,ChIJA9KNRIL-1BIRb15jJFz1LOI,2021-01-18,-41,-16,-27,-45,-30,11
IT,Italy,,,,,,ChIJA9KNRIL-1BIRb15jJFz1LOI,2021-01-19,-40,-14,-24,-44,-30,11
IT,Italy,,,,,,ChIJA9KNRIL-1BIRb15jJFz1LOI,2021-01-20,-42,-13,-31,-45,-29,12
IT,Italy,,,,,,ChIJA9KNRIL-1BIRb15jJFz1LOI,2021-01-21,-42,-13,-36,-46,-29,12
IT,Italy,,,,,,ChIJA9KNRIL-1BIRb15jJFz1LOI,2021-01-22,-45,-13,-43,-47,-29,13
IT,Italy,,,,,,ChIJA9KNRIL-1BIRb15jJFz1LOI,2021-01-23,-50,-14,-37,-47,-27,12
IT,Italy,,,,,,ChIJA9KNRIL-1BIRb15jJFz1LOI,2021-01-24,-63,-37,-48,-55,-26,12
IT,Italy,,,,,,ChIJA9KNRIL-1BIRb15jJFz1LOI,2021-01-25,-38,-13,-29,-43,-28,10
IT,Italy,,,,,,ChIJA9KNRIL-1BIRb15jJFz1LOI,2021-01-26,-36,-10,-13,-39,-28,10
IT,Italy,,,,,,ChIJA9KNRIL-1BIRb15jJFz1LOI,2021-01-27,-38,-9,-20,-40,-26,11
IT,Italy,,,,,,ChIJA9KNRIL-1BIRb15jJFz1LOI,2021-01-28,-37,-7,-21,-40,-27,11
IT,Italy,,,,,,ChIJA9KNRIL-1BIRb15jJFz1LOI,2021-01-29,-39,-5,-24,-41,-27,11
IT,Italy,,,,,,ChIJA9KNRIL-1BIRb15jJFz1LOI,2021-01-30,-43,-10,-13,-40,-24,10
IT,Italy,,,,,,ChIJA9KNRIL-1BIRb15jJFz1LOI,2021-01-31,-58,-31,-40,-50,-22,11
IT,Italy,,,,,,ChIJA9KNRIL-1BIRb15jJFz1LOI,2021-02-01,-28,-8,-20,-39,-25,8
IT,Italy,,,,,,ChIJA9KNRIL-1BIRb15jJFz1LOI,2021-02-02,-26,-5,-4,-36,-25,8
IT,Italy,,,,,,ChIJA9KNRIL-1BIRb15jJFz1LOI,2021-02-03,-30,-8,-18,-39,-24,9
IT,Italy,,,,,,ChIJA9KNRIL-1BIRb15jJFz1LOI,2021-02-04,-30,-5,-14,-37,-25,9
IT,Italy,,,,,,ChIJA9KNRIL-1BIRb15jJFz1LOI,2021-02-05,-31,-3,-12,-36,-25,9
IT,Italy,,,,,,ChIJA9KNRIL-1BIRb15jJFz1LOI,2021-02-06,-34,-9,2,-32,-21,7
IT,Italy,,,,,,ChIJA9KNRIL-1BIRb15jJFz1LOI,2021-02-07,-50,-30,-49,-51,-21,10
IT,Italy,,,,,,ChIJA9KNRIL-1BIRb15jJFz1LOI,2021-02-08,-28,-8,-14,-38,-25,8
IT,Italy,,,,,,ChIJA9KNRIL-1BIRb15jJFz1LOI,2021-02-09,-27,-5,-17,-38,-25,9
IT,Italy,,,,,,ChIJA9KNRIL-1BIRb15jJFz1LOI,2021-02-10,-31,-7,-26,-39,-24,10
IT,Italy,,,,,,ChIJA9KNRIL-1BIRb15jJFz1LOI,2021-02-11,-26,-1,-4,-34,-23,8
IT,Italy,,,,,,ChIJA9KNRIL-1BIRb15jJFz1LOI,2021-02-12,-31,1,-26,-38,-23,10
IT,Italy,,,,,,ChIJA9KNRIL-1BIRb15jJFz1LOI,2021-02-13,-38,-9,-32,-42,-24,10
IT,Italy,,,,,,ChIJA9KNRIL-1BIRb15jJFz1LOI,2021-02-14,-42,-25,-15,-39,-19,8
IT,Italy,,,,,,ChIJA9KNRIL-1BIRb15jJFz1LOI,2021-02-15,-29,-7,-11,-40,-27,10
IT,Italy,,,,,,ChIJA9KNRIL-1BIRb15jJFz1LOI,2021-02-16,-26,-4,-3,-38,-27,9
IT,Italy,,,,,,ChIJA9KNRIL-1BIRb15jJFz1LOI,2021-02-17,-29,-4,-6,-37,-24,9
IT,Italy,,,,,,ChIJA9KNRIL-1BIRb15jJFz1LOI,2021-02-18,-29,-1,-8,-36,-23,9
IT,Italy,,,,,,ChIJA9KNRIL-1BIRb15jJFz1LOI,2021-02-19,-30,1,-6,-36,-24,10
IT,Italy,,,,,,ChIJA9KNRIL-1BIRb15jJFz1LOI,2021-02-20,-32,-5,16,-31,-20,7
IT,Italy,,,,,,ChIJA9KNRIL-1BIRb15jJFz1LOI,2021-02-21,-43,-23,8,-35,-17,7
IT,Italy,,,,,,ChIJA9KNRIL-1BIRb15jJFz1LOI,2021-02-22,-29,-5,-3,-36,-22,8
IT,Italy,,,,,,ChIJA9KNRIL-1BIRb15jJFz1LOI,2021-02-23,-27,-2,9,-34,-23,8
