country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
JM,Jamaica,,,,,,ChIJnXHPxhsq2o4R-g4StcDRoFk,2021-01-01,-67,-68,-51,-52,-76,29
JM,Jamaica,,,,,,ChIJnXHPxhsq2o4R-g4StcDRoFk,2021-01-02,-21,-5,-11,-13,-15,5
JM,Jamaica,,,,,,ChIJnXHPxhsq2o4R-g4StcDRoFk,2021-01-03,-26,-14,-20,-18,-7,3
JM,Jamaica,,,,,,ChIJnXHPxhsq2o4R-g4StcDRoFk,2021-01-04,-18,-10,-22,-14,-26,10
JM,Jamaica,,,,,,ChIJnXHPxhsq2o4R-g4StcDRoFk,2021-01-05,-22,-13,-26,-18,-28,10
JM,Jamaica,,,,,,ChIJnXHPxhsq2o4R-g4StcDRoFk,2021-01-06,-22,-12,-26,-15,-25,11
JM,Jamaica,,,,,,ChIJnXHPxhsq2o4R-g4StcDRoFk,2021-01-07,-23,-13,-23,-12,-26,11
JM,Jamaica,,,,,,ChIJnXHPxhsq2o4R-g4StcDRoFk,2021-01-08,-24,-9,-26,-15,-23,11
JM,Jamaica,,,,,,ChIJnXHPxhsq2o4R-g4StcDRoFk,2021-01-09,-22,-7,-20,-13,-11,4
JM,Jamaica,,,,,,ChIJnXHPxhsq2o4R-g4StcDRoFk,2021-01-10,-29,-13,-34,-24,-8,3
JM,Jamaica,,,,,,ChIJnXHPxhsq2o4R-g4StcDRoFk,2021-01-11,-23,-16,-28,-20,-25,9
JM,Jamaica,,,,,,ChIJnXHPxhsq2o4R-g4StcDRoFk,2021-01-12,-28,-19,-33,-23,-28,9
JM,Jamaica,,,,,,ChIJnXHPxhsq2o4R-g4StcDRoFk,2021-01-13,-28,-19,-35,-22,-28,7
JM,Jamaica,,,,,,ChIJnXHPxhsq2o4R-g4StcDRoFk,2021-01-14,-31,-23,-35,-23,-32,8
JM,Jamaica,,,,,,ChIJnXHPxhsq2o4R-g4StcDRoFk,2021-01-15,-31,-19,-35,-23,-30,7
JM,Jamaica,,,,,,ChIJnXHPxhsq2o4R-g4StcDRoFk,2021-01-16,-29,-17,-27,-23,-21,3
JM,Jamaica,,,,,,ChIJnXHPxhsq2o4R-g4StcDRoFk,2021-01-17,-33,-20,-36,-31,-18,2
JM,Jamaica,,,,,,ChIJnXHPxhsq2o4R-g4StcDRoFk,2021-01-18,-30,-24,-34,-27,-31,8
JM,Jamaica,,,,,,ChIJnXHPxhsq2o4R-g4StcDRoFk,2021-01-19,-32,-24,-39,-29,-33,8
JM,Jamaica,,,,,,ChIJnXHPxhsq2o4R-g4StcDRoFk,2021-01-20,-29,-22,-37,-24,-31,8
JM,Jamaica,,,,,,ChIJnXHPxhsq2o4R-g4StcDRoFk,2021-01-21,-27,-19,-33,-21,-31,8
JM,Jamaica,,,,,,ChIJnXHPxhsq2o4R-g4StcDRoFk,2021-01-22,-26,-13,-32,-20,-28,8
