country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2021-01-01,-45,-41,-8,-66,-84,32
JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2021-01-02,-28,-21,-27,-45,-60,15
JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2021-01-03,-24,-14,-25,-35,-29,8
JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2021-01-04,0,0,-11,-35,-43,16
JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2021-01-05,-7,0,-19,-29,-21,11
JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2021-01-06,-14,0,-19,-28,-12,7
JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2021-01-07,-21,-5,-30,-30,-12,9
JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2021-01-08,-27,-8,-32,-32,-13,10
JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2021-01-09,-27,-8,-37,-40,-12,10
JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2021-01-10,-20,-5,-27,-40,-12,7
JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2021-01-11,-7,-4,-16,-54,-60,22
JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2021-01-12,-23,-7,-34,-29,-12,9
JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2021-01-13,-21,-4,-18,-29,-11,7
JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2021-01-14,-22,-5,-17,-31,-12,7
JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2021-01-15,-25,-6,-24,-33,-13,8
JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2021-01-16,-25,-7,-24,-39,-11,7
JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2021-01-17,-25,-9,-30,-44,-14,7
JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2021-01-18,-25,-9,-25,-32,-13,7
JP,Japan,,,,,,ChIJLxl_1w9OZzQRRFJmfNR1QvU,2021-01-19,-23,-8,-24,-33,-15,8
