country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
KE,Kenya,,,,,,ChIJD5BQg9CAJxgR2W2XobAOO0A,2021-01-01,-27,-9,-7,-18,-64,25
KE,Kenya,,,,,,ChIJD5BQg9CAJxgR2W2XobAOO0A,2021-01-02,-14,8,2,7,-21,13
KE,Kenya,,,,,,ChIJD5BQg9CAJxgR2W2XobAOO0A,2021-01-03,-2,15,11,24,4,9
KE,Kenya,,,,,,ChIJD5BQg9CAJxgR2W2XobAOO0A,2021-01-04,6,26,-8,22,-19,13
KE,Kenya,,,,,,ChIJD5BQg9CAJxgR2W2XobAOO0A,2021-01-05,2,22,-8,25,-17,12
KE,Kenya,,,,,,ChIJD5BQg9CAJxgR2W2XobAOO0A,2021-01-06,1,21,-10,22,-12,12
KE,Kenya,,,,,,ChIJD5BQg9CAJxgR2W2XobAOO0A,2021-01-07,1,18,-10,19,-11,13
KE,Kenya,,,,,,ChIJD5BQg9CAJxgR2W2XobAOO0A,2021-01-08,-1,16,-8,17,-6,12
KE,Kenya,,,,,,ChIJD5BQg9CAJxgR2W2XobAOO0A,2021-01-09,-6,9,-7,13,5,10
KE,Kenya,,,,,,ChIJD5BQg9CAJxgR2W2XobAOO0A,2021-01-10,-7,6,-6,12,7,11
KE,Kenya,,,,,,ChIJD5BQg9CAJxgR2W2XobAOO0A,2021-01-11,4,14,-6,19,-7,10
KE,Kenya,,,,,,ChIJD5BQg9CAJxgR2W2XobAOO0A,2021-01-12,0,9,-10,17,-9,10
KE,Kenya,,,,,,ChIJD5BQg9CAJxgR2W2XobAOO0A,2021-01-13,-3,9,-13,12,-10,9
KE,Kenya,,,,,,ChIJD5BQg9CAJxgR2W2XobAOO0A,2021-01-14,-5,5,-20,6,-14,9
KE,Kenya,,,,,,ChIJD5BQg9CAJxgR2W2XobAOO0A,2021-01-15,-8,3,-20,4,-14,8
KE,Kenya,,,,,,ChIJD5BQg9CAJxgR2W2XobAOO0A,2021-01-16,-11,-2,-17,1,-8,8
KE,Kenya,,,,,,ChIJD5BQg9CAJxgR2W2XobAOO0A,2021-01-17,-10,-4,-13,1,-3,8
KE,Kenya,,,,,,ChIJD5BQg9CAJxgR2W2XobAOO0A,2021-01-18,-6,-2,-19,4,-16,10
KE,Kenya,,,,,,ChIJD5BQg9CAJxgR2W2XobAOO0A,2021-01-19,-8,-3,-17,4,-16,10
KE,Kenya,,,,,,ChIJD5BQg9CAJxgR2W2XobAOO0A,2021-01-20,-8,1,-18,5,-14,11
KE,Kenya,,,,,,ChIJD5BQg9CAJxgR2W2XobAOO0A,2021-01-21,-6,4,-20,5,-13,10
KE,Kenya,,,,,,ChIJD5BQg9CAJxgR2W2XobAOO0A,2021-01-22,-6,7,-17,8,-9,9
KE,Kenya,,,,,,ChIJD5BQg9CAJxgR2W2XobAOO0A,2021-01-23,-7,3,-11,6,-2,8
KE,Kenya,,,,,,ChIJD5BQg9CAJxgR2W2XobAOO0A,2021-01-24,-8,1,-6,6,1,9
KE,Kenya,,,,,,ChIJD5BQg9CAJxgR2W2XobAOO0A,2021-01-25,-3,2,-15,8,-11,10
KE,Kenya,,,,,,ChIJD5BQg9CAJxgR2W2XobAOO0A,2021-01-26,-4,3,-15,9,-12,9
KE,Kenya,,,,,,ChIJD5BQg9CAJxgR2W2XobAOO0A,2021-01-27,-3,6,-16,10,-9,10
KE,Kenya,,,,,,ChIJD5BQg9CAJxgR2W2XobAOO0A,2021-01-28,-1,10,-17,11,-9,9
KE,Kenya,,,,,,ChIJD5BQg9CAJxgR2W2XobAOO0A,2021-01-29,0,15,-13,18,-6,7
KE,Kenya,,,,,,ChIJD5BQg9CAJxgR2W2XobAOO0A,2021-01-30,0,15,-8,21,0,4
KE,Kenya,,,,,,ChIJD5BQg9CAJxgR2W2XobAOO0A,2021-01-31,0,15,-8,20,2,4
KE,Kenya,,,,,,ChIJD5BQg9CAJxgR2W2XobAOO0A,2021-02-01,2,12,-18,19,-9,6
KE,Kenya,,,,,,ChIJD5BQg9CAJxgR2W2XobAOO0A,2021-02-02,1,13,-15,21,-10,6
KE,Kenya,,,,,,ChIJD5BQg9CAJxgR2W2XobAOO0A,2021-02-03,-2,9,-12,15,-9,7
KE,Kenya,,,,,,ChIJD5BQg9CAJxgR2W2XobAOO0A,2021-02-04,-2,9,-10,12,-10,7
KE,Kenya,,,,,,ChIJD5BQg9CAJxgR2W2XobAOO0A,2021-02-05,-2,13,-5,14,-7,6
KE,Kenya,,,,,,ChIJD5BQg9CAJxgR2W2XobAOO0A,2021-02-06,-5,8,2,13,-3,5
KE,Kenya,,,,,,ChIJD5BQg9CAJxgR2W2XobAOO0A,2021-02-07,-7,3,6,12,-1,5
KE,Kenya,,,,,,ChIJD5BQg9CAJxgR2W2XobAOO0A,2021-02-08,-4,3,-9,13,-12,8
KE,Kenya,,,,,,ChIJD5BQg9CAJxgR2W2XobAOO0A,2021-02-09,-1,8,-11,17,-10,8
KE,Kenya,,,,,,ChIJD5BQg9CAJxgR2W2XobAOO0A,2021-02-10,-2,10,-10,15,-9,8
KE,Kenya,,,,,,ChIJD5BQg9CAJxgR2W2XobAOO0A,2021-02-11,-1,13,-15,14,-8,7
KE,Kenya,,,,,,ChIJD5BQg9CAJxgR2W2XobAOO0A,2021-02-12,0,14,-18,16,-6,6
KE,Kenya,,,,,,ChIJD5BQg9CAJxgR2W2XobAOO0A,2021-02-13,0,14,-13,12,-2,4
KE,Kenya,,,,,,ChIJD5BQg9CAJxgR2W2XobAOO0A,2021-02-14,6,14,-5,12,0,4
KE,Kenya,,,,,,ChIJD5BQg9CAJxgR2W2XobAOO0A,2021-02-15,1,8,-20,14,-8,6
KE,Kenya,,,,,,ChIJD5BQg9CAJxgR2W2XobAOO0A,2021-02-16,0,8,-24,15,-8,6
KE,Kenya,,,,,,ChIJD5BQg9CAJxgR2W2XobAOO0A,2021-02-17,1,13,-23,16,-6,7
KE,Kenya,,,,,,ChIJD5BQg9CAJxgR2W2XobAOO0A,2021-02-18,0,13,-22,15,-6,7
KE,Kenya,,,,,,ChIJD5BQg9CAJxgR2W2XobAOO0A,2021-02-19,0,16,-21,17,-3,6
KE,Kenya,,,,,,ChIJD5BQg9CAJxgR2W2XobAOO0A,2021-02-20,-1,13,-13,13,1,4
KE,Kenya,,,,,,ChIJD5BQg9CAJxgR2W2XobAOO0A,2021-02-21,-2,10,-10,12,3,5
KE,Kenya,,,,,,ChIJD5BQg9CAJxgR2W2XobAOO0A,2021-02-22,-3,4,-26,10,-7,8
KE,Kenya,,,,,,ChIJD5BQg9CAJxgR2W2XobAOO0A,2021-02-23,-1,8,-23,15,-6,6
KE,Kenya,,,,,,ChIJD5BQg9CAJxgR2W2XobAOO0A,2021-02-24,0,12,-22,17,-5,7
KE,Kenya,,,,,,ChIJD5BQg9CAJxgR2W2XobAOO0A,2021-02-25,2,15,-24,18,-4,7
KE,Kenya,,,,,,ChIJD5BQg9CAJxgR2W2XobAOO0A,2021-02-26,4,18,-17,21,-1,5
KE,Kenya,,,,,,ChIJD5BQg9CAJxgR2W2XobAOO0A,2021-02-27,5,19,-8,19,2,3
KE,Kenya,,,,,,ChIJD5BQg9CAJxgR2W2XobAOO0A,2021-02-28,6,17,-5,20,6,3
KE,Kenya,,,,,,ChIJD5BQg9CAJxgR2W2XobAOO0A,2021-03-01,6,14,-20,20,-3,6
KE,Kenya,,,,,,ChIJD5BQg9CAJxgR2W2XobAOO0A,2021-03-02,5,13,-18,22,-4,6
KE,Kenya,,,,,,ChIJD5BQg9CAJxgR2W2XobAOO0A,2021-03-03,6,18,-21,21,-3,6
KE,Kenya,,,,,,ChIJD5BQg9CAJxgR2W2XobAOO0A,2021-03-04,7,19,-18,21,-3,6
KE,Kenya,,,,,,ChIJD5BQg9CAJxgR2W2XobAOO0A,2021-03-05,8,22,-14,26,0,5
KE,Kenya,,,,,,ChIJD5BQg9CAJxgR2W2XobAOO0A,2021-03-06,7,21,-6,22,2,3
KE,Kenya,,,,,,ChIJD5BQg9CAJxgR2W2XobAOO0A,2021-03-07,7,17,-4,21,7,3
KE,Kenya,,,,,,ChIJD5BQg9CAJxgR2W2XobAOO0A,2021-03-08,8,14,-17,23,-2,6
KE,Kenya,,,,,,ChIJD5BQg9CAJxgR2W2XobAOO0A,2021-03-09,5,13,-16,22,-3,6
KE,Kenya,,,,,,ChIJD5BQg9CAJxgR2W2XobAOO0A,2021-03-10,7,17,-19,22,-1,7
KE,Kenya,,,,,,ChIJD5BQg9CAJxgR2W2XobAOO0A,2021-03-11,8,19,-19,22,-1,7
KE,Kenya,,,,,,ChIJD5BQg9CAJxgR2W2XobAOO0A,2021-03-12,7,22,-16,26,2,6
KE,Kenya,,,,,,ChIJD5BQg9CAJxgR2W2XobAOO0A,2021-03-13,5,19,-10,20,5,4
KE,Kenya,,,,,,ChIJD5BQg9CAJxgR2W2XobAOO0A,2021-03-14,5,15,-5,20,8,5
KE,Kenya,,,,,,ChIJD5BQg9CAJxgR2W2XobAOO0A,2021-03-15,8,14,-22,22,0,7
KE,Kenya,,,,,,ChIJD5BQg9CAJxgR2W2XobAOO0A,2021-03-16,5,15,-22,23,-2,7
KE,Kenya,,,,,,ChIJD5BQg9CAJxgR2W2XobAOO0A,2021-03-17,6,19,-20,24,0,7
KE,Kenya,,,,,,ChIJD5BQg9CAJxgR2W2XobAOO0A,2021-03-18,9,22,-19,26,-1,7
KE,Kenya,,,,,,ChIJD5BQg9CAJxgR2W2XobAOO0A,2021-03-19,7,23,-18,28,1,8
KE,Kenya,,,,,,ChIJD5BQg9CAJxgR2W2XobAOO0A,2021-03-20,4,18,-11,23,6,6
KE,Kenya,,,,,,ChIJD5BQg9CAJxgR2W2XobAOO0A,2021-03-21,2,13,-9,19,8,6
KE,Kenya,,,Eldoret Metropolitan Area,,,ChIJe9p2lnIBgRcRJNKkQt8400A,2021-01-01,-9,-32,-3,-8,-57,20
KE,Kenya,,,Eldoret Metropolitan Area,,,ChIJe9p2lnIBgRcRJNKkQt8400A,2021-01-02,4,-4,14,29,-10,12
KE,Kenya,,,Eldoret Metropolitan Area,,,ChIJe9p2lnIBgRcRJNKkQt8400A,2021-01-03,9,2,35,46,5,9
KE,Kenya,,,Eldoret Metropolitan Area,,,ChIJe9p2lnIBgRcRJNKkQt8400A,2021-01-04,25,15,43,46,-7,10
KE,Kenya,,,Eldoret Metropolitan Area,,,ChIJe9p2lnIBgRcRJNKkQt8400A,2021-01-05,18,12,48,50,-9,9
KE,Kenya,,,Eldoret Metropolitan Area,,,ChIJe9p2lnIBgRcRJNKkQt8400A,2021-01-06,20,7,37,63,-1,10
KE,Kenya,,,Eldoret Metropolitan Area,,,ChIJe9p2lnIBgRcRJNKkQt8400A,2021-01-07,19,3,31,47,0,13
KE,Kenya,,,Eldoret Metropolitan Area,,,ChIJe9p2lnIBgRcRJNKkQt8400A,2021-01-08,17,0,24,45,8,9
KE,Kenya,,,Eldoret Metropolitan Area,,,ChIJe9p2lnIBgRcRJNKkQt8400A,2021-01-09,14,-1,7,42,17,11
KE,Kenya,,,Eldoret Metropolitan Area,,,ChIJe9p2lnIBgRcRJNKkQt8400A,2021-01-10,14,-11,11,39,8,11
KE,Kenya,,,Eldoret Metropolitan Area,,,ChIJe9p2lnIBgRcRJNKkQt8400A,2021-01-11,24,2,29,43,5,9
KE,Kenya,,,Eldoret Metropolitan Area,,,ChIJe9p2lnIBgRcRJNKkQt8400A,2021-01-12,16,-4,28,48,3,8
KE,Kenya,,,Eldoret Metropolitan Area,,,ChIJe9p2lnIBgRcRJNKkQt8400A,2021-01-13,13,-9,24,32,4,7
KE,Kenya,,,Eldoret Metropolitan Area,,,ChIJe9p2lnIBgRcRJNKkQt8400A,2021-01-14,15,-16,30,28,-2,8
KE,Kenya,,,Eldoret Metropolitan Area,,,ChIJe9p2lnIBgRcRJNKkQt8400A,2021-01-15,12,-17,18,16,-1,5
KE,Kenya,,,Eldoret Metropolitan Area,,,ChIJe9p2lnIBgRcRJNKkQt8400A,2021-01-16,8,-23,11,31,3,9
KE,Kenya,,,Eldoret Metropolitan Area,,,ChIJe9p2lnIBgRcRJNKkQt8400A,2021-01-17,12,-24,12,27,-3,7
KE,Kenya,,,Eldoret Metropolitan Area,,,ChIJe9p2lnIBgRcRJNKkQt8400A,2021-01-18,14,-20,19,29,-6,9
KE,Kenya,,,Eldoret Metropolitan Area,,,ChIJe9p2lnIBgRcRJNKkQt8400A,2021-01-19,12,-23,22,32,-8,8
KE,Kenya,,,Eldoret Metropolitan Area,,,ChIJe9p2lnIBgRcRJNKkQt8400A,2021-01-20,11,-22,19,27,-4,11
KE,Kenya,,,Eldoret Metropolitan Area,,,ChIJe9p2lnIBgRcRJNKkQt8400A,2021-01-21,14,-20,27,18,-4,12
KE,Kenya,,,Eldoret Metropolitan Area,,,ChIJe9p2lnIBgRcRJNKkQt8400A,2021-01-22,12,-18,21,20,1,7
KE,Kenya,,,Eldoret Metropolitan Area,,,ChIJe9p2lnIBgRcRJNKkQt8400A,2021-01-23,16,-20,17,34,9,10
KE,Kenya,,,Eldoret Metropolitan Area,,,ChIJe9p2lnIBgRcRJNKkQt8400A,2021-01-24,11,-26,16,28,1,8
KE,Kenya,,,Eldoret Metropolitan Area,,,ChIJe9p2lnIBgRcRJNKkQt8400A,2021-01-25,20,-17,32,37,-1,9
KE,Kenya,,,Eldoret Metropolitan Area,,,ChIJe9p2lnIBgRcRJNKkQt8400A,2021-01-26,17,-19,27,32,-3,9
KE,Kenya,,,Eldoret Metropolitan Area,,,ChIJe9p2lnIBgRcRJNKkQt8400A,2021-01-27,18,-18,37,41,2,9
KE,Kenya,,,Eldoret Metropolitan Area,,,ChIJe9p2lnIBgRcRJNKkQt8400A,2021-01-28,22,-15,34,43,1,10
KE,Kenya,,,Eldoret Metropolitan Area,,,ChIJe9p2lnIBgRcRJNKkQt8400A,2021-01-29,25,-7,35,53,7,4
KE,Kenya,,,Eldoret Metropolitan Area,,,ChIJe9p2lnIBgRcRJNKkQt8400A,2021-01-30,23,-15,32,70,12,4
KE,Kenya,,,Eldoret Metropolitan Area,,,ChIJe9p2lnIBgRcRJNKkQt8400A,2021-01-31,25,-16,31,49,1,3
KE,Kenya,,,Eldoret Metropolitan Area,,,ChIJe9p2lnIBgRcRJNKkQt8400A,2021-02-01,27,-8,37,49,2,6
KE,Kenya,,,Eldoret Metropolitan Area,,,ChIJe9p2lnIBgRcRJNKkQt8400A,2021-02-02,22,-12,38,54,-3,5
KE,Kenya,,,Eldoret Metropolitan Area,,,ChIJe9p2lnIBgRcRJNKkQt8400A,2021-02-03,18,-18,37,46,0,4
KE,Kenya,,,Eldoret Metropolitan Area,,,ChIJe9p2lnIBgRcRJNKkQt8400A,2021-02-04,19,-15,48,47,-1,7
KE,Kenya,,,Eldoret Metropolitan Area,,,ChIJe9p2lnIBgRcRJNKkQt8400A,2021-02-05,20,-10,47,39,4,3
KE,Kenya,,,Eldoret Metropolitan Area,,,ChIJe9p2lnIBgRcRJNKkQt8400A,2021-02-06,18,-17,37,44,9,6
KE,Kenya,,,Eldoret Metropolitan Area,,,ChIJe9p2lnIBgRcRJNKkQt8400A,2021-02-07,9,-30,28,21,-3,7
KE,Kenya,,,Eldoret Metropolitan Area,,,ChIJe9p2lnIBgRcRJNKkQt8400A,2021-02-08,20,-13,43,34,1,4
KE,Kenya,,,Eldoret Metropolitan Area,,,ChIJe9p2lnIBgRcRJNKkQt8400A,2021-02-09,19,-13,39,47,-1,5
KE,Kenya,,,Eldoret Metropolitan Area,,,ChIJe9p2lnIBgRcRJNKkQt8400A,2021-02-10,17,-17,47,38,2,4
KE,Kenya,,,Eldoret Metropolitan Area,,,ChIJe9p2lnIBgRcRJNKkQt8400A,2021-02-11,15,-17,34,40,1,6
KE,Kenya,,,Eldoret Metropolitan Area,,,ChIJe9p2lnIBgRcRJNKkQt8400A,2021-02-12,20,-12,36,45,7,1
KE,Kenya,,,Eldoret Metropolitan Area,,,ChIJe9p2lnIBgRcRJNKkQt8400A,2021-02-13,22,-14,23,55,10,2
KE,Kenya,,,Eldoret Metropolitan Area,,,ChIJe9p2lnIBgRcRJNKkQt8400A,2021-02-14,39,-17,48,54,2,1
KE,Kenya,,,Eldoret Metropolitan Area,,,ChIJe9p2lnIBgRcRJNKkQt8400A,2021-02-15,21,-13,41,50,5,1
KE,Kenya,,,Eldoret Metropolitan Area,,,ChIJe9p2lnIBgRcRJNKkQt8400A,2021-02-16,17,-16,33,60,2,2
KE,Kenya,,,Eldoret Metropolitan Area,,,ChIJe9p2lnIBgRcRJNKkQt8400A,2021-02-17,17,-19,39,49,7,1
KE,Kenya,,,Eldoret Metropolitan Area,,,ChIJe9p2lnIBgRcRJNKkQt8400A,2021-02-18,17,-17,36,49,4,4
KE,Kenya,,,Eldoret Metropolitan Area,,,ChIJe9p2lnIBgRcRJNKkQt8400A,2021-02-19,17,-14,34,55,10,0
KE,Kenya,,,Eldoret Metropolitan Area,,,ChIJe9p2lnIBgRcRJNKkQt8400A,2021-02-20,20,-20,23,48,12,2
KE,Kenya,,,Eldoret Metropolitan Area,,,ChIJe9p2lnIBgRcRJNKkQt8400A,2021-02-21,10,-28,17,32,2,3
KE,Kenya,,,Eldoret Metropolitan Area,,,ChIJe9p2lnIBgRcRJNKkQt8400A,2021-02-22,16,-18,30,37,5,5
KE,Kenya,,,Eldoret Metropolitan Area,,,ChIJe9p2lnIBgRcRJNKkQt8400A,2021-02-23,18,-14,35,50,4,1
KE,Kenya,,,Eldoret Metropolitan Area,,,ChIJe9p2lnIBgRcRJNKkQt8400A,2021-02-24,17,-20,32,54,8,2
KE,Kenya,,,Eldoret Metropolitan Area,,,ChIJe9p2lnIBgRcRJNKkQt8400A,2021-02-25,23,-17,36,48,5,3
KE,Kenya,,,Eldoret Metropolitan Area,,,ChIJe9p2lnIBgRcRJNKkQt8400A,2021-02-26,23,-7,39,55,15,0
KE,Kenya,,,Eldoret Metropolitan Area,,,ChIJe9p2lnIBgRcRJNKkQt8400A,2021-02-27,22,-13,31,51,12,2
KE,Kenya,,,Eldoret Metropolitan Area,,,ChIJe9p2lnIBgRcRJNKkQt8400A,2021-02-28,23,-21,28,41,5,2
KE,Kenya,,,Eldoret Metropolitan Area,,,ChIJe9p2lnIBgRcRJNKkQt8400A,2021-03-01,24,-12,40,49,10,2
KE,Kenya,,,Eldoret Metropolitan Area,,,ChIJe9p2lnIBgRcRJNKkQt8400A,2021-03-02,20,-15,34,56,6,3
KE,Kenya,,,Eldoret Metropolitan Area,,,ChIJe9p2lnIBgRcRJNKkQt8400A,2021-03-03,24,-15,31,55,9,3
KE,Kenya,,,Eldoret Metropolitan Area,,,ChIJe9p2lnIBgRcRJNKkQt8400A,2021-03-04,22,-12,33,54,7,3
KE,Kenya,,,Eldoret Metropolitan Area,,,ChIJe9p2lnIBgRcRJNKkQt8400A,2021-03-05,28,-7,40,59,15,0
KE,Kenya,,,Eldoret Metropolitan Area,,,ChIJe9p2lnIBgRcRJNKkQt8400A,2021-03-06,25,-10,31,72,12,3
KE,Kenya,,,Eldoret Metropolitan Area,,,ChIJe9p2lnIBgRcRJNKkQt8400A,2021-03-07,23,-20,38,53,10,2
KE,Kenya,,,Eldoret Metropolitan Area,,,ChIJe9p2lnIBgRcRJNKkQt8400A,2021-03-08,28,-10,39,60,14,3
KE,Kenya,,,Eldoret Metropolitan Area,,,ChIJe9p2lnIBgRcRJNKkQt8400A,2021-03-09,22,-14,36,65,11,1
KE,Kenya,,,Eldoret Metropolitan Area,,,ChIJe9p2lnIBgRcRJNKkQt8400A,2021-03-10,22,-11,47,57,13,3
KE,Kenya,,,Eldoret Metropolitan Area,,,ChIJe9p2lnIBgRcRJNKkQt8400A,2021-03-11,26,-8,41,55,14,5
KE,Kenya,,,Eldoret Metropolitan Area,,,ChIJe9p2lnIBgRcRJNKkQt8400A,2021-03-12,26,-4,38,53,18,2
KE,Kenya,,,Eldoret Metropolitan Area,,,ChIJe9p2lnIBgRcRJNKkQt8400A,2021-03-13,24,-13,25,49,20,3
KE,Kenya,,,Eldoret Metropolitan Area,,,ChIJe9p2lnIBgRcRJNKkQt8400A,2021-03-14,20,-22,32,36,10,2
KE,Kenya,,,Eldoret Metropolitan Area,,,ChIJe9p2lnIBgRcRJNKkQt8400A,2021-03-15,27,-11,38,46,18,4
KE,Kenya,,,Eldoret Metropolitan Area,,,ChIJe9p2lnIBgRcRJNKkQt8400A,2021-03-16,21,-14,33,49,14,4
KE,Kenya,,,Eldoret Metropolitan Area,,,ChIJe9p2lnIBgRcRJNKkQt8400A,2021-03-17,21,-15,38,55,17,5
KE,Kenya,,,Eldoret Metropolitan Area,,,ChIJe9p2lnIBgRcRJNKkQt8400A,2021-03-18,30,-5,44,53,17,4
KE,Kenya,,,Eldoret Metropolitan Area,,,ChIJe9p2lnIBgRcRJNKkQt8400A,2021-03-19,32,-1,48,61,21,2
KE,Kenya,,,Eldoret Metropolitan Area,,,ChIJe9p2lnIBgRcRJNKkQt8400A,2021-03-20,25,-10,29,64,20,5
KE,Kenya,,,Eldoret Metropolitan Area,,,ChIJe9p2lnIBgRcRJNKkQt8400A,2021-03-21,18,-23,30,42,9,7
KE,Kenya,,,Mombasa Metropolitan Area,,,ChIJwZxSNmQLQBgR72Vz-RuDejg,2021-01-01,-15,-25,27,-15,-64,20
KE,Kenya,,,Mombasa Metropolitan Area,,,ChIJwZxSNmQLQBgR72Vz-RuDejg,2021-01-02,-13,-4,14,2,-27,12
KE,Kenya,,,Mombasa Metropolitan Area,,,ChIJwZxSNmQLQBgR72Vz-RuDejg,2021-01-03,-6,-5,14,9,-4,8
KE,Kenya,,,Mombasa Metropolitan Area,,,ChIJwZxSNmQLQBgR72Vz-RuDejg,2021-01-04,5,11,14,18,-14,9
KE,Kenya,,,Mombasa Metropolitan Area,,,ChIJwZxSNmQLQBgR72Vz-RuDejg,2021-01-05,-1,8,14,14,-13,9
