country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
KG,Kyrgyzstan,,,,,,ChIJ8yfp_B04lzgRM8SITrdYECg,2021-01-01,-58,-49,-21,-46,-78,17
KG,Kyrgyzstan,,,,,,ChIJ8yfp_B04lzgRM8SITrdYECg,2021-01-02,-45,-38,-18,-37,-57,10
KG,Kyrgyzstan,,,,,,ChIJ8yfp_B04lzgRM8SITrdYECg,2021-01-03,-34,-29,-15,-29,-33,5
KG,Kyrgyzstan,,,,,,ChIJ8yfp_B04lzgRM8SITrdYECg,2021-01-04,-32,-27,-23,-25,-43,9
KG,Kyrgyzstan,,,,,,ChIJ8yfp_B04lzgRM8SITrdYECg,2021-01-05,-27,-19,-16,-23,-39,8
KG,Kyrgyzstan,,,,,,ChIJ8yfp_B04lzgRM8SITrdYECg,2021-01-06,-29,-17,-23,-19,-38,8
KG,Kyrgyzstan,,,,,,ChIJ8yfp_B04lzgRM8SITrdYECg,2021-01-07,-32,-22,-22,-24,-56,12
KG,Kyrgyzstan,,,,,,ChIJ8yfp_B04lzgRM8SITrdYECg,2021-01-08,-33,-22,-24,-25,-49,11
KG,Kyrgyzstan,,,,,,ChIJ8yfp_B04lzgRM8SITrdYECg,2021-01-09,-31,-22,-23,-21,-27,4
KG,Kyrgyzstan,,,,,,ChIJ8yfp_B04lzgRM8SITrdYECg,2021-01-10,-25,-17,-16,-20,-9,-1
KG,Kyrgyzstan,,,,,,ChIJ8yfp_B04lzgRM8SITrdYECg,2021-01-11,-25,-17,-16,-14,-33,4
KG,Kyrgyzstan,,,,,,ChIJ8yfp_B04lzgRM8SITrdYECg,2021-01-12,-22,-10,-16,-12,-30,3
KG,Kyrgyzstan,,,,,,ChIJ8yfp_B04lzgRM8SITrdYECg,2021-01-13,-29,-15,-27,-18,-31,2
KG,Kyrgyzstan,,,,,,ChIJ8yfp_B04lzgRM8SITrdYECg,2021-01-14,-32,-21,-30,-21,-37,1
KG,Kyrgyzstan,,,,,,ChIJ8yfp_B04lzgRM8SITrdYECg,2021-01-15,-34,-23,-33,-23,-37,0
KG,Kyrgyzstan,,,,,,ChIJ8yfp_B04lzgRM8SITrdYECg,2021-01-16,-33,-26,-35,-26,-33,-2
KG,Kyrgyzstan,,,,,,ChIJ8yfp_B04lzgRM8SITrdYECg,2021-01-17,-31,-23,-32,-25,-26,-1
KG,Kyrgyzstan,,,,,,ChIJ8yfp_B04lzgRM8SITrdYECg,2021-01-18,-32,-24,-31,-16,-39,0
KG,Kyrgyzstan,,,,,,ChIJ8yfp_B04lzgRM8SITrdYECg,2021-01-19,-30,-20,-28,-18,-37,0
