country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
LK,Sri Lanka,,,,,,ChIJnR5a9jxZ4joRjNPiALSkPeE,2021-01-01,-37,-15,-14,-29,-24,21
LK,Sri Lanka,,,,,,ChIJnR5a9jxZ4joRjNPiALSkPeE,2021-01-02,-32,-13,-18,-25,-17,16
LK,Sri Lanka,,,,,,ChIJnR5a9jxZ4joRjNPiALSkPeE,2021-01-03,-35,-18,-17,-23,-16,15
LK,Sri Lanka,,,,,,ChIJnR5a9jxZ4joRjNPiALSkPeE,2021-01-04,-34,-17,-19,-25,-24,18
LK,Sri Lanka,,,,,,ChIJnR5a9jxZ4joRjNPiALSkPeE,2021-01-05,-31,-12,-18,-20,-25,17
LK,Sri Lanka,,,,,,ChIJnR5a9jxZ4joRjNPiALSkPeE,2021-01-06,-28,-8,-17,-20,-24,17
LK,Sri Lanka,,,,,,ChIJnR5a9jxZ4joRjNPiALSkPeE,2021-01-07,-26,-7,-16,-20,-23,17
LK,Sri Lanka,,,,,,ChIJnR5a9jxZ4joRjNPiALSkPeE,2021-01-08,-25,-2,-17,-19,-23,17
LK,Sri Lanka,,,,,,ChIJnR5a9jxZ4joRjNPiALSkPeE,2021-01-09,-28,-8,-24,-23,-15,13
LK,Sri Lanka,,,,,,ChIJnR5a9jxZ4joRjNPiALSkPeE,2021-01-10,-29,-9,-23,-19,-14,12
LK,Sri Lanka,,,,,,ChIJnR5a9jxZ4joRjNPiALSkPeE,2021-01-11,-27,-7,-21,-22,-23,15
LK,Sri Lanka,,,,,,ChIJnR5a9jxZ4joRjNPiALSkPeE,2021-01-12,-27,-7,-23,-20,-24,14
LK,Sri Lanka,,,,,,ChIJnR5a9jxZ4joRjNPiALSkPeE,2021-01-13,-26,-7,-24,-21,-27,12
LK,Sri Lanka,,,,,,ChIJnR5a9jxZ4joRjNPiALSkPeE,2021-01-14,-36,-22,-28,-40,-65,22
LK,Sri Lanka,,,,,,ChIJnR5a9jxZ4joRjNPiALSkPeE,2021-01-15,-33,-16,-31,-33,-36,14
LK,Sri Lanka,,,,,,ChIJnR5a9jxZ4joRjNPiALSkPeE,2021-01-16,-36,-23,-35,-37,-30,12
LK,Sri Lanka,,,,,,ChIJnR5a9jxZ4joRjNPiALSkPeE,2021-01-17,-36,-22,-33,-34,-29,11
LK,Sri Lanka,,,,,,ChIJnR5a9jxZ4joRjNPiALSkPeE,2021-01-18,-34,-19,-33,-33,-34,14
LK,Sri Lanka,,,,,,ChIJnR5a9jxZ4joRjNPiALSkPeE,2021-01-19,-33,-15,-32,-31,-33,14
LK,Sri Lanka,,,,,,ChIJnR5a9jxZ4joRjNPiALSkPeE,2021-01-20,-31,-16,-30,-30,-33,14
LK,Sri Lanka,,,,,,ChIJnR5a9jxZ4joRjNPiALSkPeE,2021-01-21,-31,-15,-29,-30,-33,14
LK,Sri Lanka,,,,,,ChIJnR5a9jxZ4joRjNPiALSkPeE,2021-01-22,-29,-11,-28,-30,-31,15
LK,Sri Lanka,,,,,,ChIJnR5a9jxZ4joRjNPiALSkPeE,2021-01-23,-30,-14,-28,-31,-24,12
LK,Sri Lanka,,,,,,ChIJnR5a9jxZ4joRjNPiALSkPeE,2021-01-24,-31,-14,-26,-29,-24,11
LK,Sri Lanka,,,,,,ChIJnR5a9jxZ4joRjNPiALSkPeE,2021-01-25,-29,-10,-24,-27,-31,13
LK,Sri Lanka,,,,,,ChIJnR5a9jxZ4joRjNPiALSkPeE,2021-01-26,-28,-9,-27,-26,-30,13
LK,Sri Lanka,,,,,,ChIJnR5a9jxZ4joRjNPiALSkPeE,2021-01-27,-25,-4,-22,-22,-30,11
LK,Sri Lanka,,,,,,ChIJnR5a9jxZ4joRjNPiALSkPeE,2021-01-28,-42,-23,-17,-43,-69,25
LK,Sri Lanka,,,,,,ChIJnR5a9jxZ4joRjNPiALSkPeE,2021-01-29,-27,-3,-25,-24,-30,13
LK,Sri Lanka,,,,,,ChIJnR5a9jxZ4joRjNPiALSkPeE,2021-01-30,-30,-13,-27,-28,-22,10
LK,Sri Lanka,,,,,,ChIJnR5a9jxZ4joRjNPiALSkPeE,2021-01-31,-31,-11,-26,-26,-21,9
LK,Sri Lanka,,,,,,ChIJnR5a9jxZ4joRjNPiALSkPeE,2021-02-01,-30,-9,-28,-26,-28,11
LK,Sri Lanka,,,,,,ChIJnR5a9jxZ4joRjNPiALSkPeE,2021-02-02,-29,-8,-28,-24,-28,11
LK,Sri Lanka,,,,,,ChIJnR5a9jxZ4joRjNPiALSkPeE,2021-02-03,-26,-5,-23,-23,-29,10
LK,Sri Lanka,,,,,,ChIJnR5a9jxZ4joRjNPiALSkPeE,2021-02-04,-42,-23,-11,-44,-71,25
LK,Sri Lanka,,,,,,ChIJnR5a9jxZ4joRjNPiALSkPeE,2021-02-05,-28,-5,-20,-27,-30,14
LK,Sri Lanka,,,,,,ChIJnR5a9jxZ4joRjNPiALSkPeE,2021-02-06,-30,-13,-22,-29,-24,11
LK,Sri Lanka,,,,,,ChIJnR5a9jxZ4joRjNPiALSkPeE,2021-02-07,-32,-14,-18,-28,-24,10
LK,Sri Lanka,,,,,,ChIJnR5a9jxZ4joRjNPiALSkPeE,2021-02-08,-29,-11,-23,-27,-28,13
LK,Sri Lanka,,,,,,ChIJnR5a9jxZ4joRjNPiALSkPeE,2021-02-09,-28,-8,-24,-25,-28,12
LK,Sri Lanka,,,,,,ChIJnR5a9jxZ4joRjNPiALSkPeE,2021-02-10,-26,-4,-21,-23,-27,12
LK,Sri Lanka,,,,,,ChIJnR5a9jxZ4joRjNPiALSkPeE,2021-02-11,-25,-6,-24,-25,-26,13
LK,Sri Lanka,,,,,,ChIJnR5a9jxZ4joRjNPiALSkPeE,2021-02-12,-24,-1,-25,-25,-26,12
