country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
ML,Mali,,,,,,ChIJz3MQG4g-FA4RgM-9oOJbOrs,2021-01-01,-19,2,15,-23,-51,15
ML,Mali,,,,,,ChIJz3MQG4g-FA4RgM-9oOJbOrs,2021-01-02,-3,19,19,-7,-7,5
ML,Mali,,,,,,ChIJz3MQG4g-FA4RgM-9oOJbOrs,2021-01-03,-6,-15,18,2,-5,4
ML,Mali,,,,,,ChIJz3MQG4g-FA4RgM-9oOJbOrs,2021-01-04,8,-5,31,16,-9,3
ML,Mali,,,,,,ChIJz3MQG4g-FA4RgM-9oOJbOrs,2021-01-05,3,25,32,5,-9,3
ML,Mali,,,,,,ChIJz3MQG4g-FA4RgM-9oOJbOrs,2021-01-06,2,29,29,2,-7,5
ML,Mali,,,,,,ChIJz3MQG4g-FA4RgM-9oOJbOrs,2021-01-07,2,29,27,2,-10,5
ML,Mali,,,,,,ChIJz3MQG4g-FA4RgM-9oOJbOrs,2021-01-08,2,22,18,-4,-9,4
ML,Mali,,,,,,ChIJz3MQG4g-FA4RgM-9oOJbOrs,2021-01-09,7,27,21,-13,2,0
ML,Mali,,,,,,ChIJz3MQG4g-FA4RgM-9oOJbOrs,2021-01-10,4,-15,15,-6,-5,1
ML,Mali,,,,,,ChIJz3MQG4g-FA4RgM-9oOJbOrs,2021-01-11,11,-8,32,-4,-7,2
ML,Mali,,,,,,ChIJz3MQG4g-FA4RgM-9oOJbOrs,2021-01-12,6,20,32,-7,-8,2
ML,Mali,,,,,,ChIJz3MQG4g-FA4RgM-9oOJbOrs,2021-01-13,1,23,21,-6,-9,2
ML,Mali,,,,,,ChIJz3MQG4g-FA4RgM-9oOJbOrs,2021-01-14,0,21,17,-10,-15,2
ML,Mali,,,,,,ChIJz3MQG4g-FA4RgM-9oOJbOrs,2021-01-15,-4,12,7,-13,-16,2
ML,Mali,,,,,,ChIJz3MQG4g-FA4RgM-9oOJbOrs,2021-01-16,-2,14,9,-19,-7,2
ML,Mali,,,,,,ChIJz3MQG4g-FA4RgM-9oOJbOrs,2021-01-17,-5,-21,12,-15,-10,2
ML,Mali,,,,,,ChIJz3MQG4g-FA4RgM-9oOJbOrs,2021-01-18,3,-14,28,-11,-12,3
ML,Mali,,,,,,ChIJz3MQG4g-FA4RgM-9oOJbOrs,2021-01-19,1,17,31,-11,-12,2
ML,Mali,,,,,,ChIJz3MQG4g-FA4RgM-9oOJbOrs,2021-01-20,-9,14,21,-17,-36,11
ML,Mali,,,,,,ChIJz3MQG4g-FA4RgM-9oOJbOrs,2021-01-21,2,23,27,-7,-13,3
ML,Mali,,,,,,ChIJz3MQG4g-FA4RgM-9oOJbOrs,2021-01-22,-1,16,31,-9,-11,3
