country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
MM,Myanmar (Burma),,,,,,ChIJBylOcadSVjAREStiHOQOe7o,2021-01-01,-41,-14,-18,-32,-53,26
MM,Myanmar (Burma),,,,,,ChIJBylOcadSVjAREStiHOQOe7o,2021-01-02,-41,-14,-22,-26,-22,21
MM,Myanmar (Burma),,,,,,ChIJBylOcadSVjAREStiHOQOe7o,2021-01-03,-39,-13,-16,-24,-13,19
MM,Myanmar (Burma),,,,,,ChIJBylOcadSVjAREStiHOQOe7o,2021-01-04,-37,-12,-18,-29,-55,26
MM,Myanmar (Burma),,,,,,ChIJBylOcadSVjAREStiHOQOe7o,2021-01-05,-34,-7,-15,-17,-24,19
MM,Myanmar (Burma),,,,,,ChIJBylOcadSVjAREStiHOQOe7o,2021-01-06,-33,-7,-17,-20,-25,20
MM,Myanmar (Burma),,,,,,ChIJBylOcadSVjAREStiHOQOe7o,2021-01-07,-33,-8,-15,-20,-23,20
MM,Myanmar (Burma),,,,,,ChIJBylOcadSVjAREStiHOQOe7o,2021-01-08,-34,-9,-16,-23,-21,21
MM,Myanmar (Burma),,,,,,ChIJBylOcadSVjAREStiHOQOe7o,2021-01-09,-35,-11,-21,-24,-13,18
MM,Myanmar (Burma),,,,,,ChIJBylOcadSVjAREStiHOQOe7o,2021-01-10,-34,-11,-17,-24,-13,17
MM,Myanmar (Burma),,,,,,ChIJBylOcadSVjAREStiHOQOe7o,2021-01-11,-30,-8,-14,-24,-22,19
MM,Myanmar (Burma),,,,,,ChIJBylOcadSVjAREStiHOQOe7o,2021-01-12,-30,-12,-15,-25,-27,18
MM,Myanmar (Burma),,,,,,ChIJBylOcadSVjAREStiHOQOe7o,2021-01-13,-34,-12,-21,-33,-49,21
MM,Myanmar (Burma),,,,,,ChIJBylOcadSVjAREStiHOQOe7o,2021-01-14,-36,-19,-24,-32,-29,17
MM,Myanmar (Burma),,,,,,ChIJBylOcadSVjAREStiHOQOe7o,2021-01-15,-39,-21,-29,-34,-29,18
MM,Myanmar (Burma),,,,,,ChIJBylOcadSVjAREStiHOQOe7o,2021-01-16,-41,-24,-33,-35,-24,16
MM,Myanmar (Burma),,,,,,ChIJBylOcadSVjAREStiHOQOe7o,2021-01-17,-40,-23,-30,-34,-24,16
MM,Myanmar (Burma),,,,,,ChIJBylOcadSVjAREStiHOQOe7o,2021-01-18,-37,-20,-27,-32,-31,18
MM,Myanmar (Burma),,,,,,ChIJBylOcadSVjAREStiHOQOe7o,2021-01-19,-36,-20,-26,-32,-31,18
MM,Myanmar (Burma),,,,,,ChIJBylOcadSVjAREStiHOQOe7o,2021-01-20,-37,-21,-27,-33,-30,18
MM,Myanmar (Burma),,,,,,ChIJBylOcadSVjAREStiHOQOe7o,2021-01-21,-36,-20,-26,-32,-29,18
MM,Myanmar (Burma),,,,,,ChIJBylOcadSVjAREStiHOQOe7o,2021-01-22,-36,-19,-27,-32,-26,19
MM,Myanmar (Burma),,,,,,ChIJBylOcadSVjAREStiHOQOe7o,2021-01-23,-37,-20,-30,-31,-20,17
MM,Myanmar (Burma),,,,,,ChIJBylOcadSVjAREStiHOQOe7o,2021-01-24,-38,-20,-25,-31,-20,16
MM,Myanmar (Burma),,,,,,ChIJBylOcadSVjAREStiHOQOe7o,2021-01-25,-33,-16,-23,-28,-27,18
MM,Myanmar (Burma),,,,,,ChIJBylOcadSVjAREStiHOQOe7o,2021-01-26,-32,-16,-23,-30,-28,17
MM,Myanmar (Burma),,,,,,ChIJBylOcadSVjAREStiHOQOe7o,2021-01-27,-34,-20,-22,-31,-29,18
MM,Myanmar (Burma),,,,,,ChIJBylOcadSVjAREStiHOQOe7o,2021-01-28,-32,-15,-23,-29,-26,18
MM,Myanmar (Burma),,,,,,ChIJBylOcadSVjAREStiHOQOe7o,2021-01-29,-30,-8,-24,-26,-23,17
MM,Myanmar (Burma),,,,,,ChIJBylOcadSVjAREStiHOQOe7o,2021-01-30,-31,-6,-28,-23,-18,14
MM,Myanmar (Burma),,,,,,ChIJBylOcadSVjAREStiHOQOe7o,2021-01-31,-30,-4,-26,-22,-20,13
MM,Myanmar (Burma),,,,,,ChIJBylOcadSVjAREStiHOQOe7o,2021-02-01,-48,-23,-33,-47,-41,17
MM,Myanmar (Burma),,,,,,ChIJBylOcadSVjAREStiHOQOe7o,2021-02-02,-40,-17,-33,-41,-37,21
MM,Myanmar (Burma),,,,,,ChIJBylOcadSVjAREStiHOQOe7o,2021-02-03,-39,-16,-32,-38,-32,20
MM,Myanmar (Burma),,,,,,ChIJBylOcadSVjAREStiHOQOe7o,2021-02-04,-38,-20,-26,-37,-31,13
MM,Myanmar (Burma),,,,,,ChIJBylOcadSVjAREStiHOQOe7o,2021-02-05,-41,-22,-32,-39,-32,15
MM,Myanmar (Burma),,,,,,ChIJBylOcadSVjAREStiHOQOe7o,2021-02-06,-81,-72,-70,-76,-64,6
MM,Myanmar (Burma),,,,,,ChIJBylOcadSVjAREStiHOQOe7o,2021-02-07,-49,-35,-28,-38,-32,-5
MM,Myanmar (Burma),,,,,,ChIJBylOcadSVjAREStiHOQOe7o,2021-02-08,-28,-10,-14,-7,-51,17
MM,Myanmar (Burma),,,,,,ChIJBylOcadSVjAREStiHOQOe7o,2021-02-09,-36,-17,-23,-27,-55,21
MM,Myanmar (Burma),,,,,,ChIJBylOcadSVjAREStiHOQOe7o,2021-02-10,-39,-19,-21,-33,-52,21
MM,Myanmar (Burma),,,,,,ChIJBylOcadSVjAREStiHOQOe7o,2021-02-11,-37,-20,-21,-33,-54,20
MM,Myanmar (Burma),,,,,,ChIJBylOcadSVjAREStiHOQOe7o,2021-02-12,-37,-19,-24,-30,-64,21
MM,Myanmar (Burma),,,,,,ChIJBylOcadSVjAREStiHOQOe7o,2021-02-13,-42,-23,-32,-38,-46,17
MM,Myanmar (Burma),,,,,,ChIJBylOcadSVjAREStiHOQOe7o,2021-02-14,-46,-25,-37,-45,-37,16
MM,Myanmar (Burma),,,,,,ChIJBylOcadSVjAREStiHOQOe7o,2021-02-15,-47,-29,-41,-50,-53,19
MM,Myanmar (Burma),,,,,,ChIJBylOcadSVjAREStiHOQOe7o,2021-02-16,-46,-29,-41,-49,-51,19
MM,Myanmar (Burma),,,,,,ChIJBylOcadSVjAREStiHOQOe7o,2021-02-17,-41,-23,-35,-37,-51,18
MM,Myanmar (Burma),,,,,,ChIJBylOcadSVjAREStiHOQOe7o,2021-02-18,-45,-27,-39,-44,-50,19
MM,Myanmar (Burma),,,,,,ChIJBylOcadSVjAREStiHOQOe7o,2021-02-19,-46,-27,-41,-47,-49,20
MM,Myanmar (Burma),,,,,,ChIJBylOcadSVjAREStiHOQOe7o,2021-02-20,-46,-25,-41,-46,-38,16
MM,Myanmar (Burma),,,,,,ChIJBylOcadSVjAREStiHOQOe7o,2021-02-21,-48,-24,-39,-46,-34,14
MM,Myanmar (Burma),,,,,,ChIJBylOcadSVjAREStiHOQOe7o,2021-02-22,-47,-42,-25,-39,-73,20
MM,Myanmar (Burma),,,,,,ChIJBylOcadSVjAREStiHOQOe7o,2021-02-23,-49,-30,-44,-52,-52,18
MM,Myanmar (Burma),,,,,,ChIJBylOcadSVjAREStiHOQOe7o,2021-02-24,-48,-29,-42,-49,-49,17
MM,Myanmar (Burma),,,,,,ChIJBylOcadSVjAREStiHOQOe7o,2021-02-25,-45,-27,-38,-45,-48,16
MM,Myanmar (Burma),,,,,,ChIJBylOcadSVjAREStiHOQOe7o,2021-02-26,-47,-30,-39,-48,-50,18
MM,Myanmar (Burma),,,,,,ChIJBylOcadSVjAREStiHOQOe7o,2021-02-27,-50,-27,-42,-50,-39,15
MM,Myanmar (Burma),,,,,,ChIJBylOcadSVjAREStiHOQOe7o,2021-02-28,-52,-39,-36,-46,-49,17
MM,Myanmar (Burma),,,,,,ChIJBylOcadSVjAREStiHOQOe7o,2021-03-01,-52,-31,-44,-54,-55,21
MM,Myanmar (Burma),,,,,,ChIJBylOcadSVjAREStiHOQOe7o,2021-03-02,-53,-33,-45,-55,-66,23
MM,Myanmar (Burma),,,,,,ChIJBylOcadSVjAREStiHOQOe7o,2021-03-03,-56,-36,-44,-56,-55,21
MM,Myanmar (Burma),,,,,,ChIJBylOcadSVjAREStiHOQOe7o,2021-03-04,-58,-42,-46,-60,-60,24
MM,Myanmar (Burma),,,,,,ChIJBylOcadSVjAREStiHOQOe7o,2021-03-05,-58,-36,-47,-58,-57,23
MM,Myanmar (Burma),,,,,,ChIJBylOcadSVjAREStiHOQOe7o,2021-03-06,-57,-34,-46,-57,-49,19
MM,Myanmar (Burma),,,,,,ChIJBylOcadSVjAREStiHOQOe7o,2021-03-07,-57,-34,-42,-56,-43,17
MM,Myanmar (Burma),,,,,,ChIJBylOcadSVjAREStiHOQOe7o,2021-03-08,-60,-44,-45,-62,-63,25
MM,Myanmar (Burma),,,,,,ChIJBylOcadSVjAREStiHOQOe7o,2021-03-09,-57,-40,-47,-60,-60,24
MM,Myanmar (Burma),,,,,,ChIJBylOcadSVjAREStiHOQOe7o,2021-03-10,-59,-42,-46,-61,-59,23
MM,Myanmar (Burma),,,,,,ChIJBylOcadSVjAREStiHOQOe7o,2021-03-11,-59,-42,-46,-62,-59,23
MM,Myanmar (Burma),,,,,,ChIJBylOcadSVjAREStiHOQOe7o,2021-03-12,-60,-44,-48,-62,-59,24
MM,Myanmar (Burma),,,,,,ChIJBylOcadSVjAREStiHOQOe7o,2021-03-13,-61,-42,-49,-62,-49,20
MM,Myanmar (Burma),,,,,,ChIJBylOcadSVjAREStiHOQOe7o,2021-03-14,-62,-43,-50,-61,-48,17
MM,Myanmar (Burma),,,,,,ChIJBylOcadSVjAREStiHOQOe7o,2021-03-15,-78,-71,-81,-83,-77,24
MM,Myanmar (Burma),,,,,,ChIJBylOcadSVjAREStiHOQOe7o,2021-03-16,-77,-70,-81,-82,-76,25
MM,Myanmar (Burma),,,,,,ChIJBylOcadSVjAREStiHOQOe7o,2021-03-17,-76,-69,-80,-82,-74,23
MM,Myanmar (Burma),,,,,,ChIJBylOcadSVjAREStiHOQOe7o,2021-03-18,-78,-72,-80,-85,-75,26
MM,Myanmar (Burma),,,,,,ChIJBylOcadSVjAREStiHOQOe7o,2021-03-19,-77,-71,-79,-84,-73,26
MM,Myanmar (Burma),,,,,,ChIJBylOcadSVjAREStiHOQOe7o,2021-03-20,-77,-70,-79,-85,-69,23
MM,Myanmar (Burma),,,,,,ChIJBylOcadSVjAREStiHOQOe7o,2021-03-21,-76,-69,-76,-83,-63,20
MM,Myanmar (Burma),,,Mandalay Metropolitan Area,,,ChIJV17FeINyyzARFEzz4Ue8Ypg,2021-01-01,-52,-28,-15,-50,-50,26
MM,Myanmar (Burma),,,Mandalay Metropolitan Area,,,ChIJV17FeINyyzARFEzz4Ue8Ypg,2021-01-02,-50,-26,-18,-44,-26,22
MM,Myanmar (Burma),,,Mandalay Metropolitan Area,,,ChIJV17FeINyyzARFEzz4Ue8Ypg,2021-01-03,-47,-24,-8,-45,-28,20
MM,Myanmar (Burma),,,Mandalay Metropolitan Area,,,ChIJV17FeINyyzARFEzz4Ue8Ypg,2021-01-04,-46,-24,-5,-48,-53,24
MM,Myanmar (Burma),,,Mandalay Metropolitan Area,,,ChIJV17FeINyyzARFEzz4Ue8Ypg,2021-01-05,-43,-20,1,-36,-36,20
MM,Myanmar (Burma),,,Mandalay Metropolitan Area,,,ChIJV17FeINyyzARFEzz4Ue8Ypg,2021-01-06,-42,-18,-8,-37,-40,20
MM,Myanmar (Burma),,,Mandalay Metropolitan Area,,,ChIJV17FeINyyzARFEzz4Ue8Ypg,2021-01-07,-42,-16,-2,-40,-35,21
MM,Myanmar (Burma),,,Mandalay Metropolitan Area,,,ChIJV17FeINyyzARFEzz4Ue8Ypg,2021-01-08,-44,-22,-9,-43,-29,22
MM,Myanmar (Burma),,,Mandalay Metropolitan Area,,,ChIJV17FeINyyzARFEzz4Ue8Ypg,2021-01-09,-45,-24,-15,-44,-21,18
