country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
MN,Mongolia,,,,,,ChIJS22qaQYFJzYRluDmNzkh3eA,2021-01-01,-77,-47,-55,-61,-77,39
MN,Mongolia,,,,,,ChIJS22qaQYFJzYRluDmNzkh3eA,2021-01-02,-64,-25,-40,-47,-46,25
MN,Mongolia,,,,,,ChIJS22qaQYFJzYRluDmNzkh3eA,2021-01-03,-56,-17,-34,-44,-35,20
MN,Mongolia,,,,,,ChIJS22qaQYFJzYRluDmNzkh3eA,2021-01-04,-50,-12,-35,-39,-39,28
MN,Mongolia,,,,,,ChIJS22qaQYFJzYRluDmNzkh3eA,2021-01-05,-50,-8,-34,-40,-40,28
MN,Mongolia,,,,,,ChIJS22qaQYFJzYRluDmNzkh3eA,2021-01-06,-50,-6,-41,-38,-35,29
MN,Mongolia,,,,,,ChIJS22qaQYFJzYRluDmNzkh3eA,2021-01-07,-45,4,-35,-35,-36,28
MN,Mongolia,,,,,,ChIJS22qaQYFJzYRluDmNzkh3eA,2021-01-08,-52,-5,-47,-43,-40,32
MN,Mongolia,,,,,,ChIJS22qaQYFJzYRluDmNzkh3eA,2021-01-09,-50,-8,-36,-42,-32,24
MN,Mongolia,,,,,,ChIJS22qaQYFJzYRluDmNzkh3eA,2021-01-10,-48,-8,-37,-43,-28,19
MN,Mongolia,,,,,,ChIJS22qaQYFJzYRluDmNzkh3eA,2021-01-11,-26,16,-28,-20,-18,19
MN,Mongolia,,,,,,ChIJS22qaQYFJzYRluDmNzkh3eA,2021-01-12,-25,23,-23,-17,-20,18
MN,Mongolia,,,,,,ChIJS22qaQYFJzYRluDmNzkh3eA,2021-01-13,-27,15,-24,-20,-17,17
MN,Mongolia,,,,,,ChIJS22qaQYFJzYRluDmNzkh3eA,2021-01-14,-31,10,-27,-24,-24,16
MN,Mongolia,,,,,,ChIJS22qaQYFJzYRluDmNzkh3eA,2021-01-15,-35,8,-35,-26,-25,18
MN,Mongolia,,,,,,ChIJS22qaQYFJzYRluDmNzkh3eA,2021-01-16,-33,11,-32,-26,-21,13
MN,Mongolia,,,,,,ChIJS22qaQYFJzYRluDmNzkh3eA,2021-01-17,-29,17,-22,-24,-22,9
MN,Mongolia,,,,,,ChIJS22qaQYFJzYRluDmNzkh3eA,2021-01-18,-22,16,-23,-18,-18,14
MN,Mongolia,,,,,,ChIJS22qaQYFJzYRluDmNzkh3eA,2021-01-19,-22,20,-14,-17,-20,14
MN,Mongolia,,,,,,ChIJS22qaQYFJzYRluDmNzkh3eA,2021-01-20,-21,20,-3,-14,-15,14
MN,Mongolia,,,,,,ChIJS22qaQYFJzYRluDmNzkh3eA,2021-01-21,-21,21,-19,-18,-17,15
MN,Mongolia,,,,,,ChIJS22qaQYFJzYRluDmNzkh3eA,2021-01-22,-27,19,-21,-22,-17,15
MN,Mongolia,,,,,,ChIJS22qaQYFJzYRluDmNzkh3eA,2021-01-23,-15,28,-2,-9,-8,8
