country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
MT,Malta,,,,,,ChIJxUeGHShFDhMROUK-NmHYgvU,2021-01-01,-55,-60,-7,-41,-77,22
MT,Malta,,,,,,ChIJxUeGHShFDhMROUK-NmHYgvU,2021-01-02,-29,-13,0,-25,-28,10
MT,Malta,,,,,,ChIJxUeGHShFDhMROUK-NmHYgvU,2021-01-03,-24,-16,-2,-18,-10,6
MT,Malta,,,,,,ChIJxUeGHShFDhMROUK-NmHYgvU,2021-01-04,-17,-6,-9,-21,-30,11
MT,Malta,,,,,,ChIJxUeGHShFDhMROUK-NmHYgvU,2021-01-05,-18,-8,-21,-22,-28,11
MT,Malta,,,,,,ChIJxUeGHShFDhMROUK-NmHYgvU,2021-01-06,-18,-8,-5,-19,-27,11
MT,Malta,,,,,,ChIJxUeGHShFDhMROUK-NmHYgvU,2021-01-07,-24,-16,-20,-26,-27,13
MT,Malta,,,,,,ChIJxUeGHShFDhMROUK-NmHYgvU,2021-01-08,-27,-10,-27,-24,-25,13
MT,Malta,,,,,,ChIJxUeGHShFDhMROUK-NmHYgvU,2021-01-09,-26,-8,-27,-24,-7,7
MT,Malta,,,,,,ChIJxUeGHShFDhMROUK-NmHYgvU,2021-01-10,-30,-13,-29,-25,-8,8
MT,Malta,,,,,,ChIJxUeGHShFDhMROUK-NmHYgvU,2021-01-11,-25,-8,-23,-22,-21,10
MT,Malta,,,,,,ChIJxUeGHShFDhMROUK-NmHYgvU,2021-01-12,-27,-15,-39,-25,-21,11
MT,Malta,,,,,,ChIJxUeGHShFDhMROUK-NmHYgvU,2021-01-13,-28,-15,-34,-24,-22,10
MT,Malta,,,,,,ChIJxUeGHShFDhMROUK-NmHYgvU,2021-01-14,-30,-19,-43,-29,-24,11
MT,Malta,,,,,,ChIJxUeGHShFDhMROUK-NmHYgvU,2021-01-15,-31,-11,-38,-27,-24,10
MT,Malta,,,,,,ChIJxUeGHShFDhMROUK-NmHYgvU,2021-01-16,-29,-12,-36,-29,-11,7
MT,Malta,,,,,,ChIJxUeGHShFDhMROUK-NmHYgvU,2021-01-17,-34,-16,-39,-32,-13,7
MT,Malta,,,,,,ChIJxUeGHShFDhMROUK-NmHYgvU,2021-01-18,-30,-15,-35,-28,-24,10
MT,Malta,,,,,,ChIJxUeGHShFDhMROUK-NmHYgvU,2021-01-19,-22,-15,-25,-23,-23,9
MT,Malta,,,,,,ChIJxUeGHShFDhMROUK-NmHYgvU,2021-01-20,-25,-15,-24,-22,-23,9
MT,Malta,,,,,,ChIJxUeGHShFDhMROUK-NmHYgvU,2021-01-21,-25,-14,-26,-26,-23,10
MT,Malta,,,,,,ChIJxUeGHShFDhMROUK-NmHYgvU,2021-01-22,-25,-11,-20,-21,-22,10
MT,Malta,,,,,,ChIJxUeGHShFDhMROUK-NmHYgvU,2021-01-23,-25,-10,-22,-23,-9,6
MT,Malta,,,,,,ChIJxUeGHShFDhMROUK-NmHYgvU,2021-01-24,-32,-15,-31,-29,-12,7
MT,Malta,,,,,,ChIJxUeGHShFDhMROUK-NmHYgvU,2021-01-25,-25,-12,-21,-25,-24,9
MT,Malta,,,,,,ChIJxUeGHShFDhMROUK-NmHYgvU,2021-01-26,-29,-19,-46,-30,-23,11
MT,Malta,,,,,,ChIJxUeGHShFDhMROUK-NmHYgvU,2021-01-27,-24,-13,-25,-23,-23,10
MT,Malta,,,,,,ChIJxUeGHShFDhMROUK-NmHYgvU,2021-01-28,-23,-13,-23,-25,-23,10
MT,Malta,,,,,,ChIJxUeGHShFDhMROUK-NmHYgvU,2021-01-29,-21,-5,-20,-20,-22,9
MT,Malta,,,,,,ChIJxUeGHShFDhMROUK-NmHYgvU,2021-01-30,-18,-3,0,-16,-10,4
MT,Malta,,,,,,ChIJxUeGHShFDhMROUK-NmHYgvU,2021-01-31,-30,-8,-34,-27,-11,6
MT,Malta,,,,,,ChIJxUeGHShFDhMROUK-NmHYgvU,2021-02-01,-23,-7,-17,-23,-23,9
MT,Malta,,,,,,ChIJxUeGHShFDhMROUK-NmHYgvU,2021-02-02,-22,-10,-31,-22,-21,9
MT,Malta,,,,,,ChIJxUeGHShFDhMROUK-NmHYgvU,2021-02-03,-20,-11,-9,-20,-21,8
MT,Malta,,,,,,ChIJxUeGHShFDhMROUK-NmHYgvU,2021-02-04,-20,-13,-11,-24,-22,8
MT,Malta,,,,,,ChIJxUeGHShFDhMROUK-NmHYgvU,2021-02-05,-20,-4,-8,-21,-21,8
MT,Malta,,,,,,ChIJxUeGHShFDhMROUK-NmHYgvU,2021-02-06,-17,-4,8,-18,-9,3
MT,Malta,,,,,,ChIJxUeGHShFDhMROUK-NmHYgvU,2021-02-07,-27,-8,-21,-28,-11,5
MT,Malta,,,,,,ChIJxUeGHShFDhMROUK-NmHYgvU,2021-02-08,-22,-7,-20,-24,-23,8
MT,Malta,,,,,,ChIJxUeGHShFDhMROUK-NmHYgvU,2021-02-09,-8,-3,-19,-18,-21,6
MT,Malta,,,,,,ChIJxUeGHShFDhMROUK-NmHYgvU,2021-02-10,-10,-16,83,-21,-69,16
MT,Malta,,,,,,ChIJxUeGHShFDhMROUK-NmHYgvU,2021-02-11,-18,-5,-26,-26,-22,9
MT,Malta,,,,,,ChIJxUeGHShFDhMROUK-NmHYgvU,2021-02-12,-18,0,-8,-22,-22,8
MT,Malta,,,,,,ChIJxUeGHShFDhMROUK-NmHYgvU,2021-02-13,-20,0,-13,-28,-9,4
MT,Malta,,,,,,ChIJxUeGHShFDhMROUK-NmHYgvU,2021-02-14,-22,-9,-20,-32,-8,5
MT,Malta,,,,,,ChIJxUeGHShFDhMROUK-NmHYgvU,2021-02-15,-18,-7,-14,-28,-31,9
MT,Malta,,,,,,ChIJxUeGHShFDhMROUK-NmHYgvU,2021-02-16,-12,-4,-9,-24,-27,9
MT,Malta,,,,,,ChIJxUeGHShFDhMROUK-NmHYgvU,2021-02-17,-17,-3,-2,-22,-24,9
MT,Malta,,,,,,ChIJxUeGHShFDhMROUK-NmHYgvU,2021-02-18,-18,-4,-6,-23,-19,9
MT,Malta,,,,,,ChIJxUeGHShFDhMROUK-NmHYgvU,2021-02-19,-20,2,-14,-21,-18,8
MT,Malta,,,,,,ChIJxUeGHShFDhMROUK-NmHYgvU,2021-02-20,-16,3,7,-22,-6,3
MT,Malta,,,,,,ChIJxUeGHShFDhMROUK-NmHYgvU,2021-02-21,-20,0,6,-20,-6,3
MT,Malta,,,,,,ChIJxUeGHShFDhMROUK-NmHYgvU,2021-02-22,-19,-2,-11,-23,-20,8
MT,Malta,,,,,,ChIJxUeGHShFDhMROUK-NmHYgvU,2021-02-23,-17,-4,-21,-23,-17,8
MT,Malta,,,,,,ChIJxUeGHShFDhMROUK-NmHYgvU,2021-02-24,-16,-3,-6,-20,-19,8
MT,Malta,,,,,,ChIJxUeGHShFDhMROUK-NmHYgvU,2021-02-25,-15,-4,-10,-23,-19,8
MT,Malta,,,,,,ChIJxUeGHShFDhMROUK-NmHYgvU,2021-02-26,-17,6,-14,-21,-20,8
MT,Malta,,,,,,ChIJxUeGHShFDhMROUK-NmHYgvU,2021-02-27,-13,6,7,-20,-7,2
MT,Malta,,,,,,ChIJxUeGHShFDhMROUK-NmHYgvU,2021-02-28,-17,6,11,-20,-7,2
MT,Malta,,,,,,ChIJxUeGHShFDhMROUK-NmHYgvU,2021-03-01,-19,1,-12,-23,-20,8
