country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
MU,Mauritius,,,,,,ChIJyXRE-U1QfCERMdBrEcLZA0I,2021-01-01,-50,-41,1,-55,-76,16
MU,Mauritius,,,,,,ChIJyXRE-U1QfCERMdBrEcLZA0I,2021-01-02,-40,-28,-6,-44,-35,1
MU,Mauritius,,,,,,ChIJyXRE-U1QfCERMdBrEcLZA0I,2021-01-03,-9,-1,8,-29,-23,-7
MU,Mauritius,,,,,,ChIJyXRE-U1QfCERMdBrEcLZA0I,2021-01-04,-3,4,6,-33,-50,4
MU,Mauritius,,,,,,ChIJyXRE-U1QfCERMdBrEcLZA0I,2021-01-05,0,3,16,-28,-45,4
MU,Mauritius,,,,,,ChIJyXRE-U1QfCERMdBrEcLZA0I,2021-01-06,-3,4,-7,-26,-35,5
MU,Mauritius,,,,,,ChIJyXRE-U1QfCERMdBrEcLZA0I,2021-01-07,-14,-7,-24,-19,-19,3
MU,Mauritius,,,,,,ChIJyXRE-U1QfCERMdBrEcLZA0I,2021-01-08,-15,-3,-31,-16,-4,2
MU,Mauritius,,,,,,ChIJyXRE-U1QfCERMdBrEcLZA0I,2021-01-09,-12,-2,-34,-24,15,-2
MU,Mauritius,,,,,,ChIJyXRE-U1QfCERMdBrEcLZA0I,2021-01-10,-17,-10,-38,-37,-21,0
MU,Mauritius,,,,,,ChIJyXRE-U1QfCERMdBrEcLZA0I,2021-01-11,-13,-11,-37,-17,-8,-1
MU,Mauritius,,,,,,ChIJyXRE-U1QfCERMdBrEcLZA0I,2021-01-12,-18,-17,-38,-22,-11,0
MU,Mauritius,,,,,,ChIJyXRE-U1QfCERMdBrEcLZA0I,2021-01-13,-12,-10,-33,-16,-4,-3
MU,Mauritius,,,,,,ChIJyXRE-U1QfCERMdBrEcLZA0I,2021-01-14,-15,-11,-28,-17,-12,-4
MU,Mauritius,,,,,,ChIJyXRE-U1QfCERMdBrEcLZA0I,2021-01-15,-18,-14,-35,-15,1,-4
MU,Mauritius,,,,,,ChIJyXRE-U1QfCERMdBrEcLZA0I,2021-01-16,-15,-8,-34,-25,13,-5
MU,Mauritius,,,,,,ChIJyXRE-U1QfCERMdBrEcLZA0I,2021-01-17,-13,-11,-28,-35,-25,-4
MU,Mauritius,,,,,,ChIJyXRE-U1QfCERMdBrEcLZA0I,2021-01-18,-17,-16,-38,-21,-13,-3
MU,Mauritius,,,,,,ChIJyXRE-U1QfCERMdBrEcLZA0I,2021-01-19,-16,-16,-30,-20,-13,-3
MU,Mauritius,,,,,,ChIJyXRE-U1QfCERMdBrEcLZA0I,2021-01-20,-18,-18,-34,-19,-7,-3
MU,Mauritius,,,,,,ChIJyXRE-U1QfCERMdBrEcLZA0I,2021-01-21,-18,-14,-32,-17,-11,-4
MU,Mauritius,,,,,,ChIJyXRE-U1QfCERMdBrEcLZA0I,2021-01-22,-19,-15,-34,-17,3,-3
MU,Mauritius,,,,,,ChIJyXRE-U1QfCERMdBrEcLZA0I,2021-01-23,-15,-8,-36,-26,16,-4
MU,Mauritius,,,,,,ChIJyXRE-U1QfCERMdBrEcLZA0I,2021-01-24,-18,-12,-37,-39,-25,-2
MU,Mauritius,,,,,,ChIJyXRE-U1QfCERMdBrEcLZA0I,2021-01-25,-18,-15,-38,-22,-10,-3
MU,Mauritius,,,,,,ChIJyXRE-U1QfCERMdBrEcLZA0I,2021-01-26,-9,-9,-28,-17,-10,-4
MU,Mauritius,,,,,,ChIJyXRE-U1QfCERMdBrEcLZA0I,2021-01-27,-4,0,-27,-11,-5,-6
MU,Mauritius,,,,,,ChIJyXRE-U1QfCERMdBrEcLZA0I,2021-01-28,-28,-24,-8,-54,-75,9
MU,Mauritius,,,,,,ChIJyXRE-U1QfCERMdBrEcLZA0I,2021-01-29,-6,5,-29,-17,-10,-4
MU,Mauritius,,,,,,ChIJyXRE-U1QfCERMdBrEcLZA0I,2021-01-30,-2,11,-24,-18,15,-11
MU,Mauritius,,,,,,ChIJyXRE-U1QfCERMdBrEcLZA0I,2021-01-31,3,10,11,-27,-21,-12
MU,Mauritius,,,,,,ChIJyXRE-U1QfCERMdBrEcLZA0I,2021-02-01,-24,-18,-2,-54,-76,4
MU,Mauritius,,,,,,ChIJyXRE-U1QfCERMdBrEcLZA0I,2021-02-02,-6,0,-25,-15,-11,-8
MU,Mauritius,,,,,,ChIJyXRE-U1QfCERMdBrEcLZA0I,2021-02-03,-12,-7,-31,-22,-7,-8
MU,Mauritius,,,,,,ChIJyXRE-U1QfCERMdBrEcLZA0I,2021-02-04,-14,-9,-30,-24,-11,-7
MU,Mauritius,,,,,,ChIJyXRE-U1QfCERMdBrEcLZA0I,2021-02-05,-16,-10,-30,-23,1,-6
MU,Mauritius,,,,,,ChIJyXRE-U1QfCERMdBrEcLZA0I,2021-02-06,-12,-5,-32,-31,13,-7
MU,Mauritius,,,,,,ChIJyXRE-U1QfCERMdBrEcLZA0I,2021-02-07,-14,-10,-18,-42,-24,-6
MU,Mauritius,,,,,,ChIJyXRE-U1QfCERMdBrEcLZA0I,2021-02-08,-15,-14,-31,-29,-13,-6
MU,Mauritius,,,,,,ChIJyXRE-U1QfCERMdBrEcLZA0I,2021-02-09,-9,-10,-22,-22,-12,-6
MU,Mauritius,,,,,,ChIJyXRE-U1QfCERMdBrEcLZA0I,2021-02-10,-10,-9,-27,-21,-7,-7
MU,Mauritius,,,,,,ChIJyXRE-U1QfCERMdBrEcLZA0I,2021-02-11,-3,0,-17,-19,-12,-10
MU,Mauritius,,,,,,ChIJyXRE-U1QfCERMdBrEcLZA0I,2021-02-12,-30,-25,2,-53,-70,3
MU,Mauritius,,,,,,ChIJyXRE-U1QfCERMdBrEcLZA0I,2021-02-13,-10,1,-24,-32,6,-12
MU,Mauritius,,,,,,ChIJyXRE-U1QfCERMdBrEcLZA0I,2021-02-14,2,4,-16,-37,-22,-11
MU,Mauritius,,,,,,ChIJyXRE-U1QfCERMdBrEcLZA0I,2021-02-15,-13,-12,-28,-29,-15,-9
MU,Mauritius,,,,,,ChIJyXRE-U1QfCERMdBrEcLZA0I,2021-02-16,-13,-13,-30,-27,-14,-9
MU,Mauritius,,,,,,ChIJyXRE-U1QfCERMdBrEcLZA0I,2021-02-17,-14,-12,-32,-22,-9,-10
MU,Mauritius,,,,,,ChIJyXRE-U1QfCERMdBrEcLZA0I,2021-02-18,-14,-11,-28,-24,-12,-10
MU,Mauritius,,,,,,ChIJyXRE-U1QfCERMdBrEcLZA0I,2021-02-19,-17,-10,-35,-26,0,-8
MU,Mauritius,,,,,,ChIJyXRE-U1QfCERMdBrEcLZA0I,2021-02-20,-10,0,-29,-31,15,-10
MU,Mauritius,,,,,,ChIJyXRE-U1QfCERMdBrEcLZA0I,2021-02-21,-9,-2,-20,-38,-25,-8
MU,Mauritius,,,,,,ChIJyXRE-U1QfCERMdBrEcLZA0I,2021-02-22,-13,-10,-31,-28,-13,-8
MU,Mauritius,,,,,,ChIJyXRE-U1QfCERMdBrEcLZA0I,2021-02-23,-9,-7,-21,-24,-13,-9
MU,Mauritius,,,,,,ChIJyXRE-U1QfCERMdBrEcLZA0I,2021-02-24,-7,-3,-24,-24,-9,-10
MU,Mauritius,,,,,,ChIJyXRE-U1QfCERMdBrEcLZA0I,2021-02-25,-6,0,-26,-22,-14,-10
MU,Mauritius,,,,,,ChIJyXRE-U1QfCERMdBrEcLZA0I,2021-02-26,-5,5,-25,-20,-1,-10
MU,Mauritius,,,,,,ChIJyXRE-U1QfCERMdBrEcLZA0I,2021-02-27,4,16,-23,-22,16,-14
MU,Mauritius,,,,,,ChIJyXRE-U1QfCERMdBrEcLZA0I,2021-02-28,5,13,-7,-30,-23,-11
MU,Mauritius,,,,,,ChIJyXRE-U1QfCERMdBrEcLZA0I,2021-03-01,-1,5,-23,-25,-15,-10
MU,Mauritius,,,,,,ChIJyXRE-U1QfCERMdBrEcLZA0I,2021-03-02,0,4,-15,-22,-17,-9
MU,Mauritius,,,,,,ChIJyXRE-U1QfCERMdBrEcLZA0I,2021-03-03,-4,1,-20,-22,-10,-10
MU,Mauritius,,,,,,ChIJyXRE-U1QfCERMdBrEcLZA0I,2021-03-04,-4,1,-17,-18,-15,-10
MU,Mauritius,,,,,,ChIJyXRE-U1QfCERMdBrEcLZA0I,2021-03-05,-9,-1,-17,-18,-3,-9
MU,Mauritius,,,,,,ChIJyXRE-U1QfCERMdBrEcLZA0I,2021-03-06,-7,8,-14,-25,13,-11
MU,Mauritius,,,,,,ChIJyXRE-U1QfCERMdBrEcLZA0I,2021-03-07,-22,9,-39,-42,-29,-4
MU,Mauritius,,,,,,ChIJyXRE-U1QfCERMdBrEcLZA0I,2021-03-08,-17,-8,-14,-42,-32,-1
MU,Mauritius,,,,,,ChIJyXRE-U1QfCERMdBrEcLZA0I,2021-03-09,-12,-6,8,-35,-35,-3
MU,Mauritius,,,,,,ChIJyXRE-U1QfCERMdBrEcLZA0I,2021-03-10,-88,-88,-75,-88,-86,27
