country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
MX,Mexico,,,,,,ChIJU1NoiDs6BIQREZgJa760ZO0,2021-01-01,-68,-41,-51,-72,-74,23
MX,Mexico,,,,,,ChIJU1NoiDs6BIQREZgJa760ZO0,2021-01-02,-40,-8,-39,-37,-23,13
MX,Mexico,,,,,,ChIJU1NoiDs6BIQREZgJa760ZO0,2021-01-03,-38,-11,-37,-18,-1,8
MX,Mexico,,,,,,ChIJU1NoiDs6BIQREZgJa760ZO0,2021-01-04,-25,6,-32,-31,-30,12
MX,Mexico,,,,,,ChIJU1NoiDs6BIQREZgJa760ZO0,2021-01-05,-21,11,-27,-30,-32,12
MX,Mexico,,,,,,ChIJU1NoiDs6BIQREZgJa760ZO0,2021-01-06,-28,3,-36,-40,-30,13
MX,Mexico,,,,,,ChIJU1NoiDs6BIQREZgJa760ZO0,2021-01-07,-33,-4,-40,-41,-32,15
MX,Mexico,,,,,,ChIJU1NoiDs6BIQREZgJa760ZO0,2021-01-08,-36,-6,-42,-42,-27,16
MX,Mexico,,,,,,ChIJU1NoiDs6BIQREZgJa760ZO0,2021-01-09,-37,-5,-45,-35,-5,11
MX,Mexico,,,,,,ChIJU1NoiDs6BIQREZgJa760ZO0,2021-01-10,-41,-12,-43,-34,-1,9
MX,Mexico,,,,,,ChIJU1NoiDs6BIQREZgJa760ZO0,2021-01-11,-34,-6,-43,-40,-29,14
MX,Mexico,,,,,,ChIJU1NoiDs6BIQREZgJa760ZO0,2021-01-12,-35,-10,-43,-44,-32,14
MX,Mexico,,,,,,ChIJU1NoiDs6BIQREZgJa760ZO0,2021-01-13,-37,-11,-45,-46,-34,13
MX,Mexico,,,,,,ChIJU1NoiDs6BIQREZgJa760ZO0,2021-01-14,-37,-12,-46,-48,-36,13
MX,Mexico,,,,,,ChIJU1NoiDs6BIQREZgJa760ZO0,2021-01-15,-38,-10,-47,-47,-32,13
MX,Mexico,,,,,,ChIJU1NoiDs6BIQREZgJa760ZO0,2021-01-16,-39,-8,-48,-40,-12,9
MX,Mexico,,,,,,ChIJU1NoiDs6BIQREZgJa760ZO0,2021-01-17,-44,-18,-49,-40,-9,7
MX,Mexico,,,,,,ChIJU1NoiDs6BIQREZgJa760ZO0,2021-01-18,-36,-9,-44,-44,-34,12
MX,Mexico,,,,,,ChIJU1NoiDs6BIQREZgJa760ZO0,2021-01-19,-37,-13,-44,-46,-36,13
MX,Mexico,,,,,,ChIJU1NoiDs6BIQREZgJa760ZO0,2021-01-20,-38,-13,-48,-47,-36,14
MX,Mexico,,,,,,ChIJU1NoiDs6BIQREZgJa760ZO0,2021-01-21,-37,-12,-45,-46,-35,14
MX,Mexico,,,,,,ChIJU1NoiDs6BIQREZgJa760ZO0,2021-01-22,-39,-12,-45,-46,-31,15
MX,Mexico,,,,,,ChIJU1NoiDs6BIQREZgJa760ZO0,2021-01-23,-39,-9,-46,-39,-9,9
MX,Mexico,,,,,,ChIJU1NoiDs6BIQREZgJa760ZO0,2021-01-24,-44,-18,-46,-40,-7,8
MX,Mexico,,,,,,ChIJU1NoiDs6BIQREZgJa760ZO0,2021-01-25,-38,-11,-44,-44,-33,13
MX,Mexico,,,,,,ChIJU1NoiDs6BIQREZgJa760ZO0,2021-01-26,-37,-13,-43,-46,-35,13
MX,Mexico,,,,,,ChIJU1NoiDs6BIQREZgJa760ZO0,2021-01-27,-37,-11,-45,-46,-34,14
MX,Mexico,,,,,,ChIJU1NoiDs6BIQREZgJa760ZO0,2021-01-28,-36,-10,-45,-45,-34,14
MX,Mexico,,,,,,ChIJU1NoiDs6BIQREZgJa760ZO0,2021-01-29,-35,-6,-44,-42,-29,14
MX,Mexico,,,,,,ChIJU1NoiDs6BIQREZgJa760ZO0,2021-01-30,-34,-2,-43,-34,-7,7
MX,Mexico,,,,,,ChIJU1NoiDs6BIQREZgJa760ZO0,2021-01-31,-39,-12,-43,-37,-4,6
MX,Mexico,,,,,,ChIJU1NoiDs6BIQREZgJa760ZO0,2021-02-01,-35,-4,-42,-52,-57,17
MX,Mexico,,,,,,ChIJU1NoiDs6BIQREZgJa760ZO0,2021-02-02,-32,-7,-41,-41,-32,11
MX,Mexico,,,,,,ChIJU1NoiDs6BIQREZgJa760ZO0,2021-02-03,-33,-8,-43,-43,-33,12
MX,Mexico,,,,,,ChIJU1NoiDs6BIQREZgJa760ZO0,2021-02-04,-34,-9,-43,-43,-33,13
MX,Mexico,,,,,,ChIJU1NoiDs6BIQREZgJa760ZO0,2021-02-05,-36,-8,-44,-43,-28,13
MX,Mexico,,,,,,ChIJU1NoiDs6BIQREZgJa760ZO0,2021-02-06,-36,-6,-44,-36,-6,8
MX,Mexico,,,,,,ChIJU1NoiDs6BIQREZgJa760ZO0,2021-02-07,-42,-15,-45,-38,-4,6
MX,Mexico,,,,,,ChIJU1NoiDs6BIQREZgJa760ZO0,2021-02-08,-34,-7,-42,-40,-31,11
MX,Mexico,,,,,,ChIJU1NoiDs6BIQREZgJa760ZO0,2021-02-09,-33,-10,-41,-41,-32,12
MX,Mexico,,,,,,ChIJU1NoiDs6BIQREZgJa760ZO0,2021-02-10,-32,-8,-42,-41,-31,12
MX,Mexico,,,,,,ChIJU1NoiDs6BIQREZgJa760ZO0,2021-02-11,-32,-8,-44,-42,-32,12
MX,Mexico,,,,,,ChIJU1NoiDs6BIQREZgJa760ZO0,2021-02-12,-34,-6,-46,-40,-27,12
MX,Mexico,,,,,,ChIJU1NoiDs6BIQREZgJa760ZO0,2021-02-13,-30,1,-43,-31,-5,7
MX,Mexico,,,,,,ChIJU1NoiDs6BIQREZgJa760ZO0,2021-02-14,-30,-7,-39,-28,0,5
MX,Mexico,,,,,,ChIJU1NoiDs6BIQREZgJa760ZO0,2021-02-15,-32,-3,-44,-39,-33,10
MX,Mexico,,,,,,ChIJU1NoiDs6BIQREZgJa760ZO0,2021-02-16,-30,-5,-43,-39,-33,10
MX,Mexico,,,,,,ChIJU1NoiDs6BIQREZgJa760ZO0,2021-02-17,-30,-3,-41,-39,-30,11
MX,Mexico,,,,,,ChIJU1NoiDs6BIQREZgJa760ZO0,2021-02-18,-30,-4,-44,-38,-31,12
MX,Mexico,,,,,,ChIJU1NoiDs6BIQREZgJa760ZO0,2021-02-19,-33,-5,-46,-38,-26,13
MX,Mexico,,,,,,ChIJU1NoiDs6BIQREZgJa760ZO0,2021-02-20,-29,0,-41,-30,-3,6
MX,Mexico,,,,,,ChIJU1NoiDs6BIQREZgJa760ZO0,2021-02-21,-33,-9,-39,-29,1,4
MX,Mexico,,,,,,ChIJU1NoiDs6BIQREZgJa760ZO0,2021-02-22,-31,-3,-42,-37,-28,10
MX,Mexico,,,,,,ChIJU1NoiDs6BIQREZgJa760ZO0,2021-02-23,-29,-6,-40,-38,-29,11
MX,Mexico,,,,,,ChIJU1NoiDs6BIQREZgJa760ZO0,2021-02-24,-29,-3,-40,-37,-29,11
MX,Mexico,,,,,,ChIJU1NoiDs6BIQREZgJa760ZO0,2021-02-25,-27,-1,-40,-36,-29,11
MX,Mexico,,,,,,ChIJU1NoiDs6BIQREZgJa760ZO0,2021-02-26,-28,2,-40,-34,-24,11
MX,Mexico,,,,,,ChIJU1NoiDs6BIQREZgJa760ZO0,2021-02-27,-25,7,-36,-25,-1,4
MX,Mexico,,,,,,ChIJU1NoiDs6BIQREZgJa760ZO0,2021-02-28,-27,1,-33,-23,5,3
MX,Mexico,,,,,,ChIJU1NoiDs6BIQREZgJa760ZO0,2021-03-01,-26,4,-39,-33,-26,9
MX,Mexico,,,,,,ChIJU1NoiDs6BIQREZgJa760ZO0,2021-03-02,-26,0,-39,-35,-29,10
MX,Mexico,,,,,,ChIJU1NoiDs6BIQREZgJa760ZO0,2021-03-03,-26,1,-39,-35,-28,11
MX,Mexico,,,,,,ChIJU1NoiDs6BIQREZgJa760ZO0,2021-03-04,-26,1,-38,-35,-29,11
MX,Mexico,,,,,,ChIJU1NoiDs6BIQREZgJa760ZO0,2021-03-05,-28,1,-39,-33,-24,11
MX,Mexico,,,,,,ChIJU1NoiDs6BIQREZgJa760ZO0,2021-03-06,-26,3,-37,-26,-1,5
MX,Mexico,,,,,,ChIJU1NoiDs6BIQREZgJa760ZO0,2021-03-07,-28,-2,-34,-24,4,3
MX,Mexico,,,,,,ChIJU1NoiDs6BIQREZgJa760ZO0,2021-03-08,-28,0,-38,-33,-27,10
MX,Mexico,,,,,,ChIJU1NoiDs6BIQREZgJa760ZO0,2021-03-09,-27,-3,-37,-35,-29,10
MX,Mexico,,,,,,ChIJU1NoiDs6BIQREZgJa760ZO0,2021-03-10,-26,0,-37,-33,-28,11
MX,Mexico,,,,,,ChIJU1NoiDs6BIQREZgJa760ZO0,2021-03-11,-25,0,-37,-33,-28,11
MX,Mexico,,,,,,ChIJU1NoiDs6BIQREZgJa760ZO0,2021-03-12,-25,4,-36,-30,-23,10
MX,Mexico,,,,,,ChIJU1NoiDs6BIQREZgJa760ZO0,2021-03-13,-22,8,-32,-19,-1,4
MX,Mexico,,,,,,ChIJU1NoiDs6BIQREZgJa760ZO0,2021-03-14,-23,2,-26,-21,5,2
MX,Mexico,,,,,,ChIJU1NoiDs6BIQREZgJa760ZO0,2021-03-15,-24,6,-30,-41,-54,14
MX,Mexico,,,,,,ChIJU1NoiDs6BIQREZgJa760ZO0,2021-03-16,-23,4,-34,-29,-27,9
MX,Mexico,,,,,,ChIJU1NoiDs6BIQREZgJa760ZO0,2021-03-17,-23,5,-34,-31,-26,10
MX,Mexico,,,,,,ChIJU1NoiDs6BIQREZgJa760ZO0,2021-03-18,-23,4,-35,-30,-26,10
MX,Mexico,,,,,,ChIJU1NoiDs6BIQREZgJa760ZO0,2021-03-19,-26,3,-36,-30,-21,10
MX,Mexico,,,,,,ChIJU1NoiDs6BIQREZgJa760ZO0,2021-03-20,-23,6,-32,-21,2,4
MX,Mexico,,,,,,ChIJU1NoiDs6BIQREZgJa760ZO0,2021-03-21,-24,2,-28,-19,8,3
MX,Mexico,Aguascalientes,,,MX-AGU,,ChIJuRMJdqXmKYQRHxX0saYvLmY,2021-01-01,-67,-39,-55,-62,-75,23
MX,Mexico,Aguascalientes,,,MX-AGU,,ChIJuRMJdqXmKYQRHxX0saYvLmY,2021-01-02,-31,-8,-32,-36,-18,11
MX,Mexico,Aguascalientes,,,MX-AGU,,ChIJuRMJdqXmKYQRHxX0saYvLmY,2021-01-03,-29,-6,-35,-13,11,6
MX,Mexico,Aguascalientes,,,MX-AGU,,ChIJuRMJdqXmKYQRHxX0saYvLmY,2021-01-04,-19,6,-32,-20,-24,11
MX,Mexico,Aguascalientes,,,MX-AGU,,ChIJuRMJdqXmKYQRHxX0saYvLmY,2021-01-05,-19,3,-32,-27,-25,11
MX,Mexico,Aguascalientes,,,MX-AGU,,ChIJuRMJdqXmKYQRHxX0saYvLmY,2021-01-06,-22,0,-36,-30,-23,11
MX,Mexico,Aguascalientes,,,MX-AGU,,ChIJuRMJdqXmKYQRHxX0saYvLmY,2021-01-07,-26,-3,-37,-35,-25,13
MX,Mexico,Aguascalientes,,,MX-AGU,,ChIJuRMJdqXmKYQRHxX0saYvLmY,2021-01-08,-27,-2,-38,-42,-21,13
MX,Mexico,Aguascalientes,,,MX-AGU,,ChIJuRMJdqXmKYQRHxX0saYvLmY,2021-01-09,-29,-3,-39,-41,2,8
MX,Mexico,Aguascalientes,,,MX-AGU,,ChIJuRMJdqXmKYQRHxX0saYvLmY,2021-01-10,-27,-2,-34,-41,14,5
MX,Mexico,Aguascalientes,,,MX-AGU,,ChIJuRMJdqXmKYQRHxX0saYvLmY,2021-01-11,-25,-1,-36,-32,-22,11
MX,Mexico,Aguascalientes,,,MX-AGU,,ChIJuRMJdqXmKYQRHxX0saYvLmY,2021-01-12,-27,-8,-36,-40,-25,11
MX,Mexico,Aguascalientes,,,MX-AGU,,ChIJuRMJdqXmKYQRHxX0saYvLmY,2021-01-13,-29,-9,-45,-40,-27,11
MX,Mexico,Aguascalientes,,,MX-AGU,,ChIJuRMJdqXmKYQRHxX0saYvLmY,2021-01-14,-28,-9,-44,-44,-29,10
MX,Mexico,Aguascalientes,,,MX-AGU,,ChIJuRMJdqXmKYQRHxX0saYvLmY,2021-01-15,-28,-5,-45,-47,-27,10
MX,Mexico,Aguascalientes,,,MX-AGU,,ChIJuRMJdqXmKYQRHxX0saYvLmY,2021-01-16,-28,-3,-34,-49,-6,4
MX,Mexico,Aguascalientes,,,MX-AGU,,ChIJuRMJdqXmKYQRHxX0saYvLmY,2021-01-17,-29,-5,-34,-47,6,3
MX,Mexico,Aguascalientes,,,MX-AGU,,ChIJuRMJdqXmKYQRHxX0saYvLmY,2021-01-18,-27,-4,-38,-39,-27,9
MX,Mexico,Aguascalientes,,,MX-AGU,,ChIJuRMJdqXmKYQRHxX0saYvLmY,2021-01-19,-29,-11,-38,-45,-28,10
MX,Mexico,Aguascalientes,,,MX-AGU,,ChIJuRMJdqXmKYQRHxX0saYvLmY,2021-01-20,-28,-10,-43,-44,-28,11
MX,Mexico,Aguascalientes,,,MX-AGU,,ChIJuRMJdqXmKYQRHxX0saYvLmY,2021-01-21,-29,-10,-39,-45,-28,11
MX,Mexico,Aguascalientes,,,MX-AGU,,ChIJuRMJdqXmKYQRHxX0saYvLmY,2021-01-22,-30,-9,-41,-46,-25,11
MX,Mexico,Aguascalientes,,,MX-AGU,,ChIJuRMJdqXmKYQRHxX0saYvLmY,2021-01-23,-29,-6,-31,-47,-3,5
MX,Mexico,Aguascalientes,,,MX-AGU,,ChIJuRMJdqXmKYQRHxX0saYvLmY,2021-01-24,-30,-8,-31,-50,7,4
MX,Mexico,Aguascalientes,,,MX-AGU,,ChIJuRMJdqXmKYQRHxX0saYvLmY,2021-01-25,-30,-8,-40,-35,-25,10
