country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
MY,Malaysia,,,,,,ChIJrzBnX5fTNDAR2BwhKJOWRQc,2021-01-01,-22,4,15,-36,-58,19
MY,Malaysia,,,,,,ChIJrzBnX5fTNDAR2BwhKJOWRQc,2021-01-02,-29,-8,-4,-32,-21,11
MY,Malaysia,,,,,,ChIJrzBnX5fTNDAR2BwhKJOWRQc,2021-01-03,-30,-12,-16,-32,-21,10
MY,Malaysia,,,,,,ChIJrzBnX5fTNDAR2BwhKJOWRQc,2021-01-04,-22,2,-14,-34,-24,12
MY,Malaysia,,,,,,ChIJrzBnX5fTNDAR2BwhKJOWRQc,2021-01-05,-23,0,-18,-37,-23,12
MY,Malaysia,,,,,,ChIJrzBnX5fTNDAR2BwhKJOWRQc,2021-01-06,-21,5,-17,-37,-22,13
MY,Malaysia,,,,,,ChIJrzBnX5fTNDAR2BwhKJOWRQc,2021-01-07,-20,5,-17,-37,-22,13
MY,Malaysia,,,,,,ChIJrzBnX5fTNDAR2BwhKJOWRQc,2021-01-08,-22,5,-19,-39,-18,13
MY,Malaysia,,,,,,ChIJrzBnX5fTNDAR2BwhKJOWRQc,2021-01-09,-24,1,-20,-35,-12,10
MY,Malaysia,,,,,,ChIJrzBnX5fTNDAR2BwhKJOWRQc,2021-01-10,-24,-1,-17,-35,-17,9
MY,Malaysia,,,,,,ChIJrzBnX5fTNDAR2BwhKJOWRQc,2021-01-11,-20,9,-23,-35,-22,11
MY,Malaysia,,,,,,ChIJrzBnX5fTNDAR2BwhKJOWRQc,2021-01-12,-14,20,-24,-28,-21,8
MY,Malaysia,,,,,,ChIJrzBnX5fTNDAR2BwhKJOWRQc,2021-01-13,-50,-14,-46,-60,-34,22
MY,Malaysia,,,,,,ChIJrzBnX5fTNDAR2BwhKJOWRQc,2021-01-14,-50,-17,-48,-62,-37,22
MY,Malaysia,,,,,,ChIJrzBnX5fTNDAR2BwhKJOWRQc,2021-01-15,-53,-20,-52,-65,-34,22
MY,Malaysia,,,,,,ChIJrzBnX5fTNDAR2BwhKJOWRQc,2021-01-16,-57,-25,-57,-68,-29,22
MY,Malaysia,,,,,,ChIJrzBnX5fTNDAR2BwhKJOWRQc,2021-01-17,-59,-29,-56,-71,-35,22
MY,Malaysia,,,,,,ChIJrzBnX5fTNDAR2BwhKJOWRQc,2021-01-18,-50,-20,-48,-62,-36,21
MY,Malaysia,,,,,,ChIJrzBnX5fTNDAR2BwhKJOWRQc,2021-01-19,-50,-18,-48,-61,-36,20
MY,Malaysia,,,,,,ChIJrzBnX5fTNDAR2BwhKJOWRQc,2021-01-20,-49,-14,-47,-60,-35,20
MY,Malaysia,,,,,,ChIJrzBnX5fTNDAR2BwhKJOWRQc,2021-01-21,-48,-14,-46,-60,-35,21
MY,Malaysia,,,,,,ChIJrzBnX5fTNDAR2BwhKJOWRQc,2021-01-22,-56,-23,-56,-68,-33,25
MY,Malaysia,,,,,,ChIJrzBnX5fTNDAR2BwhKJOWRQc,2021-01-23,-58,-25,-60,-70,-27,24
MY,Malaysia,,,,,,ChIJrzBnX5fTNDAR2BwhKJOWRQc,2021-01-24,-59,-27,-57,-73,-32,23
MY,Malaysia,,,,,,ChIJrzBnX5fTNDAR2BwhKJOWRQc,2021-01-25,-50,-15,-50,-63,-34,21
MY,Malaysia,,,,,,ChIJrzBnX5fTNDAR2BwhKJOWRQc,2021-01-26,-50,-15,-49,-61,-34,20
MY,Malaysia,,,,,,ChIJrzBnX5fTNDAR2BwhKJOWRQc,2021-01-27,-50,-16,-50,-61,-33,21
MY,Malaysia,,,,,,ChIJrzBnX5fTNDAR2BwhKJOWRQc,2021-01-28,-50,-12,-51,-68,-50,28
MY,Malaysia,,,,,,ChIJrzBnX5fTNDAR2BwhKJOWRQc,2021-01-29,-52,-15,-54,-66,-30,23
MY,Malaysia,,,,,,ChIJrzBnX5fTNDAR2BwhKJOWRQc,2021-01-30,-54,-18,-59,-67,-24,22
MY,Malaysia,,,,,,ChIJrzBnX5fTNDAR2BwhKJOWRQc,2021-01-31,-55,-20,-58,-71,-30,21
MY,Malaysia,,,,,,ChIJrzBnX5fTNDAR2BwhKJOWRQc,2021-02-01,-49,-11,-51,-64,-37,21
MY,Malaysia,,,,,,ChIJrzBnX5fTNDAR2BwhKJOWRQc,2021-02-02,-49,-12,-50,-61,-32,19
MY,Malaysia,,,,,,ChIJrzBnX5fTNDAR2BwhKJOWRQc,2021-02-03,-49,-12,-50,-60,-32,20
MY,Malaysia,,,,,,ChIJrzBnX5fTNDAR2BwhKJOWRQc,2021-02-04,-48,-12,-49,-60,-32,20
MY,Malaysia,,,,,,ChIJrzBnX5fTNDAR2BwhKJOWRQc,2021-02-05,-49,-11,-53,-63,-29,21
MY,Malaysia,,,,,,ChIJrzBnX5fTNDAR2BwhKJOWRQc,2021-02-06,-50,-13,-57,-64,-23,20
MY,Malaysia,,,,,,ChIJrzBnX5fTNDAR2BwhKJOWRQc,2021-02-07,-51,-15,-55,-68,-28,19
MY,Malaysia,,,,,,ChIJrzBnX5fTNDAR2BwhKJOWRQc,2021-02-08,-45,-7,-49,-58,-31,17
MY,Malaysia,,,,,,ChIJrzBnX5fTNDAR2BwhKJOWRQc,2021-02-09,-42,-2,-47,-56,-31,16
MY,Malaysia,,,,,,ChIJrzBnX5fTNDAR2BwhKJOWRQc,2021-02-10,-34,6,-45,-55,-33,17
MY,Malaysia,,,,,,ChIJrzBnX5fTNDAR2BwhKJOWRQc,2021-02-11,-39,2,-45,-58,-45,21
MY,Malaysia,,,,,,ChIJrzBnX5fTNDAR2BwhKJOWRQc,2021-02-12,-55,-22,-50,-72,-69,33
