country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
MZ,Mozambique,,,,,,ChIJxUr95uqs1BgRFaEWrrm_uxI,2021-01-01,-58,-57,-25,-54,-80,15
MZ,Mozambique,,,,,,ChIJxUr95uqs1BgRFaEWrrm_uxI,2021-01-02,-38,-25,-24,-38,-42,12
MZ,Mozambique,,,,,,ChIJxUr95uqs1BgRFaEWrrm_uxI,2021-01-03,-25,-15,-14,-24,-29,8
MZ,Mozambique,,,,,,ChIJxUr95uqs1BgRFaEWrrm_uxI,2021-01-04,-12,0,-13,-17,-20,6
MZ,Mozambique,,,,,,ChIJxUr95uqs1BgRFaEWrrm_uxI,2021-01-05,-18,-6,-16,-16,-19,9
MZ,Mozambique,,,,,,ChIJxUr95uqs1BgRFaEWrrm_uxI,2021-01-06,-15,-2,-15,-16,-17,7
MZ,Mozambique,,,,,,ChIJxUr95uqs1BgRFaEWrrm_uxI,2021-01-07,-14,-3,-16,-13,-17,8
MZ,Mozambique,,,,,,ChIJxUr95uqs1BgRFaEWrrm_uxI,2021-01-08,-16,9,-17,-16,-13,6
MZ,Mozambique,,,,,,ChIJxUr95uqs1BgRFaEWrrm_uxI,2021-01-09,-13,-3,-18,-22,-16,5
MZ,Mozambique,,,,,,ChIJxUr95uqs1BgRFaEWrrm_uxI,2021-01-10,-19,-10,-20,-25,-25,7
MZ,Mozambique,,,,,,ChIJxUr95uqs1BgRFaEWrrm_uxI,2021-01-11,-10,-5,-15,-18,-9,5
MZ,Mozambique,,,,,,ChIJxUr95uqs1BgRFaEWrrm_uxI,2021-01-12,-18,-9,-19,-22,-13,6
MZ,Mozambique,,,,,,ChIJxUr95uqs1BgRFaEWrrm_uxI,2021-01-13,-20,-11,-23,-24,-17,5
MZ,Mozambique,,,,,,ChIJxUr95uqs1BgRFaEWrrm_uxI,2021-01-14,-23,-16,-29,-26,-23,6
MZ,Mozambique,,,,,,ChIJxUr95uqs1BgRFaEWrrm_uxI,2021-01-15,-29,-10,-33,-32,-24,7
MZ,Mozambique,,,,,,ChIJxUr95uqs1BgRFaEWrrm_uxI,2021-01-16,-34,-21,-37,-39,-31,9
MZ,Mozambique,,,,,,ChIJxUr95uqs1BgRFaEWrrm_uxI,2021-01-17,-39,-25,-41,-41,-41,12
MZ,Mozambique,,,,,,ChIJxUr95uqs1BgRFaEWrrm_uxI,2021-01-18,-24,-19,-29,-32,-24,7
MZ,Mozambique,,,,,,ChIJxUr95uqs1BgRFaEWrrm_uxI,2021-01-19,-27,-21,-30,-33,-26,9
MZ,Mozambique,,,,,,ChIJxUr95uqs1BgRFaEWrrm_uxI,2021-01-20,-27,-19,-29,-34,-26,8
MZ,Mozambique,,,,,,ChIJxUr95uqs1BgRFaEWrrm_uxI,2021-01-21,-26,-17,-31,-29,-26,10
MZ,Mozambique,,,,,,ChIJxUr95uqs1BgRFaEWrrm_uxI,2021-01-22,-31,-10,-32,-33,-26,10
MZ,Mozambique,,,,,,ChIJxUr95uqs1BgRFaEWrrm_uxI,2021-01-23,-32,-19,-38,-39,-35,9
MZ,Mozambique,,,,,,ChIJxUr95uqs1BgRFaEWrrm_uxI,2021-01-24,-40,-26,-42,-43,-39,13
MZ,Mozambique,,,,,,ChIJxUr95uqs1BgRFaEWrrm_uxI,2021-01-25,-32,-27,-36,-42,-29,12
MZ,Mozambique,,,,,,ChIJxUr95uqs1BgRFaEWrrm_uxI,2021-01-26,-27,-18,-30,-33,-25,9
MZ,Mozambique,,,,,,ChIJxUr95uqs1BgRFaEWrrm_uxI,2021-01-27,-24,-14,-27,-29,-25,7
MZ,Mozambique,,,,,,ChIJxUr95uqs1BgRFaEWrrm_uxI,2021-01-28,-23,-13,-27,-25,-25,8
MZ,Mozambique,,,,,,ChIJxUr95uqs1BgRFaEWrrm_uxI,2021-01-29,-26,-5,-29,-30,-23,7
MZ,Mozambique,,,,,,ChIJxUr95uqs1BgRFaEWrrm_uxI,2021-01-30,-22,-2,-29,-31,-30,4
MZ,Mozambique,,,,,,ChIJxUr95uqs1BgRFaEWrrm_uxI,2021-01-31,-34,-13,-37,-39,-40,8
MZ,Mozambique,,,,,,ChIJxUr95uqs1BgRFaEWrrm_uxI,2021-02-01,-23,-13,-25,-31,-21,5
MZ,Mozambique,,,,,,ChIJxUr95uqs1BgRFaEWrrm_uxI,2021-02-02,-25,-13,-29,-31,-25,7
MZ,Mozambique,,,,,,ChIJxUr95uqs1BgRFaEWrrm_uxI,2021-02-03,-49,-40,-48,-47,-76,20
MZ,Mozambique,,,,,,ChIJxUr95uqs1BgRFaEWrrm_uxI,2021-02-04,-25,-13,-26,-28,-25,7
MZ,Mozambique,,,,,,ChIJxUr95uqs1BgRFaEWrrm_uxI,2021-02-05,-31,-6,-31,-35,-29,11
MZ,Mozambique,,,,,,ChIJxUr95uqs1BgRFaEWrrm_uxI,2021-02-06,-26,-9,-32,-34,-28,9
MZ,Mozambique,,,,,,ChIJxUr95uqs1BgRFaEWrrm_uxI,2021-02-07,-38,-24,-37,-42,-40,14
MZ,Mozambique,,,,,,ChIJxUr95uqs1BgRFaEWrrm_uxI,2021-02-08,-23,-14,-27,-31,-24,7
MZ,Mozambique,,,,,,ChIJxUr95uqs1BgRFaEWrrm_uxI,2021-02-09,-26,-16,-28,-30,-26,10
MZ,Mozambique,,,,,,ChIJxUr95uqs1BgRFaEWrrm_uxI,2021-02-10,-27,-16,-29,-32,-26,9
MZ,Mozambique,,,,,,ChIJxUr95uqs1BgRFaEWrrm_uxI,2021-02-11,-26,-14,-33,-30,-27,9
MZ,Mozambique,,,,,,ChIJxUr95uqs1BgRFaEWrrm_uxI,2021-02-12,-34,-10,-41,-38,-28,11
MZ,Mozambique,,,,,,ChIJxUr95uqs1BgRFaEWrrm_uxI,2021-02-13,-31,-13,-43,-44,-35,11
MZ,Mozambique,,,,,,ChIJxUr95uqs1BgRFaEWrrm_uxI,2021-02-14,-33,-18,-43,-44,-43,13
MZ,Mozambique,,,,,,ChIJxUr95uqs1BgRFaEWrrm_uxI,2021-02-15,-28,-20,-37,-36,-27,8
MZ,Mozambique,,,,,,ChIJxUr95uqs1BgRFaEWrrm_uxI,2021-02-16,-35,-25,-41,-38,-31,10
MZ,Mozambique,,,,,,ChIJxUr95uqs1BgRFaEWrrm_uxI,2021-02-17,-29,-17,-35,-31,-28,9
MZ,Mozambique,,,,,,ChIJxUr95uqs1BgRFaEWrrm_uxI,2021-02-18,-24,-13,-34,-28,-26,8
MZ,Mozambique,,,,,,ChIJxUr95uqs1BgRFaEWrrm_uxI,2021-02-19,-26,-1,-35,-32,-25,8
MZ,Mozambique,,,,,,ChIJxUr95uqs1BgRFaEWrrm_uxI,2021-02-20,-18,-1,-33,-32,-29,5
MZ,Mozambique,,,,,,ChIJxUr95uqs1BgRFaEWrrm_uxI,2021-02-21,-30,-15,-38,-40,-41,9
MZ,Mozambique,,,,,,ChIJxUr95uqs1BgRFaEWrrm_uxI,2021-02-22,-19,-8,-28,-31,-22,5
MZ,Mozambique,,,,,,ChIJxUr95uqs1BgRFaEWrrm_uxI,2021-02-23,-22,-8,-32,-28,-25,6
MZ,Mozambique,,,,,,ChIJxUr95uqs1BgRFaEWrrm_uxI,2021-02-24,-21,-5,-29,-26,-25,6
MZ,Mozambique,,,,,,ChIJxUr95uqs1BgRFaEWrrm_uxI,2021-02-25,-21,-6,-31,-24,-26,7
MZ,Mozambique,,,,,,ChIJxUr95uqs1BgRFaEWrrm_uxI,2021-02-26,-20,7,-30,-26,-22,6
MZ,Mozambique,,,,,,ChIJxUr95uqs1BgRFaEWrrm_uxI,2021-02-27,-14,7,-29,-26,-27,3
MZ,Mozambique,,,,,,ChIJxUr95uqs1BgRFaEWrrm_uxI,2021-02-28,-26,-7,-38,-32,-39,8
MZ,Mozambique,,,,,,ChIJxUr95uqs1BgRFaEWrrm_uxI,2021-03-01,-14,0,-25,-25,-19,4
MZ,Mozambique,,,,,,ChIJxUr95uqs1BgRFaEWrrm_uxI,2021-03-02,-17,-3,-24,-23,-22,5
MZ,Mozambique,,,,,,ChIJxUr95uqs1BgRFaEWrrm_uxI,2021-03-03,-17,-2,-25,-23,-22,5
MZ,Mozambique,,,,,,ChIJxUr95uqs1BgRFaEWrrm_uxI,2021-03-04,-19,-4,-26,-21,-23,5
MZ,Mozambique,,,,,,ChIJxUr95uqs1BgRFaEWrrm_uxI,2021-03-05,-19,9,-27,-25,-19,5
MZ,Mozambique,,,,,,ChIJxUr95uqs1BgRFaEWrrm_uxI,2021-03-06,-15,5,-26,-26,-25,3
MZ,Mozambique,,,,,,ChIJxUr95uqs1BgRFaEWrrm_uxI,2021-03-07,-27,-9,-34,-31,-38,8
MZ,Mozambique,,,,,,ChIJxUr95uqs1BgRFaEWrrm_uxI,2021-03-08,-14,-2,-23,-22,-17,3
MZ,Mozambique,,,,,,ChIJxUr95uqs1BgRFaEWrrm_uxI,2021-03-09,-19,-6,-25,-23,-19,5
MZ,Mozambique,,,,,,ChIJxUr95uqs1BgRFaEWrrm_uxI,2021-03-10,-18,-5,-27,-23,-18,4
MZ,Mozambique,,,,,,ChIJxUr95uqs1BgRFaEWrrm_uxI,2021-03-11,-17,-6,-29,-22,-19,5
MZ,Mozambique,,,,,,ChIJxUr95uqs1BgRFaEWrrm_uxI,2021-03-12,-19,6,-30,-24,-16,4
MZ,Mozambique,,,,,,ChIJxUr95uqs1BgRFaEWrrm_uxI,2021-03-13,-14,2,-26,-27,-23,2
MZ,Mozambique,,,,,,ChIJxUr95uqs1BgRFaEWrrm_uxI,2021-03-14,-26,-12,-34,-34,-36,6
MZ,Mozambique,,,,,,ChIJxUr95uqs1BgRFaEWrrm_uxI,2021-03-15,-13,-3,-26,-20,-13,2
MZ,Mozambique,,,,,,ChIJxUr95uqs1BgRFaEWrrm_uxI,2021-03-16,-18,-6,-27,-22,-16,4
MZ,Mozambique,,,,,,ChIJxUr95uqs1BgRFaEWrrm_uxI,2021-03-17,-17,-5,-26,-19,-16,3
MZ,Mozambique,,,,,,ChIJxUr95uqs1BgRFaEWrrm_uxI,2021-03-18,-18,-6,-24,-21,-17,3
MZ,Mozambique,,,,,,ChIJxUr95uqs1BgRFaEWrrm_uxI,2021-03-19,-16,12,-24,-23,-15,0
MZ,Mozambique,,,,,,ChIJxUr95uqs1BgRFaEWrrm_uxI,2021-03-20,-8,14,-21,-22,-22,1
MZ,Mozambique,,,,,,ChIJxUr95uqs1BgRFaEWrrm_uxI,2021-03-21,-24,-5,-32,-31,-36,6
MZ,Mozambique,Cabo Delgado Province,,,MZ-P,,ChIJFb8REtFrkxgRToDo2vgrYks,2021-01-01,,,,,-66,
MZ,Mozambique,Cabo Delgado Province,,,MZ-P,,ChIJFb8REtFrkxgRToDo2vgrYks,2021-01-02,,,-30,,-30,
MZ,Mozambique,Cabo Delgado Province,,,MZ-P,,ChIJFb8REtFrkxgRToDo2vgrYks,2021-01-03,,,,,-21,
MZ,Mozambique,Cabo Delgado Province,,,MZ-P,,ChIJFb8REtFrkxgRToDo2vgrYks,2021-01-04,,,,,-19,
MZ,Mozambique,Cabo Delgado Province,,,MZ-P,,ChIJFb8REtFrkxgRToDo2vgrYks,2021-01-05,,,-44,,-14,
MZ,Mozambique,Cabo Delgado Province,,,MZ-P,,ChIJFb8REtFrkxgRToDo2vgrYks,2021-01-06,,,,,-13,
MZ,Mozambique,Cabo Delgado Province,,,MZ-P,,ChIJFb8REtFrkxgRToDo2vgrYks,2021-01-07,,,-40,,-16,
MZ,Mozambique,Cabo Delgado Province,,,MZ-P,,ChIJFb8REtFrkxgRToDo2vgrYks,2021-01-08,,,-43,,-12,
MZ,Mozambique,Cabo Delgado Province,,,MZ-P,,ChIJFb8REtFrkxgRToDo2vgrYks,2021-01-09,,,-37,,-17,
MZ,Mozambique,Cabo Delgado Province,,,MZ-P,,ChIJFb8REtFrkxgRToDo2vgrYks,2021-01-10,,,-36,,-28,
MZ,Mozambique,Cabo Delgado Province,,,MZ-P,,ChIJFb8REtFrkxgRToDo2vgrYks,2021-01-11,,,,,-11,
MZ,Mozambique,Cabo Delgado Province,,,MZ-P,,ChIJFb8REtFrkxgRToDo2vgrYks,2021-01-12,,,-44,,-8,
MZ,Mozambique,Cabo Delgado Province,,,MZ-P,,ChIJFb8REtFrkxgRToDo2vgrYks,2021-01-13,,,,,-17,
MZ,Mozambique,Cabo Delgado Province,,,MZ-P,,ChIJFb8REtFrkxgRToDo2vgrYks,2021-01-14,,,-49,,-22,
MZ,Mozambique,Cabo Delgado Province,,,MZ-P,,ChIJFb8REtFrkxgRToDo2vgrYks,2021-01-15,,,-50,,-25,
MZ,Mozambique,Cabo Delgado Province,,,MZ-P,,ChIJFb8REtFrkxgRToDo2vgrYks,2021-01-16,,,-62,,-29,
MZ,Mozambique,Cabo Delgado Province,,,MZ-P,,ChIJFb8REtFrkxgRToDo2vgrYks,2021-01-17,,,-55,,-40,
MZ,Mozambique,Cabo Delgado Province,,,MZ-P,,ChIJFb8REtFrkxgRToDo2vgrYks,2021-01-18,,,-44,,-24,
MZ,Mozambique,Cabo Delgado Province,,,MZ-P,,ChIJFb8REtFrkxgRToDo2vgrYks,2021-01-19,,,-48,,-24,
MZ,Mozambique,Cabo Delgado Province,,,MZ-P,,ChIJFb8REtFrkxgRToDo2vgrYks,2021-01-20,,,,,-26,
MZ,Mozambique,Cabo Delgado Province,,,MZ-P,,ChIJFb8REtFrkxgRToDo2vgrYks,2021-01-21,,,-49,,-26,
MZ,Mozambique,Cabo Delgado Province,,,MZ-P,,ChIJFb8REtFrkxgRToDo2vgrYks,2021-01-22,,,-46,,-21,
MZ,Mozambique,Cabo Delgado Province,,,MZ-P,,ChIJFb8REtFrkxgRToDo2vgrYks,2021-01-23,,,-50,,-29,
MZ,Mozambique,Cabo Delgado Province,,,MZ-P,,ChIJFb8REtFrkxgRToDo2vgrYks,2021-01-24,,,-59,,-28,
MZ,Mozambique,Cabo Delgado Province,,,MZ-P,,ChIJFb8REtFrkxgRToDo2vgrYks,2021-01-25,,,-43,,-22,
MZ,Mozambique,Cabo Delgado Province,,,MZ-P,,ChIJFb8REtFrkxgRToDo2vgrYks,2021-01-26,,,-52,,-22,
MZ,Mozambique,Cabo Delgado Province,,,MZ-P,,ChIJFb8REtFrkxgRToDo2vgrYks,2021-01-27,,,,,-24,
MZ,Mozambique,Cabo Delgado Province,,,MZ-P,,ChIJFb8REtFrkxgRToDo2vgrYks,2021-01-28,,,-41,,-22,
MZ,Mozambique,Cabo Delgado Province,,,MZ-P,,ChIJFb8REtFrkxgRToDo2vgrYks,2021-01-29,,,-47,,-25,
MZ,Mozambique,Cabo Delgado Province,,,MZ-P,,ChIJFb8REtFrkxgRToDo2vgrYks,2021-01-30,,,-50,,-27,
MZ,Mozambique,Cabo Delgado Province,,,MZ-P,,ChIJFb8REtFrkxgRToDo2vgrYks,2021-01-31,,,-58,,-40,
MZ,Mozambique,Cabo Delgado Province,,,MZ-P,,ChIJFb8REtFrkxgRToDo2vgrYks,2021-02-01,,,,,-16,
MZ,Mozambique,Cabo Delgado Province,,,MZ-P,,ChIJFb8REtFrkxgRToDo2vgrYks,2021-02-02,,,-41,,-20,
MZ,Mozambique,Cabo Delgado Province,,,MZ-P,,ChIJFb8REtFrkxgRToDo2vgrYks,2021-02-03,,,,,-64,
MZ,Mozambique,Cabo Delgado Province,,,MZ-P,,ChIJFb8REtFrkxgRToDo2vgrYks,2021-02-04,,,-46,,-22,
MZ,Mozambique,Cabo Delgado Province,,,MZ-P,,ChIJFb8REtFrkxgRToDo2vgrYks,2021-02-05,,,-42,,-23,
MZ,Mozambique,Cabo Delgado Province,,,MZ-P,,ChIJFb8REtFrkxgRToDo2vgrYks,2021-02-06,,,-48,,-27,
MZ,Mozambique,Cabo Delgado Province,,,MZ-P,,ChIJFb8REtFrkxgRToDo2vgrYks,2021-02-07,,,-53,,-38,
MZ,Mozambique,Cabo Delgado Province,,,MZ-P,,ChIJFb8REtFrkxgRToDo2vgrYks,2021-02-08,,,-42,,-20,
MZ,Mozambique,Cabo Delgado Province,,,MZ-P,,ChIJFb8REtFrkxgRToDo2vgrYks,2021-02-09,,,-43,,-22,
MZ,Mozambique,Cabo Delgado Province,,,MZ-P,,ChIJFb8REtFrkxgRToDo2vgrYks,2021-02-10,,,,,-25,
MZ,Mozambique,Cabo Delgado Province,,,MZ-P,,ChIJFb8REtFrkxgRToDo2vgrYks,2021-02-11,,,-55,,-28,
MZ,Mozambique,Cabo Delgado Province,,,MZ-P,,ChIJFb8REtFrkxgRToDo2vgrYks,2021-02-12,,,-55,,-30,
MZ,Mozambique,Cabo Delgado Province,,,MZ-P,,ChIJFb8REtFrkxgRToDo2vgrYks,2021-02-13,,,-58,,-35,
MZ,Mozambique,Cabo Delgado Province,,,MZ-P,,ChIJFb8REtFrkxgRToDo2vgrYks,2021-02-14,,,-63,,-39,
MZ,Mozambique,Cabo Delgado Province,,,MZ-P,,ChIJFb8REtFrkxgRToDo2vgrYks,2021-02-15,,,-42,,-26,
MZ,Mozambique,Cabo Delgado Province,,,MZ-P,,ChIJFb8REtFrkxgRToDo2vgrYks,2021-02-16,,,-44,,-25,
MZ,Mozambique,Cabo Delgado Province,,,MZ-P,,ChIJFb8REtFrkxgRToDo2vgrYks,2021-02-17,,,,,-29,
MZ,Mozambique,Cabo Delgado Province,,,MZ-P,,ChIJFb8REtFrkxgRToDo2vgrYks,2021-02-18,,,-47,,-26,
MZ,Mozambique,Cabo Delgado Province,,,MZ-P,,ChIJFb8REtFrkxgRToDo2vgrYks,2021-02-19,,,-45,,-25,
MZ,Mozambique,Cabo Delgado Province,,,MZ-P,,ChIJFb8REtFrkxgRToDo2vgrYks,2021-02-20,,,-47,,-26,
MZ,Mozambique,Cabo Delgado Province,,,MZ-P,,ChIJFb8REtFrkxgRToDo2vgrYks,2021-02-21,,,-51,,-37,
MZ,Mozambique,Cabo Delgado Province,,,MZ-P,,ChIJFb8REtFrkxgRToDo2vgrYks,2021-02-22,,,-40,,-23,
MZ,Mozambique,Cabo Delgado Province,,,MZ-P,,ChIJFb8REtFrkxgRToDo2vgrYks,2021-02-23,,,-47,,-28,
MZ,Mozambique,Cabo Delgado Province,,,MZ-P,,ChIJFb8REtFrkxgRToDo2vgrYks,2021-02-24,,,,,-27,
MZ,Mozambique,Cabo Delgado Province,,,MZ-P,,ChIJFb8REtFrkxgRToDo2vgrYks,2021-02-25,,,-44,,-28,
MZ,Mozambique,Cabo Delgado Province,,,MZ-P,,ChIJFb8REtFrkxgRToDo2vgrYks,2021-02-26,,,-39,,-27,
MZ,Mozambique,Cabo Delgado Province,,,MZ-P,,ChIJFb8REtFrkxgRToDo2vgrYks,2021-02-27,,,-46,,-29,
MZ,Mozambique,Cabo Delgado Province,,,MZ-P,,ChIJFb8REtFrkxgRToDo2vgrYks,2021-02-28,,,-52,,-37,
MZ,Mozambique,Cabo Delgado Province,,,MZ-P,,ChIJFb8REtFrkxgRToDo2vgrYks,2021-03-01,,,,,-26,
MZ,Mozambique,Cabo Delgado Province,,,MZ-P,,ChIJFb8REtFrkxgRToDo2vgrYks,2021-03-02,,,-41,,-25,
MZ,Mozambique,Cabo Delgado Province,,,MZ-P,,ChIJFb8REtFrkxgRToDo2vgrYks,2021-03-03,,,,,-30,
MZ,Mozambique,Cabo Delgado Province,,,MZ-P,,ChIJFb8REtFrkxgRToDo2vgrYks,2021-03-04,,,-45,,-33,
MZ,Mozambique,Cabo Delgado Province,,,MZ-P,,ChIJFb8REtFrkxgRToDo2vgrYks,2021-03-05,,,-42,,-30,
MZ,Mozambique,Cabo Delgado Province,,,MZ-P,,ChIJFb8REtFrkxgRToDo2vgrYks,2021-03-06,,,-54,,-31,
MZ,Mozambique,Cabo Delgado Province,,,MZ-P,,ChIJFb8REtFrkxgRToDo2vgrYks,2021-03-07,,,-52,,-37,
MZ,Mozambique,Cabo Delgado Province,,,MZ-P,,ChIJFb8REtFrkxgRToDo2vgrYks,2021-03-08,,,,,-24,
MZ,Mozambique,Cabo Delgado Province,,,MZ-P,,ChIJFb8REtFrkxgRToDo2vgrYks,2021-03-09,,,-36,,-25,
MZ,Mozambique,Cabo Delgado Province,,,MZ-P,,ChIJFb8REtFrkxgRToDo2vgrYks,2021-03-10,,,,,-25,
MZ,Mozambique,Cabo Delgado Province,,,MZ-P,,ChIJFb8REtFrkxgRToDo2vgrYks,2021-03-11,,,-45,,-28,
MZ,Mozambique,Cabo Delgado Province,,,MZ-P,,ChIJFb8REtFrkxgRToDo2vgrYks,2021-03-12,,,-44,,-21,
MZ,Mozambique,Cabo Delgado Province,,,MZ-P,,ChIJFb8REtFrkxgRToDo2vgrYks,2021-03-13,,,-45,,-24,
MZ,Mozambique,Cabo Delgado Province,,,MZ-P,,ChIJFb8REtFrkxgRToDo2vgrYks,2021-03-14,,,-49,,-38,
MZ,Mozambique,Cabo Delgado Province,,,MZ-P,,ChIJFb8REtFrkxgRToDo2vgrYks,2021-03-15,,,,,-17,
MZ,Mozambique,Cabo Delgado Province,,,MZ-P,,ChIJFb8REtFrkxgRToDo2vgrYks,2021-03-16,,,-40,,-21,
MZ,Mozambique,Cabo Delgado Province,,,MZ-P,,ChIJFb8REtFrkxgRToDo2vgrYks,2021-03-17,,,,,-25,
MZ,Mozambique,Cabo Delgado Province,,,MZ-P,,ChIJFb8REtFrkxgRToDo2vgrYks,2021-03-18,,,-41,,-24,
MZ,Mozambique,Cabo Delgado Province,,,MZ-P,,ChIJFb8REtFrkxgRToDo2vgrYks,2021-03-19,,,-33,,-20,
