country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
NE,Niger,,,,,,ChIJXa-hxnrsmRER1CSOFQqSM8k,2021-01-01,8,29,12,16,-52,9
NE,Niger,,,,,,ChIJXa-hxnrsmRER1CSOFQqSM8k,2021-01-02,13,35,26,27,-24,3
NE,Niger,,,,,,ChIJXa-hxnrsmRER1CSOFQqSM8k,2021-01-03,10,-20,15,24,-18,2
NE,Niger,,,,,,ChIJXa-hxnrsmRER1CSOFQqSM8k,2021-01-04,16,-12,16,26,-16,-2
NE,Niger,,,,,,ChIJXa-hxnrsmRER1CSOFQqSM8k,2021-01-05,24,-7,25,29,-12,-2
NE,Niger,,,,,,ChIJXa-hxnrsmRER1CSOFQqSM8k,2021-01-06,20,-6,17,29,-8,0
NE,Niger,,,,,,ChIJXa-hxnrsmRER1CSOFQqSM8k,2021-01-07,24,50,21,23,-7,1
NE,Niger,,,,,,ChIJXa-hxnrsmRER1CSOFQqSM8k,2021-01-08,21,40,15,18,-8,0
NE,Niger,,,,,,ChIJXa-hxnrsmRER1CSOFQqSM8k,2021-01-09,20,34,6,19,-9,-2
NE,Niger,,,,,,ChIJXa-hxnrsmRER1CSOFQqSM8k,2021-01-10,23,-17,12,28,-10,-1
NE,Niger,,,,,,ChIJXa-hxnrsmRER1CSOFQqSM8k,2021-01-11,28,-9,15,29,-9,-2
NE,Niger,,,,,,ChIJXa-hxnrsmRER1CSOFQqSM8k,2021-01-12,20,-12,10,20,-8,-2
NE,Niger,,,,,,ChIJXa-hxnrsmRER1CSOFQqSM8k,2021-01-13,20,-12,7,24,-8,-2
NE,Niger,,,,,,ChIJXa-hxnrsmRER1CSOFQqSM8k,2021-01-14,17,38,8,14,-11,0
NE,Niger,,,,,,ChIJXa-hxnrsmRER1CSOFQqSM8k,2021-01-15,16,33,4,9,-12,1
NE,Niger,,,,,,ChIJXa-hxnrsmRER1CSOFQqSM8k,2021-01-16,13,25,5,9,-13,0
NE,Niger,,,,,,ChIJXa-hxnrsmRER1CSOFQqSM8k,2021-01-17,9,-24,7,12,-18,2
NE,Niger,,,,,,ChIJXa-hxnrsmRER1CSOFQqSM8k,2021-01-18,13,-18,15,10,-15,0
