country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
NL,Netherlands,,,,,,ChIJu-SH28MJxkcRnwq9_851obM,2021-01-01,-79,-77,5,-75,-83,24
NL,Netherlands,,,,,,ChIJu-SH28MJxkcRnwq9_851obM,2021-01-02,-65,-17,0,-59,-22,12
NL,Netherlands,,,,,,ChIJu-SH28MJxkcRnwq9_851obM,2021-01-03,-62,-19,3,-56,-12,8
NL,Netherlands,,,,,,ChIJu-SH28MJxkcRnwq9_851obM,2021-01-04,-52,-12,-23,-62,-41,16
NL,Netherlands,,,,,,ChIJu-SH28MJxkcRnwq9_851obM,2021-01-05,-52,-8,-8,-61,-41,16
NL,Netherlands,,,,,,ChIJu-SH28MJxkcRnwq9_851obM,2021-01-06,-53,-9,-2,-58,-37,15
NL,Netherlands,,,,,,ChIJu-SH28MJxkcRnwq9_851obM,2021-01-07,-58,-15,-32,-62,-39,17
NL,Netherlands,,,,,,ChIJu-SH28MJxkcRnwq9_851obM,2021-01-08,-55,-9,0,-57,-35,15
NL,Netherlands,,,,,,ChIJu-SH28MJxkcRnwq9_851obM,2021-01-09,-59,-9,19,-52,-12,10
NL,Netherlands,,,,,,ChIJu-SH28MJxkcRnwq9_851obM,2021-01-10,-60,-14,23,-52,-9,7
NL,Netherlands,,,,,,ChIJu-SH28MJxkcRnwq9_851obM,2021-01-11,-51,-13,-14,-59,-38,15
NL,Netherlands,,,,,,ChIJu-SH28MJxkcRnwq9_851obM,2021-01-12,-50,-7,8,-58,-38,15
NL,Netherlands,,,,,,ChIJu-SH28MJxkcRnwq9_851obM,2021-01-13,-53,-11,7,-56,-35,13
NL,Netherlands,,,,,,ChIJu-SH28MJxkcRnwq9_851obM,2021-01-14,-56,-13,-11,-60,-38,15
NL,Netherlands,,,,,,ChIJu-SH28MJxkcRnwq9_851obM,2021-01-15,-56,-12,-7,-57,-36,14
NL,Netherlands,,,,,,ChIJu-SH28MJxkcRnwq9_851obM,2021-01-16,-63,-14,-8,-57,-15,10
NL,Netherlands,,,,,,ChIJu-SH28MJxkcRnwq9_851obM,2021-01-17,-63,-20,4,-55,-13,7
NL,Netherlands,,,,,,ChIJu-SH28MJxkcRnwq9_851obM,2021-01-18,-52,-16,-7,-58,-39,14
NL,Netherlands,,,,,,ChIJu-SH28MJxkcRnwq9_851obM,2021-01-19,-55,-17,-23,-60,-39,15
NL,Netherlands,,,,,,ChIJu-SH28MJxkcRnwq9_851obM,2021-01-20,-52,-10,0,-56,-36,13
NL,Netherlands,,,,,,ChIJu-SH28MJxkcRnwq9_851obM,2021-01-21,-56,-13,-13,-59,-38,15
NL,Netherlands,,,,,,ChIJu-SH28MJxkcRnwq9_851obM,2021-01-22,-53,-7,14,-54,-34,14
NL,Netherlands,,,,,,ChIJu-SH28MJxkcRnwq9_851obM,2021-01-23,-60,-10,6,-56,-14,11
NL,Netherlands,,,,,,ChIJu-SH28MJxkcRnwq9_851obM,2021-01-24,-59,-15,42,-52,-13,7
NL,Netherlands,,,,,,ChIJu-SH28MJxkcRnwq9_851obM,2021-01-25,-50,-13,14,-57,-38,14
NL,Netherlands,,,,,,ChIJu-SH28MJxkcRnwq9_851obM,2021-01-26,-51,-8,15,-58,-38,15
NL,Netherlands,,,,,,ChIJu-SH28MJxkcRnwq9_851obM,2021-01-27,-54,-13,-9,-58,-35,14
NL,Netherlands,,,,,,ChIJu-SH28MJxkcRnwq9_851obM,2021-01-28,-58,-16,-33,-61,-38,16
NL,Netherlands,,,,,,ChIJu-SH28MJxkcRnwq9_851obM,2021-01-29,-55,-10,-11,-57,-34,15
NL,Netherlands,,,,,,ChIJu-SH28MJxkcRnwq9_851obM,2021-01-30,-59,-9,-4,-57,-12,11
NL,Netherlands,,,,,,ChIJu-SH28MJxkcRnwq9_851obM,2021-01-31,-56,-13,53,-49,-10,6
NL,Netherlands,,,,,,ChIJu-SH28MJxkcRnwq9_851obM,2021-02-01,-51,-15,-11,-58,-39,14
NL,Netherlands,,,,,,ChIJu-SH28MJxkcRnwq9_851obM,2021-02-02,-53,-10,-13,-59,-38,15
NL,Netherlands,,,,,,ChIJu-SH28MJxkcRnwq9_851obM,2021-02-03,-55,-15,-21,-58,-35,14
NL,Netherlands,,,,,,ChIJu-SH28MJxkcRnwq9_851obM,2021-02-04,-51,-5,15,-57,-36,14
NL,Netherlands,,,,,,ChIJu-SH28MJxkcRnwq9_851obM,2021-02-05,-50,0,7,-55,-32,14
NL,Netherlands,,,,,,ChIJu-SH28MJxkcRnwq9_851obM,2021-02-06,-58,-2,-16,-56,-9,10
NL,Netherlands,,,,,,ChIJu-SH28MJxkcRnwq9_851obM,2021-02-07,-74,-36,10,-67,-31,11
NL,Netherlands,,,,,,ChIJu-SH28MJxkcRnwq9_851obM,2021-02-08,-60,-26,-7,-67,-55,20
NL,Netherlands,,,,,,ChIJu-SH28MJxkcRnwq9_851obM,2021-02-09,-53,-7,26,-59,-46,17
NL,Netherlands,,,,,,ChIJu-SH28MJxkcRnwq9_851obM,2021-02-10,-52,-7,22,-55,-37,15
NL,Netherlands,,,,,,ChIJu-SH28MJxkcRnwq9_851obM,2021-02-11,-52,-6,35,-55,-38,16
NL,Netherlands,,,,,,ChIJu-SH28MJxkcRnwq9_851obM,2021-02-12,-51,-5,56,-51,-35,14
NL,Netherlands,,,,,,ChIJu-SH28MJxkcRnwq9_851obM,2021-02-13,-54,-4,110,-47,-12,9
NL,Netherlands,,,,,,ChIJu-SH28MJxkcRnwq9_851obM,2021-02-14,-52,-11,120,-43,-7,6
NL,Netherlands,,,,,,ChIJu-SH28MJxkcRnwq9_851obM,2021-02-15,-56,-22,-34,-61,-48,18
NL,Netherlands,,,,,,ChIJu-SH28MJxkcRnwq9_851obM,2021-02-16,-46,2,8,-55,-38,14
NL,Netherlands,,,,,,ChIJu-SH28MJxkcRnwq9_851obM,2021-02-17,-47,-2,12,-53,-34,13
NL,Netherlands,,,,,,ChIJu-SH28MJxkcRnwq9_851obM,2021-02-18,-51,-6,-10,-56,-36,15
NL,Netherlands,,,,,,ChIJu-SH28MJxkcRnwq9_851obM,2021-02-19,-47,0,29,-51,-33,13
NL,Netherlands,,,,,,ChIJu-SH28MJxkcRnwq9_851obM,2021-02-20,-49,-2,71,-42,-7,8
NL,Netherlands,,,,,,ChIJu-SH28MJxkcRnwq9_851obM,2021-02-21,-39,-3,134,-31,-3,3
NL,Netherlands,,,,,,ChIJu-SH28MJxkcRnwq9_851obM,2021-02-22,-38,-2,64,-51,-40,12
NL,Netherlands,,,,,,ChIJu-SH28MJxkcRnwq9_851obM,2021-02-23,-36,6,88,-51,-39,12
NL,Netherlands,,,,,,ChIJu-SH28MJxkcRnwq9_851obM,2021-02-24,-35,2,120,-45,-36,10
NL,Netherlands,,,,,,ChIJu-SH28MJxkcRnwq9_851obM,2021-02-25,-42,2,57,-52,-38,13
NL,Netherlands,,,,,,ChIJu-SH28MJxkcRnwq9_851obM,2021-02-26,-43,1,61,-49,-35,12
NL,Netherlands,,,,,,ChIJu-SH28MJxkcRnwq9_851obM,2021-02-27,-49,-1,51,-44,-4,8
NL,Netherlands,,,,,,ChIJu-SH28MJxkcRnwq9_851obM,2021-02-28,-45,-3,79,-38,-1,4
