country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
PA,Panama,,,,,,ChIJ4yu-yIMVpo8Rz5ulH03g7nk,2021-01-01,-96,-95,-87,-91,-90,54
PA,Panama,,,,,,ChIJ4yu-yIMVpo8Rz5ulH03g7nk,2021-01-02,-95,-92,-88,-87,-78,43
PA,Panama,,,,,,ChIJ4yu-yIMVpo8Rz5ulH03g7nk,2021-01-03,-94,-94,-88,-85,-66,35
PA,Panama,,,,,,ChIJ4yu-yIMVpo8Rz5ulH03g7nk,2021-01-04,-59,-31,-61,-60,-49,26
PA,Panama,,,,,,ChIJ4yu-yIMVpo8Rz5ulH03g7nk,2021-01-05,-58,-27,-61,-58,-51,27
PA,Panama,,,,,,ChIJ4yu-yIMVpo8Rz5ulH03g7nk,2021-01-06,-58,-30,-61,-58,-48,28
PA,Panama,,,,,,ChIJ4yu-yIMVpo8Rz5ulH03g7nk,2021-01-07,-57,-27,-62,-58,-49,28
PA,Panama,,,,,,ChIJ4yu-yIMVpo8Rz5ulH03g7nk,2021-01-08,-55,-16,-61,-55,-47,27
PA,Panama,,,,,,ChIJ4yu-yIMVpo8Rz5ulH03g7nk,2021-01-09,-94,-93,-88,-87,-80,43
PA,Panama,,,,,,ChIJ4yu-yIMVpo8Rz5ulH03g7nk,2021-01-10,-94,-94,-89,-86,-65,34
PA,Panama,,,,,,ChIJ4yu-yIMVpo8Rz5ulH03g7nk,2021-01-11,-55,-27,-62,-56,-46,24
PA,Panama,,,,,,ChIJ4yu-yIMVpo8Rz5ulH03g7nk,2021-01-12,-57,-27,-63,-58,-49,24
PA,Panama,,,,,,ChIJ4yu-yIMVpo8Rz5ulH03g7nk,2021-01-13,-59,-34,-64,-59,-49,24
PA,Panama,,,,,,ChIJ4yu-yIMVpo8Rz5ulH03g7nk,2021-01-14,-53,-25,-59,-55,-46,21
PA,Panama,,,,,,ChIJ4yu-yIMVpo8Rz5ulH03g7nk,2021-01-15,-46,-10,-53,-45,-42,16
PA,Panama,,,,,,ChIJ4yu-yIMVpo8Rz5ulH03g7nk,2021-01-16,-86,-82,-83,-82,-68,35
PA,Panama,,,,,,ChIJ4yu-yIMVpo8Rz5ulH03g7nk,2021-01-17,-89,-87,-84,-83,-61,30
PA,Panama,,,,,,ChIJ4yu-yIMVpo8Rz5ulH03g7nk,2021-01-18,-45,-20,-50,-44,-40,15
PA,Panama,,,,,,ChIJ4yu-yIMVpo8Rz5ulH03g7nk,2021-01-19,-48,-23,-53,-47,-43,17
PA,Panama,,,,,,ChIJ4yu-yIMVpo8Rz5ulH03g7nk,2021-01-20,-49,-25,-52,-46,-40,17
PA,Panama,,,,,,ChIJ4yu-yIMVpo8Rz5ulH03g7nk,2021-01-21,-49,-23,-54,-48,-41,18
PA,Panama,,,,,,ChIJ4yu-yIMVpo8Rz5ulH03g7nk,2021-01-22,-44,-11,-50,-41,-37,15
PA,Panama,,,,,,ChIJ4yu-yIMVpo8Rz5ulH03g7nk,2021-01-23,-86,-82,-82,-82,-67,35
PA,Panama,,,,,,ChIJ4yu-yIMVpo8Rz5ulH03g7nk,2021-01-24,-89,-88,-83,-83,-59,30
PA,Panama,,,,,,ChIJ4yu-yIMVpo8Rz5ulH03g7nk,2021-01-25,-44,-20,-49,-42,-37,14
PA,Panama,,,,,,ChIJ4yu-yIMVpo8Rz5ulH03g7nk,2021-01-26,-47,-24,-52,-47,-40,16
PA,Panama,,,,,,ChIJ4yu-yIMVpo8Rz5ulH03g7nk,2021-01-27,-47,-24,-50,-45,-37,17
PA,Panama,,,,,,ChIJ4yu-yIMVpo8Rz5ulH03g7nk,2021-01-28,-46,-20,-52,-46,-38,16
PA,Panama,,,,,,ChIJ4yu-yIMVpo8Rz5ulH03g7nk,2021-01-29,-38,-1,-44,-35,-34,11
PA,Panama,,,,,,ChIJ4yu-yIMVpo8Rz5ulH03g7nk,2021-01-30,-85,-79,-80,-80,-65,32
PA,Panama,,,,,,ChIJ4yu-yIMVpo8Rz5ulH03g7nk,2021-01-31,-87,-86,-82,-82,-58,28
PA,Panama,,,,,,ChIJ4yu-yIMVpo8Rz5ulH03g7nk,2021-02-01,-35,-11,-42,-35,-33,8
PA,Panama,,,,,,ChIJ4yu-yIMVpo8Rz5ulH03g7nk,2021-02-02,-40,-16,-48,-41,-36,11
PA,Panama,,,,,,ChIJ4yu-yIMVpo8Rz5ulH03g7nk,2021-02-03,-42,-21,-48,-42,-33,13
PA,Panama,,,,,,ChIJ4yu-yIMVpo8Rz5ulH03g7nk,2021-02-04,-43,-19,-48,-44,-34,14
PA,Panama,,,,,,ChIJ4yu-yIMVpo8Rz5ulH03g7nk,2021-02-05,-36,-1,-43,-35,-31,10
PA,Panama,,,,,,ChIJ4yu-yIMVpo8Rz5ulH03g7nk,2021-02-06,-85,-80,-79,-81,-65,33
PA,Panama,,,,,,ChIJ4yu-yIMVpo8Rz5ulH03g7nk,2021-02-07,-88,-86,-81,-83,-58,29
PA,Panama,,,,,,ChIJ4yu-yIMVpo8Rz5ulH03g7nk,2021-02-08,-33,-9,-44,-37,-31,9
PA,Panama,,,,,,ChIJ4yu-yIMVpo8Rz5ulH03g7nk,2021-02-09,-37,-14,-47,-41,-33,12
