country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
PE,Peru,,,,,,ChIJ9RRZwFDIBZERSAYheRIBnvI,2021-01-01,-75,-67,-55,-76,-76,32
PE,Peru,,,,,,ChIJ9RRZwFDIBZERSAYheRIBnvI,2021-01-02,-36,-16,-29,-39,-24,14
PE,Peru,,,,,,ChIJ9RRZwFDIBZERSAYheRIBnvI,2021-01-03,-42,-25,-34,-38,-11,13
PE,Peru,,,,,,ChIJ9RRZwFDIBZERSAYheRIBnvI,2021-01-04,-31,-12,-24,-36,-28,15
PE,Peru,,,,,,ChIJ9RRZwFDIBZERSAYheRIBnvI,2021-01-05,-31,-11,-25,-37,-29,15
PE,Peru,,,,,,ChIJ9RRZwFDIBZERSAYheRIBnvI,2021-01-06,-32,-13,-27,-38,-28,16
PE,Peru,,,,,,ChIJ9RRZwFDIBZERSAYheRIBnvI,2021-01-07,-34,-13,-28,-38,-28,16
PE,Peru,,,,,,ChIJ9RRZwFDIBZERSAYheRIBnvI,2021-01-08,-34,-14,-29,-38,-27,16
PE,Peru,,,,,,ChIJ9RRZwFDIBZERSAYheRIBnvI,2021-01-09,-30,-11,-27,-31,-12,11
PE,Peru,,,,,,ChIJ9RRZwFDIBZERSAYheRIBnvI,2021-01-10,-39,-22,-34,-39,-9,12
PE,Peru,,,,,,ChIJ9RRZwFDIBZERSAYheRIBnvI,2021-01-11,-32,-14,-27,-37,-28,15
PE,Peru,,,,,,ChIJ9RRZwFDIBZERSAYheRIBnvI,2021-01-12,-33,-15,-29,-38,-30,15
PE,Peru,,,,,,ChIJ9RRZwFDIBZERSAYheRIBnvI,2021-01-13,-36,-20,-33,-42,-31,13
PE,Peru,,,,,,ChIJ9RRZwFDIBZERSAYheRIBnvI,2021-01-14,-38,-21,-36,-43,-34,13
PE,Peru,,,,,,ChIJ9RRZwFDIBZERSAYheRIBnvI,2021-01-15,-43,-25,-39,-45,-35,15
PE,Peru,,,,,,ChIJ9RRZwFDIBZERSAYheRIBnvI,2021-01-16,-38,-19,-36,-38,-22,10
PE,Peru,,,,,,ChIJ9RRZwFDIBZERSAYheRIBnvI,2021-01-17,-65,-51,-60,-64,-36,20
PE,Peru,,,,,,ChIJ9RRZwFDIBZERSAYheRIBnvI,2021-01-18,-39,-22,-35,-41,-35,14
PE,Peru,,,,,,ChIJ9RRZwFDIBZERSAYheRIBnvI,2021-01-19,-39,-22,-35,-43,-36,15
PE,Peru,,,,,,ChIJ9RRZwFDIBZERSAYheRIBnvI,2021-01-20,-40,-23,-37,-44,-35,16
PE,Peru,,,,,,ChIJ9RRZwFDIBZERSAYheRIBnvI,2021-01-21,-41,-23,-37,-43,-35,16
PE,Peru,,,,,,ChIJ9RRZwFDIBZERSAYheRIBnvI,2021-01-22,-41,-22,-36,-43,-33,16
PE,Peru,,,,,,ChIJ9RRZwFDIBZERSAYheRIBnvI,2021-01-23,-37,-17,-34,-36,-20,11
PE,Peru,,,,,,ChIJ9RRZwFDIBZERSAYheRIBnvI,2021-01-24,-63,-46,-57,-61,-33,20
PE,Peru,,,,,,ChIJ9RRZwFDIBZERSAYheRIBnvI,2021-01-25,-38,-20,-34,-41,-34,15
PE,Peru,,,,,,ChIJ9RRZwFDIBZERSAYheRIBnvI,2021-01-26,-39,-21,-35,-42,-35,16
PE,Peru,,,,,,ChIJ9RRZwFDIBZERSAYheRIBnvI,2021-01-27,-36,-15,-33,-39,-33,15
PE,Peru,,,,,,ChIJ9RRZwFDIBZERSAYheRIBnvI,2021-01-28,-35,-13,-30,-34,-33,14
PE,Peru,,,,,,ChIJ9RRZwFDIBZERSAYheRIBnvI,2021-01-29,-34,-9,-28,-32,-31,14
PE,Peru,,,,,,ChIJ9RRZwFDIBZERSAYheRIBnvI,2021-01-30,-29,-2,-25,-23,-16,8
PE,Peru,,,,,,ChIJ9RRZwFDIBZERSAYheRIBnvI,2021-01-31,-75,-57,-68,-72,-42,24
PE,Peru,,,,,,ChIJ9RRZwFDIBZERSAYheRIBnvI,2021-02-01,-56,-31,-47,-59,-44,23
PE,Peru,,,,,,ChIJ9RRZwFDIBZERSAYheRIBnvI,2021-02-02,-55,-30,-46,-58,-45,23
PE,Peru,,,,,,ChIJ9RRZwFDIBZERSAYheRIBnvI,2021-02-03,-56,-31,-48,-60,-44,23
PE,Peru,,,,,,ChIJ9RRZwFDIBZERSAYheRIBnvI,2021-02-04,-56,-30,-48,-59,-44,23
PE,Peru,,,,,,ChIJ9RRZwFDIBZERSAYheRIBnvI,2021-02-05,-56,-29,-48,-59,-42,23
PE,Peru,,,,,,ChIJ9RRZwFDIBZERSAYheRIBnvI,2021-02-06,-56,-27,-48,-55,-30,19
PE,Peru,,,,,,ChIJ9RRZwFDIBZERSAYheRIBnvI,2021-02-07,-74,-55,-66,-74,-40,24
PE,Peru,,,,,,ChIJ9RRZwFDIBZERSAYheRIBnvI,2021-02-08,-53,-28,-44,-55,-42,21
PE,Peru,,,,,,ChIJ9RRZwFDIBZERSAYheRIBnvI,2021-02-09,-53,-27,-45,-56,-43,21
PE,Peru,,,,,,ChIJ9RRZwFDIBZERSAYheRIBnvI,2021-02-10,-53,-29,-46,-56,-42,22
PE,Peru,,,,,,ChIJ9RRZwFDIBZERSAYheRIBnvI,2021-02-11,-54,-27,-46,-56,-42,22
PE,Peru,,,,,,ChIJ9RRZwFDIBZERSAYheRIBnvI,2021-02-12,-53,-24,-45,-56,-40,22
PE,Peru,,,,,,ChIJ9RRZwFDIBZERSAYheRIBnvI,2021-02-13,-49,-17,-42,-50,-27,16
PE,Peru,,,,,,ChIJ9RRZwFDIBZERSAYheRIBnvI,2021-02-14,-66,-43,-59,-68,-34,21
PE,Peru,,,,,,ChIJ9RRZwFDIBZERSAYheRIBnvI,2021-02-15,-53,-27,-45,-56,-42,21
PE,Peru,,,,,,ChIJ9RRZwFDIBZERSAYheRIBnvI,2021-02-16,-53,-25,-45,-56,-42,21
PE,Peru,,,,,,ChIJ9RRZwFDIBZERSAYheRIBnvI,2021-02-17,-53,-26,-46,-56,-41,22
PE,Peru,,,,,,ChIJ9RRZwFDIBZERSAYheRIBnvI,2021-02-18,-53,-25,-45,-55,-41,21
PE,Peru,,,,,,ChIJ9RRZwFDIBZERSAYheRIBnvI,2021-02-19,-53,-24,-45,-55,-39,22
PE,Peru,,,,,,ChIJ9RRZwFDIBZERSAYheRIBnvI,2021-02-20,-51,-20,-43,-50,-26,17
PE,Peru,,,,,,ChIJ9RRZwFDIBZERSAYheRIBnvI,2021-02-21,-70,-46,-61,-69,-35,22
PE,Peru,,,,,,ChIJ9RRZwFDIBZERSAYheRIBnvI,2021-02-22,-51,-24,-42,-53,-39,20
PE,Peru,,,,,,ChIJ9RRZwFDIBZERSAYheRIBnvI,2021-02-23,-51,-23,-42,-53,-40,20
PE,Peru,,,,,,ChIJ9RRZwFDIBZERSAYheRIBnvI,2021-02-24,-50,-24,-43,-54,-39,21
PE,Peru,,,,,,ChIJ9RRZwFDIBZERSAYheRIBnvI,2021-02-25,-51,-22,-43,-53,-39,21
PE,Peru,,,,,,ChIJ9RRZwFDIBZERSAYheRIBnvI,2021-02-26,-51,-21,-42,-53,-37,21
PE,Peru,,,,,,ChIJ9RRZwFDIBZERSAYheRIBnvI,2021-02-27,-47,-14,-40,-47,-23,15
PE,Peru,,,,,,ChIJ9RRZwFDIBZERSAYheRIBnvI,2021-02-28,-66,-41,-58,-66,-32,20
PE,Peru,,,,,,ChIJ9RRZwFDIBZERSAYheRIBnvI,2021-03-01,-36,-14,-34,-43,-34,16
PE,Peru,,,,,,ChIJ9RRZwFDIBZERSAYheRIBnvI,2021-03-02,-37,-14,-35,-44,-35,16
PE,Peru,,,,,,ChIJ9RRZwFDIBZERSAYheRIBnvI,2021-03-03,-38,-16,-36,-45,-34,17
PE,Peru,,,,,,ChIJ9RRZwFDIBZERSAYheRIBnvI,2021-03-04,-40,-16,-36,-45,-35,17
PE,Peru,,,,,,ChIJ9RRZwFDIBZERSAYheRIBnvI,2021-03-05,-40,-14,-36,-44,-33,17
PE,Peru,,,,,,ChIJ9RRZwFDIBZERSAYheRIBnvI,2021-03-06,-33,-5,-29,-35,-18,10
PE,Peru,,,,,,ChIJ9RRZwFDIBZERSAYheRIBnvI,2021-03-07,-79,-76,-72,-79,-51,25
PE,Peru,,,,,,ChIJ9RRZwFDIBZERSAYheRIBnvI,2021-03-08,-32,-10,-30,-41,-33,15
PE,Peru,,,,,,ChIJ9RRZwFDIBZERSAYheRIBnvI,2021-03-09,-38,-15,-35,-43,-35,17
PE,Peru,,,,,,ChIJ9RRZwFDIBZERSAYheRIBnvI,2021-03-10,-38,-16,-35,-44,-34,17
PE,Peru,,,,,,ChIJ9RRZwFDIBZERSAYheRIBnvI,2021-03-11,-40,-16,-35,-44,-34,17
PE,Peru,,,,,,ChIJ9RRZwFDIBZERSAYheRIBnvI,2021-03-12,-40,-15,-35,-44,-32,17
PE,Peru,,,,,,ChIJ9RRZwFDIBZERSAYheRIBnvI,2021-03-13,-32,-4,-28,-33,-17,10
PE,Peru,,,,,,ChIJ9RRZwFDIBZERSAYheRIBnvI,2021-03-14,-77,-73,-68,-76,-48,24
PE,Peru,,,,,,ChIJ9RRZwFDIBZERSAYheRIBnvI,2021-03-15,-35,-9,-32,-42,-32,15
PE,Peru,,,,,,ChIJ9RRZwFDIBZERSAYheRIBnvI,2021-03-16,-39,-15,-36,-47,-34,17
PE,Peru,,,,,,ChIJ9RRZwFDIBZERSAYheRIBnvI,2021-03-17,-40,-17,-37,-49,-33,18
PE,Peru,,,,,,ChIJ9RRZwFDIBZERSAYheRIBnvI,2021-03-18,-41,-17,-38,-50,-33,19
PE,Peru,,,,,,ChIJ9RRZwFDIBZERSAYheRIBnvI,2021-03-19,-41,-16,-36,-49,-31,18
PE,Peru,,,,,,ChIJ9RRZwFDIBZERSAYheRIBnvI,2021-03-20,-32,-6,-28,-36,-15,11
PE,Peru,,,,,,ChIJ9RRZwFDIBZERSAYheRIBnvI,2021-03-21,-61,-43,-54,-58,-29,19
PE,Peru,Amazonas,,,PE-AMA,,ChIJm2ixsmj6tZERTLSQe7l8TCc,2021-01-01,-55,,-47,-70,-55,
PE,Peru,Amazonas,,,PE-AMA,,ChIJm2ixsmj6tZERTLSQe7l8TCc,2021-01-02,-31,,-13,-27,-12,
PE,Peru,Amazonas,,,PE-AMA,,ChIJm2ixsmj6tZERTLSQe7l8TCc,2021-01-03,-32,,-20,-21,-10,
PE,Peru,Amazonas,,,PE-AMA,,ChIJm2ixsmj6tZERTLSQe7l8TCc,2021-01-04,-25,,-8,-10,-6,16
PE,Peru,Amazonas,,,PE-AMA,,ChIJm2ixsmj6tZERTLSQe7l8TCc,2021-01-05,-20,,-11,-16,-5,16
PE,Peru,Amazonas,,,PE-AMA,,ChIJm2ixsmj6tZERTLSQe7l8TCc,2021-01-06,-17,,-10,-25,-5,17
PE,Peru,Amazonas,,,PE-AMA,,ChIJm2ixsmj6tZERTLSQe7l8TCc,2021-01-07,-21,,-15,-27,-8,18
PE,Peru,Amazonas,,,PE-AMA,,ChIJm2ixsmj6tZERTLSQe7l8TCc,2021-01-08,-21,,-16,-26,-7,17
PE,Peru,Amazonas,,,PE-AMA,,ChIJm2ixsmj6tZERTLSQe7l8TCc,2021-01-09,-20,,-17,-27,-4,
PE,Peru,Amazonas,,,PE-AMA,,ChIJm2ixsmj6tZERTLSQe7l8TCc,2021-01-10,-19,,-20,-28,-6,
PE,Peru,Amazonas,,,PE-AMA,,ChIJm2ixsmj6tZERTLSQe7l8TCc,2021-01-11,-17,,-15,-21,-3,16
PE,Peru,Amazonas,,,PE-AMA,,ChIJm2ixsmj6tZERTLSQe7l8TCc,2021-01-12,-20,,-20,-26,-7,16
PE,Peru,Amazonas,,,PE-AMA,,ChIJm2ixsmj6tZERTLSQe7l8TCc,2021-01-13,-23,,-23,-37,-9,14
PE,Peru,Amazonas,,,PE-AMA,,ChIJm2ixsmj6tZERTLSQe7l8TCc,2021-01-14,-21,,-26,-31,-14,15
PE,Peru,Amazonas,,,PE-AMA,,ChIJm2ixsmj6tZERTLSQe7l8TCc,2021-01-15,-27,,-27,-36,-16,15
PE,Peru,Amazonas,,,PE-AMA,,ChIJm2ixsmj6tZERTLSQe7l8TCc,2021-01-16,-27,,-21,-40,-9,
PE,Peru,Amazonas,,,PE-AMA,,ChIJm2ixsmj6tZERTLSQe7l8TCc,2021-01-17,-33,,-33,-48,-19,
PE,Peru,Amazonas,,,PE-AMA,,ChIJm2ixsmj6tZERTLSQe7l8TCc,2021-01-18,-23,,-25,-30,-14,16
PE,Peru,Amazonas,,,PE-AMA,,ChIJm2ixsmj6tZERTLSQe7l8TCc,2021-01-19,-28,,-28,-36,-15,17
PE,Peru,Amazonas,,,PE-AMA,,ChIJm2ixsmj6tZERTLSQe7l8TCc,2021-01-20,-24,,-24,-37,-15,15
PE,Peru,Amazonas,,,PE-AMA,,ChIJm2ixsmj6tZERTLSQe7l8TCc,2021-01-21,-24,,-27,-40,-15,18
PE,Peru,Amazonas,,,PE-AMA,,ChIJm2ixsmj6tZERTLSQe7l8TCc,2021-01-22,-28,,-26,-37,-12,17
PE,Peru,Amazonas,,,PE-AMA,,ChIJm2ixsmj6tZERTLSQe7l8TCc,2021-01-23,-30,,-23,-41,-13,
PE,Peru,Amazonas,,,PE-AMA,,ChIJm2ixsmj6tZERTLSQe7l8TCc,2021-01-24,-32,,-31,-48,-22,
PE,Peru,Amazonas,,,PE-AMA,,ChIJm2ixsmj6tZERTLSQe7l8TCc,2021-01-25,-26,,-23,-31,-13,17
PE,Peru,Amazonas,,,PE-AMA,,ChIJm2ixsmj6tZERTLSQe7l8TCc,2021-01-26,-26,,-25,-35,-16,15
PE,Peru,Amazonas,,,PE-AMA,,ChIJm2ixsmj6tZERTLSQe7l8TCc,2021-01-27,-27,,-24,-33,-15,17
PE,Peru,Amazonas,,,PE-AMA,,ChIJm2ixsmj6tZERTLSQe7l8TCc,2021-01-28,-24,,-19,-26,-12,15
PE,Peru,Amazonas,,,PE-AMA,,ChIJm2ixsmj6tZERTLSQe7l8TCc,2021-01-29,-31,,-21,-27,-12,15
PE,Peru,Amazonas,,,PE-AMA,,ChIJm2ixsmj6tZERTLSQe7l8TCc,2021-01-30,-31,,-18,-27,-7,
PE,Peru,Amazonas,,,PE-AMA,,ChIJm2ixsmj6tZERTLSQe7l8TCc,2021-01-31,-49,,-42,-49,-28,
PE,Peru,Amazonas,,,PE-AMA,,ChIJm2ixsmj6tZERTLSQe7l8TCc,2021-02-01,-41,,-29,-38,-14,15
PE,Peru,Amazonas,,,PE-AMA,,ChIJm2ixsmj6tZERTLSQe7l8TCc,2021-02-02,-38,,-28,-31,-18,19
PE,Peru,Amazonas,,,PE-AMA,,ChIJm2ixsmj6tZERTLSQe7l8TCc,2021-02-03,-39,,-31,-45,-19,19
PE,Peru,Amazonas,,,PE-AMA,,ChIJm2ixsmj6tZERTLSQe7l8TCc,2021-02-04,-40,,-33,-44,-20,20
PE,Peru,Amazonas,,,PE-AMA,,ChIJm2ixsmj6tZERTLSQe7l8TCc,2021-02-05,-42,,-32,-51,-17,17
