country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
PG,Papua New Guinea,,,,,,ChIJr54Ov6_oWWgRehKcjg3l8No,2021-01-01,-43,-40,-22,-36,-74,23
PG,Papua New Guinea,,,,,,ChIJr54Ov6_oWWgRehKcjg3l8No,2021-01-02,-1,14,-18,-6,-27,10
PG,Papua New Guinea,,,,,,ChIJr54Ov6_oWWgRehKcjg3l8No,2021-01-03,8,18,-16,1,-19,8
PG,Papua New Guinea,,,,,,ChIJr54Ov6_oWWgRehKcjg3l8No,2021-01-04,24,35,-11,18,-5,6
PG,Papua New Guinea,,,,,,ChIJr54Ov6_oWWgRehKcjg3l8No,2021-01-05,20,36,-17,24,-5,5
PG,Papua New Guinea,,,,,,ChIJr54Ov6_oWWgRehKcjg3l8No,2021-01-06,14,33,-16,12,2,8
PG,Papua New Guinea,,,,,,ChIJr54Ov6_oWWgRehKcjg3l8No,2021-01-07,19,36,-14,17,2,5
PG,Papua New Guinea,,,,,,ChIJr54Ov6_oWWgRehKcjg3l8No,2021-01-08,-21,8,-17,2,-55,18
PG,Papua New Guinea,,,,,,ChIJr54Ov6_oWWgRehKcjg3l8No,2021-01-09,8,25,-16,4,-7,6
PG,Papua New Guinea,,,,,,ChIJr54Ov6_oWWgRehKcjg3l8No,2021-01-10,10,27,-9,4,-14,4
PG,Papua New Guinea,,,,,,ChIJr54Ov6_oWWgRehKcjg3l8No,2021-01-11,23,36,-7,23,7,4
PG,Papua New Guinea,,,,,,ChIJr54Ov6_oWWgRehKcjg3l8No,2021-01-12,21,40,-9,21,4,3
PG,Papua New Guinea,,,,,,ChIJr54Ov6_oWWgRehKcjg3l8No,2021-01-13,18,40,-14,18,7,3
PG,Papua New Guinea,,,,,,ChIJr54Ov6_oWWgRehKcjg3l8No,2021-01-14,11,26,-17,13,-3,2
