country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
PY,Paraguay,,,,,,ChIJYz3xkDQIXJQR8y5YHWH_-rM,2021-01-01,-58,-61,-19,-65,-77,20
PY,Paraguay,,,,,,ChIJYz3xkDQIXJQR8y5YHWH_-rM,2021-01-02,-36,-16,-24,-37,-37,11
PY,Paraguay,,,,,,ChIJYz3xkDQIXJQR8y5YHWH_-rM,2021-01-03,-31,-13,-24,-22,-10,6
PY,Paraguay,,,,,,ChIJYz3xkDQIXJQR8y5YHWH_-rM,2021-01-04,-19,6,-24,-24,-15,9
PY,Paraguay,,,,,,ChIJYz3xkDQIXJQR8y5YHWH_-rM,2021-01-05,-14,13,-28,-25,-16,9
PY,Paraguay,,,,,,ChIJYz3xkDQIXJQR8y5YHWH_-rM,2021-01-06,-22,-4,-32,-32,-14,11
PY,Paraguay,,,,,,ChIJYz3xkDQIXJQR8y5YHWH_-rM,2021-01-07,-21,-4,-28,-32,-13,11
PY,Paraguay,,,,,,ChIJYz3xkDQIXJQR8y5YHWH_-rM,2021-01-08,-22,-4,-29,-33,-12,9
PY,Paraguay,,,,,,ChIJYz3xkDQIXJQR8y5YHWH_-rM,2021-01-09,-28,-8,-41,-37,-12,10
PY,Paraguay,,,,,,ChIJYz3xkDQIXJQR8y5YHWH_-rM,2021-01-10,-29,-10,-34,-37,-9,9
PY,Paraguay,,,,,,ChIJYz3xkDQIXJQR8y5YHWH_-rM,2021-01-11,-18,-5,-21,-30,-13,7
PY,Paraguay,,,,,,ChIJYz3xkDQIXJQR8y5YHWH_-rM,2021-01-12,-25,-9,-37,-34,-16,9
PY,Paraguay,,,,,,ChIJYz3xkDQIXJQR8y5YHWH_-rM,2021-01-13,-25,-14,-30,-37,-16,7
PY,Paraguay,,,,,,ChIJYz3xkDQIXJQR8y5YHWH_-rM,2021-01-14,-26,-16,-30,-38,-18,6
PY,Paraguay,,,,,,ChIJYz3xkDQIXJQR8y5YHWH_-rM,2021-01-15,-28,-16,-35,-40,-20,6
PY,Paraguay,,,,,,ChIJYz3xkDQIXJQR8y5YHWH_-rM,2021-01-16,-31,-17,-40,-42,-21,7
PY,Paraguay,,,,,,ChIJYz3xkDQIXJQR8y5YHWH_-rM,2021-01-17,-43,-25,-54,-51,-23,11
