country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
RE,Réunion,,,,,,ChIJO-S4EIF3eCER-erb7ImOf0o,2021-01-01,-40,-76,57,-3,-65,
RE,Réunion,,,,,,ChIJO-S4EIF3eCER-erb7ImOf0o,2021-01-02,47,38,81,18,-24,
RE,Réunion,,,,,,ChIJO-S4EIF3eCER-erb7ImOf0o,2021-01-03,51,,108,34,-23,
RE,Réunion,,,,,,ChIJO-S4EIF3eCER-erb7ImOf0o,2021-01-04,73,50,86,37,-28,
RE,Réunion,,,,,,ChIJO-S4EIF3eCER-erb7ImOf0o,2021-01-05,67,43,101,52,-29,
RE,Réunion,,,,,,ChIJO-S4EIF3eCER-erb7ImOf0o,2021-01-06,73,59,107,40,-27,
RE,Réunion,,,,,,ChIJO-S4EIF3eCER-erb7ImOf0o,2021-01-07,56,46,91,28,-24,
RE,Réunion,,,,,,ChIJO-S4EIF3eCER-erb7ImOf0o,2021-01-08,31,29,80,14,-21,
RE,Réunion,,,,,,ChIJO-S4EIF3eCER-erb7ImOf0o,2021-01-09,37,33,48,14,-16,
RE,Réunion,,,,,,ChIJO-S4EIF3eCER-erb7ImOf0o,2021-01-10,33,,70,21,-20,
RE,Réunion,,,,,,ChIJO-S4EIF3eCER-erb7ImOf0o,2021-01-11,45,31,30,13,-18,
RE,Réunion,,,,,,ChIJO-S4EIF3eCER-erb7ImOf0o,2021-01-12,26,14,22,24,-21,
RE,Réunion,,,,,,ChIJO-S4EIF3eCER-erb7ImOf0o,2021-01-13,51,30,37,16,-22,
RE,Réunion,,,,,,ChIJO-S4EIF3eCER-erb7ImOf0o,2021-01-14,36,17,52,5,-21,
RE,Réunion,,,,,,ChIJO-S4EIF3eCER-erb7ImOf0o,2021-01-15,11,2,40,-3,-19,
RE,Réunion,,,,,,ChIJO-S4EIF3eCER-erb7ImOf0o,2021-01-16,14,3,14,-5,-19,
RE,Réunion,,,,,,ChIJO-S4EIF3eCER-erb7ImOf0o,2021-01-17,15,,40,-1,,
RE,Réunion,,,,,,ChIJO-S4EIF3eCER-erb7ImOf0o,2021-01-18,22,4,20,-7,-18,
RE,Réunion,,,,,,ChIJO-S4EIF3eCER-erb7ImOf0o,2021-01-19,16,-1,30,1,-20,
RE,Réunion,,,,,,ChIJO-S4EIF3eCER-erb7ImOf0o,2021-01-20,26,12,27,-2,-20,
RE,Réunion,,,,,,ChIJO-S4EIF3eCER-erb7ImOf0o,2021-01-21,17,7,22,-14,-17,
RE,Réunion,,,,,,ChIJO-S4EIF3eCER-erb7ImOf0o,2021-01-22,2,-7,21,-18,-17,
RE,Réunion,,,,,,ChIJO-S4EIF3eCER-erb7ImOf0o,2021-01-23,7,0,6,-24,-19,
RE,Réunion,,,,,,ChIJO-S4EIF3eCER-erb7ImOf0o,2021-01-24,0,,18,-14,,
RE,Réunion,,,,,,ChIJO-S4EIF3eCER-erb7ImOf0o,2021-01-25,6,-2,-2,-18,-15,
RE,Réunion,,,,,,ChIJO-S4EIF3eCER-erb7ImOf0o,2021-01-26,8,-3,23,-10,-13,
RE,Réunion,,,,,,ChIJO-S4EIF3eCER-erb7ImOf0o,2021-01-27,17,1,19,-15,-17,
RE,Réunion,,,,,,ChIJO-S4EIF3eCER-erb7ImOf0o,2021-01-28,10,2,14,-12,-10,
RE,Réunion,,,,,,ChIJO-S4EIF3eCER-erb7ImOf0o,2021-01-29,0,-6,13,-29,-11,
RE,Réunion,,,,,,ChIJO-S4EIF3eCER-erb7ImOf0o,2021-01-30,7,-3,7,-24,-22,
RE,Réunion,,,,,,ChIJO-S4EIF3eCER-erb7ImOf0o,2021-01-31,-2,,19,-25,-22,
RE,Réunion,,,,,,ChIJO-S4EIF3eCER-erb7ImOf0o,2021-02-01,2,-9,-5,-28,-13,
RE,Réunion,,,,,,ChIJO-S4EIF3eCER-erb7ImOf0o,2021-02-02,5,-6,8,-11,-12,
RE,Réunion,,,,,,ChIJO-S4EIF3eCER-erb7ImOf0o,2021-02-03,9,-1,4,-29,-13,
RE,Réunion,,,,,,ChIJO-S4EIF3eCER-erb7ImOf0o,2021-02-04,0,-3,4,-25,-9,
RE,Réunion,,,,,,ChIJO-S4EIF3eCER-erb7ImOf0o,2021-02-05,-7,-17,-2,-40,-4,
RE,Réunion,,,,,,ChIJO-S4EIF3eCER-erb7ImOf0o,2021-02-06,2,-10,-9,-35,-15,
RE,Réunion,,,,,,ChIJO-S4EIF3eCER-erb7ImOf0o,2021-02-07,-14,,9,-30,,
RE,Réunion,,,,,,ChIJO-S4EIF3eCER-erb7ImOf0o,2021-02-08,-5,-12,-20,-41,-11,
RE,Réunion,,,,,,ChIJO-S4EIF3eCER-erb7ImOf0o,2021-02-09,-2,-15,-1,-25,-6,
RE,Réunion,,,,,,ChIJO-S4EIF3eCER-erb7ImOf0o,2021-02-10,9,-8,-13,-36,-9,
RE,Réunion,,,,,,ChIJO-S4EIF3eCER-erb7ImOf0o,2021-02-11,-7,-11,-15,-35,-7,
RE,Réunion,,,,,,ChIJO-S4EIF3eCER-erb7ImOf0o,2021-02-12,-14,-25,-18,-51,-7,
RE,Réunion,,,,,,ChIJO-S4EIF3eCER-erb7ImOf0o,2021-02-13,-9,-17,-20,-41,-17,
RE,Réunion,,,,,,ChIJO-S4EIF3eCER-erb7ImOf0o,2021-02-14,-17,,-12,-50,,
RE,Réunion,,,,,,ChIJO-S4EIF3eCER-erb7ImOf0o,2021-02-15,-16,-25,-41,-52,-3,
RE,Réunion,,,,,,ChIJO-S4EIF3eCER-erb7ImOf0o,2021-02-16,-16,-24,-30,-33,-2,
RE,Réunion,,,,,,ChIJO-S4EIF3eCER-erb7ImOf0o,2021-02-17,-9,-15,-38,-44,-9,
RE,Réunion,,,,,,ChIJO-S4EIF3eCER-erb7ImOf0o,2021-02-18,-16,-24,-26,-44,-3,
RE,Réunion,,,,,,ChIJO-S4EIF3eCER-erb7ImOf0o,2021-02-19,-26,-33,-38,-54,1,
RE,Réunion,,,,,,ChIJO-S4EIF3eCER-erb7ImOf0o,2021-02-20,-16,-28,-30,-50,-12,
RE,Réunion,,,,,,ChIJO-S4EIF3eCER-erb7ImOf0o,2021-02-21,-26,,-18,-54,,
RE,Réunion,,,,,,ChIJO-S4EIF3eCER-erb7ImOf0o,2021-02-22,-26,-31,-41,-56,0,
RE,Réunion,,,,,,ChIJO-S4EIF3eCER-erb7ImOf0o,2021-02-23,-22,-32,-34,-41,2,
RE,Réunion,,,,,,ChIJO-S4EIF3eCER-erb7ImOf0o,2021-02-24,-18,-25,-33,-48,-1,
RE,Réunion,,,,,,ChIJO-S4EIF3eCER-erb7ImOf0o,2021-02-25,-25,-28,-34,-51,3,
RE,Réunion,,,,,,ChIJO-S4EIF3eCER-erb7ImOf0o,2021-02-26,-33,-37,-39,-62,4,
RE,Réunion,,,,,,ChIJO-S4EIF3eCER-erb7ImOf0o,2021-02-27,-27,-35,-37,-56,-2,
RE,Réunion,,,,,,ChIJO-S4EIF3eCER-erb7ImOf0o,2021-02-28,-34,,-27,-55,,
RE,Réunion,,,,,,ChIJO-S4EIF3eCER-erb7ImOf0o,2021-03-01,-32,-34,-48,-55,3,
RE,Réunion,,,,,,ChIJO-S4EIF3eCER-erb7ImOf0o,2021-03-02,-31,-36,-41,-48,5,
RE,Réunion,,,,,,ChIJO-S4EIF3eCER-erb7ImOf0o,2021-03-03,-18,-29,-43,-59,-1,
RE,Réunion,,,,,,ChIJO-S4EIF3eCER-erb7ImOf0o,2021-03-04,-22,-31,-39,-58,1,
RE,Réunion,,,,,,ChIJO-S4EIF3eCER-erb7ImOf0o,2021-03-05,-46,-47,-54,-66,0,
RE,Réunion,,,,,,ChIJO-S4EIF3eCER-erb7ImOf0o,2021-03-06,-38,-34,-62,-66,-9,
RE,Réunion,,,,,,ChIJO-S4EIF3eCER-erb7ImOf0o,2021-03-07,-56,,-69,-72,,
RE,Réunion,,,,,,ChIJO-S4EIF3eCER-erb7ImOf0o,2021-03-08,-39,-41,-58,-62,-11,
RE,Réunion,,,,,,ChIJO-S4EIF3eCER-erb7ImOf0o,2021-03-09,-40,-35,-45,-56,-8,
RE,Réunion,,,,,,ChIJO-S4EIF3eCER-erb7ImOf0o,2021-03-10,-34,-31,-50,-58,-12,
RE,Réunion,,,,,,ChIJO-S4EIF3eCER-erb7ImOf0o,2021-03-11,-40,-35,-50,-62,-7,
RE,Réunion,,,,,,ChIJO-S4EIF3eCER-erb7ImOf0o,2021-03-12,-47,-46,-49,-64,-7,
RE,Réunion,,,,,,ChIJO-S4EIF3eCER-erb7ImOf0o,2021-03-13,-40,-39,-46,-69,-8,
RE,Réunion,,,,,,ChIJO-S4EIF3eCER-erb7ImOf0o,2021-03-14,-42,,-39,-63,,
RE,Réunion,,,,,,ChIJO-S4EIF3eCER-erb7ImOf0o,2021-03-15,-45,-47,-63,-68,-12,
RE,Réunion,,,,,,ChIJO-S4EIF3eCER-erb7ImOf0o,2021-03-16,-42,-45,-49,-55,-8,
RE,Réunion,,,,,,ChIJO-S4EIF3eCER-erb7ImOf0o,2021-03-17,-37,-37,-50,-65,-9,
RE,Réunion,,,,,,ChIJO-S4EIF3eCER-erb7ImOf0o,2021-03-18,-41,-38,-52,-66,-6,
RE,Réunion,,,,,,ChIJO-S4EIF3eCER-erb7ImOf0o,2021-03-19,-47,-49,-59,-68,-7,
RE,Réunion,,,,,,ChIJO-S4EIF3eCER-erb7ImOf0o,2021-03-20,-41,-42,-51,-69,-2,
RE,Réunion,,,,,,ChIJO-S4EIF3eCER-erb7ImOf0o,2021-03-21,-50,,-47,-72,,
RE,Réunion,Saint-Denis,,,,,ChIJXZEW4NiBgiERl18lsd4tQQg,2021-01-02,,,,6,,
RE,Réunion,Saint-Denis,,,,,ChIJXZEW4NiBgiERl18lsd4tQQg,2021-01-09,,,,16,,
RE,Réunion,Saint-Denis,,,,,ChIJXZEW4NiBgiERl18lsd4tQQg,2021-01-16,,,,-3,,
RE,Réunion,Saint-Denis,,,,,ChIJXZEW4NiBgiERl18lsd4tQQg,2021-01-21,,,,-30,,
RE,Réunion,Saint-Denis,,,,,ChIJXZEW4NiBgiERl18lsd4tQQg,2021-01-22,,,,-17,,
RE,Réunion,Saint-Denis,,,,,ChIJXZEW4NiBgiERl18lsd4tQQg,2021-01-23,,,,-28,,
RE,Réunion,Saint-Denis,,,,,ChIJXZEW4NiBgiERl18lsd4tQQg,2021-01-29,,,,-41,,
RE,Réunion,Saint-Denis,,,,,ChIJXZEW4NiBgiERl18lsd4tQQg,2021-01-30,,,,-34,,
RE,Réunion,Saint-Denis,,,,,ChIJXZEW4NiBgiERl18lsd4tQQg,2021-02-04,,,,-38,,
RE,Réunion,Saint-Denis,,,,,ChIJXZEW4NiBgiERl18lsd4tQQg,2021-02-05,,,,-62,,
RE,Réunion,Saint-Denis,,,,,ChIJXZEW4NiBgiERl18lsd4tQQg,2021-02-06,,,,-49,,
RE,Réunion,Saint-Denis,,,,,ChIJXZEW4NiBgiERl18lsd4tQQg,2021-02-08,,,,-62,,
RE,Réunion,Saint-Denis,,,,,ChIJXZEW4NiBgiERl18lsd4tQQg,2021-02-11,,,,-46,,
RE,Réunion,Saint-Denis,,,,,ChIJXZEW4NiBgiERl18lsd4tQQg,2021-02-12,,,,-67,,
RE,Réunion,Saint-Denis,,,,,ChIJXZEW4NiBgiERl18lsd4tQQg,2021-02-13,,,,-49,,
RE,Réunion,Saint-Denis,,,,,ChIJXZEW4NiBgiERl18lsd4tQQg,2021-02-15,,,,-79,,
RE,Réunion,Saint-Denis,,,,,ChIJXZEW4NiBgiERl18lsd4tQQg,2021-02-18,,,,-54,,
RE,Réunion,Saint-Denis,,,,,ChIJXZEW4NiBgiERl18lsd4tQQg,2021-02-19,,,,-69,,
RE,Réunion,Saint-Denis,,,,,ChIJXZEW4NiBgiERl18lsd4tQQg,2021-02-20,,,,-60,,
RE,Réunion,Saint-Denis,,,,,ChIJXZEW4NiBgiERl18lsd4tQQg,2021-02-21,,,,-71,,
RE,Réunion,Saint-Denis,,,,,ChIJXZEW4NiBgiERl18lsd4tQQg,2021-02-22,,,,-74,,
RE,Réunion,Saint-Denis,,,,,ChIJXZEW4NiBgiERl18lsd4tQQg,2021-02-25,,,,-63,,
RE,Réunion,Saint-Denis,,,,,ChIJXZEW4NiBgiERl18lsd4tQQg,2021-02-26,,,,-77,,
RE,Réunion,Saint-Denis,,,,,ChIJXZEW4NiBgiERl18lsd4tQQg,2021-02-27,,,,-63,,
RE,Réunion,Saint-Denis,,,,,ChIJXZEW4NiBgiERl18lsd4tQQg,2021-03-01,,,,-64,,
RE,Réunion,Saint-Denis,,,,,ChIJXZEW4NiBgiERl18lsd4tQQg,2021-03-04,,,,-74,,
RE,Réunion,Saint-Denis,,,,,ChIJXZEW4NiBgiERl18lsd4tQQg,2021-03-05,,,,-79,,
RE,Réunion,Saint-Denis,,,,,ChIJXZEW4NiBgiERl18lsd4tQQg,2021-03-06,,,,-77,,
RE,Réunion,Saint-Denis,,,,,ChIJXZEW4NiBgiERl18lsd4tQQg,2021-03-08,,,,-71,,
RE,Réunion,Saint-Denis,,,,,ChIJXZEW4NiBgiERl18lsd4tQQg,2021-03-11,,,,-69,,
RE,Réunion,Saint-Denis,,,,,ChIJXZEW4NiBgiERl18lsd4tQQg,2021-03-12,,,,-78,,
RE,Réunion,Saint-Denis,,,,,ChIJXZEW4NiBgiERl18lsd4tQQg,2021-03-13,,,,-86,,
RE,Réunion,Saint-Denis,,,,,ChIJXZEW4NiBgiERl18lsd4tQQg,2021-03-14,,,,-67,,
RE,Réunion,Saint-Denis,,,,,ChIJXZEW4NiBgiERl18lsd4tQQg,2021-03-18,,,,-78,,
RE,Réunion,Saint-Denis,,,,,ChIJXZEW4NiBgiERl18lsd4tQQg,2021-03-19,,,,-81,,
RE,Réunion,Saint-Denis,,,,,ChIJXZEW4NiBgiERl18lsd4tQQg,2021-03-20,,,,-78,,
RE,Réunion,Saint-Paul,,,,,ChIJ7ahVIVuPgiERFKhXDMj6dL4,2021-01-24,,,-20,,,
RE,Réunion,Saint-Paul,,,,,ChIJ7ahVIVuPgiERFKhXDMj6dL4,2021-02-12,,,-33,,,
RE,Réunion,Saint-Paul,,,,,ChIJ7ahVIVuPgiERFKhXDMj6dL4,2021-02-13,,,-28,,,
RE,Réunion,Saint-Paul,,,,,ChIJ7ahVIVuPgiERFKhXDMj6dL4,2021-02-14,,,-27,,,
RE,Réunion,Saint-Paul,,,,,ChIJ7ahVIVuPgiERFKhXDMj6dL4,2021-02-19,-35,,-41,,,
RE,Réunion,Saint-Paul,,,,,ChIJ7ahVIVuPgiERFKhXDMj6dL4,2021-02-20,,,-30,,,
RE,Réunion,Saint-Paul,,,,,ChIJ7ahVIVuPgiERFKhXDMj6dL4,2021-02-21,,,-34,,,
RE,Réunion,Saint-Paul,,,,,ChIJ7ahVIVuPgiERFKhXDMj6dL4,2021-02-26,,,-45,,,
RE,Réunion,Saint-Paul,,,,,ChIJ7ahVIVuPgiERFKhXDMj6dL4,2021-02-27,,,-35,,,
RE,Réunion,Saint-Paul,,,,,ChIJ7ahVIVuPgiERFKhXDMj6dL4,2021-02-28,,,-50,,,
RE,Réunion,Saint-Paul,,,,,ChIJ7ahVIVuPgiERFKhXDMj6dL4,2021-03-05,,,-63,,,
RE,Réunion,Saint-Paul,,,,,ChIJ7ahVIVuPgiERFKhXDMj6dL4,2021-03-06,,,-67,,,
RE,Réunion,Saint-Paul,,,,,ChIJ7ahVIVuPgiERFKhXDMj6dL4,2021-03-07,,,-78,,,
RE,Réunion,Saint-Paul,,,,,ChIJ7ahVIVuPgiERFKhXDMj6dL4,2021-03-08,,,-64,,,
RE,Réunion,Saint-Paul,,,,,ChIJ7ahVIVuPgiERFKhXDMj6dL4,2021-03-12,,,-72,,,
RE,Réunion,Saint-Paul,,,,,ChIJ7ahVIVuPgiERFKhXDMj6dL4,2021-03-13,,,-49,,,
RE,Réunion,Saint-Paul,,,,,ChIJ7ahVIVuPgiERFKhXDMj6dL4,2021-03-14,,,-53,,,
RE,Réunion,Saint-Paul,,,,,ChIJ7ahVIVuPgiERFKhXDMj6dL4,2021-03-19,,,-66,,,
RE,Réunion,Saint-Paul,,,,,ChIJ7ahVIVuPgiERFKhXDMj6dL4,2021-03-20,,,-54,,,
RE,Réunion,Saint-Paul,,,,,ChIJ7ahVIVuPgiERFKhXDMj6dL4,2021-03-21,,,-58,,,
RE,Réunion,Saint-Pierre,,,,,ChIJ5aaMcJBzeCERkJMw1B6lWBw,2021-01-01,,,,-3,,
RE,Réunion,Saint-Pierre,,,,,ChIJ5aaMcJBzeCERkJMw1B6lWBw,2021-01-02,,,,14,,
RE,Réunion,Saint-Pierre,,,,,ChIJ5aaMcJBzeCERkJMw1B6lWBw,2021-01-08,,,,1,,
RE,Réunion,Saint-Pierre,,,,,ChIJ5aaMcJBzeCERkJMw1B6lWBw,2021-01-09,,,,6,,
RE,Réunion,Saint-Pierre,,,,,ChIJ5aaMcJBzeCERkJMw1B6lWBw,2021-01-10,,,,2,,
RE,Réunion,Saint-Pierre,,,,,ChIJ5aaMcJBzeCERkJMw1B6lWBw,2021-01-11,,,,4,,
RE,Réunion,Saint-Pierre,,,,,ChIJ5aaMcJBzeCERkJMw1B6lWBw,2021-01-15,,,,-21,,
RE,Réunion,Saint-Pierre,,,,,ChIJ5aaMcJBzeCERkJMw1B6lWBw,2021-01-16,,,,-13,,
RE,Réunion,Saint-Pierre,,,,,ChIJ5aaMcJBzeCERkJMw1B6lWBw,2021-01-17,,,,-17,,
RE,Réunion,Saint-Pierre,,,,,ChIJ5aaMcJBzeCERkJMw1B6lWBw,2021-01-18,,,,-10,,
RE,Réunion,Saint-Pierre,,,,,ChIJ5aaMcJBzeCERkJMw1B6lWBw,2021-01-22,,,,-32,,
RE,Réunion,Saint-Pierre,,,,,ChIJ5aaMcJBzeCERkJMw1B6lWBw,2021-01-23,,,,-26,,
RE,Réunion,Saint-Pierre,,,,,ChIJ5aaMcJBzeCERkJMw1B6lWBw,2021-01-24,,,,-26,,
RE,Réunion,Saint-Pierre,,,,,ChIJ5aaMcJBzeCERkJMw1B6lWBw,2021-01-25,,,,-16,,
RE,Réunion,Saint-Pierre,,,,,ChIJ5aaMcJBzeCERkJMw1B6lWBw,2021-01-26,,,,-12,,
RE,Réunion,Saint-Pierre,,,,,ChIJ5aaMcJBzeCERkJMw1B6lWBw,2021-01-29,,,,-29,,
RE,Réunion,Saint-Pierre,,,,,ChIJ5aaMcJBzeCERkJMw1B6lWBw,2021-01-30,,,,-22,,
RE,Réunion,Saint-Pierre,,,,,ChIJ5aaMcJBzeCERkJMw1B6lWBw,2021-01-31,,,,-28,,
RE,Réunion,Saint-Pierre,,,,,ChIJ5aaMcJBzeCERkJMw1B6lWBw,2021-02-01,,,,-20,,
RE,Réunion,Saint-Pierre,,,,,ChIJ5aaMcJBzeCERkJMw1B6lWBw,2021-02-02,,,,-14,,
RE,Réunion,Saint-Pierre,,,,,ChIJ5aaMcJBzeCERkJMw1B6lWBw,2021-02-04,,,,-17,,
RE,Réunion,Saint-Pierre,,,,,ChIJ5aaMcJBzeCERkJMw1B6lWBw,2021-02-05,,,,-32,,
RE,Réunion,Saint-Pierre,,,,,ChIJ5aaMcJBzeCERkJMw1B6lWBw,2021-02-06,,,,-30,,
RE,Réunion,Saint-Pierre,,,,,ChIJ5aaMcJBzeCERkJMw1B6lWBw,2021-02-07,,,,-29,,
RE,Réunion,Saint-Pierre,,,,,ChIJ5aaMcJBzeCERkJMw1B6lWBw,2021-02-08,,,,-29,,
RE,Réunion,Saint-Pierre,,,,,ChIJ5aaMcJBzeCERkJMw1B6lWBw,2021-02-09,,,,-18,,
RE,Réunion,Saint-Pierre,,,,,ChIJ5aaMcJBzeCERkJMw1B6lWBw,2021-02-10,,,,-16,,
RE,Réunion,Saint-Pierre,,,,,ChIJ5aaMcJBzeCERkJMw1B6lWBw,2021-02-11,,,,-22,,
RE,Réunion,Saint-Pierre,,,,,ChIJ5aaMcJBzeCERkJMw1B6lWBw,2021-02-12,,,,-44,,
RE,Réunion,Saint-Pierre,,,,,ChIJ5aaMcJBzeCERkJMw1B6lWBw,2021-02-13,,,,-37,,
RE,Réunion,Saint-Pierre,,,,,ChIJ5aaMcJBzeCERkJMw1B6lWBw,2021-02-14,,,,-51,,
RE,Réunion,Saint-Pierre,,,,,ChIJ5aaMcJBzeCERkJMw1B6lWBw,2021-02-15,,,,-41,,
RE,Réunion,Saint-Pierre,,,,,ChIJ5aaMcJBzeCERkJMw1B6lWBw,2021-02-16,,,,-34,,
RE,Réunion,Saint-Pierre,,,,,ChIJ5aaMcJBzeCERkJMw1B6lWBw,2021-02-17,,,,-25,,
RE,Réunion,Saint-Pierre,,,,,ChIJ5aaMcJBzeCERkJMw1B6lWBw,2021-02-18,,,,-31,,
RE,Réunion,Saint-Pierre,,,,,ChIJ5aaMcJBzeCERkJMw1B6lWBw,2021-02-19,,,,-48,,
RE,Réunion,Saint-Pierre,,,,,ChIJ5aaMcJBzeCERkJMw1B6lWBw,2021-02-20,,,,-49,,
RE,Réunion,Saint-Pierre,,,,,ChIJ5aaMcJBzeCERkJMw1B6lWBw,2021-02-21,,,,-52,,
RE,Réunion,Saint-Pierre,,,,,ChIJ5aaMcJBzeCERkJMw1B6lWBw,2021-02-22,,,,-47,,
RE,Réunion,Saint-Pierre,,,,,ChIJ5aaMcJBzeCERkJMw1B6lWBw,2021-02-23,,,,-50,,
RE,Réunion,Saint-Pierre,,,,,ChIJ5aaMcJBzeCERkJMw1B6lWBw,2021-02-24,,,,-35,,
RE,Réunion,Saint-Pierre,,,,,ChIJ5aaMcJBzeCERkJMw1B6lWBw,2021-02-25,,,,-37,,
RE,Réunion,Saint-Pierre,,,,,ChIJ5aaMcJBzeCERkJMw1B6lWBw,2021-02-26,,,,-56,,
