country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
RU,Russia,,,,,,ChIJ-yRniZpWPEURE_YRZvj9CRQ,2021-01-01,-64,-57,3,-58,-84,23
RU,Russia,,,,,,ChIJ-yRniZpWPEURE_YRZvj9CRQ,2021-01-02,-40,-33,-4,-34,-54,9
RU,Russia,,,,,,ChIJ-yRniZpWPEURE_YRZvj9CRQ,2021-01-03,-23,-16,15,-16,-21,2
RU,Russia,,,,,,ChIJ-yRniZpWPEURE_YRZvj9CRQ,2021-01-04,-16,-13,19,-31,-66,15
RU,Russia,,,,,,ChIJ-yRniZpWPEURE_YRZvj9CRQ,2021-01-05,-16,-12,16,-30,-65,15
RU,Russia,,,,,,ChIJ-yRniZpWPEURE_YRZvj9CRQ,2021-01-06,-16,-8,14,-30,-64,14
RU,Russia,,,,,,ChIJ-yRniZpWPEURE_YRZvj9CRQ,2021-01-07,-26,-20,18,-38,-73,17
RU,Russia,,,,,,ChIJ-yRniZpWPEURE_YRZvj9CRQ,2021-01-08,-27,-21,-2,-35,-65,17
RU,Russia,,,,,,ChIJ-yRniZpWPEURE_YRZvj9CRQ,2021-01-09,-28,-20,-14,-23,-26,6
RU,Russia,,,,,,ChIJ-yRniZpWPEURE_YRZvj9CRQ,2021-01-10,-27,-15,-15,-18,-8,4
RU,Russia,,,,,,ChIJ-yRniZpWPEURE_YRZvj9CRQ,2021-01-11,-23,-11,-18,-18,-17,6
RU,Russia,,,,,,ChIJ-yRniZpWPEURE_YRZvj9CRQ,2021-01-12,-23,-11,-20,-19,-17,6
RU,Russia,,,,,,ChIJ-yRniZpWPEURE_YRZvj9CRQ,2021-01-13,-26,-12,-24,-22,-18,4
RU,Russia,,,,,,ChIJ-yRniZpWPEURE_YRZvj9CRQ,2021-01-14,-29,-17,-25,-22,-22,4
RU,Russia,,,,,,ChIJ-yRniZpWPEURE_YRZvj9CRQ,2021-01-15,-27,-16,-25,-22,-22,4
RU,Russia,,,,,,ChIJ-yRniZpWPEURE_YRZvj9CRQ,2021-01-16,-28,-18,-31,-23,-20,3
RU,Russia,,,,,,ChIJ-yRniZpWPEURE_YRZvj9CRQ,2021-01-17,-29,-18,-26,-23,-17,3
RU,Russia,,,,,,ChIJ-yRniZpWPEURE_YRZvj9CRQ,2021-01-18,-29,-18,-24,-22,-22,4
RU,Russia,,,,,,ChIJ-yRniZpWPEURE_YRZvj9CRQ,2021-01-19,-27,-16,-19,-20,-22,4
RU,Russia,,,,,,ChIJ-yRniZpWPEURE_YRZvj9CRQ,2021-01-20,-27,-15,-23,-20,-21,4
RU,Russia,,,,,,ChIJ-yRniZpWPEURE_YRZvj9CRQ,2021-01-21,-26,-14,-22,-20,-20,4
RU,Russia,,,,,,ChIJ-yRniZpWPEURE_YRZvj9CRQ,2021-01-22,-25,-13,-21,-18,-20,4
RU,Russia,,,,,,ChIJ-yRniZpWPEURE_YRZvj9CRQ,2021-01-23,-26,-16,-25,-19,-16,3
RU,Russia,,,,,,ChIJ-yRniZpWPEURE_YRZvj9CRQ,2021-01-24,-27,-16,-21,-20,-14,3
RU,Russia,,,,,,ChIJ-yRniZpWPEURE_YRZvj9CRQ,2021-01-25,-24,-13,-19,-18,-20,4
RU,Russia,,,,,,ChIJ-yRniZpWPEURE_YRZvj9CRQ,2021-01-26,-24,-13,-19,-18,-20,4
RU,Russia,,,,,,ChIJ-yRniZpWPEURE_YRZvj9CRQ,2021-01-27,-23,-12,-17,-16,-18,3
RU,Russia,,,,,,ChIJ-yRniZpWPEURE_YRZvj9CRQ,2021-01-28,-23,-12,-19,-17,-18,3
RU,Russia,,,,,,ChIJ-yRniZpWPEURE_YRZvj9CRQ,2021-01-29,-23,-10,-20,-16,-18,3
RU,Russia,,,,,,ChIJ-yRniZpWPEURE_YRZvj9CRQ,2021-01-30,-22,-11,-23,-16,-15,2
RU,Russia,,,,,,ChIJ-yRniZpWPEURE_YRZvj9CRQ,2021-01-31,-24,-12,-18,-16,-12,2
RU,Russia,,,,,,ChIJ-yRniZpWPEURE_YRZvj9CRQ,2021-02-01,-24,-11,-19,-16,-18,3
RU,Russia,,,,,,ChIJ-yRniZpWPEURE_YRZvj9CRQ,2021-02-02,-23,-10,-16,-15,-18,3
RU,Russia,,,,,,ChIJ-yRniZpWPEURE_YRZvj9CRQ,2021-02-03,-23,-11,-17,-15,-17,3
RU,Russia,,,,,,ChIJ-yRniZpWPEURE_YRZvj9CRQ,2021-02-04,-23,-11,-17,-15,-18,3
RU,Russia,,,,,,ChIJ-yRniZpWPEURE_YRZvj9CRQ,2021-02-05,-23,-11,-24,-16,-18,3
RU,Russia,,,,,,ChIJ-yRniZpWPEURE_YRZvj9CRQ,2021-02-06,-23,-13,-30,-18,-16,3
RU,Russia,,,,,,ChIJ-yRniZpWPEURE_YRZvj9CRQ,2021-02-07,-27,-15,-29,-20,-15,3
RU,Russia,,,,,,ChIJ-yRniZpWPEURE_YRZvj9CRQ,2021-02-08,-26,-15,-28,-17,-19,4
RU,Russia,,,,,,ChIJ-yRniZpWPEURE_YRZvj9CRQ,2021-02-09,-25,-13,-28,-17,-18,4
RU,Russia,,,,,,ChIJ-yRniZpWPEURE_YRZvj9CRQ,2021-02-10,-21,-9,-23,-15,-18,4
