country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
SA,Saudi Arabia,,,,,,ChIJQSqV5z-z5xURm7YawktQYFk,2021-01-01,-15,-2,-18,-44,-14,5
SA,Saudi Arabia,,,,,,ChIJQSqV5z-z5xURm7YawktQYFk,2021-01-02,-15,-4,-15,-41,-10,5
SA,Saudi Arabia,,,,,,ChIJQSqV5z-z5xURm7YawktQYFk,2021-01-03,-9,0,-3,-36,-23,6
SA,Saudi Arabia,,,,,,ChIJQSqV5z-z5xURm7YawktQYFk,2021-01-04,-13,-4,-5,-35,-23,6
SA,Saudi Arabia,,,,,,ChIJQSqV5z-z5xURm7YawktQYFk,2021-01-05,-12,-2,-4,-32,-24,6
SA,Saudi Arabia,,,,,,ChIJQSqV5z-z5xURm7YawktQYFk,2021-01-06,-13,-3,-5,-31,-23,6
SA,Saudi Arabia,,,,,,ChIJQSqV5z-z5xURm7YawktQYFk,2021-01-07,-15,-4,-19,-33,-24,8
SA,Saudi Arabia,,,,,,ChIJQSqV5z-z5xURm7YawktQYFk,2021-01-08,-18,-6,-19,-36,-16,5
SA,Saudi Arabia,,,,,,ChIJQSqV5z-z5xURm7YawktQYFk,2021-01-09,-17,-7,-16,-36,-11,3
SA,Saudi Arabia,,,,,,ChIJQSqV5z-z5xURm7YawktQYFk,2021-01-10,-9,0,-5,-30,-24,5
SA,Saudi Arabia,,,,,,ChIJQSqV5z-z5xURm7YawktQYFk,2021-01-11,-13,-5,-6,-31,-24,5
SA,Saudi Arabia,,,,,,ChIJQSqV5z-z5xURm7YawktQYFk,2021-01-12,-14,-5,-8,-32,-25,5
SA,Saudi Arabia,,,,,,ChIJQSqV5z-z5xURm7YawktQYFk,2021-01-13,-16,-6,-10,-34,-26,4
SA,Saudi Arabia,,,,,,ChIJQSqV5z-z5xURm7YawktQYFk,2021-01-14,-18,-8,-21,-37,-28,5
SA,Saudi Arabia,,,,,,ChIJQSqV5z-z5xURm7YawktQYFk,2021-01-15,-22,-12,-17,-41,-22,2
SA,Saudi Arabia,,,,,,ChIJQSqV5z-z5xURm7YawktQYFk,2021-01-16,-21,-11,-21,-42,-18,2
SA,Saudi Arabia,,,,,,ChIJQSqV5z-z5xURm7YawktQYFk,2021-01-17,-18,-9,-19,-38,-25,5
SA,Saudi Arabia,,,,,,ChIJQSqV5z-z5xURm7YawktQYFk,2021-01-18,-21,-11,-21,-37,-25,6
SA,Saudi Arabia,,,,,,ChIJQSqV5z-z5xURm7YawktQYFk,2021-01-19,-22,-11,-22,-37,-25,6
SA,Saudi Arabia,,,,,,ChIJQSqV5z-z5xURm7YawktQYFk,2021-01-20,-23,-11,-24,-38,-24,7
SA,Saudi Arabia,,,,,,ChIJQSqV5z-z5xURm7YawktQYFk,2021-01-21,-22,-12,-38,-39,-24,8
SA,Saudi Arabia,,,,,,ChIJQSqV5z-z5xURm7YawktQYFk,2021-01-22,-23,-12,-35,-44,-21,6
SA,Saudi Arabia,,,,,,ChIJQSqV5z-z5xURm7YawktQYFk,2021-01-23,-22,-11,-30,-43,-16,5
SA,Saudi Arabia,,,,,,ChIJQSqV5z-z5xURm7YawktQYFk,2021-01-24,-20,-10,-27,-38,-23,7
SA,Saudi Arabia,,,,,,ChIJQSqV5z-z5xURm7YawktQYFk,2021-01-25,-21,-9,-25,-37,-23,7
SA,Saudi Arabia,,,,,,ChIJQSqV5z-z5xURm7YawktQYFk,2021-01-26,-20,-9,-24,-37,-24,6
SA,Saudi Arabia,,,,,,ChIJQSqV5z-z5xURm7YawktQYFk,2021-01-27,-15,-2,-24,-36,-23,5
SA,Saudi Arabia,,,,,,ChIJQSqV5z-z5xURm7YawktQYFk,2021-01-28,-13,-2,-27,-37,-23,6
SA,Saudi Arabia,,,,,,ChIJQSqV5z-z5xURm7YawktQYFk,2021-01-29,-14,-1,-14,-40,-19,3
SA,Saudi Arabia,,,,,,ChIJQSqV5z-z5xURm7YawktQYFk,2021-01-30,-16,-4,-23,-40,-14,3
SA,Saudi Arabia,,,,,,ChIJQSqV5z-z5xURm7YawktQYFk,2021-01-31,-13,0,-23,-36,-21,5
SA,Saudi Arabia,,,,,,ChIJQSqV5z-z5xURm7YawktQYFk,2021-02-01,-13,1,-21,-35,-21,4
SA,Saudi Arabia,,,,,,ChIJQSqV5z-z5xURm7YawktQYFk,2021-02-02,-10,4,-18,-33,-20,3
SA,Saudi Arabia,,,,,,ChIJQSqV5z-z5xURm7YawktQYFk,2021-02-03,-10,5,-17,-32,-18,2
SA,Saudi Arabia,,,,,,ChIJQSqV5z-z5xURm7YawktQYFk,2021-02-04,-12,6,-22,-37,-16,4
SA,Saudi Arabia,,,,,,ChIJQSqV5z-z5xURm7YawktQYFk,2021-02-05,-18,7,-13,-44,-14,2
SA,Saudi Arabia,,,,,,ChIJQSqV5z-z5xURm7YawktQYFk,2021-02-06,-15,7,-14,-40,-8,1
SA,Saudi Arabia,,,,,,ChIJQSqV5z-z5xURm7YawktQYFk,2021-02-07,-12,7,-16,-35,-16,4
SA,Saudi Arabia,,,,,,ChIJQSqV5z-z5xURm7YawktQYFk,2021-02-08,-15,9,-16,-35,-18,4
SA,Saudi Arabia,,,,,,ChIJQSqV5z-z5xURm7YawktQYFk,2021-02-09,-13,11,-16,-35,-17,4
SA,Saudi Arabia,,,,,,ChIJQSqV5z-z5xURm7YawktQYFk,2021-02-10,-11,15,-13,-34,-17,4
SA,Saudi Arabia,,,,,,ChIJQSqV5z-z5xURm7YawktQYFk,2021-02-11,-13,12,-22,-38,-16,6
SA,Saudi Arabia,,,,,,ChIJQSqV5z-z5xURm7YawktQYFk,2021-02-12,-15,11,-15,-45,-13,4
SA,Saudi Arabia,,,,,,ChIJQSqV5z-z5xURm7YawktQYFk,2021-02-13,-14,9,-12,-42,-8,3
SA,Saudi Arabia,,,,,,ChIJQSqV5z-z5xURm7YawktQYFk,2021-02-14,-9,14,-8,-37,-14,5
