country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
SE,Sweden,,,,,,ChIJ8fA1bTmyXEYRYm-tjaLruCI,2021-01-01,-74,-58,11,-70,-85,26
SE,Sweden,,,,,,ChIJ8fA1bTmyXEYRYm-tjaLruCI,2021-01-02,-37,-17,16,-46,-15,7
SE,Sweden,,,,,,ChIJ8fA1bTmyXEYRYm-tjaLruCI,2021-01-03,-34,-18,32,-47,-11,6
SE,Sweden,,,,,,ChIJ8fA1bTmyXEYRYm-tjaLruCI,2021-01-04,-20,-3,8,-52,-52,16
SE,Sweden,,,,,,ChIJ8fA1bTmyXEYRYm-tjaLruCI,2021-01-05,-23,-2,17,-52,-54,16
SE,Sweden,,,,,,ChIJ8fA1bTmyXEYRYm-tjaLruCI,2021-01-06,-47,-23,22,-65,-79,25
SE,Sweden,,,,,,ChIJ8fA1bTmyXEYRYm-tjaLruCI,2021-01-07,-30,-10,-3,-52,-45,16
SE,Sweden,,,,,,ChIJ8fA1bTmyXEYRYm-tjaLruCI,2021-01-08,-35,-15,-10,-53,-44,16
SE,Sweden,,,,,,ChIJ8fA1bTmyXEYRYm-tjaLruCI,2021-01-09,-36,-14,25,-44,-11,7
SE,Sweden,,,,,,ChIJ8fA1bTmyXEYRYm-tjaLruCI,2021-01-10,-39,-20,7,-49,-11,7
SE,Sweden,,,,,,ChIJ8fA1bTmyXEYRYm-tjaLruCI,2021-01-11,-33,-14,-19,-49,-34,13
SE,Sweden,,,,,,ChIJ8fA1bTmyXEYRYm-tjaLruCI,2021-01-12,-32,-12,12,-46,-34,13
SE,Sweden,,,,,,ChIJ8fA1bTmyXEYRYm-tjaLruCI,2021-01-13,-35,-14,-10,-48,-33,13
SE,Sweden,,,,,,ChIJ8fA1bTmyXEYRYm-tjaLruCI,2021-01-14,-33,-13,-10,-49,-33,13
SE,Sweden,,,,,,ChIJ8fA1bTmyXEYRYm-tjaLruCI,2021-01-15,-34,-15,-12,-49,-33,12
SE,Sweden,,,,,,ChIJ8fA1bTmyXEYRYm-tjaLruCI,2021-01-16,-36,-14,29,-43,-11,7
SE,Sweden,,,,,,ChIJ8fA1bTmyXEYRYm-tjaLruCI,2021-01-17,-37,-19,19,-49,-12,6
SE,Sweden,,,,,,ChIJ8fA1bTmyXEYRYm-tjaLruCI,2021-01-18,-31,-14,-8,-48,-33,12
SE,Sweden,,,,,,ChIJ8fA1bTmyXEYRYm-tjaLruCI,2021-01-19,-31,-13,-4,-48,-33,12
SE,Sweden,,,,,,ChIJ8fA1bTmyXEYRYm-tjaLruCI,2021-01-20,-33,-13,-20,-49,-32,12
SE,Sweden,,,,,,ChIJ8fA1bTmyXEYRYm-tjaLruCI,2021-01-21,-32,-12,-14,-49,-33,12
SE,Sweden,,,,,,ChIJ8fA1bTmyXEYRYm-tjaLruCI,2021-01-22,-33,-15,-27,-49,-33,13
SE,Sweden,,,,,,ChIJ8fA1bTmyXEYRYm-tjaLruCI,2021-01-23,-29,-11,25,-40,-8,6
SE,Sweden,,,,,,ChIJ8fA1bTmyXEYRYm-tjaLruCI,2021-01-24,-31,-17,17,-47,-9,6
SE,Sweden,,,,,,ChIJ8fA1bTmyXEYRYm-tjaLruCI,2021-01-25,-26,-11,-10,-46,-32,11
SE,Sweden,,,,,,ChIJ8fA1bTmyXEYRYm-tjaLruCI,2021-01-26,-24,-9,11,-45,-31,10
SE,Sweden,,,,,,ChIJ8fA1bTmyXEYRYm-tjaLruCI,2021-01-27,-25,-9,-2,-46,-30,11
SE,Sweden,,,,,,ChIJ8fA1bTmyXEYRYm-tjaLruCI,2021-01-28,-28,-10,-6,-45,-31,11
SE,Sweden,,,,,,ChIJ8fA1bTmyXEYRYm-tjaLruCI,2021-01-29,-27,-12,-9,-45,-31,12
