country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
SG,Singapore,,,,,,ChIJdZOLiiMR2jERxPWrUs9peIg,2021-01-01,-25,3,-36,-46,-72,35
SG,Singapore,,,,,,ChIJdZOLiiMR2jERxPWrUs9peIg,2021-01-02,-20,1,-50,-30,-4,14
SG,Singapore,,,,,,ChIJdZOLiiMR2jERxPWrUs9peIg,2021-01-03,-14,5,-26,-26,4,10
SG,Singapore,,,,,,ChIJdZOLiiMR2jERxPWrUs9peIg,2021-01-04,-14,13,-17,-26,-19,14
SG,Singapore,,,,,,ChIJdZOLiiMR2jERxPWrUs9peIg,2021-01-05,-18,5,-11,-26,-18,13
SG,Singapore,,,,,,ChIJdZOLiiMR2jERxPWrUs9peIg,2021-01-06,-19,-2,-15,-25,-17,14
SG,Singapore,,,,,,ChIJdZOLiiMR2jERxPWrUs9peIg,2021-01-07,-21,-1,-25,-23,-18,13
SG,Singapore,,,,,,ChIJdZOLiiMR2jERxPWrUs9peIg,2021-01-08,-17,3,-30,-23,-13,15
SG,Singapore,,,,,,ChIJdZOLiiMR2jERxPWrUs9peIg,2021-01-09,-12,10,-31,-20,5,9
SG,Singapore,,,,,,ChIJdZOLiiMR2jERxPWrUs9peIg,2021-01-10,-22,-5,-56,-31,3,12
SG,Singapore,,,,,,ChIJdZOLiiMR2jERxPWrUs9peIg,2021-01-11,-17,10,-29,-25,-16,13
SG,Singapore,,,,,,ChIJdZOLiiMR2jERxPWrUs9peIg,2021-01-12,-19,4,-30,-25,-17,13
SG,Singapore,,,,,,ChIJdZOLiiMR2jERxPWrUs9peIg,2021-01-13,-19,-1,-24,-25,-16,12
SG,Singapore,,,,,,ChIJdZOLiiMR2jERxPWrUs9peIg,2021-01-14,-21,-5,-20,-23,-18,12
SG,Singapore,,,,,,ChIJdZOLiiMR2jERxPWrUs9peIg,2021-01-15,-17,-1,-21,-23,-14,13
SG,Singapore,,,,,,ChIJdZOLiiMR2jERxPWrUs9peIg,2021-01-16,-10,8,-8,-18,1,7
SG,Singapore,,,,,,ChIJdZOLiiMR2jERxPWrUs9peIg,2021-01-17,-13,2,-4,-24,3,7
SG,Singapore,,,,,,ChIJdZOLiiMR2jERxPWrUs9peIg,2021-01-18,-19,0,-18,-26,-17,12
SG,Singapore,,,,,,ChIJdZOLiiMR2jERxPWrUs9peIg,2021-01-19,-20,-2,-17,-26,-17,11
SG,Singapore,,,,,,ChIJdZOLiiMR2jERxPWrUs9peIg,2021-01-20,-20,-7,-17,-25,-16,12
SG,Singapore,,,,,,ChIJdZOLiiMR2jERxPWrUs9peIg,2021-01-21,-22,-8,-27,-23,-17,12
SG,Singapore,,,,,,ChIJdZOLiiMR2jERxPWrUs9peIg,2021-01-22,-17,-1,-27,-24,-13,14
SG,Singapore,,,,,,ChIJdZOLiiMR2jERxPWrUs9peIg,2021-01-23,-12,7,-23,-20,2,8
SG,Singapore,,,,,,ChIJdZOLiiMR2jERxPWrUs9peIg,2021-01-24,-13,2,-11,-24,4,8
SG,Singapore,,,,,,ChIJdZOLiiMR2jERxPWrUs9peIg,2021-01-25,-18,1,-25,-26,-16,12
SG,Singapore,,,,,,ChIJdZOLiiMR2jERxPWrUs9peIg,2021-01-26,-18,2,-18,-26,-16,11
SG,Singapore,,,,,,ChIJdZOLiiMR2jERxPWrUs9peIg,2021-01-27,-20,-7,-23,-26,-15,12
SG,Singapore,,,,,,ChIJdZOLiiMR2jERxPWrUs9peIg,2021-01-28,-20,-6,-24,-23,-16,12
SG,Singapore,,,,,,ChIJdZOLiiMR2jERxPWrUs9peIg,2021-01-29,-14,3,-20,-22,-11,13
SG,Singapore,,,,,,ChIJdZOLiiMR2jERxPWrUs9peIg,2021-01-30,-7,14,-8,-18,4,6
SG,Singapore,,,,,,ChIJdZOLiiMR2jERxPWrUs9peIg,2021-01-31,-10,8,-10,-23,6,7
SG,Singapore,,,,,,ChIJdZOLiiMR2jERxPWrUs9peIg,2021-02-01,-16,8,-20,-26,-15,11
SG,Singapore,,,,,,ChIJdZOLiiMR2jERxPWrUs9peIg,2021-02-02,-16,6,-17,-25,-15,11
SG,Singapore,,,,,,ChIJdZOLiiMR2jERxPWrUs9peIg,2021-02-03,-18,-1,-20,-24,-14,12
SG,Singapore,,,,,,ChIJdZOLiiMR2jERxPWrUs9peIg,2021-02-04,-17,4,-19,-22,-15,11
SG,Singapore,,,,,,ChIJdZOLiiMR2jERxPWrUs9peIg,2021-02-05,-13,11,-21,-21,-11,13
SG,Singapore,,,,,,ChIJdZOLiiMR2jERxPWrUs9peIg,2021-02-06,-9,18,-13,-17,4,7
SG,Singapore,,,,,,ChIJdZOLiiMR2jERxPWrUs9peIg,2021-02-07,-10,12,-11,-21,7,7
SG,Singapore,,,,,,ChIJdZOLiiMR2jERxPWrUs9peIg,2021-02-08,-12,18,-21,-23,-14,11
SG,Singapore,,,,,,ChIJdZOLiiMR2jERxPWrUs9peIg,2021-02-09,-13,18,-22,-22,-14,10
SG,Singapore,,,,,,ChIJdZOLiiMR2jERxPWrUs9peIg,2021-02-10,-10,25,-23,-20,-17,11
SG,Singapore,,,,,,ChIJdZOLiiMR2jERxPWrUs9peIg,2021-02-11,-21,15,-19,-27,-43,20
SG,Singapore,,,,,,ChIJdZOLiiMR2jERxPWrUs9peIg,2021-02-12,-43,-29,1,-49,-79,34
SG,Singapore,,,,,,ChIJdZOLiiMR2jERxPWrUs9peIg,2021-02-13,-31,-12,-6,-35,-50,15
SG,Singapore,,,,,,ChIJdZOLiiMR2jERxPWrUs9peIg,2021-02-14,-15,-8,4,-22,-15,8
SG,Singapore,,,,,,ChIJdZOLiiMR2jERxPWrUs9peIg,2021-02-15,-10,10,-1,-31,-41,19
SG,Singapore,,,,,,ChIJdZOLiiMR2jERxPWrUs9peIg,2021-02-16,-18,1,-14,-26,-21,14
