country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
SN,Senegal,,,,,,ChIJcbvFs_VywQ4RQFlhmVClRlo,2021-01-01,-33,-3,-14,-36,-62,18
SN,Senegal,,,,,,ChIJcbvFs_VywQ4RQFlhmVClRlo,2021-01-02,-21,14,-1,-18,-21,8
SN,Senegal,,,,,,ChIJcbvFs_VywQ4RQFlhmVClRlo,2021-01-03,-19,9,-3,-10,-9,4
SN,Senegal,,,,,,ChIJcbvFs_VywQ4RQFlhmVClRlo,2021-01-04,-13,26,0,-2,-10,4
SN,Senegal,,,,,,ChIJcbvFs_VywQ4RQFlhmVClRlo,2021-01-05,-15,21,0,-10,-10,4
SN,Senegal,,,,,,ChIJcbvFs_VywQ4RQFlhmVClRlo,2021-01-06,-19,17,-4,-11,-9,6
SN,Senegal,,,,,,ChIJcbvFs_VywQ4RQFlhmVClRlo,2021-01-07,-18,18,-1,-7,-9,6
SN,Senegal,,,,,,ChIJcbvFs_VywQ4RQFlhmVClRlo,2021-01-08,-21,18,-2,-9,-9,6
SN,Senegal,,,,,,ChIJcbvFs_VywQ4RQFlhmVClRlo,2021-01-09,-22,13,-6,-14,-8,5
SN,Senegal,,,,,,ChIJcbvFs_VywQ4RQFlhmVClRlo,2021-01-10,-22,1,-8,-20,-11,5
SN,Senegal,,,,,,ChIJcbvFs_VywQ4RQFlhmVClRlo,2021-01-11,-16,20,1,-6,-9,5
SN,Senegal,,,,,,ChIJcbvFs_VywQ4RQFlhmVClRlo,2021-01-12,-19,14,1,-14,-11,4
SN,Senegal,,,,,,ChIJcbvFs_VywQ4RQFlhmVClRlo,2021-01-13,-21,11,-6,-16,-12,3
SN,Senegal,,,,,,ChIJcbvFs_VywQ4RQFlhmVClRlo,2021-01-14,-21,5,-8,-18,-16,3
SN,Senegal,,,,,,ChIJcbvFs_VywQ4RQFlhmVClRlo,2021-01-15,-28,2,-16,-23,-19,4
SN,Senegal,,,,,,ChIJcbvFs_VywQ4RQFlhmVClRlo,2021-01-16,-30,0,-16,-27,-19,5
SN,Senegal,,,,,,ChIJcbvFs_VywQ4RQFlhmVClRlo,2021-01-17,-29,-11,-19,-32,-21,5
SN,Senegal,,,,,,ChIJcbvFs_VywQ4RQFlhmVClRlo,2021-01-18,-24,6,-8,-19,-18,4
SN,Senegal,,,,,,ChIJcbvFs_VywQ4RQFlhmVClRlo,2021-01-19,-27,0,-10,-25,-19,4
SN,Senegal,,,,,,ChIJcbvFs_VywQ4RQFlhmVClRlo,2021-01-20,-24,2,-11,-24,-15,5
SN,Senegal,,,,,,ChIJcbvFs_VywQ4RQFlhmVClRlo,2021-01-21,-23,4,-7,-22,-15,5
SN,Senegal,,,,,,ChIJcbvFs_VywQ4RQFlhmVClRlo,2021-01-22,-27,2,-11,-26,-14,5
SN,Senegal,,,,,,ChIJcbvFs_VywQ4RQFlhmVClRlo,2021-01-23,-28,1,-12,-27,-13,6
SN,Senegal,,,,,,ChIJcbvFs_VywQ4RQFlhmVClRlo,2021-01-24,-27,-11,-16,-32,-19,6
SN,Senegal,,,,,,ChIJcbvFs_VywQ4RQFlhmVClRlo,2021-01-25,-23,8,-5,-19,-13,5
SN,Senegal,,,,,,ChIJcbvFs_VywQ4RQFlhmVClRlo,2021-01-26,-24,2,-7,-25,-15,5
SN,Senegal,,,,,,ChIJcbvFs_VywQ4RQFlhmVClRlo,2021-01-27,-23,4,-8,-21,-13,5
SN,Senegal,,,,,,ChIJcbvFs_VywQ4RQFlhmVClRlo,2021-01-28,-22,8,-7,-19,-13,4
SN,Senegal,,,,,,ChIJcbvFs_VywQ4RQFlhmVClRlo,2021-01-29,-23,13,-10,-18,-13,3
SN,Senegal,,,,,,ChIJcbvFs_VywQ4RQFlhmVClRlo,2021-01-30,-23,13,-8,-18,-13,2
SN,Senegal,,,,,,ChIJcbvFs_VywQ4RQFlhmVClRlo,2021-01-31,-23,2,-16,-25,-20,3
SN,Senegal,,,,,,ChIJcbvFs_VywQ4RQFlhmVClRlo,2021-02-01,-18,21,-7,-14,-23,3
SN,Senegal,,,,,,ChIJcbvFs_VywQ4RQFlhmVClRlo,2021-02-02,-19,19,-2,-17,-24,3
SN,Senegal,,,,,,ChIJcbvFs_VywQ4RQFlhmVClRlo,2021-02-03,-22,11,-10,-22,-24,3
SN,Senegal,,,,,,ChIJcbvFs_VywQ4RQFlhmVClRlo,2021-02-04,-22,10,-7,-21,-27,3
SN,Senegal,,,,,,ChIJcbvFs_VywQ4RQFlhmVClRlo,2021-02-05,-26,11,-10,-25,-27,4
SN,Senegal,,,,,,ChIJcbvFs_VywQ4RQFlhmVClRlo,2021-02-06,-26,8,-5,-22,-24,3
SN,Senegal,,,,,,ChIJcbvFs_VywQ4RQFlhmVClRlo,2021-02-07,-26,-5,-5,-25,-24,2
SN,Senegal,,,,,,ChIJcbvFs_VywQ4RQFlhmVClRlo,2021-02-08,-21,16,-5,-16,-17,0
SN,Senegal,,,,,,ChIJcbvFs_VywQ4RQFlhmVClRlo,2021-02-09,-22,14,-3,-20,-16,1
SN,Senegal,,,,,,ChIJcbvFs_VywQ4RQFlhmVClRlo,2021-02-10,-21,13,-7,-21,-15,0
SN,Senegal,,,,,,ChIJcbvFs_VywQ4RQFlhmVClRlo,2021-02-11,-21,10,-13,-20,-15,1
SN,Senegal,,,,,,ChIJcbvFs_VywQ4RQFlhmVClRlo,2021-02-12,-25,11,-21,-23,-15,1
SN,Senegal,,,,,,ChIJcbvFs_VywQ4RQFlhmVClRlo,2021-02-13,-24,9,-17,-24,-16,1
SN,Senegal,,,,,,ChIJcbvFs_VywQ4RQFlhmVClRlo,2021-02-14,-22,-4,-19,-29,-22,1
SN,Senegal,,,,,,ChIJcbvFs_VywQ4RQFlhmVClRlo,2021-02-15,-20,15,-17,-16,-15,0
SN,Senegal,,,,,,ChIJcbvFs_VywQ4RQFlhmVClRlo,2021-02-16,-22,10,-20,-21,-16,0
SN,Senegal,,,,,,ChIJcbvFs_VywQ4RQFlhmVClRlo,2021-02-17,-24,9,-22,-22,-14,1
SN,Senegal,,,,,,ChIJcbvFs_VywQ4RQFlhmVClRlo,2021-02-18,-21,11,-17,-18,-14,2
SN,Senegal,,,,,,ChIJcbvFs_VywQ4RQFlhmVClRlo,2021-02-19,-24,13,-19,-20,-13,2
SN,Senegal,,,,,,ChIJcbvFs_VywQ4RQFlhmVClRlo,2021-02-20,-23,11,-17,-22,-12,2
SN,Senegal,,,,,,ChIJcbvFs_VywQ4RQFlhmVClRlo,2021-02-21,-25,-4,-23,-29,-23,2
SN,Senegal,,,,,,ChIJcbvFs_VywQ4RQFlhmVClRlo,2021-02-22,-19,17,-18,-16,-13,0
SN,Senegal,,,,,,ChIJcbvFs_VywQ4RQFlhmVClRlo,2021-02-23,-22,11,-17,-22,-13,0
SN,Senegal,,,,,,ChIJcbvFs_VywQ4RQFlhmVClRlo,2021-02-24,-21,12,-21,-21,-12,1
SN,Senegal,,,,,,ChIJcbvFs_VywQ4RQFlhmVClRlo,2021-02-25,-20,14,-16,-18,-12,1
SN,Senegal,,,,,,ChIJcbvFs_VywQ4RQFlhmVClRlo,2021-02-26,-26,13,-20,-21,-12,2
SN,Senegal,,,,,,ChIJcbvFs_VywQ4RQFlhmVClRlo,2021-02-27,-23,15,-13,-21,-11,1
SN,Senegal,,,,,,ChIJcbvFs_VywQ4RQFlhmVClRlo,2021-02-28,-23,1,-17,-27,-20,2
SN,Senegal,,,,,,ChIJcbvFs_VywQ4RQFlhmVClRlo,2021-03-01,-18,25,-12,-13,-12,0
SN,Senegal,,,,,,ChIJcbvFs_VywQ4RQFlhmVClRlo,2021-03-02,-20,19,-12,-19,-12,-1
SN,Senegal,,,,,,ChIJcbvFs_VywQ4RQFlhmVClRlo,2021-03-03,-27,7,-22,-29,-14,3
SN,Senegal,,,,,,ChIJcbvFs_VywQ4RQFlhmVClRlo,2021-03-04,-23,10,-22,-22,-16,3
SN,Senegal,,,,,,ChIJcbvFs_VywQ4RQFlhmVClRlo,2021-03-05,-49,-20,-41,-48,-43,14
SN,Senegal,,,,,,ChIJcbvFs_VywQ4RQFlhmVClRlo,2021-03-06,-40,-8,-33,-41,-36,10
SN,Senegal,,,,,,ChIJcbvFs_VywQ4RQFlhmVClRlo,2021-03-07,-29,-9,-24,-34,-25,5
SN,Senegal,,,,,,ChIJcbvFs_VywQ4RQFlhmVClRlo,2021-03-08,-47,-19,-41,-49,-56,19
SN,Senegal,,,,,,ChIJcbvFs_VywQ4RQFlhmVClRlo,2021-03-09,-25,8,-19,-30,-37,8
SN,Senegal,,,,,,ChIJcbvFs_VywQ4RQFlhmVClRlo,2021-03-10,-20,12,-18,-24,-30,5
SN,Senegal,,,,,,ChIJcbvFs_VywQ4RQFlhmVClRlo,2021-03-11,-17,15,-15,-18,-29,4
SN,Senegal,,,,,,ChIJcbvFs_VywQ4RQFlhmVClRlo,2021-03-12,-20,16,-18,-20,-27,4
SN,Senegal,,,,,,ChIJcbvFs_VywQ4RQFlhmVClRlo,2021-03-13,-20,14,-10,-19,-23,2
SN,Senegal,,,,,,ChIJcbvFs_VywQ4RQFlhmVClRlo,2021-03-14,-18,2,-14,-18,-18,0
SN,Senegal,,,,,,ChIJcbvFs_VywQ4RQFlhmVClRlo,2021-03-15,-14,25,-7,-5,-11,-1
SN,Senegal,,,,,,ChIJcbvFs_VywQ4RQFlhmVClRlo,2021-03-16,-17,20,-9,-10,-12,-1
SN,Senegal,,,,,,ChIJcbvFs_VywQ4RQFlhmVClRlo,2021-03-17,-16,19,-13,-12,-10,-1
SN,Senegal,,,,,,ChIJcbvFs_VywQ4RQFlhmVClRlo,2021-03-18,-16,18,-12,-10,-9,0
SN,Senegal,,,,,,ChIJcbvFs_VywQ4RQFlhmVClRlo,2021-03-19,-17,22,-12,-12,-8,0
SN,Senegal,,,,,,ChIJcbvFs_VywQ4RQFlhmVClRlo,2021-03-20,-15,20,-4,-13,-8,-1
SN,Senegal,,,,,,ChIJcbvFs_VywQ4RQFlhmVClRlo,2021-03-21,-15,5,-9,-18,-12,1
SN,Senegal,Dakar Region,,,SN-DK,,ChIJabTX_BoLwQ4Rj8NrhMs3i8Q,2021-01-01,-38,-12,-24,-38,-68,20
SN,Senegal,Dakar Region,,,SN-DK,,ChIJabTX_BoLwQ4Rj8NrhMs3i8Q,2021-01-02,-24,6,-4,-20,-25,8
SN,Senegal,Dakar Region,,,SN-DK,,ChIJabTX_BoLwQ4Rj8NrhMs3i8Q,2021-01-03,-21,3,-6,-13,-12,4
SN,Senegal,Dakar Region,,,SN-DK,,ChIJabTX_BoLwQ4Rj8NrhMs3i8Q,2021-01-04,-15,20,7,-1,-12,5
SN,Senegal,Dakar Region,,,SN-DK,,ChIJabTX_BoLwQ4Rj8NrhMs3i8Q,2021-01-05,-15,17,8,-9,-12,5
SN,Senegal,Dakar Region,,,SN-DK,,ChIJabTX_BoLwQ4Rj8NrhMs3i8Q,2021-01-06,-23,9,8,-10,-11,7
SN,Senegal,Dakar Region,,,SN-DK,,ChIJabTX_BoLwQ4Rj8NrhMs3i8Q,2021-01-07,-23,13,11,-6,-11,8
SN,Senegal,Dakar Region,,,SN-DK,,ChIJabTX_BoLwQ4Rj8NrhMs3i8Q,2021-01-08,-25,11,9,-8,-10,7
SN,Senegal,Dakar Region,,,SN-DK,,ChIJabTX_BoLwQ4Rj8NrhMs3i8Q,2021-01-09,-25,5,-8,-15,-10,6
SN,Senegal,Dakar Region,,,SN-DK,,ChIJabTX_BoLwQ4Rj8NrhMs3i8Q,2021-01-10,-26,-4,-12,-23,-13,6
SN,Senegal,Dakar Region,,,SN-DK,,ChIJabTX_BoLwQ4Rj8NrhMs3i8Q,2021-01-11,-20,14,8,-7,-12,6
SN,Senegal,Dakar Region,,,SN-DK,,ChIJabTX_BoLwQ4Rj8NrhMs3i8Q,2021-01-12,-22,9,10,-12,-13,5
SN,Senegal,Dakar Region,,,SN-DK,,ChIJabTX_BoLwQ4Rj8NrhMs3i8Q,2021-01-13,-26,3,1,-15,-14,4
SN,Senegal,Dakar Region,,,SN-DK,,ChIJabTX_BoLwQ4Rj8NrhMs3i8Q,2021-01-14,-27,0,0,-18,-18,4
SN,Senegal,Dakar Region,,,SN-DK,,ChIJabTX_BoLwQ4Rj8NrhMs3i8Q,2021-01-15,-32,-5,-7,-23,-20,5
SN,Senegal,Dakar Region,,,SN-DK,,ChIJabTX_BoLwQ4Rj8NrhMs3i8Q,2021-01-16,-32,-6,-13,-28,-21,5
SN,Senegal,Dakar Region,,,SN-DK,,ChIJabTX_BoLwQ4Rj8NrhMs3i8Q,2021-01-17,-32,-16,-18,-35,-25,6
SN,Senegal,Dakar Region,,,SN-DK,,ChIJabTX_BoLwQ4Rj8NrhMs3i8Q,2021-01-18,-28,0,2,-20,-21,5
SN,Senegal,Dakar Region,,,SN-DK,,ChIJabTX_BoLwQ4Rj8NrhMs3i8Q,2021-01-19,-29,-5,-1,-24,-21,5
SN,Senegal,Dakar Region,,,SN-DK,,ChIJabTX_BoLwQ4Rj8NrhMs3i8Q,2021-01-20,-30,-6,-5,-24,-17,6
SN,Senegal,Dakar Region,,,SN-DK,,ChIJabTX_BoLwQ4Rj8NrhMs3i8Q,2021-01-21,-29,-2,0,-22,-17,6
SN,Senegal,Dakar Region,,,SN-DK,,ChIJabTX_BoLwQ4Rj8NrhMs3i8Q,2021-01-22,-31,-6,-6,-26,-15,7
SN,Senegal,Dakar Region,,,SN-DK,,ChIJabTX_BoLwQ4Rj8NrhMs3i8Q,2021-01-23,-31,-6,-12,-28,-15,7
SN,Senegal,Dakar Region,,,SN-DK,,ChIJabTX_BoLwQ4Rj8NrhMs3i8Q,2021-01-24,-30,-16,-17,-36,-22,7
SN,Senegal,Dakar Region,,,SN-DK,,ChIJabTX_BoLwQ4Rj8NrhMs3i8Q,2021-01-25,-28,1,2,-18,-16,6
SN,Senegal,Dakar Region,,,SN-DK,,ChIJabTX_BoLwQ4Rj8NrhMs3i8Q,2021-01-26,-28,-4,-1,-25,-17,6
SN,Senegal,Dakar Region,,,SN-DK,,ChIJabTX_BoLwQ4Rj8NrhMs3i8Q,2021-01-27,-28,-3,-3,-20,-15,6
SN,Senegal,Dakar Region,,,SN-DK,,ChIJabTX_BoLwQ4Rj8NrhMs3i8Q,2021-01-28,-28,2,1,-19,-15,6
SN,Senegal,Dakar Region,,,SN-DK,,ChIJabTX_BoLwQ4Rj8NrhMs3i8Q,2021-01-29,-27,5,0,-19,-14,4
SN,Senegal,Dakar Region,,,SN-DK,,ChIJabTX_BoLwQ4Rj8NrhMs3i8Q,2021-01-30,-25,6,3,-21,-14,3
SN,Senegal,Dakar Region,,,SN-DK,,ChIJabTX_BoLwQ4Rj8NrhMs3i8Q,2021-01-31,-25,-2,-11,-28,-22,3
SN,Senegal,Dakar Region,,,SN-DK,,ChIJabTX_BoLwQ4Rj8NrhMs3i8Q,2021-02-01,-22,13,10,-16,-24,4
SN,Senegal,Dakar Region,,,SN-DK,,ChIJabTX_BoLwQ4Rj8NrhMs3i8Q,2021-02-02,-21,12,19,-17,-24,4
SN,Senegal,Dakar Region,,,SN-DK,,ChIJabTX_BoLwQ4Rj8NrhMs3i8Q,2021-02-03,-26,4,4,-23,-24,4
SN,Senegal,Dakar Region,,,SN-DK,,ChIJabTX_BoLwQ4Rj8NrhMs3i8Q,2021-02-04,-26,5,5,-22,-25,4
SN,Senegal,Dakar Region,,,SN-DK,,ChIJabTX_BoLwQ4Rj8NrhMs3i8Q,2021-02-05,-29,4,3,-26,-25,5
SN,Senegal,Dakar Region,,,SN-DK,,ChIJabTX_BoLwQ4Rj8NrhMs3i8Q,2021-02-06,-27,2,3,-23,-23,3
SN,Senegal,Dakar Region,,,SN-DK,,ChIJabTX_BoLwQ4Rj8NrhMs3i8Q,2021-02-07,-28,-9,-2,-29,-25,2
SN,Senegal,Dakar Region,,,SN-DK,,ChIJabTX_BoLwQ4Rj8NrhMs3i8Q,2021-02-08,-24,11,9,-16,-18,2
SN,Senegal,Dakar Region,,,SN-DK,,ChIJabTX_BoLwQ4Rj8NrhMs3i8Q,2021-02-09,-24,8,13,-19,-17,2
SN,Senegal,Dakar Region,,,SN-DK,,ChIJabTX_BoLwQ4Rj8NrhMs3i8Q,2021-02-10,-25,6,13,-19,-15,2
SN,Senegal,Dakar Region,,,SN-DK,,ChIJabTX_BoLwQ4Rj8NrhMs3i8Q,2021-02-11,-25,5,4,-19,-15,2
SN,Senegal,Dakar Region,,,SN-DK,,ChIJabTX_BoLwQ4Rj8NrhMs3i8Q,2021-02-12,-26,6,4,-22,-14,2
SN,Senegal,Dakar Region,,,SN-DK,,ChIJabTX_BoLwQ4Rj8NrhMs3i8Q,2021-02-13,-25,4,6,-25,-15,1
SN,Senegal,Dakar Region,,,SN-DK,,ChIJabTX_BoLwQ4Rj8NrhMs3i8Q,2021-02-14,-23,-6,1,-32,-22,2
SN,Senegal,Dakar Region,,,SN-DK,,ChIJabTX_BoLwQ4Rj8NrhMs3i8Q,2021-02-15,-22,10,9,-16,-15,1
SN,Senegal,Dakar Region,,,SN-DK,,ChIJabTX_BoLwQ4Rj8NrhMs3i8Q,2021-02-16,-23,6,5,-20,-16,2
SN,Senegal,Dakar Region,,,SN-DK,,ChIJabTX_BoLwQ4Rj8NrhMs3i8Q,2021-02-17,-28,3,2,-21,-14,3
SN,Senegal,Dakar Region,,,SN-DK,,ChIJabTX_BoLwQ4Rj8NrhMs3i8Q,2021-02-18,-25,7,9,-17,-13,3
SN,Senegal,Dakar Region,,,SN-DK,,ChIJabTX_BoLwQ4Rj8NrhMs3i8Q,2021-02-19,-26,7,8,-19,-12,3
SN,Senegal,Dakar Region,,,SN-DK,,ChIJabTX_BoLwQ4Rj8NrhMs3i8Q,2021-02-20,-25,5,7,-23,-11,2
SN,Senegal,Dakar Region,,,SN-DK,,ChIJabTX_BoLwQ4Rj8NrhMs3i8Q,2021-02-21,-26,-6,-5,-32,-23,3
SN,Senegal,Dakar Region,,,SN-DK,,ChIJabTX_BoLwQ4Rj8NrhMs3i8Q,2021-02-22,-21,13,8,-15,-13,2
SN,Senegal,Dakar Region,,,SN-DK,,ChIJabTX_BoLwQ4Rj8NrhMs3i8Q,2021-02-23,-23,6,7,-21,-13,2
SN,Senegal,Dakar Region,,,SN-DK,,ChIJabTX_BoLwQ4Rj8NrhMs3i8Q,2021-02-24,-24,6,4,-20,-11,3
SN,Senegal,Dakar Region,,,SN-DK,,ChIJabTX_BoLwQ4Rj8NrhMs3i8Q,2021-02-25,-24,10,9,-18,-11,2
SN,Senegal,Dakar Region,,,SN-DK,,ChIJabTX_BoLwQ4Rj8NrhMs3i8Q,2021-02-26,-29,7,1,-22,-11,3
