country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
SV,El Salvador,,,,,,ChIJVwZkWaYnY48RMkiFmOsWmm8,2021-01-01,-56,-52,-28,-59,-79,22
SV,El Salvador,,,,,,ChIJVwZkWaYnY48RMkiFmOsWmm8,2021-01-02,-26,-17,-26,-23,-31,10
SV,El Salvador,,,,,,ChIJVwZkWaYnY48RMkiFmOsWmm8,2021-01-03,-21,-15,-19,-14,-9,6
SV,El Salvador,,,,,,ChIJVwZkWaYnY48RMkiFmOsWmm8,2021-01-04,-17,1,-28,-12,-23,11
SV,El Salvador,,,,,,ChIJVwZkWaYnY48RMkiFmOsWmm8,2021-01-05,-15,2,-25,-10,-24,10
SV,El Salvador,,,,,,ChIJVwZkWaYnY48RMkiFmOsWmm8,2021-01-06,-16,0,-20,-8,-23,10
SV,El Salvador,,,,,,ChIJVwZkWaYnY48RMkiFmOsWmm8,2021-01-07,-17,-3,-26,-10,-23,10
SV,El Salvador,,,,,,ChIJVwZkWaYnY48RMkiFmOsWmm8,2021-01-08,-16,0,-29,-9,-18,9
SV,El Salvador,,,,,,ChIJVwZkWaYnY48RMkiFmOsWmm8,2021-01-09,-16,-6,-30,-11,-7,5
SV,El Salvador,,,,,,ChIJVwZkWaYnY48RMkiFmOsWmm8,2021-01-10,-18,-10,-22,-13,-5,4
SV,El Salvador,,,,,,ChIJVwZkWaYnY48RMkiFmOsWmm8,2021-01-11,-16,-3,-29,-11,-22,8
SV,El Salvador,,,,,,ChIJVwZkWaYnY48RMkiFmOsWmm8,2021-01-12,-16,-3,-29,-10,-24,8
SV,El Salvador,,,,,,ChIJVwZkWaYnY48RMkiFmOsWmm8,2021-01-13,-20,-8,-27,-14,-26,7
SV,El Salvador,,,,,,ChIJVwZkWaYnY48RMkiFmOsWmm8,2021-01-14,-20,-8,-33,-16,-28,7
SV,El Salvador,,,,,,ChIJVwZkWaYnY48RMkiFmOsWmm8,2021-01-15,-18,-3,-33,-15,-24,5
SV,El Salvador,,,,,,ChIJVwZkWaYnY48RMkiFmOsWmm8,2021-01-16,-17,-7,-32,-11,-15,2
SV,El Salvador,,,,,,ChIJVwZkWaYnY48RMkiFmOsWmm8,2021-01-17,-20,-11,-27,-15,-14,1
SV,El Salvador,,,,,,ChIJVwZkWaYnY48RMkiFmOsWmm8,2021-01-18,-19,-5,-34,-13,-28,7
SV,El Salvador,,,,,,ChIJVwZkWaYnY48RMkiFmOsWmm8,2021-01-19,-19,-6,-34,-16,-28,7
SV,El Salvador,,,,,,ChIJVwZkWaYnY48RMkiFmOsWmm8,2021-01-20,-20,-7,-27,-12,-27,7
SV,El Salvador,,,,,,ChIJVwZkWaYnY48RMkiFmOsWmm8,2021-01-21,-20,-8,-32,-13,-28,8
SV,El Salvador,,,,,,ChIJVwZkWaYnY48RMkiFmOsWmm8,2021-01-22,-20,-5,-32,-13,-23,7
SV,El Salvador,,,,,,ChIJVwZkWaYnY48RMkiFmOsWmm8,2021-01-23,-18,-7,-31,-13,-13,4
SV,El Salvador,,,,,,ChIJVwZkWaYnY48RMkiFmOsWmm8,2021-01-24,-21,-13,-26,-15,-12,2
SV,El Salvador,,,,,,ChIJVwZkWaYnY48RMkiFmOsWmm8,2021-01-25,-19,-5,-33,-13,-26,7
SV,El Salvador,,,,,,ChIJVwZkWaYnY48RMkiFmOsWmm8,2021-01-26,-18,-5,-32,-14,-27,7
SV,El Salvador,,,,,,ChIJVwZkWaYnY48RMkiFmOsWmm8,2021-01-27,-20,-7,-26,-11,-26,7
SV,El Salvador,,,,,,ChIJVwZkWaYnY48RMkiFmOsWmm8,2021-01-28,-19,-7,-31,-12,-26,7
SV,El Salvador,,,,,,ChIJVwZkWaYnY48RMkiFmOsWmm8,2021-01-29,-16,1,-30,-10,-21,4
SV,El Salvador,,,,,,ChIJVwZkWaYnY48RMkiFmOsWmm8,2021-01-30,-12,3,-24,-5,-10,0
SV,El Salvador,,,,,,ChIJVwZkWaYnY48RMkiFmOsWmm8,2021-01-31,-15,-1,-21,-8,-9,-1
SV,El Salvador,,,,,,ChIJVwZkWaYnY48RMkiFmOsWmm8,2021-02-01,-17,0,-29,-9,-25,5
SV,El Salvador,,,,,,ChIJVwZkWaYnY48RMkiFmOsWmm8,2021-02-02,-16,1,-30,-10,-26,5
SV,El Salvador,,,,,,ChIJVwZkWaYnY48RMkiFmOsWmm8,2021-02-03,-19,-4,-25,-12,-25,6
SV,El Salvador,,,,,,ChIJVwZkWaYnY48RMkiFmOsWmm8,2021-02-04,-19,-5,-30,-16,-26,7
SV,El Salvador,,,,,,ChIJVwZkWaYnY48RMkiFmOsWmm8,2021-02-05,-19,-3,-30,-15,-20,6
SV,El Salvador,,,,,,ChIJVwZkWaYnY48RMkiFmOsWmm8,2021-02-06,-18,-5,-28,-13,-11,2
SV,El Salvador,,,,,,ChIJVwZkWaYnY48RMkiFmOsWmm8,2021-02-07,-22,-13,-22,-17,-11,1
SV,El Salvador,,,,,,ChIJVwZkWaYnY48RMkiFmOsWmm8,2021-02-08,-19,-4,-30,-16,-25,7
SV,El Salvador,,,,,,ChIJVwZkWaYnY48RMkiFmOsWmm8,2021-02-09,-19,-2,-30,-15,-25,6
SV,El Salvador,,,,,,ChIJVwZkWaYnY48RMkiFmOsWmm8,2021-02-10,-19,-4,-24,-12,-25,6
SV,El Salvador,,,,,,ChIJVwZkWaYnY48RMkiFmOsWmm8,2021-02-11,-17,-3,-30,-13,-26,5
SV,El Salvador,,,,,,ChIJVwZkWaYnY48RMkiFmOsWmm8,2021-02-12,-15,4,-30,-12,-20,2
SV,El Salvador,,,,,,ChIJVwZkWaYnY48RMkiFmOsWmm8,2021-02-13,-10,4,-26,-7,-11,-3
SV,El Salvador,,,,,,ChIJVwZkWaYnY48RMkiFmOsWmm8,2021-02-14,-5,2,-15,-7,-7,-5
SV,El Salvador,,,,,,ChIJVwZkWaYnY48RMkiFmOsWmm8,2021-02-15,-13,7,-29,-10,-24,2
SV,El Salvador,,,,,,ChIJVwZkWaYnY48RMkiFmOsWmm8,2021-02-16,-13,8,-29,-9,-25,3
SV,El Salvador,,,,,,ChIJVwZkWaYnY48RMkiFmOsWmm8,2021-02-17,-16,3,-22,-8,-24,3
SV,El Salvador,,,,,,ChIJVwZkWaYnY48RMkiFmOsWmm8,2021-02-18,-15,2,-27,-9,-25,4
SV,El Salvador,,,,,,ChIJVwZkWaYnY48RMkiFmOsWmm8,2021-02-19,-15,6,-28,-11,-19,2
SV,El Salvador,,,,,,ChIJVwZkWaYnY48RMkiFmOsWmm8,2021-02-20,-12,4,-25,-9,-11,-2
SV,El Salvador,,,,,,ChIJVwZkWaYnY48RMkiFmOsWmm8,2021-02-21,-14,-1,-16,-11,-10,-3
SV,El Salvador,,,,,,ChIJVwZkWaYnY48RMkiFmOsWmm8,2021-02-22,-16,3,-29,-12,-23,3
SV,El Salvador,,,,,,ChIJVwZkWaYnY48RMkiFmOsWmm8,2021-02-23,-14,6,-27,-9,-24,3
SV,El Salvador,,,,,,ChIJVwZkWaYnY48RMkiFmOsWmm8,2021-02-24,-13,6,-17,-8,-23,2
SV,El Salvador,,,,,,ChIJVwZkWaYnY48RMkiFmOsWmm8,2021-02-25,-12,7,-26,-7,-24,3
SV,El Salvador,,,,,,ChIJVwZkWaYnY48RMkiFmOsWmm8,2021-02-26,-9,15,-24,-2,-18,1
SV,El Salvador,,,,,,ChIJVwZkWaYnY48RMkiFmOsWmm8,2021-02-27,-7,13,-24,1,-8,-3
SV,El Salvador,,,,,,ChIJVwZkWaYnY48RMkiFmOsWmm8,2021-02-28,-11,4,2,-7,-9,-5
SV,El Salvador,,,,,,ChIJVwZkWaYnY48RMkiFmOsWmm8,2021-03-01,-12,9,-29,-11,-25,3
SV,El Salvador,,,,,,ChIJVwZkWaYnY48RMkiFmOsWmm8,2021-03-02,-10,12,-27,-5,-23,3
SV,El Salvador,,,,,,ChIJVwZkWaYnY48RMkiFmOsWmm8,2021-03-03,-12,8,-21,-3,-23,3
SV,El Salvador,,,,,,ChIJVwZkWaYnY48RMkiFmOsWmm8,2021-03-04,-12,6,-26,-4,-23,3
SV,El Salvador,,,,,,ChIJVwZkWaYnY48RMkiFmOsWmm8,2021-03-05,-12,8,-26,-4,-18,2
SV,El Salvador,,,,,,ChIJVwZkWaYnY48RMkiFmOsWmm8,2021-03-06,-9,4,-24,-3,-11,-2
SV,El Salvador,,,,,,ChIJVwZkWaYnY48RMkiFmOsWmm8,2021-03-07,-13,-3,-16,-10,-12,-3
SV,El Salvador,,,,,,ChIJVwZkWaYnY48RMkiFmOsWmm8,2021-03-08,-13,4,-29,-8,-22,3
SV,El Salvador,,,,,,ChIJVwZkWaYnY48RMkiFmOsWmm8,2021-03-09,-15,4,-29,-8,-23,4
SV,El Salvador,,,,,,ChIJVwZkWaYnY48RMkiFmOsWmm8,2021-03-10,-15,3,-23,-4,-23,4
SV,El Salvador,,,,,,ChIJVwZkWaYnY48RMkiFmOsWmm8,2021-03-11,-14,4,-26,-6,-23,4
SV,El Salvador,,,,,,ChIJVwZkWaYnY48RMkiFmOsWmm8,2021-03-12,-12,10,-26,-4,-18,2
SV,El Salvador,,,,,,ChIJVwZkWaYnY48RMkiFmOsWmm8,2021-03-13,-9,7,-24,-2,-10,-2
SV,El Salvador,,,,,,ChIJVwZkWaYnY48RMkiFmOsWmm8,2021-03-14,-12,0,-17,-7,-11,-3
SV,El Salvador,,,,,,ChIJVwZkWaYnY48RMkiFmOsWmm8,2021-03-15,-9,14,-28,-2,-20,2
SV,El Salvador,,,,,,ChIJVwZkWaYnY48RMkiFmOsWmm8,2021-03-16,-9,15,-26,-3,-21,2
SV,El Salvador,,,,,,ChIJVwZkWaYnY48RMkiFmOsWmm8,2021-03-17,-11,11,-18,-1,-20,2
SV,El Salvador,,,,,,ChIJVwZkWaYnY48RMkiFmOsWmm8,2021-03-18,-11,10,-23,-3,-21,3
SV,El Salvador,,,,,,ChIJVwZkWaYnY48RMkiFmOsWmm8,2021-03-19,-12,11,-25,0,-16,1
SV,El Salvador,,,,,,ChIJVwZkWaYnY48RMkiFmOsWmm8,2021-03-20,-7,11,-20,2,-8,-3
SV,El Salvador,,,,,,ChIJVwZkWaYnY48RMkiFmOsWmm8,2021-03-21,-11,3,-14,-2,-9,-3
SV,El Salvador,Ahuachapán Department,,,SV-AH,,ChIJT534gkiUYo8R7R2nffhF7Zc,2021-01-01,24,,76,,-66,17
SV,El Salvador,Ahuachapán Department,,,SV-AH,,ChIJT534gkiUYo8R7R2nffhF7Zc,2021-01-02,19,4,20,,-23,9
SV,El Salvador,Ahuachapán Department,,,SV-AH,,ChIJT534gkiUYo8R7R2nffhF7Zc,2021-01-03,4,,0,,-15,
SV,El Salvador,Ahuachapán Department,,,SV-AH,,ChIJT534gkiUYo8R7R2nffhF7Zc,2021-01-04,2,,-13,,-21,9
SV,El Salvador,Ahuachapán Department,,,SV-AH,,ChIJT534gkiUYo8R7R2nffhF7Zc,2021-01-05,1,,-7,,-20,9
SV,El Salvador,Ahuachapán Department,,,SV-AH,,ChIJT534gkiUYo8R7R2nffhF7Zc,2021-01-06,5,,-2,,-19,8
SV,El Salvador,Ahuachapán Department,,,SV-AH,,ChIJT534gkiUYo8R7R2nffhF7Zc,2021-01-07,0,,-6,,-20,8
SV,El Salvador,Ahuachapán Department,,,SV-AH,,ChIJT534gkiUYo8R7R2nffhF7Zc,2021-01-08,1,,-10,,-14,8
SV,El Salvador,Ahuachapán Department,,,SV-AH,,ChIJT534gkiUYo8R7R2nffhF7Zc,2021-01-09,-5,-6,-18,,-8,5
SV,El Salvador,Ahuachapán Department,,,SV-AH,,ChIJT534gkiUYo8R7R2nffhF7Zc,2021-01-10,-8,,-14,,-11,
SV,El Salvador,Ahuachapán Department,,,SV-AH,,ChIJT534gkiUYo8R7R2nffhF7Zc,2021-01-11,4,,-18,,-19,6
SV,El Salvador,Ahuachapán Department,,,SV-AH,,ChIJT534gkiUYo8R7R2nffhF7Zc,2021-01-12,0,,-17,,-19,5
SV,El Salvador,Ahuachapán Department,,,SV-AH,,ChIJT534gkiUYo8R7R2nffhF7Zc,2021-01-13,4,,-14,,-23,3
SV,El Salvador,Ahuachapán Department,,,SV-AH,,ChIJT534gkiUYo8R7R2nffhF7Zc,2021-01-14,-5,,-18,,-27,5
SV,El Salvador,Ahuachapán Department,,,SV-AH,,ChIJT534gkiUYo8R7R2nffhF7Zc,2021-01-15,-4,,-27,,-22,3
SV,El Salvador,Ahuachapán Department,,,SV-AH,,ChIJT534gkiUYo8R7R2nffhF7Zc,2021-01-16,-3,-10,-24,,-17,1
SV,El Salvador,Ahuachapán Department,,,SV-AH,,ChIJT534gkiUYo8R7R2nffhF7Zc,2021-01-17,-13,,-21,,-22,
SV,El Salvador,Ahuachapán Department,,,SV-AH,,ChIJT534gkiUYo8R7R2nffhF7Zc,2021-01-18,5,,-23,,-27,6
SV,El Salvador,Ahuachapán Department,,,SV-AH,,ChIJT534gkiUYo8R7R2nffhF7Zc,2021-01-19,-3,,-24,,-27,5
SV,El Salvador,Ahuachapán Department,,,SV-AH,,ChIJT534gkiUYo8R7R2nffhF7Zc,2021-01-20,-1,,-20,,-25,5
SV,El Salvador,Ahuachapán Department,,,SV-AH,,ChIJT534gkiUYo8R7R2nffhF7Zc,2021-01-21,0,,-22,,-26,6
SV,El Salvador,Ahuachapán Department,,,SV-AH,,ChIJT534gkiUYo8R7R2nffhF7Zc,2021-01-22,0,,-23,,-20,5
SV,El Salvador,Ahuachapán Department,,,SV-AH,,ChIJT534gkiUYo8R7R2nffhF7Zc,2021-01-23,-2,-13,-23,,-14,3
SV,El Salvador,Ahuachapán Department,,,SV-AH,,ChIJT534gkiUYo8R7R2nffhF7Zc,2021-01-24,-13,,-20,,-16,
SV,El Salvador,Ahuachapán Department,,,SV-AH,,ChIJT534gkiUYo8R7R2nffhF7Zc,2021-01-25,4,,-21,,-25,5
SV,El Salvador,Ahuachapán Department,,,SV-AH,,ChIJT534gkiUYo8R7R2nffhF7Zc,2021-01-26,7,,-7,,-26,4
SV,El Salvador,Ahuachapán Department,,,SV-AH,,ChIJT534gkiUYo8R7R2nffhF7Zc,2021-01-27,2,,-12,,-24,6
SV,El Salvador,Ahuachapán Department,,,SV-AH,,ChIJT534gkiUYo8R7R2nffhF7Zc,2021-01-28,-4,,-18,,-25,5
SV,El Salvador,Ahuachapán Department,,,SV-AH,,ChIJT534gkiUYo8R7R2nffhF7Zc,2021-01-29,0,,-13,,-20,3
SV,El Salvador,Ahuachapán Department,,,SV-AH,,ChIJT534gkiUYo8R7R2nffhF7Zc,2021-01-30,-2,,-10,,-10,0
SV,El Salvador,Ahuachapán Department,,,SV-AH,,ChIJT534gkiUYo8R7R2nffhF7Zc,2021-01-31,-9,,-14,,-15,
SV,El Salvador,Ahuachapán Department,,,SV-AH,,ChIJT534gkiUYo8R7R2nffhF7Zc,2021-02-01,0,,-16,,-25,2
SV,El Salvador,Ahuachapán Department,,,SV-AH,,ChIJT534gkiUYo8R7R2nffhF7Zc,2021-02-02,0,,-15,,-25,3
SV,El Salvador,Ahuachapán Department,,,SV-AH,,ChIJT534gkiUYo8R7R2nffhF7Zc,2021-02-03,-6,,-12,,-25,5
SV,El Salvador,Ahuachapán Department,,,SV-AH,,ChIJT534gkiUYo8R7R2nffhF7Zc,2021-02-04,-6,,-16,,-25,4
SV,El Salvador,Ahuachapán Department,,,SV-AH,,ChIJT534gkiUYo8R7R2nffhF7Zc,2021-02-05,-7,-1,-22,,-20,4
SV,El Salvador,Ahuachapán Department,,,SV-AH,,ChIJT534gkiUYo8R7R2nffhF7Zc,2021-02-06,-6,2,-21,,-10,3
SV,El Salvador,Ahuachapán Department,,,SV-AH,,ChIJT534gkiUYo8R7R2nffhF7Zc,2021-02-07,-15,,-12,,-12,
SV,El Salvador,Ahuachapán Department,,,SV-AH,,ChIJT534gkiUYo8R7R2nffhF7Zc,2021-02-08,1,,-4,,-25,5
SV,El Salvador,Ahuachapán Department,,,SV-AH,,ChIJT534gkiUYo8R7R2nffhF7Zc,2021-02-09,-5,,-10,,-25,4
SV,El Salvador,Ahuachapán Department,,,SV-AH,,ChIJT534gkiUYo8R7R2nffhF7Zc,2021-02-10,-5,,-11,,-25,4
SV,El Salvador,Ahuachapán Department,,,SV-AH,,ChIJT534gkiUYo8R7R2nffhF7Zc,2021-02-11,-6,,-16,,-27,3
SV,El Salvador,Ahuachapán Department,,,SV-AH,,ChIJT534gkiUYo8R7R2nffhF7Zc,2021-02-12,-3,,-17,,-24,1
SV,El Salvador,Ahuachapán Department,,,SV-AH,,ChIJT534gkiUYo8R7R2nffhF7Zc,2021-02-13,0,8,-11,,-13,-2
SV,El Salvador,Ahuachapán Department,,,SV-AH,,ChIJT534gkiUYo8R7R2nffhF7Zc,2021-02-14,6,,-1,,-17,
SV,El Salvador,Ahuachapán Department,,,SV-AH,,ChIJT534gkiUYo8R7R2nffhF7Zc,2021-02-15,1,,-13,,-30,-1
SV,El Salvador,Ahuachapán Department,,,SV-AH,,ChIJT534gkiUYo8R7R2nffhF7Zc,2021-02-16,3,,-11,,-25,0
SV,El Salvador,Ahuachapán Department,,,SV-AH,,ChIJT534gkiUYo8R7R2nffhF7Zc,2021-02-17,-1,,-5,,-24,1
SV,El Salvador,Ahuachapán Department,,,SV-AH,,ChIJT534gkiUYo8R7R2nffhF7Zc,2021-02-18,1,,-4,,-25,3
SV,El Salvador,Ahuachapán Department,,,SV-AH,,ChIJT534gkiUYo8R7R2nffhF7Zc,2021-02-19,-1,,-15,,-20,1
SV,El Salvador,Ahuachapán Department,,,SV-AH,,ChIJT534gkiUYo8R7R2nffhF7Zc,2021-02-20,3,13,-12,,-17,-1
SV,El Salvador,Ahuachapán Department,,,SV-AH,,ChIJT534gkiUYo8R7R2nffhF7Zc,2021-02-21,-5,,-7,,-19,
SV,El Salvador,Ahuachapán Department,,,SV-AH,,ChIJT534gkiUYo8R7R2nffhF7Zc,2021-02-22,8,,-9,,-23,0
SV,El Salvador,Ahuachapán Department,,,SV-AH,,ChIJT534gkiUYo8R7R2nffhF7Zc,2021-02-23,7,,-10,,-24,1
SV,El Salvador,Ahuachapán Department,,,SV-AH,,ChIJT534gkiUYo8R7R2nffhF7Zc,2021-02-24,4,,7,,-22,-1
SV,El Salvador,Ahuachapán Department,,,SV-AH,,ChIJT534gkiUYo8R7R2nffhF7Zc,2021-02-25,4,,-2,,-25,1
SV,El Salvador,Ahuachapán Department,,,SV-AH,,ChIJT534gkiUYo8R7R2nffhF7Zc,2021-02-26,1,,-16,,-17,-1
SV,El Salvador,Ahuachapán Department,,,SV-AH,,ChIJT534gkiUYo8R7R2nffhF7Zc,2021-02-27,-3,,-16,,-10,-3
SV,El Salvador,Ahuachapán Department,,,SV-AH,,ChIJT534gkiUYo8R7R2nffhF7Zc,2021-02-28,-25,,-24,,-17,
SV,El Salvador,Ahuachapán Department,,,SV-AH,,ChIJT534gkiUYo8R7R2nffhF7Zc,2021-03-01,3,,-14,,-27,1
SV,El Salvador,Ahuachapán Department,,,SV-AH,,ChIJT534gkiUYo8R7R2nffhF7Zc,2021-03-02,7,,-10,,-23,1
SV,El Salvador,Ahuachapán Department,,,SV-AH,,ChIJT534gkiUYo8R7R2nffhF7Zc,2021-03-03,2,,-4,,-23,0
SV,El Salvador,Ahuachapán Department,,,SV-AH,,ChIJT534gkiUYo8R7R2nffhF7Zc,2021-03-04,6,,-6,,-25,2
SV,El Salvador,Ahuachapán Department,,,SV-AH,,ChIJT534gkiUYo8R7R2nffhF7Zc,2021-03-05,5,,-12,,-19,0
SV,El Salvador,Ahuachapán Department,,,SV-AH,,ChIJT534gkiUYo8R7R2nffhF7Zc,2021-03-06,3,,-6,,-14,-2
SV,El Salvador,Ahuachapán Department,,,SV-AH,,ChIJT534gkiUYo8R7R2nffhF7Zc,2021-03-07,-7,,-7,,-22,
SV,El Salvador,Ahuachapán Department,,,SV-AH,,ChIJT534gkiUYo8R7R2nffhF7Zc,2021-03-08,5,,-9,,-23,1
SV,El Salvador,Ahuachapán Department,,,SV-AH,,ChIJT534gkiUYo8R7R2nffhF7Zc,2021-03-09,4,,-11,,-24,1
