country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
TG,Togo,,,,,,ChIJGVQYE8HhIxARYJPRGjBbrvo,2021-01-01,-20,7,49,-28,-67,27
TG,Togo,,,,,,ChIJGVQYE8HhIxARYJPRGjBbrvo,2021-01-02,-16,22,52,-6,-25,19
TG,Togo,,,,,,ChIJGVQYE8HhIxARYJPRGjBbrvo,2021-01-03,-7,23,53,6,-6,12
TG,Togo,,,,,,ChIJGVQYE8HhIxARYJPRGjBbrvo,2021-01-04,-8,46,60,17,-1,11
TG,Togo,,,,,,ChIJGVQYE8HhIxARYJPRGjBbrvo,2021-01-05,-5,43,56,17,3,11
TG,Togo,,,,,,ChIJGVQYE8HhIxARYJPRGjBbrvo,2021-01-06,-4,43,57,25,4,12
TG,Togo,,,,,,ChIJGVQYE8HhIxARYJPRGjBbrvo,2021-01-07,-2,45,50,27,2,12
TG,Togo,,,,,,ChIJGVQYE8HhIxARYJPRGjBbrvo,2021-01-08,1,38,51,19,6,10
TG,Togo,,,,,,ChIJGVQYE8HhIxARYJPRGjBbrvo,2021-01-09,3,34,59,12,3,9
TG,Togo,,,,,,ChIJGVQYE8HhIxARYJPRGjBbrvo,2021-01-10,5,14,47,14,-2,9
TG,Togo,,,,,,ChIJGVQYE8HhIxARYJPRGjBbrvo,2021-01-11,-2,34,56,25,3,8
TG,Togo,,,,,,ChIJGVQYE8HhIxARYJPRGjBbrvo,2021-01-12,-1,31,46,21,4,8
TG,Togo,,,,,,ChIJGVQYE8HhIxARYJPRGjBbrvo,2021-01-13,-6,24,43,19,0,8
TG,Togo,,,,,,ChIJGVQYE8HhIxARYJPRGjBbrvo,2021-01-14,-9,20,37,21,-7,9
