country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
TH,Thailand,,,,,,ChIJsU1CR_eNTTARAuhXB4gs154,2021-01-01,-20,7,8,-57,-70,14
TH,Thailand,,,,,,ChIJsU1CR_eNTTARAuhXB4gs154,2021-01-02,-23,3,-17,-49,-43,8
TH,Thailand,,,,,,ChIJsU1CR_eNTTARAuhXB4gs154,2021-01-03,-20,6,-23,-43,-17,4
TH,Thailand,,,,,,ChIJsU1CR_eNTTARAuhXB4gs154,2021-01-04,-18,7,-29,-44,-16,7
TH,Thailand,,,,,,ChIJsU1CR_eNTTARAuhXB4gs154,2021-01-05,-20,5,-30,-46,-18,8
TH,Thailand,,,,,,ChIJsU1CR_eNTTARAuhXB4gs154,2021-01-06,-20,3,-31,-48,-17,8
TH,Thailand,,,,,,ChIJsU1CR_eNTTARAuhXB4gs154,2021-01-07,-21,1,-32,-49,-17,8
TH,Thailand,,,,,,ChIJsU1CR_eNTTARAuhXB4gs154,2021-01-08,-22,2,-34,-51,-16,9
TH,Thailand,,,,,,ChIJsU1CR_eNTTARAuhXB4gs154,2021-01-09,-21,1,-41,-52,-3,7
TH,Thailand,,,,,,ChIJsU1CR_eNTTARAuhXB4gs154,2021-01-10,-20,1,-37,-54,-7,8
TH,Thailand,,,,,,ChIJsU1CR_eNTTARAuhXB4gs154,2021-01-11,-17,1,-33,-50,-16,8
TH,Thailand,,,,,,ChIJsU1CR_eNTTARAuhXB4gs154,2021-01-12,-17,1,-32,-50,-18,8
TH,Thailand,,,,,,ChIJsU1CR_eNTTARAuhXB4gs154,2021-01-13,-18,-1,-33,-50,-17,7
TH,Thailand,,,,,,ChIJsU1CR_eNTTARAuhXB4gs154,2021-01-14,-19,-5,-36,-52,-19,7
