country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
TR,Turkey,,,,,,ChIJcSZPllwVsBQRKl9iKtTb2UA,2021-01-01,-88,-64,-71,-81,-81,38
TR,Turkey,,,,,,ChIJcSZPllwVsBQRKl9iKtTb2UA,2021-01-02,-86,-57,-71,-77,-64,29
TR,Turkey,,,,,,ChIJcSZPllwVsBQRKl9iKtTb2UA,2021-01-03,-85,-57,-66,-74,-50,21
TR,Turkey,,,,,,ChIJcSZPllwVsBQRKl9iKtTb2UA,2021-01-04,-33,18,4,-17,-20,7
TR,Turkey,,,,,,ChIJcSZPllwVsBQRKl9iKtTb2UA,2021-01-05,-38,12,-8,-21,-22,10
TR,Turkey,,,,,,ChIJcSZPllwVsBQRKl9iKtTb2UA,2021-01-06,-39,16,-7,-23,-20,11
TR,Turkey,,,,,,ChIJcSZPllwVsBQRKl9iKtTb2UA,2021-01-07,-36,16,-1,-21,-19,10
TR,Turkey,,,,,,ChIJcSZPllwVsBQRKl9iKtTb2UA,2021-01-08,-35,29,0,-21,-20,10
TR,Turkey,,,,,,ChIJcSZPllwVsBQRKl9iKtTb2UA,2021-01-09,-83,-52,-73,-72,-54,26
TR,Turkey,,,,,,ChIJcSZPllwVsBQRKl9iKtTb2UA,2021-01-10,-84,-55,-71,-74,-48,19
TR,Turkey,,,,,,ChIJcSZPllwVsBQRKl9iKtTb2UA,2021-01-11,-30,24,-3,-16,-19,7
TR,Turkey,,,,,,ChIJcSZPllwVsBQRKl9iKtTb2UA,2021-01-12,-36,14,-12,-22,-21,8
TR,Turkey,,,,,,ChIJcSZPllwVsBQRKl9iKtTb2UA,2021-01-13,-43,8,-29,-28,-21,9
TR,Turkey,,,,,,ChIJcSZPllwVsBQRKl9iKtTb2UA,2021-01-14,-41,7,-24,-28,-22,8
TR,Turkey,,,,,,ChIJcSZPllwVsBQRKl9iKtTb2UA,2021-01-15,-40,18,-23,-30,-25,8
TR,Turkey,,,,,,ChIJcSZPllwVsBQRKl9iKtTb2UA,2021-01-16,-84,-54,-75,-74,-56,23
TR,Turkey,,,,,,ChIJcSZPllwVsBQRKl9iKtTb2UA,2021-01-17,-84,-57,-71,-75,-52,18
TR,Turkey,,,,,,ChIJcSZPllwVsBQRKl9iKtTb2UA,2021-01-18,-38,9,-24,-26,-26,8
TR,Turkey,,,,,,ChIJcSZPllwVsBQRKl9iKtTb2UA,2021-01-19,-41,5,-30,-29,-26,9
TR,Turkey,,,,,,ChIJcSZPllwVsBQRKl9iKtTb2UA,2021-01-20,-43,6,-31,-29,-24,9
TR,Turkey,,,,,,ChIJcSZPllwVsBQRKl9iKtTb2UA,2021-01-21,-39,11,-19,-24,-22,9
TR,Turkey,,,,,,ChIJcSZPllwVsBQRKl9iKtTb2UA,2021-01-22,-37,23,-13,-21,-23,8
TR,Turkey,,,,,,ChIJcSZPllwVsBQRKl9iKtTb2UA,2021-01-23,-81,-48,-70,-69,-53,23
TR,Turkey,,,,,,ChIJcSZPllwVsBQRKl9iKtTb2UA,2021-01-24,-82,-52,-67,-72,-47,18
TR,Turkey,,,,,,ChIJcSZPllwVsBQRKl9iKtTb2UA,2021-01-25,-32,17,-18,-19,-22,6
TR,Turkey,,,,,,ChIJcSZPllwVsBQRKl9iKtTb2UA,2021-01-26,-35,14,-18,-21,-23,6
TR,Turkey,,,,,,ChIJcSZPllwVsBQRKl9iKtTb2UA,2021-01-27,-43,5,-34,-30,-22,8
TR,Turkey,,,,,,ChIJcSZPllwVsBQRKl9iKtTb2UA,2021-01-28,-37,15,-17,-22,-20,7
TR,Turkey,,,,,,ChIJcSZPllwVsBQRKl9iKtTb2UA,2021-01-29,-36,27,-15,-19,-21,7
TR,Turkey,,,,,,ChIJcSZPllwVsBQRKl9iKtTb2UA,2021-01-30,-82,-49,-74,-69,-52,24
TR,Turkey,,,,,,ChIJcSZPllwVsBQRKl9iKtTb2UA,2021-01-31,-80,-44,-63,-68,-44,18
TR,Turkey,,,,,,ChIJcSZPllwVsBQRKl9iKtTb2UA,2021-02-01,-28,29,-4,-13,-20,4
TR,Turkey,,,,,,ChIJcSZPllwVsBQRKl9iKtTb2UA,2021-02-02,-34,21,-9,-18,-22,6
TR,Turkey,,,,,,ChIJcSZPllwVsBQRKl9iKtTb2UA,2021-02-03,-35,19,-4,-18,-20,6
TR,Turkey,,,,,,ChIJcSZPllwVsBQRKl9iKtTb2UA,2021-02-04,-32,21,8,-16,-19,5
TR,Turkey,,,,,,ChIJcSZPllwVsBQRKl9iKtTb2UA,2021-02-05,-31,35,8,-13,-21,5
TR,Turkey,,,,,,ChIJcSZPllwVsBQRKl9iKtTb2UA,2021-02-06,-79,-40,-63,-65,-49,21
